"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"FPH.NZ, Long, 2026-02-19 (Price: 37.6)",No Exit Yet,"-0.74%, 1 day","90.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-20 (Price: 37.32), 0.74% below",1 day,Upmove Bounce Back,23.66% (Price: 35.6878),4.57% above,"2023-10-30 (Price: 20.29), 2025-11-26 (Price: 40.46)",10.94%/2.55%/7.81%,"1.6%, 46.76%",3.3 years/28 days/1.1 year,2030-11-05/2026-03-31/2027-09-15,8.47%,1.81%,6.66%,1.1,0.09,38.5776/40.5366/49.7/39.407/40.9296/48.5677/No EMA 200 Target,35.68/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/37.22,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),37.0
"SBUX, Long, 2026-02-18 (Price: 95.76)",No Exit Yet,"1.81%, 2 days","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2026-02-18",Already confirmed,"2026-02-20 (Price: 97.49), 1.81% above",2 days,Upmove Bounce Back,38.2% (Price: 94.5709),3.09% above,"2025-11-04 (Price: 77.99), 2026-01-28 (Price: 104.82)",18.2%/1.81%/10.68%,"-0.0%, 32.38%",1.8 year/1.1 month/9.9 months,2028-09-13/2026-04-06/2027-04-24,17.25%,-2.4%,19.65%,1.15,-0.1,95.3674/105.9872/111.86/117.438/142.4098/150.3462/No EMA 200 Target,93.79/71.675/89.1063/76.529/No F-Track Level/No F-Track Level/88.29,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),95.04
"XLF, Long, 2026-02-18 (Price: 52.59)",No Exit Yet,"-0.19%, 2 days","93.75%, Past 5 years, 16","Daily, was CONFIRMED on 2026-02-18",Already confirmed,"2026-02-20 (Price: 52.49), 0.19% below",2 days,Upmove Bounce Back,23.66% (Price: 50.3376),4.28% above,"2023-03-24 (Price: 30.39), 2026-01-06 (Price: 56.52)",11.32%/1.52%/7.02%,"2.46%, 26.19%",2.3 years/21 days/6.5 months,2029-05-30/2026-03-20/2026-11-27,16.24%,9.14%,7.1%,1.47,0.58,54.5621/56.2818/68.27/No Horizontal Resistance/70.6138/110.4396/52.81,51.65/30.1167/45.9996/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),52.345
"CNU.NZ, Long, 2026-02-17 (Price: 9.11)",No Exit Yet,"4.39%, 3 days","73.33%, Past 5 years, 15","Daily, was CONFIRMED on 2026-02-17",Already confirmed,"2026-02-20 (Price: 9.51), 4.39% above",3 days,Upmove Bounce Back,61.8% (Price: 9.2314),3.02% above,"2025-10-14 (Price: 8.88), 2026-02-04 (Price: 9.8)",11.98%/1.84%/7.67%,"1.13%, 19.63%",1.6 year/1 month/11.2 months,2028-05-31/2026-04-01/2027-06-18,10.79%,2.16%,8.63%,0.95,0.05,9.1692/9.8087/9.66/9.875/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,9.08/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/9.09,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),9.19
"MFT.NZ, Long, 2026-02-17 (Price: 62.5)",No Exit Yet,"2.88%, 3 days","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2026-02-17",Already confirmed,"2026-02-20 (Price: 64.3), 2.88% above",3 days,Upmove Bounce Back,61.8% (Price: 62.0801),3.58% above,"2025-07-31 (Price: 57.37), 2026-01-14 (Price: 69.7)",13.45%/0.01%/4.6%,"-0.0%, 26.79%",1.7 year/13 days/6.6 months,2028-07-22/2026-03-07/2026-11-30,6.61%,0.8%,5.81%,0.39,0.01,61.975/65.375/69.9/85.45/105.252/119.9356/64.82,62.0/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/No EMA 200 Support,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),63.41
"BDGI.TO, Long, 2026-02-17 (Price: 68.65)",No Exit Yet,"6.57%, 3 days","92.86%, Past 5 years, 14","Daily, was CONFIRMED on 2026-02-17",Already confirmed,"2026-02-20 (Price: 73.16), 6.57% above",3 days,Upmove Bounce Back,38.2% (Price: 63.8711),14.54% above,"2025-04-07 (Price: 33.62), 2026-01-19 (Price: 82.57)",14.12%/2.16%/11.1%,"0.42%, 41.99%",2.8 years/19 days/10.2 months,2030-02-14/2026-03-16/2027-05-06,19.04%,8.7%,10.34%,2.35,0.44,74.3479/76.2702/98.02/No Horizontal Resistance/79.8787/84.3122/No EMA 200 Target,65.8/24.32/63.2847/58.5532/No F-Track Level/No F-Track Level/61.82,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),68.76
"AAPL, Long, 2026-02-08 (Price: 278.12)",No Exit Yet,"-4.87%, 12 days","93.75%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-02-08",Already confirmed,"2026-02-20 (Price: 264.58), 4.87% below",12 days,Upmove Bounce Back,38.2% (Price: 243.0054),8.88% above,"2025-04-13 (Price: 169.21), 2025-12-07 (Price: 288.62)",19.47%/15.33%/16.76%,"9.56%, 53.43%",1.7 year/1.4 month/7.8 months,2028-07-13/2026-04-09/2027-01-12,12.35%,17.83%,-5.48%,2.32,0.9,305.6261/324.7329/349.77/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,248.04/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/241.18,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),260.03
"META, Long, 2026-02-08 (Price: 661.46)",No Exit Yet,"-0.88%, 12 days","100.0%, Past 13 years, 6","Weekly, was CONFIRMED on 2026-02-08",Already confirmed,"2026-02-20 (Price: 655.66), 0.88% below",12 days,Upmove Bounce Back,23.66% (Price: 613.221),6.92% above,"2013-06-09 (Price: 22.67), 2025-08-17 (Price: 796.25)",20.56%/15.24%/17.23%,"0%, 73.01%",2.1 years/21 days/9 months,2029-02-07/2026-03-10/2027-03-06,19.03%,15.86%,3.17%,8.93,0.74,822.4594/775.4296/1125.61/No Horizontal Resistance/842.484/1305.5879/690.19,620.25/276.89/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),714.6
"EFN.TO, Long, 2026-02-08 (Price: 35.44)",No Exit Yet,"-3.44%, 12 days","85.71%, Past 20 years, 7","Weekly, was CONFIRMED on 2026-02-08",Already confirmed,"2026-02-20 (Price: 34.22), 3.44% below",12 days,Upmove Bounce Back,38.2% (Price: 33.1947),3.09% above,"2025-02-09 (Price: 25.0), 2025-11-02 (Price: 38.26)",27.12%/15.2%/18.26%,"4.16%, 79.1%",4.3 years/2.6 months/1.2 year,2032-03-30/2026-05-31/2027-10-26,6.51%,10.86%,-4.35%,1.44,0.54,40.9545/41.9113/43.4/No Horizontal Resistance/45.1741/70.5281/No EMA 200 Target,34.35/12.67/29.5041/No support/No F-Track Level/No F-Track Level/35.41,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),34.42
"DIS, Long, 2026-01-31 (Price: 112.8)",No Exit Yet,"-6.4%, 20 days","80.0%, Past 64 years, 20","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-20 (Price: 105.58), 6.4% below",20 days,Upmove Bounce Back,50% (Price: 102.395),3.11% above,"2025-04-30 (Price: 80.1), 2025-06-30 (Price: 124.69)",30.57%/6.96%/23.02%,"18.11%, 60.42%",4.2 years/1 month/11.1 months,2032-01-30/2026-03-15/2027-05-28,7.35%,7.97%,-0.62%,0.97,0.4,129.3139/138.7666/139.55/168.455/207.5364/245.6322/113.24,90.95/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level/No EMA 200 Support,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),113.44
"GBPUSD=X, Long, 2026-01-31 (Price: 1.3806)",No Exit Yet,"-2.35%, 20 days","83.33%, Past 56 years, 6","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-20 (Price: 1.3481), 2.35% below",20 days,Upmove Bounce Back,23.66% (Price: 1.271),6.07% above,"2022-09-30 (Price: 1.0379), 2024-09-30 (Price: 1.3433)",3.79%/3.79%/3.79%,"0.37%, 7.17%",2.9 years/2.9 years/2.9 years,2030-03-23 (Max),4.04%,-0.96%,5.0%,0.36,-0.64,1.3879/1.4329/1.56/No Horizontal Resistance/2.4831/2.6524/No EMA 200 Target,1.24/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.34,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),1.3475
"NZDCAD=X, Long, 2026-01-31 (Price: 0.8195)",No Exit Yet,"-0.31%, 20 days","76.92%, Past 22 years, 13","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-20 (Price: 0.817), 0.31% below",20 days,Upmove Bounce Back,78.6% (Price: 0.8038),1.64% above,"2023-12-31 (Price: 0.7882), 2024-09-30 (Price: 0.8609)",20.75%/1.64%/9.84%,"3.81%, 24.45%",7.4 years/1 year/3.2 years,2036-08-24/2027-07-06/2030-08-26,0.56%,-0.19%,0.75%,0.44,-0.46,0.8673/0.9001/0.86/0.8586/1.0924/1.3117/No EMA 200 Target,0.79/0.7834/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/0.81,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),0.7896
"NVO, Long, 2026-01-31 (Price: 59.43)",No Exit Yet,"-20.21%, 20 days","100.0%, Past 44 years, 14","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-20 (Price: 47.42), 20.21% below",20 days,Upmove Bounce Back,78.6% (Price: 43.8439),8.16% above,"2016-11-30 (Price: 15.445), 2024-06-30 (Price: 148.15)",42.36%/20.21%/26.41%,"-0.0%, 47.55%",3.3 years/4 months/1.3 year,2030-10-17/2026-07-23/2027-12-09,10.33%,9.37%,0.96%,1.75,0.5,72.7067/75.1255/139.05/139.01/157.4212/201.8641/No EMA 200 Target,47.07/45.4025/51.1046/45.3824/No F-Track Level/No F-Track Level/57.86,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),51.61
