"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"NZDCAD=X, Long, 2026-01-31 (Price: 0.8195)",No Exit Yet,"0.01%, 6 days","76.92%, Past 22 years, 13","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-06 (Price: 0.8196), 0.01% above",6 days,Upmove Bounce Back,78.6% (Price: 0.8038),1.97% above,"2023-12-31 (Price: 0.7882), 2024-09-30 (Price: 0.8609)",20.75%/1.64%/9.84%,"3.81%, 24.45%",7.4 years/1 year/3.2 years,2036-08-24/2027-07-06/2030-08-26,0.56%,-0.19%,0.75%,0.44,-0.46,0.8673/0.9001/0.86/0.8586/1.0924/1.3117/No EMA 200 Target,0.79/0.7834/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/0.81,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),0.7896
"NVO, Long, 2026-01-31 (Price: 59.43)",No Exit Yet,"-21.81%, 6 days","100.0%, Past 44 years, 14","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-06 (Price: 46.47), 21.81% below",6 days,Upmove Bounce Back,78.6% (Price: 43.8439),5.99% above,"2016-11-30 (Price: 15.445), 2024-06-30 (Price: 148.15)",42.36%/20.21%/26.41%,"-0.0%, 47.55%",3.3 years/4 months/1.3 year,2030-10-17/2026-07-23/2027-12-09,10.33%,9.37%,0.96%,1.75,0.5,72.7067/75.1255/139.05/139.01/157.4212/201.8641/No EMA 200 Target,47.07/45.4025/51.1046/45.3824/No F-Track Level/No F-Track Level/58.62,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),51.61
"XLU, Long, 2026-01-25 (Price: 42.56)",No Exit Yet,"2.8%, 12 days","100.0%, Past 20 years, 19","Weekly, was CONFIRMED on 2026-01-25",Already confirmed,"2026-02-06 (Price: 43.75), 2.8% above",12 days,Upmove Bounce Back,38.2% (Price: 42.5398),2.84% above,"2025-04-13 (Price: 35.51), 2025-10-19 (Price: 46.885)",18.94%/4.73%/14.15%,"0%, 42.71%",6.5 years/4.2 months/1.3 year,2035-05-07/2026-07-26/2027-12-03,10.1%,3.65%,6.45%,3.45,0.14,43.773/48.5822/49.39/No Horizontal Resistance/49.4858/65.2454/No EMA 200 Target,42.51/29.8725/35.4254/30.3912/No F-Track Level/No F-Track Level/42.53,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),43.12
"BABA, Long, 2026-01-25 (Price: 173.23)",No Exit Yet,"-7.35%, 12 days","100.0%, Past 11 years, 7","Weekly, was CONFIRMED on 2026-01-25",Already confirmed,"2026-02-06 (Price: 160.5), 7.35% below",12 days,Upmove Bounce Back,38.2% (Price: 144.5227),11.06% above,"2024-01-28 (Price: 66.63), 2025-10-05 (Price: 192.67)",38.47%/16.72%/24.63%,"-0.0%, 19.88%",9.1 months/2.6 months/4.8 months,2027-02-24/2026-05-17/2026-08-21,20.27%,3.28%,16.99%,1.72,0.23,195.646/215.8965/248.85/No Horizontal Resistance/399.1612/524.2534/No EMA 200 Target,149.79/67.495/144.416/No support/No F-Track Level/No F-Track Level/142.56,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),161.83
"CSCO, Long, 2026-01-14 (Price: 74.41)",2026-02-05 (Price: 82.36) (Today),"10.68%, 22 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-01-14",Already confirmed,"2026-02-05 (Price: 82.36), 10.68% above",22 days,Upmove Bounce Back,50% (Price: 73.285),12.38% above,"2025-08-18 (Price: 65.75), 2025-12-10 (Price: 80.82)",13.58%/2.93%/10.01%,"0%, 37.04%",3.2 years/1 month/7.1 months,2030-08-09/2026-02-26/2026-11-18,22.72%,7.9%,14.82%,3.15,0.44,75.3104/81.8584/83.45/No Horizontal Resistance/78.7458/109.6316/No EMA 200 Target,73.88/40.92/68.2017/52.6706/No F-Track Level/No F-Track Level/69.68,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets),74.93
"AAPL, Long, 2025-12-31 (Price: 271.86)",No Exit Yet,"1.49%, 1.2 month","100.0%, Past 45 years, 5","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-02-06 (Price: 275.91), 1.49% above",1.2 month,Upmove Bounce Back,38.2% (Price: 169.2862),62.98% above,"2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",37.72%/33.07%/35.65%,"-0.0%, 10.93%",1 year/9.1 months/10.6 months,2027-06-05/2027-01-30/2027-04-05,12.11%,12.37%,-0.26%,1.91,0.56,390.1463/368.7781/414.5/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,23.9/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/237.8,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets),255.04
"SUM.NZ, Long, 2025-12-31 (Price: 12.29)",No Exit Yet,"-8.87%, 1.2 month","100.0%, Past 14 years, 4","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-02-06 (Price: 11.2), 8.87% below",1.2 month,Upmove Bounce Back,50% (Price: 10.74),4.28% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",48.88%/41.01%/44.94%,"-0.0%, 38.76%",1.3 year/1 year/1.1 year,2027-11-08/2027-06-05/2027-07-27,11.55%,11.73%,-0.18%,0.86,0.59,12.6169/17.8131/15.53/13.345/19.8479/26.5969/No EMA 200 Target,8.8/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.51,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets),10.7
"TCEHY, Long, 2025-12-28 (Price: 78.08)",2026-02-06 (Price: 70.96) (Today),"-9.12%, 1.3 month","92.31%, Past 18 years, 13","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2026-02-06 (Price: 70.96), 9.12% below",1.3 month,Upmove Bounce Back,23.66% (Price: 74.7427),5.06% below,"2024-02-25 (Price: 33.0), 2025-10-12 (Price: 87.68)",19.21%/15.1%/17.52%,"9.2%, 60.01%",4 years/21 days/10.7 months,2031-09-13/2026-01-27/2027-04-06,12.94%,13.58%,-0.64%,1.45,0.67,86.6141/91.7596/110.89/No Horizontal Resistance/91.9947/116.3817/No EMA 200 Target,77.81/36.36/76.6795/58.4956/No F-Track Level/No F-Track Level/74.3,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),78.76
"BTI, Long, 2025-12-23 (Price: 57.04)",2026-02-06 (Price: 62.84) (Today),"10.17%, 1.5 month","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2025-12-23",Already confirmed,"2026-02-06 (Price: 62.84), 10.17% above",1.5 month,Upmove Bounce Back,23.66% (Price: 56.8269),10.58% above,"2025-10-21 (Price: 49.88), 2025-12-11 (Price: 58.98)",11.33%/1.41%/8.86%,"-0.0%, 37.23%",3.3 years/1.4 month/1.2 year,2030-09-08/2026-02-21/2027-09-09,11.0%,5.81%,5.19%,1.67,0.3,61.6545/62.0937/62.5/No Horizontal Resistance/82.226/92.0468/No EMA 200 Target,56.45/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/52.65,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets),56.89
"MAR, Long, 2025-11-16 (Price: 285.72)",2026-02-01 (Price: 315.3),"10.35%, 2.6 months","100.0%, Past 20 years, 22","Weekly, was CONFIRMED on 2025-11-16",Already confirmed,"2026-02-06 (Price: 326.45), 14.26% above",2.7 months,Upmove Bounce Back,50% (Price: 256.035),27.5% above,"2024-08-11 (Price: 204.55), 2025-02-09 (Price: 307.52)",23.39%/8.05%/16.44%,"-0.0%, 61.32%",3 years/21 days/8 months,2030-02-27/2025-12-16/2026-10-29,13.69%,8.26%,5.43%,2.62,0.41,300.3774/332.6924/347.5/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/277.33,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),292.12
"ASML, Long, 2025-10-31 (Price: 1059.23)",2026-01-31 (Price: 1423.0),"34.34%, 3.1 months","92.31%, Past 30 years, 13","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-02-06 (Price: 1389.41), 31.17% above",3.3 months,Upmove Bounce Back,38.2% (Price: 692.3064),100.69% above,"2008-11-30 (Price: 16.4156), 2024-07-31 (Price: 1110.09)",30.95%/20.8%/23.81%,"6.56%, 49.5%",2.6 years/1 month/8.9 months,2029-07-17/2025-12-13/2026-11-21,12.71%,13.9%,-1.19%,1.74,0.62,1226.5883/1311.4327/1715.43/No Horizontal Resistance/1091.1724/1155.2236/No EMA 200 Target,662.63/561.385/1034.6774/832.8601/No F-Track Level/No F-Track Level/922.61,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),965.61
"SJ.TO, Long, 2025-10-31 (Price: 79.61)",2026-02-06 (Price: 99.07) (Today),"24.44%, 3.3 months","100.0%, Past 31 years, 8","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-02-06 (Price: 99.07), 24.44% above",3.3 months,Upmove Bounce Back,23.66% (Price: 74.8871),32.29% above,"1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,2031-09-06/2026-01-30/2028-04-04,8.5%,12.52%,-4.02%,1.5,0.63,101.1286/101.8371/138.22/84.3925/95.0177/123.2166/80.39,67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),79.32
"SJ.TO, Long, 2025-08-24 (Price: 78.13)",2026-02-01 (Price: 91.3),"16.86%, 5.4 months","92.31%, Past 20 years, 13","Weekly, was CONFIRMED on 2025-08-24",Already confirmed,"2026-02-06 (Price: 99.07), 26.8% above",5.5 months,Upmove Bounce Back,23.66% (Price: 74.9167),32.24% above,"2002-02-03 (Price: 0.4375), 2024-07-28 (Price: 98.0)",21.37%/7.04%/15.95%,"14.17%, 49.7%",7.2 years/1.2 month/1.3 year,2035-12-04/2025-10-15/2027-07-02,8.85%,12.31%,-3.46%,1.52,0.64,86.9118/90.5917/136.67/84.3925/95.0177/123.2166/80.39,76.98/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),76.84
"MSFT, Long, 2025-06-30 (Price: 497.41)",2026-01-31 (Price: 430.29),"-13.49%, 7.2 months","92.31%, Past 39 years, 13","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-02-06 (Price: 393.67), 20.86% below",7.4 months,Upmove Bounce Back,50% (Price: 340.89),15.48% above,"2022-11-30 (Price: 213.43), 2024-07-31 (Price: 468.35)",27.88%/6.63%/22.32%,"7.72%, 56.13%",14.2 years/3 months/1.8 year,2045-10-07/2025-11-07/2028-01-24,7.9%,16.21%,-8.31%,1.65,0.79,669.6133/608.4319/650.36/No Horizontal Resistance/517.4523/553.3726/No EMA 200 Target,375.39/216.39/386.873/350.287/No F-Track Level/No F-Track Level/486.73,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),457.14
"IWM, Long, 2025-06-30 (Price: 215.79)",2026-01-31 (Price: 259.65),"20.33%, 7.2 months","88.89%, Past 25 years, 9","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-02-06 (Price: 261.2099), 21.05% above",7.4 months,Upmove Bounce Back,88.6% (Price: 171.1673),52.61% above,"2023-10-31 (Price: 161.67), 2024-11-30 (Price: 244.98)",25.23%/12.67%/20.64%,"34.06%, 36.6%",1.9 year/5 months/1.1 year,2028-03-16/2026-02-02/2027-01-24,7.1%,4.62%,2.48%,0.69,0.22,238.8148/260.3291/265.78/244.72/267.7701/348.4025/232.77,194.86/162.3167/209.2101/157.2742/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),205.32
"PPH, Long, 2025-06-30 (Price: 87.96)",2026-01-31 (Price: 106.81),"21.43%, 7.2 months","90.0%, Past 26 years, 10","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-02-06 (Price: 109.4), 24.37% above",7.4 months,Upmove Bounce Back,38.2% (Price: 78.775),38.88% above,"2015-08-31 (Price: 45.23), 2024-09-30 (Price: 99.51)",23.88%/20.36%/21.19%,"1.09%, 37.34%",6.1 years/10.1 months/3.2 years,2034-03-15/2026-09-11/2030-01-23,4.29%,2.59%,1.7%,1.41,0.03,101.4091/106.5987/120.53/No Horizontal Resistance/100.0174/110.4008/92.89,86.28/65.915/87.7591/70.617/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),87.83
"WMT, Long, 2025-06-30 (Price: 97.78)",2026-01-31 (Price: 119.14),"21.84%, 7.2 months","76.92%, Past 53 years, 13","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-02-06 (Price: 126.94), 29.82% above",7.4 months,Upmove Bounce Back,23.66% (Price: 81.1796),56.37% above,"1996-02-29 (Price: 3.3542), 2025-02-28 (Price: 105.3)",31.01%/7.63%/22.28%,"13.36%, 28.82%",3.7 years/7.1 months/1.5 year,2030-10-11/2026-05-04/2027-08-21,6.18%,11.88%,-5.7%,0.95,0.61,118.6365/119.5654/158.95/No Horizontal Resistance/98.8222/108.7906/103.53,40.53/42.9289/85.5556/72.7913/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),98.84
"SJ.TO, Long, 2025-06-30 (Price: 78.49)",2026-02-06 (Price: 99.07) (Today),"26.22%, 7.4 months","100.0%, Past 31 years, 8","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-02-06 (Price: 99.07), 26.22% above",7.4 months,Upmove Bounce Back,38.2% (Price: 61.7578),60.42% above,"2009-03-31 (Price: 3.125), 2024-07-31 (Price: 98.0)",42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,2031-05-06/2025-09-29/2027-12-03,8.5%,12.52%,-4.02%,1.5,0.63,99.7058/100.4044/135.41/84.9567/95.0177/123.2166/80.39,67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),77.78
"CEN.NZ, Long, 2025-05-31 (Price: 9.16)",2026-02-06 (Price: 9.65) (Today),"5.35%, 8.4 months","88.89%, Past 26 years, 9","Monthly, was CONFIRMED on 2025-05-31",Already confirmed,"2026-02-06 (Price: 9.65), 5.35% above",8.4 months,Upmove Bounce Back,50% (Price: 8.31),16.13% above,"2022-06-30 (Price: 6.82), 2024-12-31 (Price: 9.8)",32.15%/20.49%/23.34%,"1.72%, 36.63%",10.5 years/1 month/2.5 years,2040-05-27/2025-07-13/2028-12-24,6.07%,3.39%,2.68%,1.19,0.12,8.7386/11.2979/10.95/No Horizontal Resistance/11.2606/15.4512/9.21,7.79/6.86/8.6706/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),8.9
"FPH.NZ, Long, 2025-04-06 (Price: 34.58)",2026-02-06 (Price: 39.9) (Today),"15.38%, 10.2 months","100.0%, Past 20 years, 11","Weekly, was CONFIRMED on 2025-04-06",Already confirmed,"2026-02-06 (Price: 39.9), 15.38% above",10.2 months,Upmove Bounce Back,38.2% (Price: 32.1618),24.06% above,"2023-11-05 (Price: 20.29), 2025-01-26 (Price: 39.5)",19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,2029-05-27/2025-08-27/2026-10-31,9.13%,8.49%,0.64%,1.13,0.45,37.9688/40.469/46.11/39.1917/40.9296/48.5677/37.04,32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),33.0
"XLU, Long, 2025-03-31 (Price: 39.425)",2026-01-31 (Price: 43.25),"9.7%, 10.2 months","92.31%, Past 27 years, 13","Monthly, was CONFIRMED on 2025-03-31",Already confirmed,"2026-02-06 (Price: 43.75), 10.97% above",10.4 months,Upmove Bounce Back,23.66% (Price: 36.9765),18.32% above,"2020-03-31 (Price: 21.72), 2024-11-30 (Price: 41.705)",21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,2033-09-01/2026-07-26/2027-09-03,5.35%,2.87%,2.48%,1.11,0.06,40.9429/45.1535/51.42/41.0733/49.4858/72.2363/42.53,29.46/29.76/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),39.57
