"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"SJ.TO, Long, 2026-02-13 (Price: 98.78)",No Exit Yet,"0.0%, 0 days","84.62%, Past 10 years, 26","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-13 (Price: 98.78), 0.0% below",0 days,"2, 2016-03-20 (Price: 51.55)",2026-02-08 (Price: 97.82),2026-02-13 (Price: 98.78),5/0/0 days,0.98% above/0.0% below/0.0% below,2016-03-20 (Price: 51.55)/2026-02-13 (Price: 94.1244),23.9%/3.84%/10.2%,"6.63%, 46.57%",1 year/1.2 month/4.7 months,2027-07-19/2026-04-06/2026-09-05,12.95%,11.64%,1.31%,0.84,0.65,110.2187/108.8556/127.12/No Horizontal Resistance/108.5192/133.8092/No EMA 200 Target,76.55/38.015/50.2755/47.8005/92.0708/86.3929/81.32,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),97.81
"EWJ, Long, 2026-02-13 (Price: 93.85)",No Exit Yet,"0.0%, 0 days","80.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-13 (Price: 93.85), 0.0% below",0 days,"2, 2016-04-24 (Price: 49.0)",2026-02-08 (Price: 89.4),2026-02-13 (Price: 93.85),5/0/0 days,4.98% above/0.0% below/0.0% below,2016-04-24 (Price: 49.0)/2026-02-13 (Price: 88.9275),9.57%/1.17%/4.18%,"20.09%, 34.01%",7.7 months/28 days/2.7 months,2027-01-13/2026-03-25/2026-06-10,3.54%,3.09%,0.45%,0.33,0.09,97.6885/97.7729/120.76/No Horizontal Resistance/88.5172/96.0119/No EMA 200 Target,80.58/53.915/83.8122/78.3516/83.245/76.4635/79.33,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),90.3
"SOXX, Long, 2026-02-13 (Price: 354.66)",No Exit Yet,"0.0%, 0 days","77.78%, Past 20 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 342.37 prior to 2026-02-27,"2026-02-13 (Price: 354.66), 0.0% below",0 days,"0, 2002-03-31 (Price: 25.5067)",2026-01-31 (Price: 346.3),2026-02-13 (Price: 354.66),13/0/0 days,2.41% above/0.0% below/0.0% below,2002-03-31 (Price: 25.5067)/2026-02-13 (Price: 318.4767),26.25%/7.49%/15.33%,"39.0%, 59.88%",10.2 months/5 months/6.2 months,2027-05-02/2026-09-18/2026-11-09,-3.22%,7.76%,-10.98%,0.06,0.4,406.0148/409.0294/552.15/No Horizontal Resistance/358.5021/395.2114/No EMA 200 Target,183.84/110.475/320.8469/267.2317/314.0212/282.4593/270.1,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),342.37
"SLV, Long, 2026-02-13 (Price: 69.72)",No Exit Yet,"0.0%, 0 days","100.0%, Past 19 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 67.3 prior to 2026-03-31,"2026-02-13 (Price: 69.72), 0.0% below",0 days,"4, 2008-03-31 (Price: 20.73)",2025-12-31 (Price: 64.42),2026-02-06 (Price: 70.19),44/7/0 days,8.23% above/0.67% below/0.0% below,2008-03-31 (Price: 20.73)/2026-02-13 (Price: 60.08),72.45%/72.45%/72.45%,"-0.0%, 28.77%",4.8 years/4.8 years/4.8 years,2032-12-20 (Max),9.45%,6.73%,2.72%,0.47,0.33,92.5115/120.2321/99.11/No Horizontal Resistance/79.1429/95.8563/No EMA 200 Target,17.5/18.99/67.0665/59.2029/60.345/48.6665/46.02,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),67.3
"^DJI, Long, 2026-02-13 (Price: 49500.9297)",No Exit Yet,"0.0%, 0 days","100.0%, Past 34 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 48105.9805 prior to 2026-03-31,"2026-02-13 (Price: 49500.9297), 0.0% below",0 days,"2, 2000-03-31 (Price: 11750.2803)",2026-02-13 (Price: 49500.9297),2026-02-06 (Price: 50115.6719),0/7/0 days,0.0% below/1.23% below/0.0% below,2000-03-31 (Price: 11750.2803)/2026-02-13 (Price: 48764.9837),39.58%/39.58%/39.58%,"-0.0%, 23.2%",3.5 years/3.5 years/3.5 years,2031-02-12 (Max),7.15%,5.81%,1.34%,1.43,0.34,57089.4222/69093.3977/72151.32/No Horizontal Resistance/50924.8674/68852.5953/No EMA 200 Target,28725.51/32154.0552/39844.8882/32997.1394/47223.8106/45202.6041/45818.18,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),48105.9805
"BNS.TO, Long, 2026-02-13 (Price: 103.16)",No Exit Yet,"0.0%, 0 days","100.0%, Past 194 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 101.58 prior to 2026-03-31,"2026-02-13 (Price: 103.16), 0.0% below",0 days,"2, 2022-03-31 (Price: 95.0)",2025-09-30 (Price: 89.99),2026-01-21 (Price: 102.06),136/23/0 days,14.63% above/1.08% above/0.0% below,2022-03-31 (Price: 95.0)/2026-02-13 (Price: 73.3855),22.63%/5.06%/9.45%,"-0.0%, 41.59%",5.1 years/1.5 year/4.2 years,2033-05-24/2028-04-05/2032-02-12,5.69%,6.38%,-0.69%,0.82,0.34,113.8371/112.9086/108.06/No Horizontal Resistance/105.6031/114.0496/No EMA 200 Target,60.88/61.07/95.6649/90.1456/94.2174/86.786/86.93,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),101.58
"XLU, Long, 2026-02-13 (Price: 46.5)",No Exit Yet,"0.0%, 0 days","81.25%, Past 20 years, 16","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 43.4165 prior to 2026-02-27,"2026-02-13 (Price: 46.5), 0.0% below",0 days,"4, 2020-02-29 (Price: 35.55)",2026-02-13 (Price: 46.5),2026-02-09 (Price: 43.48),0/4/0 days,0.0% below/6.95% above/0.0% below,2020-02-29 (Price: 35.55)/2026-02-13 (Price: 43.2005),13.3%/1.41%/7.12%,"27.25%, 40.67%",3.4 years/5.1 months/1.6 year,2030-12-21/2026-09-22/2028-05-27,2.88%,2.86%,0.02%,-0.05,0.05,49.9457/49.8108/53.07/No Horizontal Resistance/60.8844/89.6256/No EMA 200 Target,29.46/29.8725/43.1213/32.1431/42.2713/39.436/42.69,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),43.3
"XLE, Long, 2026-02-13 (Price: 54.35)",No Exit Yet,"0.0%, 0 days","84.62%, Past 20 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 50.1 prior to 2026-02-27,"2026-02-13 (Price: 54.35), 0.0% below",0 days,"0, 2022-06-30 (Price: 46.655)",2026-01-31 (Price: 51.05),2026-02-03 (Price: 51.67),13/10/0 days,6.46% above/5.19% above/0.0% below,2022-06-30 (Price: 46.655)/2026-02-13 (Price: 46.3737),39.5%/7.86%/23.13%,"28.83%, 62.76%",4.8 years/10.1 months/1.8 year,2032-12-20/2027-04-27/2028-09-08,6.1%,3.44%,2.66%,0.63,0.15,59.3828/66.9212/58.97/No Horizontal Resistance/53.4027/56.9104/No EMA 200 Target,40.25/22.8475/47.8423/43.779/44.8769/38.5084/44.52,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),50.1
"DIA, Long, 2026-02-13 (Price: 495.28)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 19","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 488.87 prior to 2026-02-27,"2026-02-13 (Price: 495.28), 0.0% below",0 days,"0, 2001-05-31 (Price: 113.64)",2026-01-31 (Price: 489.03),2026-02-13 (Price: 495.28),13/0/0 days,1.28% above/0.0% below/0.0% below,2001-05-31 (Price: 113.64)/2026-02-13 (Price: 484.37),12.39%/4.81%/9.01%,"-0.0%, 49.08%",2.6 years/8.1 months/1.4 year,2029-10-30/2027-01-30/2028-02-11,1.42%,4.44%,-3.02%,2.35,0.21,534.3081/539.9047/724.26/No Horizontal Resistance/508.5373/687.3389/No EMA 200 Target,406.34/321.6725/398.0316/329.7358/472.4173/452.2096/458.37,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),488.87
"IWM, Long, 2026-02-13 (Price: 262.96)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 247.63 prior to 2026-03-31,"2026-02-13 (Price: 262.96), 0.0% below",0 days,"2, 2021-12-31 (Price: 244.46)",2025-12-31 (Price: 246.16),2026-01-02 (Price: 248.78),44/42/0 days,6.82% above/5.7% above/0.0% below,2021-12-31 (Price: 244.46)/2026-02-13 (Price: 245.1967),22.48%/22.48%/22.48%,"-0.0%, 49.28%",1 year/1 year/1 year,2027-07-19 (Max),2.77%,4.51%,-1.74%,0.75,0.21,246.2357/322.0734/274.06/No Horizontal Resistance/270.9222/282.5179/No EMA 200 Target,164.92/162.3167/245.3626/196.8345/247.9708/233.4497/234.92,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),247.63
"NA.TO, Long, 2026-02-13 (Price: 174.78)",No Exit Yet,"0.0%, 0 days","100.0%, Past 43 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 172.8 prior to 2026-03-31,"2026-02-13 (Price: 174.78), 0.0% below",0 days,"0, 1995-12-31 (Price: 6.0)",2025-12-31 (Price: 172.61),2026-02-13 (Price: 174.78),44/0/0 days,1.26% above/0.0% below/0.0% below,1995-12-31 (Price: 6.0)/2026-02-13 (Price: 156.19),41.25%/20.33%/29.84%,"0%, 21.01%",3.6 years/1.8 year/2.5 years,2031-04-05/2028-09-08/2029-09-08,7.2%,8.31%,-1.11%,3.17,0.49,222.9319/226.9344/276.05/No Horizontal Resistance/185.717/204.2705/No EMA 200 Target,54.39/82.9367/162.0277/152.3147/160.7722/150.4677/151.65,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),172.8
"EWJ, Long, 2026-02-13 (Price: 93.85)",No Exit Yet,"0.0%, 0 days","71.43%, Past 20 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 85.3619 prior to 2026-02-27,"2026-02-13 (Price: 93.85), 0.0% below",0 days,"4, 2001-05-31 (Price: 46.88)",2026-01-31 (Price: 85.72),2026-01-29 (Price: 86.09),13/15/0 days,9.48% above/9.01% above/0.0% below,2001-05-31 (Price: 46.88)/2026-02-13 (Price: 84.9372),18.23%/6.32%/9.77%,"17.76%, 22.9%",2.4 years/5 months/1.8 year,2029-07-18/2026-09-18/2028-09-08,4.29%,2.12%,2.17%,0.28,-0.01,94.9762/103.0191/122.03/No Horizontal Resistance/88.5172/96.0119/No EMA 200 Target,67.1/53.915/83.8122/78.3516/83.245/76.4635/79.33,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),85.33
"BTI, Long, 2026-02-12 (Price: 60.61)",No Exit Yet,"-1.83%, 1 day","100.0%, Past 4 years, 13","Daily, is CONFIRMED on 2026-02-12",Already confirmed,"2026-02-13 (Price: 59.5), 1.83% below",1 day,"0, 2025-11-28 (Price: 58.7)",2026-02-12 (Price: 60.61),2026-02-12 (Price: 60.61),1/1/1 days,1.83% below/1.83% below/1.83% below,2025-11-28 (Price: 58.7)/2026-02-12 (Price: 60.2867),9.02%/0.81%/2.71%,"-0.0%, 8.72%",20 days/4 days/10 days,2026-03-12/2026-02-17/2026-02-26,11.13%,4.24%,6.89%,0.97,0.2,66.1194/62.2525/61.76/No Horizontal Resistance/82.226/92.0468/No EMA 200 Target,60.19/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/53.11,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),59.18
"IFT.NZ, Long, 2026-02-12 (Price: 11.3)",No Exit Yet,"-0.71%, 1 day","96.15%, Past 4 years, 26","Daily, is CONFIRMED on 2026-02-12",Already confirmed,"2026-02-13 (Price: 11.22), 0.71% below",1 day,"4, 2025-11-13 (Price: 12.85)",2026-02-11 (Price: 11.28),2026-02-12 (Price: 11.3),2/1/1 days,0.53% below/0.71% below/0.71% below,2025-11-13 (Price: 12.85)/2026-02-12 (Price: 11.0157),9.48%/0.89%/4.11%,"10.91%, 28.9%",3.3 months/6 days/1.1 month,2026-07-05/2026-02-20/2026-03-31,15.16%,8.14%,7.02%,0.86,0.43,11.8119/11.7644/12.23/12.825/18.927/29.733/11.53,10.83/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Support,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),11.27
"TLT, Long, 2026-02-11 (Price: 88.06)",No Exit Yet,"1.89%, 2 days","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2026-02-11",Already confirmed,"2026-02-13 (Price: 89.72), 1.89% above",2 days,"2, 2020-03-23 (Price: 166.69)",2026-02-09 (Price: 87.52),2026-02-11 (Price: 88.06),4/2/2 days,2.51% above/1.89% above/1.89% above,2020-03-23 (Price: 166.69)/2026-02-11 (Price: 87.5909),4.2%/0.28%/2.54%,"15.05%, 24.39%",5.2 months/4 days/20 days,2026-09-24/2026-02-16/2026-03-11,-8.18%,-5.67%,-2.51%,0.0,-0.66,90.1999/90.2967/135.24/153.2067/188.2386/214.0466/No EMA 200 Target,86.54/83.3033/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/87.91,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),88.04
"ATD.TO, Long, 2026-02-11 (Price: 82.51)",No Exit Yet,"1.64%, 2 days","100.0%, Past 4 years, 21","Daily, is CONFIRMED on 2026-02-11",Already confirmed,"2026-02-13 (Price: 83.86), 1.64% above",2 days,"2, 2020-01-10 (Price: 44.67)",2026-02-11 (Price: 82.51),2026-02-11 (Price: 82.51),2/2/2 days,1.64% above/1.64% above/1.64% above,2020-01-10 (Price: 44.67)/2026-02-11 (Price: 80.0671),5.25%/1.18%/3.68%,"-0.0%, 15.84%",4.4 months/11 days/2.1 months,2026-08-21/2026-02-26/2026-05-13,13.1%,6.96%,6.14%,2.83,0.36,83.3186/85.5464/105.21/85.51/85.3936/96.14/No EMA 200 Target,70.84/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/72.38,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),80.11
"XLU, Long, 2026-02-10 (Price: 44.2)",No Exit Yet,"5.2%, 3 days","85.19%, Past 4 years, 27","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 46.5), 5.2% above",3 days,"4, 2025-10-16 (Price: 46.885)",2026-02-06 (Price: 43.35),2026-02-10 (Price: 44.2),7/3/3 days,7.27% above/5.2% above/5.2% above,2025-10-16 (Price: 46.885)/2026-02-10 (Price: 43.0072),4.38%/0.62%/2.23%,"10.13%, 19.69%",2.8 months/6 days/24 days,2026-06-11/2026-02-18/2026-03-16,8.66%,2.65%,6.01%,0.1,0.09,45.7558/45.1857/45.81/No Horizontal Resistance/49.4858/65.2454/No EMA 200 Target,42.56/29.8725/43.7042/35.4254/No F-Track Level/No F-Track Level/42.6,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),43.75
