Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2025-07-31 (Price: 176.31)",2026-02-04 (Price: 200.19) (Today),"13.54%, 6.3 months","100.0%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2026-02-04 (Price: 200.19), 13.54% above",6.3 months,138.77,No Information,No Information,No Information,No Information,No Information,80.79% above/13.54% above/13.54% above,190.68%/42.09%/124.49%,"-0.0%, 58.95%",2.5 years/5.1 months/9.6 months,2029-02-23/2026-03-09/2026-09-21,26.16%,7.99%,18.17%,1.24,0.48,342.059/395.7983/178.82/No Horizontal Resistance/219.0648/251.3512/No EMA 200 Target,97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2024-02-29 (Price: 192.53)",2026-02-04 (Price: 200.19) (Today),"3.98%, 2 years","100.0%, Past 20 years, 16","Monthly, is CONFIRMED on 2024-02-29",Already confirmed,"2026-02-04 (Price: 200.19), 3.98% above",2 years,169.27,No Information,No Information,No Information,No Information,No Information,35.8% above/3.98% above/3.98% above,190.68%/42.09%/124.49%,"-0.0%, 58.95%",2.5 years/5.1 months/9.6 months,2027-09-24/2024-10-07/2025-04-21,26.16%,7.99%,18.17%,1.24,0.48,373.5275/432.2106/235.91/No Horizontal Resistance/170.075/187.3421/No EMA 200 Target,60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/124.45,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2024-01-31 (Price: 167.69)",2026-02-04 (Price: 200.19) (Today),"19.38%, 2 years","100.0%, Past 20 years, 16","Monthly, is CONFIRMED on 2024-01-31",Already confirmed,"2026-02-04 (Price: 200.19), 19.38% above",2 years,144.28,No Information,No Information,No Information,No Information,No Information,35.8% above/19.38% above/19.38% above,190.68%/42.09%/124.49%,"-0.0%, 58.95%",2.5 years/5.1 months/9.6 months,2027-08-26/2024-09-08/2025-03-23,26.16%,7.99%,18.17%,1.24,0.48,325.3354/376.4473/173.28/No Horizontal Resistance/170.075/187.3421/No EMA 200 Target,60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/116.01,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"GNE.NZ, Long, 2020-12-31 (Price: 3.625)",2026-02-04 (Price: 2.45) (Today),"-32.41%, 5.2 years","100.0%, Past 20 years, 5","Monthly, is CONFIRMED on 2020-12-31",Already confirmed,"2026-02-04 (Price: 2.45), 32.41% below",5.2 years,3.24,No Information,No Information,No Information,No Information,No Information,24.15% below/32.41% below/32.41% below,8.39%/8.39%/8.39%,"-0.0%, 27.52%",2 years/2 years/2 years,2023-11-08 (Max),6.77%,1.89%,4.88%,0.7,-0.01,3.4376/3.9291/3.98/No Horizontal Resistance/3.8791/4.0602/No EMA 200 Target,2.52/2.0/3.362/3.1461/No F-Track Level/No F-Track Level/3.0,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2025-12-21 (Price: 164.88)",2026-02-04 (Price: 191.49) (Today),"16.14%, 1.5 month","86.67%, Past 10 years, 30","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2026-02-04 (Price: 191.49), 16.14% above",1.5 month,163.7,No Information,No Information,No Information,No Information,No Information,16.14% above/16.14% above/16.14% above,27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,2026-06-30/2026-02-11/2026-04-12,3.49%,6.66%,-3.17%,0.68,0.35,175.3993/183.3301/215.83/No Horizontal Resistance/178.0989/194.7923/No EMA 200 Target,135.45/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/130.22,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"GNE.NZ, Long, 2024-01-31 (Price: 2.53)",2026-02-04 (Price: 2.45) (Today),"-3.16%, 2 years","100.0%, Past 20 years, 5","Monthly, is CONFIRMED on 2024-01-31",Already confirmed,"2026-02-04 (Price: 2.45), 3.16% below",2 years,2.5,No Information,No Information,No Information,No Information,No Information,2.2% below/3.16% below/3.16% below,8.39%/8.39%/8.39%,"-0.0%, 27.52%",2 years/2 years/2 years,2026-12-08 (Max),6.77%,1.89%,4.88%,0.7,-0.01,2.3992/2.7423/3.36/3.5833/4.0602/4.3831/2.56,2.31/No Horizontal Support/2.377/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"GS, Long, 2025-08-31 (Price: 745.25)",2026-02-04 (Price: 913.3) (Today),"22.55%, 5.2 months","100.0%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-02-04 (Price: 913.3), 22.55% above",5.2 months,710.51,No Information,No Information,No Information,No Information,No Information,29.04% above/22.55% above/22.55% above,53.25%/7.0%/28.8%,"-0.0%, 34.98%",2.5 years/4 months/1.1 year,2029-03-26/2026-02-20/2027-03-27,10.95%,5.86%,5.09%,1.01,0.3,898.0263/959.882/1064.37/No Horizontal Resistance/794.5775/931.1482/No EMA 200 Target,303.61/288.555/634.5288/521.2487/No F-Track Level/No F-Track Level/618.35,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2025-09-19 (Price: 38.32)",2026-02-04 (Price: 40.02) (Today),"4.44%, 4.6 months","84.09%, Past 4 years, 44","Daily, is CONFIRMED on 2025-09-19",Already confirmed,"2026-02-04 (Price: 40.02), 4.44% above",4.6 months,37.33,No Information,No Information,No Information,No Information,No Information,6.78% above/4.44% above/4.44% above,11.0%/0.47%/3.88%,"35.07%, 43.46%",3.5 months/7 days/1.2 month,2026-02-18/2025-09-29/2025-11-10,-16.19%,6.47%,-22.66%,-0.13,0.33,40.4506/39.8068/40.58/39.1917/40.9296/48.5677/No EMA 200 Target,37.45/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.2,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"WPM, Long, 2025-12-28 (Price: 124.22)",2026-02-04 (Price: 140.23) (Today),"12.89%, 1.3 month","84.62%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-02-04 (Price: 140.23), 12.89% above",1.3 month,122.33,No Information,No Information,No Information,No Information,No Information,17.15% above/12.89% above/12.89% above,30.46%/2.87%/10.34%,"13.4%, 61.17%",2.8 months/28 days/1.6 month,2026-04-28/2026-02-06/2026-03-07,5.32%,5.11%,0.21%,0.63,0.29,134.2694/137.0643/165.27/No Horizontal Resistance/131.4439/145.6176/No EMA 200 Target,96.52/38.3375/98.515/93.6878/No F-Track Level/No F-Track Level/94.77,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"RHHBY, Long, 2025-12-21 (Price: 51.2)",2026-02-04 (Price: 57.26) (Today),"11.84%, 1.5 month","87.5%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2026-02-04 (Price: 57.26), 11.84% above",1.5 month,50.25,No Information,No Information,No Information,No Information,No Information,14.43% above/11.84% above/11.84% above,18.53%/3.11%/9.28%,"21.59%, 44.18%",1.2 year/1.2 month/4.5 months,2027-09-07/2026-02-11/2026-07-04,3.03%,4.77%,-1.74%,0.42,0.23,53.1507/55.9514/57.66/52.46/58.6089/65.2057/No EMA 200 Target,38.23/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/41.95,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"PPH, Long, 2024-03-31 (Price: 90.7)",2026-02-04 (Price: 108.63) (Today),"19.77%, 1.9 year","85.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2024-03-31",Already confirmed,"2026-02-04 (Price: 108.63), 19.77% above",1.9 year,89.33,No Information,No Information,No Information,No Information,No Information,27.35% above/19.77% above/19.77% above,15.31%/2.34%/9.66%,"3.25%, 39.01%",4.4 years/5 months/1.3 year,2030-07-12/2024-11-03/2026-02-06,1.56%,1.67%,-0.11%,1.06,-0.07,100.8131/99.4616/108.69/No Horizontal Resistance/96.895/110.4008/No EMA 200 Target,75.31/54.71/87.7591/80.4653/No F-Track Level/No F-Track Level/81.89,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-06-30 (Price: 78.49)",2026-02-04 (Price: 99.26) (Today),"26.46%, 7.3 months","100.0%, Past 31 years, 8","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-02-04 (Price: 99.26), 26.46% above",7.3 months,77.78,No Information,No Information,No Information,"38.2% (Price: 61.7578), 60.72% above, Upmove Bounce Back","2009-03-31 (Price: 3.125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,2031-05-06/2025-09-29/2027-12-03,8.5%,12.52%,-4.02%,1.5,0.63,99.7058/100.4044/135.41/84.9567/95.0177/123.2166/80.07,67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-04-06 (Price: 34.58)",2026-02-04 (Price: 40.02) (Today),"15.73%, 10.1 months","100.0%, Past 20 years, 11","Weekly, was CONFIRMED on 2025-04-06",Already confirmed,"2026-02-04 (Price: 40.02), 15.73% above",10.1 months,33.0,No Information,No Information,No Information,"38.2% (Price: 32.1618), 24.43% above, Upmove Bounce Back","2023-11-05 (Price: 20.29), 2025-01-26 (Price: 39.5)",No Information,19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,2029-05-27/2025-08-27/2026-10-31,9.13%,8.49%,0.64%,1.13,0.45,37.9688/40.469/46.11/39.1917/40.9296/48.5677/37.01,32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
BAND MATRIX,"BDGI.TO, Long, 2021-07-25 (Price: 34.26)",2026-02-04 (Price: 70.15) (Today),"104.76%, 4.6 years","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2021-07-25",No Cancellation Possible,"2026-02-04 (Price: 70.15), 104.76% above",4.6 years,32.81,No Information,No Information,No Information,No Information,No Information,No Information,76.63%/53.9%/65.26%,"5.91%, 41.44%",1.2 year/1.1 year/1.2 year,2023-04-11/2023-02-18/2023-04-11,12.29%,12.07%,0.22%,0.8,0.59,37.0145/56.6181/46.82/41.625/50.7492/58.0566/59.92,33.04/30.4725/32.7462/29.5827/No F-Track Level/No F-Track Level/No EMA 200 Support,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets)
DELTADRIFT,"BAC, Long, 2026-01-16 (Price: 52.97)",2026-02-04 (Price: 55.38) (Today),"4.55%, 19 days","88.89%, Past 4 years, 18","Daily, was CONFIRMED on 2026-01-16",Already confirmed,"2026-02-04 (Price: 55.38), 4.55% above",19 days,52.69,No Information,No Information,No Information,No Information,No Information,No Information,6.86%/2.52%/4.14%,"10.59%, 11.17%",1.1 month/1 day/10 days,2026-03-04/2026-01-17/2026-01-30,12.65%,7.95%,4.7%,0.51,0.42,56.0846/55.163/55.62/No Horizontal Resistance/72.41/85.2389/No EMA 200 Target,52.48/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/49.26,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
FRACTAL TRACK,"TCEHY, Long, 2025-12-28 (Price: 78.08)",2026-02-04 (Price: 70.68) (Today),"-9.48%, 1.3 month","92.31%, Past 18 years, 13","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2026-02-04 (Price: 70.68), 9.48% below",1.3 month,78.76,No Information,No Information,No Information,"23.66% (Price: 74.7427), 5.44% below, Upmove Bounce Back","2024-02-25 (Price: 33.0), 2025-10-12 (Price: 87.68)",No Information,19.21%/15.1%/17.52%,"9.2%, 60.01%",4 years/21 days/10.7 months,2031-09-13/2026-01-27/2027-04-06,12.94%,13.58%,-0.64%,1.45,0.67,86.6141/91.7596/110.89/No Horizontal Resistance/91.9947/116.3817/No EMA 200 Target,77.81/36.36/76.6795/58.4956/No F-Track Level/No F-Track Level/74.18,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
DELTADRIFT,"HDFCBANK.NS, Long, 2026-01-12 (Price: 936.95)",2026-02-04 (Price: 954.4) (Today),"1.86%, 23 days","81.82%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-12",Already confirmed,"2026-02-04 (Price: 954.4), 1.86% above",23 days,937.5,No Information,No Information,No Information,No Information,No Information,No Information,5.57%/1.67%/2.95%,"8.2%, 8.72%",2.7 months/2 days/26 days,2026-05-09/2026-01-14/2026-02-18,5.13%,4.11%,1.02%,0.21,0.19,974.5217/964.59/969.56/1009.6/1098.0619/1305.7899/977.59,878.85/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"BRK-B, Long, 2026-01-26 (Price: 483.47)",2026-02-04 (Price: 503.83) (Today),"4.21%, 9 days","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-01-26",Already confirmed,"2026-02-04 (Price: 503.83), 4.21% above",9 days,478.47,No Information,No Information,No Information,No Information,No Information,No Information,3.8%/1.42%/2.23%,"7.01%, 7.01%",1.4 month/1 day/11 days,2026-03-27/2026-01-27/2026-02-10,4.18%,10.92%,-6.74%,0.08,0.77,501.8902/494.2514/498.07/512.255/630.85/709.9376/494.46,478.97/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2025-05-31 (Price: 9.16)",2026-02-04 (Price: 9.57) (Today),"4.48%, 8.3 months","88.89%, Past 26 years, 9","Monthly, was CONFIRMED on 2025-05-31",Already confirmed,"2026-02-04 (Price: 9.57), 4.48% above",8.3 months,8.9,No Information,No Information,No Information,"50% (Price: 8.31), 15.16% above, Upmove Bounce Back","2022-06-30 (Price: 6.82), 2024-12-31 (Price: 9.8)",No Information,32.15%/20.49%/23.34%,"1.72%, 36.63%",10.5 years/1 month/2.5 years,2040-05-27/2025-07-13/2028-12-24,6.07%,3.39%,2.68%,1.19,0.12,8.7386/11.2979/10.95/No Horizontal Resistance/11.2606/15.4512/9.21,7.79/6.86/8.6706/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-10-31 (Price: 79.61)",2026-02-04 (Price: 99.26) (Today),"24.68%, 3.2 months","100.0%, Past 31 years, 8","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-02-04 (Price: 99.26), 24.68% above",3.2 months,79.32,No Information,No Information,No Information,"23.66% (Price: 74.8871), 32.55% above, Upmove Bounce Back","1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,2031-09-06/2026-01-30/2028-04-04,8.5%,12.52%,-4.02%,1.5,0.63,101.1286/101.8371/138.22/84.3925/95.0177/123.2166/80.07,67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
DELTADRIFT,"NIFTY_MIDCAP_100.NS, Long, 2026-01-22 (Price: 58191.3008)",2026-02-03 (Price: 59307.1016),"1.92%, 12 days","92.86%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-04 (Price: 59683.6016), 2.56% above",13 days,57962.6016,No Information,No Information,No Information,No Information,No Information,No Information,4.01%/1.72%/2.76%,"7.88%, 9.89%",20 days/2 days/7 days,2026-02-19/2026-01-24/2026-02-01,9.79%,15.36%,-5.57%,0.56,1.16,62538.191/59797.3807/61167.79/59773.5488/69983.5191/76335.2565/58306.6,57423.65/26608.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
