"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"BNS.TO, Long, 2026-02-27 (Price: 103.48)",No Exit Yet,"0.0%, 0 days","100.0%, Past 194 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 101.58 prior to 2026-03-31,"2026-02-27 (Price: 103.48), 0.0% below",0 days,"2, 2022-03-31 (Price: 95.0)",2025-09-30 (Price: 89.99),2026-01-21 (Price: 102.06),150/37/0 days,14.99% above/1.39% above/0.0% below,2022-03-31 (Price: 95.0)/2026-02-27 (Price: 73.3855),22.63%/5.06%/9.45%,"-0.0%, 41.59%",5.1 years/1.5 year/4.2 years,2033-06-07/2028-04-19/2032-02-26,5.69%,6.38%,-0.69%,0.82,0.34,114.1902/113.2589/108.57/No Horizontal Resistance/105.6031/114.0496/No EMA 200 Target,60.88/61.8175/95.6649/90.1456/94.2784/86.8354/88.49,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),101.58
"XLU, Long, 2026-02-27 (Price: 47.73)",No Exit Yet,"0.0%, 0 days","81.25%, Past 20 years, 16","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 43.4165 prior to 2026-02-27,"2026-02-27 (Price: 47.73), 0.0% below",0 days,"4, 2020-02-29 (Price: 35.55)",2026-02-27 (Price: 47.73),2026-02-09 (Price: 43.48),0/18/0 days,0.0% below/9.77% above/0.0% below,2020-02-29 (Price: 35.55)/2026-02-27 (Price: 43.2005),13.3%/1.41%/7.12%,"27.25%, 40.67%",3.4 years/5.1 months/1.6 year,2031-01-04/2026-10-06/2028-06-10,2.88%,2.86%,0.02%,-0.05,0.05,51.2668/51.1284/55.04/No Horizontal Resistance/60.8844/89.6256/No EMA 200 Target,29.46/29.8725/43.1213/32.1431/42.966/39.9984/42.99,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),43.3
"XLE, Long, 2026-02-27 (Price: 55.92)",No Exit Yet,"0.0%, 0 days","84.62%, Past 20 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 50.1 prior to 2026-02-27,"2026-02-27 (Price: 55.92), 0.0% below",0 days,"0, 2022-06-30 (Price: 46.655)",2026-01-31 (Price: 51.05),2026-02-03 (Price: 51.67),27/24/0 days,9.54% above/8.23% above/0.0% below,2022-06-30 (Price: 46.655)/2026-02-27 (Price: 46.3737),39.5%/7.86%/23.13%,"28.83%, 62.76%",4.8 years/10.1 months/1.8 year,2033-01-03/2027-05-11/2028-09-22,6.1%,3.44%,2.66%,0.63,0.15,61.0982/68.8543/61.48/No Horizontal Resistance/53.4027/56.9104/No EMA 200 Target,40.25/22.8475/47.8423/43.779/45.5678/39.0677/45.16,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),50.1
"DIA, Long, 2026-02-27 (Price: 489.66)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 19","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 488.87 prior to 2026-02-27,"2026-02-27 (Price: 489.66), 0.0% below",0 days,"0, 2001-05-31 (Price: 113.64)",2026-01-31 (Price: 489.03),2026-02-27 (Price: 489.66),27/0/0 days,0.13% above/0.0% below/0.0% below,2001-05-31 (Price: 113.64)/2026-02-27 (Price: 484.37),12.39%/4.81%/9.01%,"-0.0%, 49.08%",2.6 years/8.1 months/1.4 year,2029-11-13/2027-02-13/2028-02-25,1.42%,4.44%,-3.02%,2.35,0.21,528.2452/533.7784/715.27/No Horizontal Resistance/508.5373/687.3389/No EMA 200 Target,406.34/321.6725/398.0316/329.7358/472.4173/452.2096/462.04,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),488.87
"ENZL, Long, 2026-02-27 (Price: 47.4776)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 47.08 prior to 2026-02-27,"2026-02-27 (Price: 47.4776), 0.0% below",0 days,"2, 2024-09-30 (Price: 50.41)",2026-02-27 (Price: 47.4776),2026-02-25 (Price: 47.1645),0/2/0 days,0.0% below/0.66% above/0.0% below,2024-09-30 (Price: 50.41)/2026-02-27 (Price: 46.3954),18.88%/13.45%/17.07%,"-0.0%, 22.82%",1.5 year/1 year/1.2 year,2028-04-19/2027-08-02/2027-11-14,5.75%,1.82%,3.93%,1.1,-0.01,47.0218/55.582/49.24/65.1933/78.3229/93.1188/No EMA 200 Target,42.08/39.215/No F-Stack Support/No F-Stack Support/No support/No support/45.77,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),47.08
"IWM, Long, 2026-02-27 (Price: 261.41)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 247.63 prior to 2026-03-31,"2026-02-27 (Price: 261.41), 0.0% below",0 days,"2, 2021-12-31 (Price: 244.46)",2025-12-31 (Price: 246.16),2026-01-02 (Price: 248.78),58/56/0 days,6.2% above/5.08% above/0.0% below,2021-12-31 (Price: 244.46)/2026-02-27 (Price: 245.1967),22.48%/22.48%/22.48%,"-0.0%, 49.28%",1 year/1 year/1 year,2027-08-02 (Max),2.77%,4.51%,-1.74%,0.75,0.21,244.7843/320.175/271.58/No Horizontal Resistance/270.9222/282.5179/No EMA 200 Target,164.92/162.3167/245.3626/196.8345/247.9708/233.4497/237.81,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),247.63
"BYD.TO, Long, 2026-02-27 (Price: 238.09)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 221.66 prior to 2026-02-27,"2026-02-27 (Price: 238.09), 0.0% below",0 days,"2, 2024-02-29 (Price: 324.75)",2026-01-31 (Price: 223.17),2026-02-26 (Price: 240.82),27/1/0 days,6.69% above/1.13% below/0.0% below,2024-02-29 (Price: 324.75)/2026-02-27 (Price: 213.2612),21.68%/5.8%/10.67%,"-0.0%, 33.29%",1.1 year/5.1 months/9.8 months,2027-09-23/2026-10-06/2027-04-28,14.79%,10.47%,4.32%,1.34,0.52,364.111/263.4942/290.09/256.6133/325.4281/346.2134/No EMA 200 Target,192.05/188.685/232.1757/215.4728/No support/No support/219.24,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),221.66
"NA.TO, Long, 2026-02-27 (Price: 190.37)",No Exit Yet,"0.0%, 0 days","100.0%, Past 43 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 172.8 prior to 2026-03-31,"2026-02-27 (Price: 190.37), 0.0% below",0 days,"0, 1995-12-31 (Price: 6.0)",2025-12-31 (Price: 172.61),2026-02-13 (Price: 174.78),58/14/0 days,10.29% above/8.92% above/0.0% below,1995-12-31 (Price: 6.0)/2026-02-27 (Price: 156.19),41.25%/20.33%/29.84%,"0%, 21.01%",3.6 years/1.8 year/2.5 years,2031-04-19/2028-09-22/2029-09-22,7.2%,8.31%,-1.11%,3.17,0.49,242.8169/247.1764/300.99/No Horizontal Resistance/185.717/204.2705/No EMA 200 Target,54.39/82.9367/162.0277/152.3147/173.1163/160.4607/154.27,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),172.8
"EWJ, Long, 2026-02-27 (Price: 92.37)",No Exit Yet,"0.0%, 0 days","71.43%, Past 20 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 85.3619 prior to 2026-02-27,"2026-02-27 (Price: 92.37), 0.0% below",0 days,"4, 2001-05-31 (Price: 46.88)",2026-01-31 (Price: 85.72),2026-01-29 (Price: 86.09),27/29/0 days,7.76% above/7.29% above/0.0% below,2001-05-31 (Price: 46.88)/2026-02-27 (Price: 84.9372),18.23%/6.32%/9.77%,"17.76%, 22.9%",2.4 years/5 months/1.8 year,2029-08-01/2026-10-02/2028-09-22,4.29%,2.12%,2.17%,0.28,-0.01,93.4784/101.3945/119.66/No Horizontal Resistance/88.5172/96.0119/No EMA 200 Target,67.1/53.915/83.8122/78.3516/83.245/76.4635/80.22,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),85.33
"ABNB, Long, 2026-02-26 (Price: 136.97)",No Exit Yet,"-1.36%, 1 day","90.48%, Past 4 years, 21","Daily, is CONFIRMED on 2026-02-26",Already confirmed,"2026-02-27 (Price: 135.11), 1.36% below",1 day,"2, 2026-01-09 (Price: 141.4)",2026-02-24 (Price: 125.66),2026-02-26 (Price: 136.97),3/1/1 days,7.52% above/1.36% below/1.36% below,2026-01-09 (Price: 141.4)/2026-02-26 (Price: 123.736),11.1%/1.63%/5.0%,"39.55%, 57.01%",3.7 months/6 days/1.1 month,2026-08-05/2026-03-06/2026-04-14,11.27%,-2.36%,13.63%,0.14,0.07,136.8193/143.8185/139.63/178.025/223.5359/232.9937/No EMA 200 Target,115.96/99.795/124.5998/No support/No F-Track Level/No F-Track Level/128.58,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),132.195
"^NZ50, Long, 2026-02-26 (Price: 13537.6299)",No Exit Yet,"1.37%, 1 day","84.62%, Past 4 years, 13","Daily, is CONFIRMED on 2026-02-26",Already confirmed,"2026-02-27 (Price: 13722.9697), 1.37% above",1 day,"2, 2026-01-09 (Price: 13752.6299)",2026-02-24 (Price: 13386.3799),2026-02-26 (Price: 13537.6299),3/1/1 days,2.51% above/1.37% above/1.37% above,2026-01-09 (Price: 13752.6299)/2026-02-26 (Price: 13454.0484),2.56%/0.14%/1.13%,"9.56%, 19.48%",1.6 month/7 days/18 days,2026-05-06/2026-03-08/2026-03-24,3.44%,1.45%,1.99%,0.03,-0.11,13859.8255/13690.6051/13666.63/No Horizontal Resistance/14773.8816/17170.3822/No EMA 200 Target,13082.85/10608.2731/12904.4271/10062.5272/No F-Track Level/No F-Track Level/13142.23,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),13525.5801
"ENZL, Long, 2026-02-25 (Price: 47.1645)",No Exit Yet,"0.66%, 2 days","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2026-02-25",Already confirmed,"2026-02-27 (Price: 47.4776), 0.66% above",2 days,"0, 2021-08-04 (Price: 62.37)",2026-02-23 (Price: 45.9335),2026-02-25 (Price: 47.1645),4/2/2 days,3.36% above/0.66% above/0.66% above,2021-08-04 (Price: 62.37)/2026-02-25 (Price: 46.0434),5.17%/0.29%/1.78%,"10.32%, 33.2%",1.9 month/6 days/19 days,2026-05-18/2026-03-05/2026-03-24,-4.35%,-2.2%,-2.15%,0.15,-0.21,47.4994/48.004/56.29/65.1933/79.7363/84.688/No EMA 200 Target,44.9/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.75,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),46.83
"USCI, Long, 2026-02-25 (Price: 84.6)",No Exit Yet,"0.92%, 2 days","100.0%, Past 4 years, 14","Daily, is CONFIRMED on 2026-02-25",Already confirmed,"2026-02-27 (Price: 85.38), 0.92% above",2 days,"8, 2024-05-29 (Price: 63.72)",2026-02-23 (Price: 83.3133),2026-02-25 (Price: 84.6),4/2/2 days,2.48% above/0.92% above/0.92% above,2024-05-29 (Price: 63.72)/2026-02-25 (Price: 83.3151),3.77%/0.89%/2.27%,"0%, 7.84%",3.2 months/6 days/1 month,2026-07-14/2026-03-05/2026-04-09,9.0%,11.01%,-2.01%,1.78,0.74,89.05/86.5204/97.13/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,79.86/38.42/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/77.0,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),84.18
"DOL.TO, Long, 2026-02-24 (Price: 196.37)",No Exit Yet,"2.27%, 3 days","100.0%, Past 4 years, 31","Daily, is CONFIRMED on 2026-02-24",Already confirmed,"2026-02-27 (Price: 200.82), 2.27% above",3 days,"2, 2025-12-11 (Price: 209.96)",2026-02-23 (Price: 195.69),2026-02-24 (Price: 196.37),4/3/3 days,2.62% above/2.27% above/2.27% above,2025-12-11 (Price: 209.96)/2026-02-24 (Price: 192.3528),10.12%/0.29%/3.65%,"0%, 13.61%",4 months/6 days/1.1 month,2026-08-16/2026-03-04/2026-04-12,18.43%,18.99%,-0.56%,1.15,1.18,203.7731/203.5375/204.52/197.56/294.0831/455.769/No EMA 200 Target,183.5/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/189.15,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),195.43
"AIA.NZ, Long, 2026-02-23 (Price: 8.95)",No Exit Yet,"2.35%, 4 days","82.05%, Past 4 years, 39","Daily, is CONFIRMED on 2026-02-23",Already confirmed,"2026-02-27 (Price: 9.16), 2.35% above",4 days,"2, 2024-10-09 (Price: 7.5)",2026-02-20 (Price: 8.88),2026-02-23 (Price: 8.95),7/4/4 days,3.15% above/2.35% above/2.35% above,2024-10-09 (Price: 7.5)/2026-02-23 (Price: 8.7059),8.49%/0.39%/3.87%,"6.37%, 18.81%",4.7 months/7 days/1.1 month,2026-09-15/2026-03-05/2026-04-11,10.6%,-0.09%,10.69%,0.66,-0.03,9.4252/9.2964/9.82/No Horizontal Resistance/11.1706/12.8535/No EMA 200 Target,8.13/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/7.94,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),8.85
"TSM, Long, 2026-02-22 (Price: 370.54)",No Exit Yet,"1.09%, 5 days","100.0%, Past 10 years, 19","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-27 (Price: 374.58), 1.09% above",5 days,"2, 2016-04-03 (Price: 26.62)",2026-02-22 (Price: 370.54),2026-02-20 (Price: 370.54),5/7/5 days,1.09% above/1.09% above/1.09% above,2016-04-03 (Price: 26.62)/2026-02-22 (Price: 364.3362),40.88%/4.38%/14.52%,"0%, 31.75%",8.9 months/28 days/3.6 months,2027-03-15/2026-04-03/2026-07-28,14.91%,16.6%,-1.69%,1.65,0.88,427.8255/424.3424/576.89/No Horizontal Resistance/334.306/350.4755/No EMA 200 Target,275.06/83.575/272.4436/230.123/No F-Track Level/No F-Track Level/268.3,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),361.865
"CNR.TO, Long, 2026-02-22 (Price: 151.19)",No Exit Yet,"1.24%, 5 days","88.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-27 (Price: 153.07), 1.24% above",5 days,"2, 2016-03-20 (Price: 82.04)",2026-02-15 (Price: 146.42),2026-02-22 (Price: 151.19),12/5/5 days,4.54% above/1.24% above/1.24% above,2016-03-20 (Price: 82.04)/2026-02-22 (Price: 142.0066),10.37%/1.53%/6.76%,"5.75%, 17.25%",1.3 year/1.2 month/5 months,2027-12-31/2026-04-15/2026-09-27,8.06%,6.5%,1.56%,1.1,0.37,160.6091/161.4104/192.68/167.5729/218.156/349.4971/No EMA 200 Target,130.99/127.536/136.9828/86.815/No F-Track Level/No F-Track Level/136.36,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),146.74
