Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-03-31 (Price: 39.425)",2026-01-27 (Price: 43.184) (Today),"9.53%, 10.1 months","92.31%, Past 27 years, 13","Monthly, was CONFIRMED on 2025-03-31",Already confirmed,"2026-01-27 (Price: 43.184), 9.53% above",10.1 months,39.57,No Information,No Information,No Information,"23.66% (Price: 36.9765), 16.79% above, Upmove Bounce Back","2020-03-31 (Price: 21.72), 2024-11-30 (Price: 41.705)",No Information,21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,2033-09-01/2026-07-26/2027-09-03,5.35%,2.87%,2.48%,1.11,0.06,40.9429/45.1535/51.42/41.0733/49.4858/72.2363/42.36,29.46/29.76/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-08-31 (Price: 570.4)",2026-01-27 (Price: 631.37) (Today),"10.69%, 5 months","100.0%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-01-27 (Price: 631.37), 10.69% above",5 months,558.83,No Information,No Information,No Information,No Information,No Information,10.69% above/10.69% above/10.69% above,16.45%/5.89%/12.27%,"-0.0%, 33.07%",10.2 months/5 months/7.4 months,2026-11-17/2026-04-05/2026-07-18,8.4%,6.82%,1.58%,1.2,0.37,649.1722/640.3881/735.71/No Horizontal Resistance/610.7303/836.2536/No EMA 200 Target,468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/518.49,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets)
TRENDPULSE,"XIU.TO, Long, 2025-08-31 (Price: 42.76)",2026-01-27 (Price: 48.24) (Today),"12.82%, 5 months","76.92%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-01-27 (Price: 48.24), 12.82% above",5 months,40.71,No Information,No Information,No Information,No Information,No Information,12.82% above/12.82% above/12.82% above,12.69%/8.05%/10.4%,"6.95%, 19.49%",1.2 year/4 months/8.4 months,2027-05-18/2026-02-20/2026-08-31,6.01%,3.56%,2.45%,0.45,0.12,47.0446/47.207/53.49/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,28.76/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/38.98,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets)
TRENDPULSE,"ASML, Long, 2024-01-31 (Price: 869.82)",2026-01-27 (Price: 1458.765) (Today),"67.71%, 2 years","93.33%, Past 20 years, 15","Monthly, is CONFIRMED on 2024-01-31",Already confirmed,"2026-01-27 (Price: 1458.765), 67.71% above",2 years,730.0,No Information,No Information,No Information,No Information,No Information,67.71% above/67.71% above/67.71% above,42.83%/5.07%/18.51%,"28.83%, 59.07%",1.4 year/5.1 months/1 year,2026-01-28/2024-09-08/2025-07-05,8.92%,10.16%,-1.24%,0.75,0.49,1035.4337/1030.8237/1286.69/888.525/1034.6774/1091.1724/No EMA 200 Target,588.66/188.78/832.8601/749.8177/No F-Track Level/No F-Track Level/678.52,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets)
FRACTAL TRACK,"MAR, Long, 2025-11-16 (Price: 285.72)",2026-01-27 (Price: 314.17) (Today),"9.96%, 2.4 months","100.0%, Past 20 years, 22","Weekly, was CONFIRMED on 2025-11-16",Already confirmed,"2026-01-27 (Price: 314.17), 9.96% above",2.4 months,292.12,No Information,No Information,No Information,"50% (Price: 256.035), 22.71% above, Upmove Bounce Back","2024-08-11 (Price: 204.55), 2025-02-09 (Price: 307.52)",No Information,23.39%/8.05%/16.44%,"-0.0%, 61.32%",3 years/21 days/8 months,2030-02-27/2025-12-16/2026-10-29,13.69%,8.26%,5.43%,2.62,0.41,300.3774/332.6924/347.5/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/274.42,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets)
FRACTAL TRACK,"IWM, Long, 2025-06-30 (Price: 215.79)",2026-01-27 (Price: 263.425) (Today),"22.07%, 7 months","88.89%, Past 25 years, 9","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-27 (Price: 263.425), 22.07% above",7 months,205.32,No Information,No Information,No Information,"88.6% (Price: 171.1673), 53.9% above, Upmove Bounce Back","2023-10-31 (Price: 161.67), 2024-11-30 (Price: 244.98)",No Information,25.23%/12.67%/20.64%,"34.06%, 36.6%",1.9 year/5 months/1.1 year,2028-03-16/2026-02-02/2027-01-24,7.1%,4.62%,2.48%,0.69,0.22,238.8148/260.3291/265.78/244.72/267.7701/348.4025/230.1,194.86/162.3167/209.2101/157.2742/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets)
TRENDPULSE,"AAPL, Long, 2024-09-30 (Price: 233.0)",2026-01-27 (Price: 260.17) (Today),"11.66%, 1.3 year","100.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2026-01-27 (Price: 260.17), 11.66% above",1.3 year,228.55,No Information,No Information,No Information,No Information,No Information,11.66% above/11.66% above/11.66% above,49.66%/12.62%/21.67%,"-0.0%, 40.56%",2.5 years/5.1 months/10.5 months,2028-04-25/2025-05-09/2025-12-30,17.77%,21.49%,-3.72%,2.41,1.03,338.9451/283.4911/275.29/No Horizontal Resistance/294.7231/309.0801/No EMA 200 Target,170.33/136.9225/189.8723/119.0319/No F-Track Level/No F-Track Level/197.37,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets)
FRACTAL TRACK,"PPH, Long, 2025-06-30 (Price: 87.96)",2026-01-27 (Price: 107.9194) (Today),"22.69%, 7 months","90.0%, Past 26 years, 10","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-27 (Price: 107.9194), 22.69% above",7 months,87.83,No Information,No Information,No Information,"38.2% (Price: 78.775), 37.0% above, Upmove Bounce Back","2015-08-31 (Price: 45.23), 2024-09-30 (Price: 99.51)",No Information,23.88%/20.36%/21.19%,"1.09%, 37.34%",6.1 years/10.1 months/3.2 years,2034-03-15/2026-09-11/2030-01-23,4.29%,2.59%,1.7%,1.41,0.03,101.4091/106.5987/120.53/No Horizontal Resistance/100.0174/110.4008/92.02,86.28/65.915/87.7591/70.617/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets)
FRACTAL TRACK,"DOL.TO, Long, 2026-01-12 (Price: 202.08)",2026-01-27 (Price: 189.88) (Today),"-6.04%, 15 days","85.19%, Past 5 years, 27","Daily, was CONFIRMED on 2026-01-12",Already confirmed,"2026-01-27 (Price: 189.88), 6.04% below",15 days,199.44,No Information,No Information,No Information,"23.66% (Price: 201.5134), 5.77% below, Upmove Bounce Back","2025-10-14 (Price: 174.26), 2025-12-11 (Price: 209.96)",No Information,11.74%/1.29%/9.03%,"4.51%, 11.58%",8.3 months/20 days/3 months,2027-01-07/2026-02-09/2026-05-22,30.23%,20.61%,9.62%,1.18,1.4,210.7492/220.3278/223.5/No Horizontal Resistance/294.0831/455.769/No EMA 200 Target,198.0/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/187.11,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
FRACTAL TRACK,"ASML, Long, 2025-10-31 (Price: 1059.23)",2026-01-27 (Price: 1458.765) (Today),"37.72%, 2.9 months","92.31%, Past 30 years, 13","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-01-27 (Price: 1458.765), 37.72% above",2.9 months,965.61,No Information,No Information,No Information,"38.2% (Price: 692.3064), 110.71% above, Upmove Bounce Back","2008-11-30 (Price: 16.4156), 2024-07-31 (Price: 1110.09)",No Information,30.95%/20.8%/23.81%,"6.56%, 49.5%",2.6 years/1 month/8.9 months,2029-07-17/2025-12-13/2026-11-21,12.71%,13.9%,-1.19%,1.74,0.62,1226.5883/1311.4327/1715.43/No Horizontal Resistance/1091.1724/1155.2236/No EMA 200 Target,662.63/561.385/1034.6774/832.8601/No F-Track Level/No F-Track Level/896.4,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets)
TRENDPULSE,"MTY.TO, Long, 2026-01-07 (Price: 40.04)",2026-01-26 (Price: 42.91),"7.17%, 19 days","96.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-01-07",Already confirmed,"2026-01-27 (Price: 42.34), 5.74% above",20 days,39.7,No Information,No Information,No Information,No Information,No Information,5.77% above/5.74% above/5.74% above,7.25%/0.53%/3.58%,"0.46%, 22.19%",2.6 months/7 days/21 days,2026-04-29/2026-01-17/2026-02-06,16.78%,-4.47%,21.25%,1.28,-0.0,41.8178/41.4734/47.83/72.5033/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,37.0/37.115/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/39.27,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
DELTADRIFT,"AAPL, Long, 2026-01-22 (Price: 248.35)",2026-01-26 (Price: 255.41),"2.84%, 4 days","90.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-01-27 (Price: 260.17), 4.76% above",5 days,249.2,No Information,No Information,No Information,No Information,No Information,No Information,6.6%/3.13%/3.95%,"4.88%, 13.99%",2.3 months/2 days/23 days,2026-05-01/2026-01-24/2026-02-24,8.79%,8.71%,0.08%,0.77,0.46,258.7559/258.1598/258.46/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,246.7/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/235.75,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets)
TRENDPULSE,"^BVSP, Long, 2026-01-15 (Price: 165568.0)",2026-01-26 (Price: 178721.0),"7.94%, 11 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-15",Already confirmed,"2026-01-27 (Price: 183033.5938), 10.55% above",12 days,165180.0,No Information,No Information,No Information,No Information,No Information,10.83% above/10.55% above/10.55% above,5.29%/0.69%/2.87%,"1.68%, 18.35%",5.9 months/7 days/1 month,2026-09-28/2026-01-25/2026-02-27,10.46%,4.14%,6.32%,1.7,0.2,175601.4208/170319.8016/171680.2/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,157327.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/143125.97,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
BAND MATRIX,"TCS.NS, Long, 2022-05-22 (Price: 3293.0)",2026-01-25 (Price: 3162.5),"-3.96%, 3.7 years","100.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2022-05-22",No Cancellation Possible,"2026-01-27 (Price: 3158.0), 4.1% below",3.7 years,3415.0,No Information,No Information,No Information,No Information,No Information,No Information,60.23%/7.63%/25.48%,"-0.0%, 23.27%",2.1 years/5.1 months/1 year,2025-05-21/2022-12-29/2023-10-25,11.64%,8.39%,3.25%,0.89,0.46,3734.262/4132.0564/3933.16/4016.45/4192.8996/5692.579/No EMA 200 Target,3167.45/1228.9625/3006.8346/2637.2425/No F-Track Level/No F-Track Level/3216.36,100.0%/5/0 days (Across ALL Assets),80.68%/88/0 days (Across ALL Assets)
TRENDPULSE,"XLE, Long, 2025-10-26 (Price: 44.035)",2026-01-25 (Price: 49.19),"11.71%, 3 months","72.22%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2026-01-27 (Price: 49.345), 12.06% above",3.1 months,43.065,No Information,No Information,No Information,No Information,No Information,14.78% above/12.06% above/12.06% above,16.62%/0.85%/7.33%,"27.58%, 58.07%",7.9 months/28 days/2.5 months,2026-10-04/2025-12-05/2026-02-11,4.71%,1.43%,3.28%,-0.1,0.05,47.4081/47.2628/46.79/49.2225/53.4428/58.8712/No EMA 200 Target,42.61/22.8475/37.0707/26.9521/No F-Track Level/No F-Track Level/43.51,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets)
DELTADRIFT,"PG, Long, 2025-12-21 (Price: 144.46)",2026-01-25 (Price: 150.15),"3.94%, 1.2 month","100.0%, Past 15 years, 6","Weekly, was CONFIRMED on 2025-12-21",Already confirmed,"2026-01-27 (Price: 148.15), 2.55% above",1.2 month,143.27,No Information,No Information,No Information,No Information,No Information,No Information,9.64%/3.16%/5.18%,"0%, 10.64%",6.8 months/7 days/1.9 month,2026-10-12/2025-12-31/2026-03-13,6.41%,4.09%,2.32%,2.17,0.17,152.5642/151.943/152.25/179.4533/186.6499/209.3631/154.26,142.84/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,94.87%/39/0 days (Across ALL Assets),87.5%/112/0 days (Across ALL Assets)
TRENDPULSE,"TSM, Long, 2025-10-05 (Price: 292.19)",2026-01-25 (Price: 334.87),"14.61%, 3.7 months","100.0%, Past 10 years, 21","Weekly, is CONFIRMED on 2025-10-03",Already confirmed,"2026-01-27 (Price: 338.8), 15.95% above",3.8 months,276.49,No Information,No Information,No Information,No Information,No Information,27.91% above/15.95% above/15.95% above,24.83%/4.38%/11.82%,"-0.0%, 31.75%",8.9 months/28 days/3.4 months,2026-10-26/2025-11-14/2026-03-01,13.85%,15.73%,-1.88%,1.66,0.83,333.0089/326.7269/355.09/No Horizontal Resistance/334.306/349.9895/No EMA 200 Target,146.8/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/209.36,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets)
TRENDPULSE,"^BVSP, Long, 2025-11-16 (Price: 157739.0)",2026-01-25 (Price: 178859.0),"13.39%, 2.3 months","100.0%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2026-01-27 (Price: 183033.5938), 16.04% above",2.4 months,154061.0,No Information,No Information,No Information,No Information,No Information,18.8% above/16.04% above/16.04% above,10.65%/0.93%/5.61%,"-0.0%, 43.39%",1.1 year/28 days/3.4 months,2027-06-12/2025-12-26/2026-04-12,7.52%,4.03%,3.49%,2.1,0.18,165058.0896/166588.1579/177361.4/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,132437.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/136771.08,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets)
TRENDPULSE,"^TNX, Long, 2025-12-15 (Price: 4.182)",2026-01-23 (Price: 4.239),"1.36%, 1.3 month","90.62%, Past 4 years, 32","Daily, is CONFIRMED on 2025-12-15",Already confirmed,"2026-01-27 (Price: 4.213), 0.74% above",1.4 month,4.17,No Information,No Information,No Information,No Information,No Information,1.74% above/0.74% above/0.74% above,14.35%/1.59%/5.42%,"7.92%, 30.24%",2.1 months/6 days/19 days,2026-03-16/2025-12-23/2026-01-11,26.36%,9.62%,16.74%,0.75,0.51,4.7052/4.4087/4.23/4.6918/17.4008/18.8284/4.24,4.0/1.6875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
DELTADRIFT,"MSFT, Long, 2026-01-20 (Price: 454.52)",2026-01-23 (Price: 465.95),"2.51%, 3 days","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-01-20",Already confirmed,"2026-01-27 (Price: 477.81), 5.12% above",7 days,451.22,No Information,No Information,No Information,No Information,No Information,No Information,5.23%/2.02%/3.62%,"8.2%, 14.53%",2.4 months/1 day/13 days,2026-05-04/2026-01-21/2026-02-07,4.97%,9.3%,-4.33%,0.11,0.5,476.6097/470.9736/473.79/554.585/553.3726/615.9924/484.99,450.18/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets)
TRENDPULSE,"WPM, Long, 2026-01-15 (Price: 135.5)",2026-01-23 (Price: 146.16),"7.87%, 8 days","96.3%, Past 4 years, 27","Daily, is CONFIRMED on 2026-01-15",Already confirmed,"2026-01-27 (Price: 145.83), 7.62% above",12 days,131.63,No Information,No Information,No Information,No Information,No Information,7.62% above/7.62% above/7.62% above,15.63%/1.33%/6.3%,"14.18%, 36.59%",3.8 months/4 days/1.3 month,2026-06-29/2026-01-20/2026-03-12,22.59%,17.13%,5.46%,1.09,0.81,146.0148/144.0365/157.24/No Horizontal Resistance/131.4439/145.6176/No EMA 200 Target,104.96/38.3375/98.515/93.6878/No F-Track Level/No F-Track Level/97.95,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
