Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Exit Signal Date/Price[$],"Current Trading Date/Price[$], Current Price vs Signal]","Win Rate [%], History Tested, Number of Trades",Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Current Mark to Market and Holding Period,"Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-11-10 (Price: 316.89)",Daily,No Price Target,2025-11-15 (Earliest),No Exit Yet,"2025-11-18 (Price: 299.41), 5.52% below","97.62%, Past 4 years, 42",7.02%/9.86%,"-5.52%, 6 days",10.64%/1.12%/4.24%,330.3261 (Avg % Gain of Historic Winning trades)/403.26 (Exit Rule)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/350.6071 (Backtested Best)/320.4392 (Backtested Worst)/330.3261 (Backtested Avg),2026-02-20 (Farthest)/2025-12-07 (Avg),"-5.52%, 6 days","Daily, is CONFIRMED on 2025-11-10",Already confirmed,"2025-11-18 (Price: 299.41), 5.52% below",6 days,No Information,No Information,No Information,No Information,No Information,4.71% below/5.52% below/5.52% below,"2.79%, 16.83%",71 days/4 days/19 days,2026-02-20/2025-11-15/2025-12-07,52.95%,15.43%,37.52%,1.31,0.55,319.0449/330.3261/403.26/No Horizontal Resistance/328.9175/381.492,294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level,306.49/276.27,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"ORCL, Long, 2025-11-10 (Price: 240.83)",Daily,No Price Target,2025-11-14 (Earliest)/2025-11-20 (Avg),No Exit Yet,"2025-11-18 (Price: 220.49), 8.45% below","71.43%, Past 4 years, 7",11.23%/12.6%,"-8.45%, 6 days",4.11%/1.84%/3.09%,271.7285 (Historic Rise or Fall to Pivot)/248.2716 (Avg % Gain of Historic Winning trades)/260.0 (Exit Rule)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/250.7281 (Backtested Best)/245.2613 (Backtested Worst)/248.2716 (Backtested Avg),2025-12-08 (Farthest)/2025-11-20 (Avg),"-8.45%, 6 days","Daily, was CONFIRMED on 2025-11-10",Already confirmed,"2025-11-18 (Price: 220.49), 8.45% below",6 days,No Information,No Information,No Information,No Information,No Information,No Information,"17.33%, 17.33%",20 days/3 days/7 days,2025-12-08/2025-11-14/2025-11-20,-5.14%,28.08%,-33.22%,-0.21,0.86,271.7285/248.2716/260.0/No Horizontal Resistance/300.069/376.1425,239.26/82.7925/233.7381/208.7793/No F-Track Level/No F-Track Level,278.72/209.97,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
DELTADRIFT,"META, Long, 2025-11-10 (Price: 631.76)",Daily,No Price Target,2025-11-20 (Avg),No Exit Yet,"2025-11-18 (Price: 597.69), 5.39% below","75.0%, Past 4 years, 8",9.16%/14.93%,"-5.39%, 6 days",14.76%/3.27%/8.73%,698.2212 (Historic Rise or Fall to Pivot)/686.9126 (Avg % Gain of Historic Winning trades)/692.57 (Exit Rule)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/725.0078 (Backtested Best)/652.4186 (Backtested Worst)/686.9126 (Backtested Avg),2025-12-04 (Farthest)/2025-11-20 (Avg),"-5.39%, 6 days","Daily, was CONFIRMED on 2025-11-10",Already confirmed,"2025-11-18 (Price: 597.69), 5.39% below",6 days,No Information,No Information,No Information,No Information,No Information,No Information,"19.19%, 19.41%",17 days/1 days/7 days,2025-12-04/2025-11-11/2025-11-20,6.71%,17.48%,-10.77%,0.15,0.58,698.2212/686.9126/692.57/No Horizontal Resistance/842.484/1305.5879,618.94/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level,707.36/676.52,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
OSCILLATOR DELTA,"MTY.TO, Long, 2025-11-10 (Price: 34.02)",Daily,No Price Target,No Date Target,2025-11-17 (Price: 38.27),"2025-11-18 (Price: 35.38), 4.0% above","72.97%, Past 6 years, 37",14.98%/104.93%,"4.0%, 6 days",19.58%/5.02%/7.99%,72.5033 (Horizontal)/40.6811 (Backtested Best),2026-03-13 (Farthest)/2025-12-29 (Avg),"12.49%, 5 days","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,"2025-11-18 (Price: 35.38), 4.0% above",6 days,No Information,No Information,No Information,No Information,No Information,No Information,"11.8%, 23.15%",85 days/1 days/34 days,2026-03-13/2025-11-11/2025-12-29,-4.6%,-6.94%,2.34%,-0.06,-0.03,34.5745/36.7382/35.72/72.5033/No Next Fib Ext/No Next Fib Ext,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,36.25/40.47,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
OSCILLATOR DELTA,"META, Long, 2025-11-10 (Price: 631.76)",Daily,No Price Target,2025-11-14 (Earliest),No Exit Yet,"2025-11-18 (Price: 597.69), 5.39% below","72.41%, Past 6 years, 29",10.99%/11.08%,"-5.39%, 6 days",9.21%/5.09%/7.57%,679.5842 (Avg % Gain of Historic Winning trades)/663.35 (Exit Rule)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/689.9451 (Backtested Best)/663.9166 (Backtested Worst)/679.5842 (Backtested Avg),2025-12-13 (Farthest)/2025-11-24 (Avg),"-5.39%, 6 days","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,"2025-11-18 (Price: 597.69), 5.39% below",6 days,No Information,No Information,No Information,No Information,No Information,No Information,"24.1%, 28.78%",23 days/3 days/10 days,2025-12-13/2025-11-14/2025-11-24,-75.0%,21.72%,-96.72%,-0.28,0.69,619.1248/679.5842/663.35/No Horizontal Resistance/842.484/1305.5879,No Recent Minima/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level,707.36/676.52,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
DELTADRIFT,"ATD.TO, Long, 2025-11-06 (Price: 69.75)",Daily,No Price Target,2025-11-16 (Avg),No Exit Yet,"2025-11-18 (Price: 69.51), 0.34% below","90.0%, Past 4 years, 10",2.34%/3.52%,"-0.34%, 8 days",4.29%/1.99%/3.16%,76.8505 (Historic Rise or Fall to Pivot)/71.9541 (Avg % Gain of Historic Winning trades)/74.4 (Exit Rule)/85.51 (Horizontal)/85.3936 (F-Stack 1)/96.14 (F-Stack 2)/72.7423 (Backtested Best)/71.138 (Backtested Worst)/71.9541 (Backtested Avg),2026-01-05 (Farthest),"-0.34%, 8 days","Daily, was CONFIRMED on 2025-11-06",Already confirmed,"2025-11-18 (Price: 69.51), 0.34% below",8 days,No Information,No Information,No Information,No Information,No Information,No Information,"7.87%, 8.49%",42 days/1 days/7 days,2026-01-05/2025-11-07/2025-11-16,10.18%,9.13%,1.05%,0.58,0.34,76.8505/71.9541/74.4/85.51/85.3936/96.14,68.8/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level,72.49/71.46,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
FRACTAL TRACK,"BTC-USD, Long, 2025-11-06 (Price: 101301.2891)",Daily,No Price Target,2025-11-13 (Earliest),No Exit Yet,"2025-11-17 (Price: 92093.875), 9.09% below","93.75%, Past 5 years, 64",28.18%/32.59%,"-9.09%, 7 days",133.41%/2.6%/33.78%,135520.8646 (Avg % Gain of Historic Winning trades)/118048.41 (Exit Rule)/124582.2656 (Horizontal)/122105.3521 (F-Stack 1)/133759.1807 (F-Stack 2)/236447.3389 (Backtested Best)/135520.8646 (Backtested Avg),2028-03-24 (Farthest)/2026-06-08 (Avg),"-9.09%, 7 days","Daily, was CONFIRMED on 2025-11-06",Already confirmed,"2025-11-17 (Price: 92093.875), 9.09% below",7 days,No Information,No Information,No Information,"88.6% (Price: 101468.156), 9.24% below, Upmove Bounce Back","2025-06-22 (Price: 98286.2031), 2025-10-06 (Price: 126198.0703)",No Information,"10.03%, 72.69%",600 days/5 days/148 days,2028-03-24/2025-11-13/2026-06-08,16.74%,49.32%,-32.58%,0.38,0.92,104988.656/135520.8646/118048.41/124582.2656/122105.3521/133759.1807,100987.14/18304.4229/88987.7198/76786.0499/No F-Track Level/No F-Track Level,109921.73/110451.05,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"EFN.TO, Long, 2025-11-05 (Price: 37.65)",Daily,No Price Target,No Date Target,2025-11-18 (Price: 35.05) (Today),"2025-11-18 (Price: 35.05), 6.91% below","90.38%, Past 5 years, 52",8.34%/9.61%,"-6.91%, 9 days",43.0%/0.86%/18.32%,38.4181 (Historic Rise or Fall to Pivot)/44.5475 (Avg % Gain of Historic Winning trades)/39.37 (Exit Rule)/45.1741 (F-Stack 1)/70.5281 (F-Stack 2)/53.8395 (Backtested Best)/37.9738 (Backtested Worst)/44.5475 (Backtested Avg),2027-05-19 (Farthest)/2025-12-12 (Earliest)/2026-04-23 (Avg),"-6.91%, 9 days","Daily, was CONFIRMED on 2025-11-05",Already confirmed,"2025-11-18 (Price: 35.05), 6.91% below",9 days,No Information,No Information,No Information,"38.2% (Price: 37.1637), 5.69% below, Upmove Bounce Back","2025-09-30 (Price: 35.39), 2025-10-28 (Price: 38.26)",No Information,"6.13%, 26.27%",387 days/26 days/117 days,2027-05-19/2025-12-12/2026-04-23,16.07%,24.1%,-8.03%,0.65,1.02,38.4181/44.5475/39.37/No Horizontal Resistance/45.1741/70.5281,37.08/11.7733/29.5041/177.9303/No F-Track Level/No F-Track Level,36.86/33.3,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"HDFCBANK.NS, Long, 2025-11-04 (Price: 985.25)",Daily,No Price Target,2025-11-19 (Earliest),No Exit Yet,"2025-11-18 (Price: 992.45), 0.73% above","89.74%, Past 5 years, 39",1.18%/7.57%,"0.73%, 10 days",31.44%/0.59%/8.36%,1067.6169 (Avg % Gain of Historic Winning trades)/1110.26 (Exit Rule)/1004.15 (Horizontal)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1295.0126 (Backtested Best)/1067.6169 (Backtested Avg),2027-09-18 (Farthest)/2025-11-19 (Earliest)/2026-05-21 (Avg),"0.73%, 10 days","Daily, was CONFIRMED on 2025-11-04",Already confirmed,"2025-11-18 (Price: 992.45), 0.73% above",10 days,No Information,No Information,No Information,"23.66% (Price: 971.2044), 2.19% above, Upmove Bounce Back","2025-01-13 (Price: 812.15), 2025-10-23 (Price: 1020.5)",No Information,"7.67%, 22.66%",472 days/11 days/137 days,2027-09-18/2025-11-19/2026-05-21,7.39%,9.35%,-1.96%,0.46,0.36,986.6294/1067.6169/1110.26/1004.15/1098.0619/1305.7899,945.05/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level,979.45/950.67,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2025-11-04 (Price: 11.85)",Daily,12.59 (Exit Rule),No Date Target,2025-11-17 (Price: 12.65),"2025-11-18 (Price: 12.6), 6.33% above","90.0%, Past 4 years, 20",2.08%/5.91%,"6.33%, 10 days",8.54%/1.38%/4.55%,13.345 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/12.862 (Backtested Best),2026-05-15 (Farthest)/2025-11-27 (Avg),"6.75%, 9 days","Daily, is CONFIRMED on 2025-11-04",Already confirmed,"2025-11-18 (Price: 12.6), 6.33% above",10 days,No Information,No Information,No Information,No Information,No Information,6.33% above/6.33% above/6.33% above,"6.4%, 20.48%",133 days/4 days/16 days,2026-05-15/2025-11-09/2025-11-27,46.12%,9.64%,36.48%,0.79,0.35,12.2434/12.3892/12.59/13.345/19.8479/26.5969,11.6/9.1367/11.0645/56.4607/No F-Track Level/No F-Track Level,11.16/11.49,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
