"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"ENZL, Long, 2026-02-26 (Price: 47.225)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 47.08 prior to 2026-02-27,"2026-02-26 (Price: 47.225), 0.0% below",0 days,"2, 2024-09-30 (Price: 50.41)",2026-02-26 (Price: 47.225),2026-02-25 (Price: 47.1645),0/1/0 days,0.0% below/0.13% above/0.0% below,2024-09-30 (Price: 50.41)/2026-02-26 (Price: 46.3954),18.88%/13.45%/17.07%,"-0.0%, 22.82%",1.5 year/1 year/1.2 year,2028-04-18/2027-08-01/2027-11-13,5.75%,1.82%,3.93%,1.1,-0.01,46.7716/55.2863/49.14/65.1933/78.3229/93.1188/No EMA 200 Target,42.08/39.215/No F-Stack Support/No F-Stack Support/No support/No support/45.76,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),47.08
"IWM, Long, 2026-02-26 (Price: 265.99)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 247.63 prior to 2026-03-31,"2026-02-26 (Price: 265.99), 0.0% below",0 days,"2, 2021-12-31 (Price: 244.46)",2025-12-31 (Price: 246.16),2026-01-02 (Price: 248.78),57/55/0 days,8.06% above/6.92% above/0.0% below,2021-12-31 (Price: 244.46)/2026-02-26 (Price: 245.1967),22.48%/22.48%/22.48%,"-0.0%, 49.28%",1 year/1 year/1 year,2027-08-01 (Max),2.77%,4.51%,-1.74%,0.75,0.21,249.073/325.7846/278.91/No Horizontal Resistance/270.9222/282.5179/No EMA 200 Target,164.92/162.3167/245.3626/196.8345/247.9708/233.4497/237.54,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),247.63
"AIA.NZ, Long, 2026-02-26 (Price: 9.11)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 20","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 8.85 prior to 2026-02-27,"2026-02-26 (Price: 9.11), 0.0% below",0 days,"2, 2025-06-22 (Price: 8.1)",2026-02-22 (Price: 8.88),2026-02-20 (Price: 8.88),4/6/0 days,2.59% above/2.59% above/0.0% below,2025-06-22 (Price: 8.1)/2026-02-26 (Price: 8.6371),12.76%/0.47%/5.85%,"-0.0%, 7.89%",4 months/28 days/2.5 months,2026-08-18/2026-04-07/2026-06-14,10.91%,5.79%,5.12%,1.45,0.3,9.9326/9.6429/9.72/No Horizontal Resistance/10.792/12.737/No EMA 200 Target,7.47/7.0017/8.0885/7.295/7.9701/7.2635/7.96,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),8.85
"ATM.NZ, Long, 2026-02-26 (Price: 11.47)",No Exit Yet,"0.0%, 0 days","90.0%, Past 10 years, 20","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 11.23 prior to 2026-02-27,"2026-02-26 (Price: 11.47), 0.0% below",0 days,"2, 2025-11-09 (Price: 11.08)",2026-02-26 (Price: 11.47),2026-02-25 (Price: 11.27),0/1/0 days,0.0% below/1.77% above/0.0% below,2025-11-09 (Price: 11.08)/2026-02-26 (Price: 11.016),45.16%/6.52%/21.14%,"5.0%, 38.02%",6.8 months/1.2 month/2.7 months,2026-12-18/2026-04-19/2026-06-23,20.45%,21.22%,-0.77%,1.35,0.89,14.8812/13.8948/11.7/No Horizontal Resistance/21.0083/25.9428/No EMA 200 Target,9.66/5.185/8.0863/5.0358/11.2234/10.8404/9.79,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),11.23
"BYD.TO, Long, 2026-02-26 (Price: 240.82)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 221.66 prior to 2026-02-27,"2026-02-26 (Price: 240.82), 0.0% below",0 days,"2, 2024-02-29 (Price: 324.75)",2026-01-31 (Price: 223.17),2026-02-25 (Price: 230.92),26/1/0 days,7.91% above/4.29% above/0.0% below,2024-02-29 (Price: 324.75)/2026-02-26 (Price: 213.2612),21.68%/5.8%/10.67%,"-0.0%, 33.29%",1.1 year/5.1 months/9.8 months,2027-09-22/2026-10-05/2027-04-27,14.79%,10.47%,4.32%,1.34,0.52,368.286/266.5155/291.18/256.6133/325.4281/346.2134/No EMA 200 Target,192.05/188.685/232.1757/215.4728/No support/No support/219.11,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),221.66
"NA.TO, Long, 2026-02-26 (Price: 192.41)",No Exit Yet,"0.0%, 0 days","100.0%, Past 43 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 172.8 prior to 2026-03-31,"2026-02-26 (Price: 192.41), 0.0% below",0 days,"0, 1995-12-31 (Price: 6.0)",2025-12-31 (Price: 172.61),2026-02-13 (Price: 174.78),57/13/0 days,11.47% above/10.09% above/0.0% below,1995-12-31 (Price: 6.0)/2026-02-26 (Price: 156.19),41.25%/20.33%/29.84%,"0%, 21.01%",3.6 years/1.8 year/2.5 years,2031-04-18/2028-09-21/2029-09-21,7.2%,8.31%,-1.11%,3.17,0.49,245.419/249.8251/304.26/No Horizontal Resistance/185.717/204.2705/No EMA 200 Target,54.39/82.9367/162.0277/152.3147/172.2079/159.7253/153.95,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),172.8
"EWJ, Long, 2026-02-26 (Price: 92.48)",No Exit Yet,"0.0%, 0 days","71.43%, Past 20 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 85.3619 prior to 2026-02-27,"2026-02-26 (Price: 92.48), 0.0% below",0 days,"4, 2001-05-31 (Price: 46.88)",2026-01-31 (Price: 85.72),2026-01-29 (Price: 86.09),26/28/0 days,7.89% above/7.42% above/0.0% below,2001-05-31 (Price: 46.88)/2026-02-26 (Price: 84.9372),18.23%/6.32%/9.77%,"17.76%, 22.9%",2.4 years/5 months/1.8 year,2029-07-31/2026-10-01/2028-09-21,4.29%,2.12%,2.17%,0.28,-0.01,93.5898/101.5153/119.84/No Horizontal Resistance/88.5172/96.0119/No EMA 200 Target,67.1/53.915/83.8122/78.3516/83.245/76.4635/80.12,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),85.33
"ENZL, Long, 2026-02-25 (Price: 47.1645)",No Exit Yet,"0.13%, 1 day","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2026-02-25",Already confirmed,"2026-02-26 (Price: 47.225), 0.13% above",1 day,"0, 2021-08-04 (Price: 62.37)",2026-02-23 (Price: 45.9335),2026-02-25 (Price: 47.1645),3/1/1 days,2.81% above/0.13% above/0.13% above,2021-08-04 (Price: 62.37)/2026-02-25 (Price: 46.0434),5.17%/0.29%/1.78%,"10.32%, 33.2%",1.9 month/6 days/19 days,2026-05-18/2026-03-05/2026-03-24,-4.35%,-2.2%,-2.15%,0.15,-0.21,47.4994/48.004/56.29/65.1933/79.7363/84.688/No EMA 200 Target,44.9/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.75,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),46.83
"USCI, Long, 2026-02-25 (Price: 84.6)",No Exit Yet,"-0.37%, 1 day","100.0%, Past 4 years, 14","Daily, is CONFIRMED on 2026-02-25",Already confirmed,"2026-02-26 (Price: 84.288), 0.37% below",1 day,"8, 2024-05-29 (Price: 63.72)",2026-02-23 (Price: 83.3133),2026-02-25 (Price: 84.6),3/1/1 days,1.17% above/0.37% below/0.37% below,2024-05-29 (Price: 63.72)/2026-02-25 (Price: 83.3151),3.77%/0.89%/2.27%,"0%, 7.84%",3.2 months/6 days/1 month,2026-07-14/2026-03-05/2026-04-09,9.0%,11.01%,-2.01%,1.78,0.74,89.05/86.5204/97.13/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,79.86/38.42/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/77.0,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),84.18
"DOL.TO, Long, 2026-02-24 (Price: 196.37)",No Exit Yet,"2.37%, 2 days","100.0%, Past 4 years, 31","Daily, is CONFIRMED on 2026-02-24",Already confirmed,"2026-02-26 (Price: 201.03), 2.37% above",2 days,"2, 2025-12-11 (Price: 209.96)",2026-02-23 (Price: 195.69),2026-02-24 (Price: 196.37),3/2/2 days,2.73% above/2.37% above/2.37% above,2025-12-11 (Price: 209.96)/2026-02-24 (Price: 192.3528),10.12%/0.29%/3.65%,"0%, 13.61%",4 months/6 days/1.1 month,2026-08-16/2026-03-04/2026-04-12,18.43%,18.99%,-0.56%,1.15,1.18,203.7731/203.5375/204.52/197.56/294.0831/455.769/No EMA 200 Target,183.5/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/189.15,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),195.43
"AIA.NZ, Long, 2026-02-23 (Price: 8.95)",No Exit Yet,"1.79%, 3 days","82.05%, Past 4 years, 39","Daily, is CONFIRMED on 2026-02-23",Already confirmed,"2026-02-26 (Price: 9.11), 1.79% above",3 days,"2, 2024-10-09 (Price: 7.5)",2026-02-20 (Price: 8.88),2026-02-23 (Price: 8.95),6/3/3 days,2.59% above/1.79% above/1.79% above,2024-10-09 (Price: 7.5)/2026-02-23 (Price: 8.7059),8.49%/0.39%/3.87%,"6.37%, 18.81%",4.7 months/7 days/1.1 month,2026-09-15/2026-03-05/2026-04-11,10.6%,-0.09%,10.69%,0.66,-0.03,9.4252/9.2964/9.82/No Horizontal Resistance/11.1706/12.8535/No EMA 200 Target,8.13/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/7.94,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),8.85
"TSM, Long, 2026-02-22 (Price: 370.54)",No Exit Yet,"1.69%, 4 days","100.0%, Past 10 years, 19","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-26 (Price: 376.81), 1.69% above",4 days,"2, 2016-04-03 (Price: 26.62)",2026-02-22 (Price: 370.54),2026-02-20 (Price: 370.54),4/6/4 days,1.69% above/1.69% above/1.69% above,2016-04-03 (Price: 26.62)/2026-02-22 (Price: 364.3362),40.88%/4.38%/14.52%,"0%, 31.75%",8.9 months/28 days/3.6 months,2027-03-15/2026-04-03/2026-07-28,14.91%,16.6%,-1.69%,1.65,0.88,427.8255/424.3424/576.89/No Horizontal Resistance/334.306/350.4755/No EMA 200 Target,275.06/83.575/272.4436/230.123/No F-Track Level/No F-Track Level/268.3,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),361.865
"CNR.TO, Long, 2026-02-22 (Price: 151.19)",No Exit Yet,"-0.22%, 4 days","88.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-26 (Price: 150.86), 0.22% below",4 days,"2, 2016-03-20 (Price: 82.04)",2026-02-15 (Price: 146.42),2026-02-22 (Price: 151.19),11/4/4 days,3.03% above/0.22% below/0.22% below,2016-03-20 (Price: 82.04)/2026-02-22 (Price: 142.0066),10.37%/1.53%/6.76%,"5.75%, 17.25%",1.3 year/1.2 month/5 months,2027-12-31/2026-04-15/2026-09-27,8.06%,6.5%,1.56%,1.1,0.37,160.6091/161.4104/192.68/167.5729/218.156/349.4971/No EMA 200 Target,130.99/127.536/136.9828/86.815/No F-Track Level/No F-Track Level/136.36,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),146.74
"CNQ.TO, Long, 2026-02-22 (Price: 58.0)",No Exit Yet,"1.64%, 4 days","86.36%, Past 10 years, 22","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-26 (Price: 58.95), 1.64% above",4 days,"2, 2016-02-07 (Price: 15.0588)",2026-02-08 (Price: 53.4),2026-02-18 (Price: 57.09),18/8/4 days,10.39% above/3.26% above/1.64% above,2016-02-07 (Price: 15.0588)/2026-02-22 (Price: 52.5341),19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2026-07-24/2026-04-03/2026-05-11,-1.83%,3.94%,-5.77%,0.27,0.24,58.87/62.1064/83.76/No Horizontal Resistance/65.8353/68.6522/No EMA 200 Target,43.99/34.9317/48.4386/46.0303/No F-Track Level/No F-Track Level/45.08,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),55.48
"ENZL, Long, 2026-02-20 (Price: 45.8355)",2026-02-26 (Price: 47.225),"3.03%, 6 days","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-26 (Price: 47.225), 3.03% above",6 days,"10, 2020-12-02 (Price: 67.2)",2026-02-20 (Price: 45.8355),2026-02-20 (Price: 45.8355),6/6/6 days,3.03% above/3.03% above/3.03% above,2020-12-02 (Price: 67.2)/2026-02-20 (Price: 45.5521),5.17%/0.29%/1.78%,"10.32%, 33.2%",1.9 month/6 days/19 days,2026-05-13/2026-02-28/2026-03-19,-4.35%,-2.2%,-2.15%,0.15,-0.21,46.1609/46.6514/58.65/65.1933/79.7363/84.688/No EMA 200 Target,44.9/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.72,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),45.29
"DBC, Long, 2026-02-19 (Price: 24.43)",2026-02-26 (Price: 24.76),"1.35%, 7 days","76.47%, Past 4 years, 17","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-26 (Price: 24.76), 1.35% above",7 days,"6, 2025-05-13 (Price: 21.62)",2026-02-17 (Price: 23.59),2026-02-19 (Price: 24.43),9/7/7 days,4.96% above/1.35% above/1.35% above,2025-05-13 (Price: 21.62)/2026-02-19 (Price: 23.9265),5.33%/0.43%/2.56%,"7.94%, 13.15%",3.3 months/6 days/25 days,2026-07-12/2026-02-27/2026-03-27,5.47%,5.95%,-0.48%,0.25,0.32,25.1189/25.0554/26.12/28.58/60.6441/65.878/No EMA 200 Target,23.59/19.55/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/22.53,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),24.29
"USCI, Long, 2026-02-19 (Price: 82.76)",2026-02-26 (Price: 84.288),"1.85%, 7 days","100.0%, Past 4 years, 14","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-26 (Price: 84.288), 1.85% above",7 days,"0, 2025-06-18 (Price: 76.48)",2026-02-18 (Price: 81.9958),2026-02-19 (Price: 82.76),8/7/7 days,2.8% above/1.85% above/1.85% above,2025-06-18 (Price: 76.48)/2026-02-19 (Price: 81.7253),3.77%/0.89%/2.27%,"0%, 7.84%",3.2 months/6 days/1 month,2026-07-08/2026-02-27/2026-04-03,9.0%,11.01%,-2.01%,1.78,0.74,87.1132/84.6387/86.53/No Horizontal Resistance/90.2685/96.4537/No EMA 200 Target,79.86/38.42/81.0354/75.2881/No F-Track Level/No F-Track Level/76.71,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),82.05
