"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"EEM, Long, 2026-01-29 (Price: 60.44)",No Exit Yet,"0.0%, 0 days","96.15%, Past 10 years, 26","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 59.04 prior to 2026-01-30,"2026-01-29 (Price: 60.44), 0.0% below",0 days,"2, 2024-12-08 (Price: 43.85)",2026-01-25 (Price: 59.07),2026-01-29 (Price: 60.44),4/0/0 days,2.32% above/0.0% below/0.0% below,2024-12-08 (Price: 43.6627)/2026-01-29 (Price: 58.1013),11.23%/1.19%/3.84%,"20.12%, 35.1%",1.4 year/28 days/3.4 months,2028-01-27/2026-03-10/2026-06-25,3.49%,0.73%,2.76%,0.51,-0.08,62.6098/62.7609/70.39/No Horizontal Resistance/58.9308/64.643/No EMA 200 Target,40.58/37.485/54.2403/No support/53.6509/49.1653/51.07,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),59.04
"GILD, Long, 2026-01-29 (Price: 139.55)",No Exit Yet,"0.0%, 0 days","96.43%, Past 10 years, 28","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 135.88 prior to 2026-01-30,"2026-01-29 (Price: 139.55), 0.0% below",0 days,"2, 2025-05-25 (Price: 107.37)",2026-01-29 (Price: 139.55),2026-01-29 (Price: 139.55),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-05-25 (Price: 112.6514)/2026-01-29 (Price: 134.3968),26.57%/2.74%/15.13%,"8.71%, 37.09%",1.2 year/1.2 month/4.5 months,2027-10-16/2026-03-22/2026-08-12,13.74%,9.41%,4.33%,1.53,0.5,152.4863/160.6639/158.86/No Horizontal Resistance/135.1689/147.6277/No EMA 200 Target,112.1/57.18/124.0112/101.881/108.3145/87.7917/115.55,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),135.88
"IWM, Long, 2026-01-29 (Price: 263.37)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 247.63 prior to 2026-03-31,"2026-01-29 (Price: 263.37), 0.0% below",0 days,"2, 2021-09-30 (Price: 218.75)",2025-12-31 (Price: 246.16),2026-01-29 (Price: 263.37),29/0/0 days,6.99% above/0.0% below/0.0% below,2021-09-30 (Price: 244.4167)/2026-01-29 (Price: 245.1967),22.48%/22.48%/22.48%,"-0.0%, 49.28%",1 year/1 year/1 year,2027-07-04 (Max),3.33%,4.39%,-1.06%,0.87,0.2,242.4321/322.5756/290.14/No Horizontal Resistance/270.9222/282.5179/No EMA 200 Target,164.92/162.3167/245.3626/196.8345/247.9708/233.4497/230.91,86.67%/15/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets),247.63
"NZDCAD=X, Long, 2026-01-29 (Price: 0.8209)",No Exit Yet,"0.0%, 0 days","79.17%, Past 10 years, 24","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 0.8165 prior to 2026-01-30,"2026-01-29 (Price: 0.8209), 0.0% below",0 days,"0, 2021-10-10 (Price: 0.8703)",2026-01-29 (Price: 0.8209),2026-01-29 (Price: 0.8209),0/0/0 days,0.0% below/0.0% below/0.0% below,2021-10-10 (Price: 0.9068)/2026-01-29 (Price: 0.8149),4.6%/1.11%/2.76%,"5.56%, 13.76%",9.8 months/28 days/5.1 months,2027-03-30/2026-03-10/2026-09-07,-3.01%,0.35%,-3.36%,0.17,-0.49,0.8271/0.8436/0.85/0.8586/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,0.79/0.7834/No F-Stack Support/No F-Stack Support/No support/0.817/0.81,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),0.8165
"PPH, Long, 2026-01-29 (Price: 105.65)",No Exit Yet,"0.0%, 0 days","85.0%, Past 20 years, 20","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 103.4 prior to 2026-01-30,"2026-01-29 (Price: 105.65), 0.0% below",0 days,"0, 2021-01-31 (Price: 68.14)",2025-12-31 (Price: 103.17),2026-01-29 (Price: 105.65),29/0/0 days,2.4% above/0.0% below/0.0% below,2021-01-31 (Price: 78.5883)/2026-01-29 (Price: 98.4383),15.31%/2.34%/9.66%,"3.25%, 39.01%",4.4 years/5 months/1.3 year,2032-05-11/2026-09-03/2027-12-07,1.56%,1.67%,-0.11%,1.06,-0.07,117.43/115.8558/128.16/No Horizontal Resistance/126.5323/135.6093/No EMA 200 Target,82.93/71.642/102.4808/84.9957/101.0224/96.5746/92.26,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),103.4
"BDGI.TO, Long, 2026-01-29 (Price: 78.35)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 73.2 prior to 2026-03-31,"2026-01-29 (Price: 78.35), 0.0% below",0 days,"0, 2018-09-30 (Price: 29.6)",2025-09-30 (Price: 61.38),2026-01-29 (Price: 78.35),121/0/0 days,27.65% above/0.0% below/0.0% below,2018-09-30 (Price: 49.1411)/2026-01-29 (Price: 52.3578),227.42%/21.67%/158.83%,"-0.0%, 36.34%",1.8 year/1.3 year/1.6 year,2028-08-24/2027-12-07/2028-05-12,16.49%,8.5%,7.99%,0.7,0.42,161.6125/202.7933/107.6/No Horizontal Resistance/79.9248/83.2146/No EMA 200 Target,26.66/24.32/70.731/50.6117/70.9884/63.8711/59.37,86.67%/15/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets),73.2
"SJ.TO, Long, 2026-01-29 (Price: 91.3)",No Exit Yet,"0.0%, 0 days","83.33%, Past 10 years, 24","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 88.65 prior to 2026-01-30,"2026-01-29 (Price: 91.3), 0.0% below",0 days,"4, 2025-01-05 (Price: 73.5)",2026-01-29 (Price: 91.3),2026-01-29 (Price: 91.3),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-01-05 (Price: 75.7076)/2026-01-29 (Price: 88.6888),23.9%/1.55%/7.87%,"6.63%, 46.57%",1 year/1.2 month/2.6 months,2027-07-04/2026-03-22/2026-05-21,13.27%,11.85%,1.42%,0.6,0.66,101.4343/98.4853/101.98/No Horizontal Resistance/108.5192/133.8092/No EMA 200 Target,76.55/38.015/50.2755/47.8005/No support/No support/79.63,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),88.65
"USO, Long, 2026-01-28 (Price: 76.62)",No Exit Yet,"3.29%, 1 day","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-28",Already confirmed,"2026-01-29 (Price: 79.14), 3.29% above",1 day,"0, 2024-04-11 (Price: 81.55)",2026-01-27 (Price: 75.66),2026-01-28 (Price: 76.62),2/1/1 days,4.6% above/3.29% above/3.29% above,2024-04-11 (Price: 91.4123)/2026-01-28 (Price: 75.3152),7.26%/0.81%/3.43%,"8.68%, 22.5%",5.2 months/6 days/2 months,2026-09-10/2026-02-05/2026-04-24,13.27%,-3.97%,17.24%,0.8,-0.03,76.7809/79.2481/79.58/83.49/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,67.79/58.7667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/71.92,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),76.26
"CSCO, Long, 2026-01-27 (Price: 78.68)",No Exit Yet,"-0.32%, 2 days","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-29 (Price: 78.43), 0.32% below",2 days,"2, 2025-12-03 (Price: 77.75)",2026-01-23 (Price: 74.59),2026-01-27 (Price: 78.68),6/2/2 days,5.15% above/0.32% below/0.32% below,2025-12-03 (Price: 81.8138)/2026-01-27 (Price: 74.6587),5.83%/1.03%/2.65%,"17.72%, 27.08%",1.1 month/6 days/12 days,2026-03-15/2026-02-04/2026-02-13,6.96%,6.16%,0.8%,0.14,0.32,81.2922/80.765/79.24/No Horizontal Resistance/78.7458/109.6316/No EMA 200 Target,73.35/40.92/75.1101/68.2017/No F-Track Level/No F-Track Level/68.98,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),77.19
"EEM, Long, 2026-01-27 (Price: 60.34)",No Exit Yet,"0.17%, 2 days","90.91%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-29 (Price: 60.44), 0.17% above",2 days,"2, 2025-12-03 (Price: 54.34)",2026-01-26 (Price: 59.17),2026-01-27 (Price: 60.34),3/2/2 days,2.15% above/0.17% above/0.17% above,2025-12-03 (Price: 54.5817)/2026-01-27 (Price: 59.2763),4.72%/1.07%/2.64%,"25.37%, 34.75%",3.1 months/6 days/21 days,2026-06-10/2026-02-04/2026-02-26,2.19%,2.36%,-0.17%,0.01,0.07,63.0674/61.933/63.94/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,52.6/37.485/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/50.88,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),59.97
"MCD, Long, 2026-01-27 (Price: 314.13)",No Exit Yet,"0.44%, 2 days","83.33%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-29 (Price: 315.51), 0.44% above",2 days,"0, 2024-04-10 (Price: 268.67)",2026-01-26 (Price: 312.95),2026-01-27 (Price: 314.13),3/2/2 days,0.82% above/0.44% above/0.44% above,2024-04-10 (Price: 350.307)/2026-01-27 (Price: 310.7211),4.95%/0.71%/2.55%,"0.45%, 11.38%",3.9 months/7 days/1.3 month,2026-07-15/2026-02-06/2026-03-24,12.38%,5.6%,6.78%,1.08,0.28,324.5591/322.1403/341.41/321.444/370.0426/590.3302/No EMA 200 Target,302.84/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.33,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),312.32
"RHHBY, Long, 2026-01-27 (Price: 56.69)",No Exit Yet,"0.58%, 2 days","80.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-29 (Price: 57.02), 0.58% above",2 days,"4, 2025-10-13 (Price: 45.28)",2026-01-23 (Price: 55.23),2026-01-27 (Price: 56.69),6/2/2 days,3.24% above/0.58% above/0.58% above,2025-10-13 (Price: 45.217)/2026-01-27 (Price: 55.5468),10.73%/0.36%/5.34%,"8.73%, 19.35%",1.1 month/6 days/15 days,2026-03-15/2026-02-04/2026-02-17,11.77%,2.75%,9.02%,0.55,0.11,58.9916/59.7172/63.54/No Horizontal Resistance/58.6089/65.2057/No EMA 200 Target,51.37/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/43.35,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),56.53
"VGT, Long, 2026-01-27 (Price: 769.9)",No Exit Yet,"-1.18%, 2 days","100.0%, Past 4 years, 26","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-29 (Price: 760.8), 1.18% below",2 days,"2, 2025-10-29 (Price: 801.52)",2026-01-26 (Price: 760.43),2026-01-27 (Price: 769.9),3/2/2 days,0.05% above/1.18% below/1.18% below,2025-10-29 (Price: 806.3339)/2026-01-27 (Price: 755.9931),6.35%/1.16%/3.51%,"0%, 20.19%",3.5 months/7 days/23 days,2026-06-28/2026-02-06/2026-03-01,15.33%,14.37%,0.96%,2.27,0.77,807.0092/796.9235/788.87/No Horizontal Resistance/946.1588/993.4664/No EMA 200 Target,738.69/311.83/702.1644/626.0547/No F-Track Level/No F-Track Level/693.85,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),766.41
"META, Long, 2026-01-26 (Price: 672.36)",No Exit Yet,"9.81%, 3 days","95.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-01-26",Already confirmed,"2026-01-29 (Price: 738.31), 9.81% above",3 days,"6, 2025-08-20 (Price: 747.72)",2026-01-23 (Price: 658.76),2026-01-26 (Price: 672.36),6/3/3 days,12.08% above/9.81% above/9.81% above,2025-08-20 (Price: 831.4587)/2026-01-26 (Price: 645.964),7.24%/0.93%/3.71%,"13.49%, 60.2%",4.5 months/8 days/29 days,2026-08-09/2026-02-06/2026-03-09,19.23%,15.29%,3.94%,0.63,0.7,738.1168/697.3046/717.58/No Horizontal Resistance/842.484/1305.5879/678.46,604.12/276.89/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),665.13
"MSFT, Long, 2026-01-26 (Price: 470.28)",No Exit Yet,"-7.82%, 3 days","87.5%, Past 4 years, 32","Daily, is CONFIRMED on 2026-01-26",Already confirmed,"2026-01-29 (Price: 433.5), 7.82% below",3 days,"4, 2025-10-10 (Price: 510.96)",2026-01-26 (Price: 470.28),2026-01-26 (Price: 470.28),3/3/3 days,7.82% below/7.82% below/7.82% below,2025-10-10 (Price: 571.5916)/2026-01-26 (Price: 464.3619),10.58%/0.94%/3.11%,"6.45%, 26.99%",3.9 months/6 days/26 days,2026-07-14/2026-02-03/2026-03-04,13.15%,14.47%,-1.32%,0.53,0.76,486.3636/484.9057/494.69/554.585/553.3726/615.9924/484.55,444.11/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),465.31
"CVS, Long, 2026-01-26 (Price: 83.87)",No Exit Yet,"-11.24%, 3 days","95.24%, Past 4 years, 21","Daily, is CONFIRMED on 2026-01-26",Already confirmed,"2026-01-29 (Price: 74.44), 11.24% below",3 days,"2, 2025-11-21 (Price: 78.03)",2026-01-23 (Price: 83.01),2026-01-26 (Price: 83.87),6/3/3 days,10.32% below/11.24% below/11.24% below,2025-11-21 (Price: 80.8069)/2026-01-26 (Price: 82.1012),8.82%/1.81%/5.43%,"17.9%, 26.0%",3.3 months/6 days/24 days,2026-06-18/2026-02-03/2026-03-01,17.78%,0.86%,16.92%,0.7,0.05,88.6925/88.4241/87.37/106.045/116.3721/144.3517/No EMA 200 Target,78.6/58.425/76.2419/70.3769/No F-Track Level/No F-Track Level/71.96,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),83.25
"USO, Long, 2026-01-26 (Price: 73.48)",No Exit Yet,"7.7%, 3 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-26",Already confirmed,"2026-01-29 (Price: 79.14), 7.7% above",3 days,"8, 2025-05-23 (Price: 67.99)",2026-01-22 (Price: 71.82),2026-01-26 (Price: 73.48),7/3/3 days,10.19% above/7.7% above/7.7% above,2025-05-23 (Price: 84.8805)/2026-01-26 (Price: 71.8645),7.26%/0.81%/3.43%,"8.68%, 22.5%",5.2 months/6 days/2 months,2026-09-08/2026-02-03/2026-04-22,13.27%,-3.97%,17.24%,0.8,-0.03,73.6343/76.0004/76.77/83.49/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,67.79/58.7667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/71.82,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),73.36
