"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"TCS.NS, Long, 2025-12-19 (Price: 3282.0)",No Exit Yet,"0.0%, 0 days","87.5%, Past 21 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 2866.6001 prior to 2025-12-31,"2025-12-19 (Price: 3282.0), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 2809.1),16.83% above,"2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",26.36%/7.31%/19.71%,"10.18%, 12.85%",1.3 year/3 months/8.3 months,2027-10-27/2026-04-28/2026-12-14,7.28%,13.73%,-6.45%,0.82,0.62,3416.562/3928.8822/5421.78/4543.575/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,2888.4/2923.4601/No F-Stack Support/No F-Stack Support/No support/3116.0412/3253.95,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),3282.0
"FPH.NZ, Long, 2025-12-19 (Price: 37.1)",No Exit Yet,"0.0%, 0 days","85.71%, Past 24 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 34.75 prior to 2025-12-31,"2025-12-19 (Price: 37.1), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 34.9549),6.14% above,"2023-10-31 (Price: 20.29), 2025-01-31 (Price: 39.5)",22.73%/20.64%/21.31%,"10.15%, 45.89%",6.4 years/4 months/3.3 years,2035-02-07/2026-06-10/2030-09-04,4.68%,9.29%,-4.61%,0.75,0.49,46.2414/45.006/48.63/39.1438/40.9296/48.5677/No EMA 200 Target,33.54/22.5167/30.9793/26.1935/35.1507/31.8879/36.3,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),37.1
"SUM.NZ, Long, 2025-12-19 (Price: 11.87)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-12-19 (Price: 11.87), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 10.74),10.52% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",48.88%/41.01%/44.94%,"-0.0%, 38.76%",1.3 year/1 year/1.1 year,2027-10-27/2027-05-24/2027-07-15,11.55%,11.73%,-0.18%,0.86,0.59,12.1857/17.2044/15.11/13.345/16.7981/18.5763/No EMA 200 Target,8.8/9.1367/11.1928/8.9354/No support/11.3772/11.41,93.33%/15/0 days (Across ALL Assets),77.78%/9/0 days (Across ALL Assets),11.87
"FXI, Long, 2025-12-18 (Price: 38.21)",No Exit Yet,"1.02%, 1 day","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 38.6), 1.02% above",1 day,Upmove Bounce Back,23.66% (Price: 36.9983),4.33% above,"2024-01-22 (Price: 20.86), 2025-10-02 (Price: 42.0)",14.16%/6.87%/10.84%,"-0.0%, 45.3%",3.7 years/13 days/1.2 year,2031-03-31/2026-01-05/2027-09-04,13.13%,-2.21%,15.34%,1.46,-0.08,38.8214/42.352/50.89/42.665/90.5742/95.3274/No EMA 200 Target,37.85/20.865/38.0047/No support/No F-Track Level/No F-Track Level/37.71,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),38.21
"PFE, Long, 2025-12-18 (Price: 25.04)",No Exit Yet,"0.6%, 1 day","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 25.19), 0.6% above",1 day,Upmove Bounce Back,61.8% (Price: 25.15),0.16% above,"2025-09-25 (Price: 23.58), 2025-10-03 (Price: 27.69)",15.29%/2.93%/10.03%,"3.6%, 19.77%",2.8 months/12 days/1.5 month,2026-04-18/2026-01-04/2026-02-21,10.93%,-6.4%,17.33%,0.41,-0.42,25.343/27.5515/27.51/55.39/66.4672/73.1352/No EMA 200 Target,24.4/23.345/21.508/20.5265/No F-Track Level/No F-Track Level/24.52,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),25.04
"XLE, Long, 2025-12-18 (Price: 44.13)",No Exit Yet,"0.0%, 1 day","90.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 44.13), 0.0% below",1 day,Upmove Bounce Back,50% (Price: 44.505),0.84% below,"2025-10-16 (Price: 42.35), 2025-12-05 (Price: 46.66)",11.51%/2.08%/9.2%,"3.48%, 17.74%",1.4 year/21 days/5.7 months,2027-12-16/2026-01-17/2026-08-22,21.1%,11.53%,9.57%,0.91,0.63,45.8599/48.19/46.72/49.2225/54.1372/58.8712/No EMA 200 Target,43.81/22.8475/37.4998/27.2174/No F-Track Level/No F-Track Level/43.48,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),44.13
"FRW.NZ, Long, 2025-12-18 (Price: 14.2)",No Exit Yet,"-1.41%, 1 day","88.89%, Past 5 years, 9","Daily, was CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 14.0), 1.41% below",1 day,Upmove Bounce Back,23.66% (Price: 13.0889),6.96% above,"2023-10-30 (Price: 7.31), 2025-10-31 (Price: 14.88)",13.53%/1.54%/10.4%,"4.41%, 40.87%",3.7 years/3.6 months/1.2 year,2031-03-31/2026-05-23/2027-09-04,11.59%,4.86%,6.73%,1.04,0.24,14.5692/15.6768/18.74/No Horizontal Resistance/16.2179/21.849/No EMA 200 Target,13.75/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/11.96,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),14.2
"CNQ.TO, Long, 2025-12-18 (Price: 43.41)",No Exit Yet,"1.34%, 1 day","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 43.99), 1.34% above",1 day,Upmove Bounce Back,78.6% (Price: 43.2814),1.64% above,"2025-10-21 (Price: 41.67), 2025-11-20 (Price: 49.2)",10.83%/7.23%/9.92%,"-0.0%, 17.04%",9.4 months/1.1 month/4.2 months,2027-01-30/2026-02-03/2026-06-18,20.54%,16.68%,3.86%,1.1,0.86,43.9396/47.7163/47.93/51.51/65.8353/68.6522/No EMA 200 Target,43.0/34.9317/41.121/33.7618/No F-Track Level/No F-Track Level/43.38,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),43.41
"LYFT, Long, 2025-12-17 (Price: 19.18)",No Exit Yet,"1.25%, 2 days","92.31%, Past 5 years, 13","Daily, was CONFIRMED on 2025-12-17",Already confirmed,"2025-12-19 (Price: 19.42), 1.25% above",2 days,Upmove Bounce Back,38.2% (Price: 18.2131),6.63% above,"2025-04-07 (Price: 9.66), 2025-09-17 (Price: 23.5)",29.57%/0.97%/14.95%,"5.88%, 53.48%",1.5 year/6 days/5.5 months,2028-02-07/2025-12-25/2026-08-12,28.24%,-11.2%,39.44%,1.13,0.03,20.4152/22.0474/27.48/57.19/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,19.12/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/16.67,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),19.18
"META, Long, 2025-12-16 (Price: 657.15)",No Exit Yet,"0.25%, 3 days","80.0%, Past 5 years, 10","Daily, was CONFIRMED on 2025-12-16",Already confirmed,"2025-12-19 (Price: 658.77), 0.25% above",3 days,Upmove Bounce Back,23.66% (Price: 634.9196),3.76% above,"2022-12-22 (Price: 114.38), 2025-08-15 (Price: 796.25)",11.18%/3.89%/9.7%,"3.02%, 27.47%",4 months/11 days/2.4 months,2026-06-07/2025-12-31/2026-03-30,26.51%,13.27%,13.24%,0.96,0.62,694.0161/720.8936/1066.27/No Horizontal Resistance/842.484/1305.5879/671.26,589.15/276.89/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),657.15
"NVDA, Long, 2025-12-16 (Price: 177.72)",No Exit Yet,"1.84%, 3 days","95.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-12-16",Already confirmed,"2025-12-19 (Price: 180.99), 1.84% above",3 days,Upmove Bounce Back,78.6% (Price: 174.3677),3.8% above,"2025-09-05 (Price: 164.07), 2025-10-29 (Price: 212.19)",16.19%/10.04%/11.72%,"6.56%, 60.82%",1.4 year/5 days/2.5 months,2027-12-14/2025-12-23/2026-04-03,41.13%,44.79%,-3.66%,2.14,1.73,221.0304/198.5488/206.59/No Horizontal Resistance/239.8943/283.6698/No EMA 200 Target,175.02/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/157.56,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),177.72
"IFT.NZ, Long, 2025-12-15 (Price: 11.3)",No Exit Yet,"-2.83%, 4 days","84.21%, Past 5 years, 19","Daily, was CONFIRMED on 2025-12-15",Already confirmed,"2025-12-19 (Price: 10.98), 2.83% below",4 days,Upmove Bounce Back,50% (Price: 11.435),3.98% below,"2025-06-11 (Price: 10.02), 2025-11-13 (Price: 12.85)",14.62%/1.62%/8.47%,"0.96%, 12.64%",8.6 months/20 days/3.2 months,2026-12-23/2026-01-12/2026-05-03,20.51%,6.63%,13.88%,1.02,0.36,11.6254/12.2571/13.0/11.925/18.927/29.733/11.38,10.25/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),11.3
"BYD.TO, Long, 2025-12-15 (Price: 222.94)",No Exit Yet,"-0.62%, 4 days","85.71%, Past 5 years, 14","Daily, was CONFIRMED on 2025-12-15",Already confirmed,"2025-12-19 (Price: 221.56), 0.62% below",4 days,Upmove Bounce Back,50% (Price: 223.09),0.69% below,"2025-10-30 (Price: 204.5), 2025-12-02 (Price: 241.68)",12.1%/10.05%/11.03%,"1.1%, 48.71%",2.1 years/26 days/4.6 months,2028-12-14/2026-01-21/2026-07-02,27.71%,0.9%,26.81%,1.63,0.03,238.256/247.5303/245.25/256.6133/367.2583/388.6839/No EMA 200 Target,221.25/190.7867/147.1212/139.9966/No F-Track Level/No F-Track Level/215.32,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),222.94
"MSE.PA, Long, 2025-12-15 (Price: 64.11)",No Exit Yet,"0.17%, 4 days","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2025-12-15",Already confirmed,"2025-12-19 (Price: 64.22), 0.17% above",4 days,Upmove Bounce Back,23.66% (Price: 62.9255),2.06% above,"2025-08-01 (Price: 57.2), 2025-11-13 (Price: 64.7)",10.86%/2.75%/8.53%,"0%, 23.33%",1.6 year/1.3 month/5.5 months,2028-03-28/2026-02-09/2026-08-10,22.9%,9.15%,13.75%,2.88,0.6,66.1679/69.5786/68.61/No Horizontal Resistance/81.1364/117.7989/No EMA 200 Target,61.34/33.6667/58.4776/44.4738/No F-Track Level/No F-Track Level/59.91,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),64.11
"MSFT, Long, 2025-12-14 (Price: 478.53)",No Exit Yet,"1.54%, 5 days","100.0%, Past 20 years, 16","Weekly, was CONFIRMED on 2025-12-14",Already confirmed,"2025-12-19 (Price: 485.92), 1.54% above",5 days,Upmove Bounce Back,38.2% (Price: 474.9779),2.3% above,"2025-04-13 (Price: 344.79), 2025-08-03 (Price: 555.45)",25.02%/6.95%/15.92%,"0%, 45.68%",3.7 years/1.4 month/11.4 months,2031-03-27/2026-02-12/2027-04-23,11.58%,10.65%,0.93%,3.32,0.59,511.6443/554.712/604.93/554.585/553.3726/615.9924/No EMA 200 Target,472.12/216.39/386.873/350.287/No F-Track Level/No F-Track Level/474.02,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets),478.53
"UBER, Long, 2025-12-07 (Price: 91.32)",No Exit Yet,"-13.15%, 12 days","100.0%, Past 6 years, 4","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-19 (Price: 79.31), 13.15% below",12 days,Upmove Bounce Back,23.66% (Price: 82.5663),3.94% below,"2022-07-03 (Price: 19.895), 2025-09-28 (Price: 101.99)",18.06%/15.5%/16.66%,"0%, 6.35%",1.6 month/14 days/29 days,2026-02-14/2025-12-27/2026-01-18,23.54%,8.01%,15.53%,14.78,0.43,82.3706/106.5339/140.58/No Horizontal Resistance/99.1711/103.8185/No EMA 200 Target,83.87/34.6025/88.7885/84.8096/No F-Track Level/No F-Track Level/87.64,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets),91.32
"MA, Long, 2025-12-07 (Price: 545.52)",No Exit Yet,"4.9%, 12 days","88.89%, Past 19 years, 18","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-19 (Price: 572.23), 4.9% above",12 days,Upmove Bounce Back,38.2% (Price: 535.7184),6.82% above,"2024-07-28 (Price: 428.86), 2025-08-24 (Price: 601.77)",20.8%/7.86%/16.28%,"10.74%, 25.66%",1.6 year/1.4 month/6.4 months,2028-03-20/2026-02-05/2026-09-11,14.25%,18.73%,-4.48%,1.65,0.96,592.3256/634.3307/649.27/592.9033/716.5814/751.3605/559.59,540.4/306.91/515.4888/442.8637/No F-Track Level/No F-Track Level/No EMA 200 Support,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets),545.52
"BN.TO, Long, 2025-12-07 (Price: 64.54)",No Exit Yet,"-3.21%, 12 days","92.31%, Past 2 years, 13","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-19 (Price: 62.47), 3.21% below",12 days,Upmove Bounce Back,38.2% (Price: 58.0258),7.66% above,"2025-04-13 (Price: 41.2533), 2025-09-28 (Price: 68.3933)",18.15%/4.17%/14.91%,"0.94%, 29.1%",2 years/1.2 month/10.2 months,2028-10-14/2026-01-28/2027-02-23,10.18%,8.84%,1.34%,2.08,0.46,74.4017/74.1629/80.82/No Horizontal Resistance/69.5978/79.2394/No EMA 200 Target,43.89/27.0034/63.3841/59.2857/No F-Track Level/No F-Track Level/57.78,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets),64.54
"IBKR, Long, 2025-12-07 (Price: 64.5)",No Exit Yet,"-0.37%, 12 days","100.0%, Past 18 years, 14","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-19 (Price: 64.26), 0.37% below",12 days,Upmove Bounce Back,38.2% (Price: 57.8675),11.05% above,"2025-04-13 (Price: 32.82), 2025-10-12 (Price: 73.35)",29.17%/15.14%/18.21%,"0%, 40.57%",2.6 years/1.6 month/9.5 months,2029-08-23/2026-02-14/2027-01-23,15.51%,8.23%,7.28%,4.51,0.42,71.5047/76.2454/88.82/No Horizontal Resistance/81.4292/98.2092/No EMA 200 Target,61.05/13.0762/62.0029/55.579/No F-Track Level/No F-Track Level/57.56,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets),64.5
"WIPRO.NS, Long, 2025-11-30 (Price: 249.53)",No Exit Yet,"5.98%, 19 days","77.78%, Past 80 years, 9","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 264.45), 5.98% above",19 days,Upmove Bounce Back,61.8% (Price: 232.7652),13.61% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",30.71%/20.0%/24.36%,"25.41%, 60.52%",1.9 year/5.1 months/11.6 months,2028-08-16/2026-07-09/2027-04-18,6.46%,15.61%,-9.15%,0.44,0.63,293.597/310.3155/338.69/366.6625/412.2037/473.5829/252.49,239.37/187.6062/216.7036/198.5041/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),249.53
"RELIANCE.NS, Long, 2025-11-30 (Price: 1567.5)",No Exit Yet,"-0.15%, 19 days","90.0%, Past 48 years, 10","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 1565.1), 0.15% below",19 days,Upmove Bounce Back,23.66% (Price: 1322.8731),18.31% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",42.5%/21.29%/26.97%,"6.47%, 28.2%",1.6 year/2 months/7.2 months,2028-03-13/2026-02-24/2026-10-08,11.26%,13.7%,-2.44%,1.21,0.63,2292.7823/1990.2548/2292.59/No Horizontal Resistance/2250.6285/2387.5727/No EMA 200 Target,1200.1/855.3207/1503.6962/1393.886/No F-Track Level/No F-Track Level/1410.64,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),1567.5
