"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"EWJ, Long, 2025-11-14 (Price: 83.98)",No Exit Yet,"0.0%, 0 days","84.21%, Past 20 years, 19","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 83.58 prior to 2025-11-28,"2025-11-14 (Price: 83.98), 0.0% below",0 days,"2, 2023-05-31 (Price: 59.34)",2025-11-14 (Price: 83.98),2025-11-14 (Price: 83.98),0/0/0 days,0.0% below/0.0% below/0.0% below,2023-05-31 (Price: 64.1327)/2025-11-14 (Price: 83.0459),27.1%/6.32%/14.34%,"17.76%, 22.9%",696 days/89 days/419 days,2028-08-18/2026-03-22/2027-07-13,4.36%,2.28%,2.08%,0.6,-0.06,84.6182/96.0227/98.76/No Horizontal Resistance/83.8122/88.5172,67.1/53.915/78.3516/70.285/75.8095/70.4442,81.85/74.65,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"SJ.TO, Long, 2025-11-13 (Price: 85.97)",No Exit Yet,"-1.28%, 1 days","80.56%, Past 4 years, 36","Daily, is CONFIRMED on 2025-11-13",Already confirmed,"2025-11-14 (Price: 84.87), 1.28% below",1 days,"4, 2025-07-31 (Price: 78.99)",2025-11-12 (Price: 85.27),2025-11-13 (Price: 85.97),2/1/1 days,0.47% below/1.28% below/1.28% below,2025-07-31 (Price: 78.5029)/2025-11-13 (Price: 84.8279),12.01%/1.22%/4.01%,"21.83%, 34.43%",119 days/4 days/21 days,2026-05-04/2025-11-18/2025-12-13,8.72%,13.33%,-4.61%,0.22,0.49,87.7238/89.4174/90.16/No Horizontal Resistance/95.0177/123.2166,78.12/38.015/66.807/60.0601/No F-Track Level/No F-Track Level,80.07/74.93,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"DIS, Long, 2025-11-12 (Price: 116.65)",No Exit Yet,"-9.3%, 2 days","73.68%, Past 4 years, 19","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-14 (Price: 105.8), 9.3% below",2 days,"2, 2025-08-19 (Price: 116.27)",2025-11-10 (Price: 112.24),2025-11-12 (Price: 116.65),4/2/2 days,5.74% below/9.3% below/9.3% below,2025-08-19 (Price: 120.6897)/2025-11-12 (Price: 112.1961),9.92%/0.82%/3.54%,"37.38%, 50.6%",107 days/5 days/24 days,2026-04-15/2025-11-19/2025-12-16,-11.02%,-2.49%,-8.53%,-0.17,-0.05,119.7296/120.7794/116.88/168.455/207.5364/245.6322,110.24/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level,113.25/110.16,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"XLV, Long, 2025-11-12 (Price: 152.82)",No Exit Yet,"-0.65%, 2 days","90.91%, Past 4 years, 33","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-14 (Price: 151.83), 0.65% below",2 days,"2, 2025-08-19 (Price: 136.76)",2025-11-11 (Price: 150.68),2025-11-12 (Price: 152.82),3/2/2 days,0.76% above/0.65% below/0.65% below,2025-08-19 (Price: 138.084)/2025-11-12 (Price: 150.0742),3.35%/0.29%/1.59%,"7.54%, 13.97%",90 days/4 days/26 days,2026-03-22/2025-11-17/2025-12-19,7.94%,7.25%,0.69%,0.38,0.26,155.5555/155.2498/162.46/No Horizontal Resistance/174.1807/202.706,143.98/121.6312/117.2225/81.225/No F-Track Level/No F-Track Level,142.02/139.18,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"XLF, Long, 2025-11-12 (Price: 53.67)",No Exit Yet,"-2.27%, 2 days","92.31%, Past 4 years, 39","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-14 (Price: 52.45), 2.27% below",2 days,"2, 2025-09-15 (Price: 53.68)",2025-11-11 (Price: 53.21),2025-11-12 (Price: 53.67),3/2/2 days,1.43% below/2.27% below/2.27% below,2025-09-15 (Price: 54.6189)/2025-11-12 (Price: 52.9544),5.21%/1.0%/2.76%,"10.98%, 16.27%",84 days/4 days/19 days,2026-03-13/2025-11-17/2025-12-09,17.58%,9.83%,7.75%,0.38,0.36,54.7917/55.1513/53.68/No Horizontal Resistance/70.6138/110.4396,52.09/30.1167/45.9996/174.8795/No F-Track Level/No F-Track Level,53.2/51.34,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"NIFTY_MIDCAP_100.NS, Long, 2025-11-12 (Price: 60902.3008)",No Exit Yet,"-0.27%, 2 days","91.67%, Past 4 years, 48","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-14 (Price: 60739.1992), 0.27% below",2 days,"4, 2025-07-28 (Price: 57519.3516)",2025-11-11 (Price: 60427.0),2025-11-12 (Price: 60902.3008),3/2/2 days,0.52% above/0.27% below/0.27% below,2025-07-28 (Price: 57650.8064)/2025-11-12 (Price: 60401.0025),4.39%/0.64%/2.63%,"10.85%, 21.42%",71 days/4 days/16 days,2026-02-22/2025-11-17/2025-12-05,15.67%,23.17%,-7.5%,0.55,1.11,63082.6032/62504.0313/62932.07/No Horizontal Resistance/69983.5191/76335.2565,59468.6/24894.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level,58575.85/55821.15,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"GS, Long, 2025-11-12 (Price: 838.97)",No Exit Yet,"-5.73%, 2 days","75.86%, Past 4 years, 29","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-14 (Price: 790.91), 5.73% below",2 days,"2, 2025-09-23 (Price: 806.32)",2025-11-11 (Price: 810.31),2025-11-12 (Price: 838.97),3/2/2 days,2.39% below/5.73% below/5.73% below,2025-09-23 (Price: 825.25)/2025-11-12 (Price: 801.1033),15.23%/0.89%/4.44%,"15.57%, 33.99%",65 days/5 days/21 days,2026-02-14/2025-11-19/2025-12-12,-6.28%,23.3%,-29.58%,-0.08,0.8,865.3137/876.2203/858.56/No Horizontal Resistance/931.1482/1236.8362,744.6/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level,782.75/667.17,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"IFT.NZ, Long, 2025-11-12 (Price: 12.67)",No Exit Yet,"-7.02%, 2 days","96.67%, Past 4 years, 30","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-14 (Price: 11.78), 7.02% below",2 days,"2, 2025-09-12 (Price: 12.48)",2025-11-11 (Price: 12.6),2025-11-12 (Price: 12.67),3/2/2 days,6.51% below/7.02% below/7.02% below,2025-09-12 (Price: 12.8255)/2025-11-12 (Price: 12.4227),9.48%/0.89%/3.92%,"10.91%, 28.9%",84 days/4 days/19 days,2026-03-13/2025-11-17/2025-12-09,29.91%,15.95%,13.96%,0.82,0.6,13.1743/13.1667/12.78/No Horizontal Resistance/18.927/29.733,12.27/7.3167/12.2485/8.121/No F-Track Level/No F-Track Level,12.34/11.29,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"TCS.NS, Long, 2025-11-11 (Price: 3047.0)",No Exit Yet,"1.94%, 3 days","96.97%, Past 4 years, 33","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-14 (Price: 3106.0), 1.94% above",3 days,"0, 2024-01-15 (Price: 3903.8)",2025-11-07 (Price: 2991.8),2025-11-11 (Price: 3047.0),5/3/3 days,3.82% above/1.94% above/1.94% above,2024-01-15 (Price: 5919.3469)/2025-11-11 (Price: 2966.7959),13.38%/0.84%/4.51%,"12.98%, 25.8%",93 days/5 days/15 days,2026-03-25/2025-11-18/2025-12-02,36.95%,5.27%,31.68%,0.86,0.17,3133.8395/3184.4197/3561.08/4543.575/5637.7577/6711.0756,2990.2/2923.4601/2637.2425/2299.5932/No F-Track Level/No F-Track Level,3035.6/3362.93,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"NIFTY_MIDCAP_100.NS, Long, 2025-11-11 (Price: 60427.0)",No Exit Yet,"0.52%, 3 days","91.67%, Past 4 years, 48","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-14 (Price: 60739.1992), 0.52% above",3 days,"6, 2025-06-05 (Price: 58303.0)",2025-11-07 (Price: 59843.1484),2025-11-11 (Price: 60427.0),5/3/3 days,1.5% above/0.52% above/0.52% above,2025-06-05 (Price: 59998.3505)/2025-11-11 (Price: 58902.0756),4.39%/0.64%/2.63%,"10.85%, 21.42%",71 days/4 days/16 days,2026-02-21/2025-11-16/2025-12-04,15.67%,23.17%,-7.5%,0.55,1.11,62590.2866/62016.2301/61701.4/No Horizontal Resistance/69983.5191/76335.2565,59468.6/24894.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level,58472.35/55792.17,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"INDA, Long, 2025-11-11 (Price: 54.74)",No Exit Yet,"-0.22%, 3 days","85.71%, Past 4 years, 14","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-14 (Price: 54.62), 0.22% below",3 days,"0, 2024-01-26 (Price: 49.19)",2025-11-07 (Price: 53.75),2025-11-11 (Price: 54.74),5/3/3 days,1.62% above/0.22% below/0.22% below,2024-01-26 (Price: 60.4616)/2025-11-11 (Price: 53.8796),3.11%/0.82%/1.79%,"6.22%, 16.49%",25 days/4 days/14 days,2025-12-17/2025-11-16/2025-12-01,6.14%,7.37%,-1.22%,0.22,0.26,55.3586/55.7198/58.07/55.3633/66.8401/79.771,53.62/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level,53.48/52.74,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"RHHBY, Long, 2025-11-11 (Price: 45.43)",No Exit Yet,"-1.14%, 3 days","88.0%, Past 4 years, 25","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-14 (Price: 44.91), 1.14% below",3 days,"0, 2024-01-26 (Price: 35.64)",2025-11-07 (Price: 41.96),2025-11-11 (Price: 45.43),5/3/3 days,7.03% above/1.14% below/1.14% below,2024-01-26 (Price: 47.2455)/2025-11-11 (Price: 42.5942),10.73%/0.36%/4.2%,"8.73%, 19.35%",45 days/4 days/11 days,2026-01-15/2025-11-16/2025-11-26,30.23%,1.45%,28.78%,0.66,0.0,46.5703/47.3381/51.3/52.46/58.6089/65.2057,40.15/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level,42.64/40.9,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"JPM, Long, 2025-11-10 (Price: 316.89)",No Exit Yet,"-4.19%, 4 days","97.62%, Past 4 years, 42","Daily, is CONFIRMED on 2025-11-10",Already confirmed,"2025-11-14 (Price: 303.61), 4.19% below",4 days,"0, 2024-01-25 (Price: 172.94)",2025-11-07 (Price: 314.21),2025-11-10 (Price: 316.89),5/4/4 days,3.37% below/4.19% below/4.19% below,2024-01-25 (Price: 230.2753)/2025-11-10 (Price: 313.6753),10.64%/1.12%/4.24%,"2.79%, 16.83%",71 days/4 days/19 days,2026-02-20/2025-11-15/2025-12-07,52.95%,15.43%,37.52%,1.31,0.55,319.0449/330.3261/403.26/No Horizontal Resistance/328.9175/381.492,294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level,306.49/276.27,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"FPH.NZ, Long, 2025-11-10 (Price: 38.12)",No Exit Yet,"-1.13%, 4 days","75.86%, Past 4 years, 58","Daily, is CONFIRMED on 2025-11-10",Already confirmed,"2025-11-14 (Price: 37.69), 1.13% below",4 days,"2, 2025-08-15 (Price: 37.39)",2025-11-07 (Price: 38.5),2025-11-10 (Price: 38.12),5/4/4 days,2.1% below/1.13% below/1.13% below,2025-08-15 (Price: 39.1504)/2025-11-10 (Price: 37.6284),11.99%/0.47%/4.38%,"35.23%, 43.46%",74 days/5 days/29 days,2026-02-25/2025-11-17/2025-12-22,0%,10.77%,0%,-0.18,0.39,39.3894/39.7897/38.56/39.1438/40.9296/48.5677,35.0/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level,37.08/36.0,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"BPCL.NS, Long, 2025-11-09 (Price: 367.15)",No Exit Yet,"1.09%, 4 days","81.25%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-14 (Price: 371.15), 1.09% above",4 days,"0, 2021-07-18 (Price: 224.0)",2025-11-02 (Price: 356.8),2025-11-07 (Price: 367.15),9/5/4 days,4.02% above/1.09% above/1.09% above,2021-07-18 (Price: 448.87)/2025-11-09 (Price: 351.2762),29.59%/1.78%/11.46%,"32.02%, 47.09%",174 days/19 days/61 days,2026-07-19/2025-12-06/2026-02-05,12.02%,12.45%,-0.44%,0.38,0.44,385.3239/409.2254/453.04/No Horizontal Resistance/372.4081/393.108,308.2/145.35/353.1485/295.7614/No F-Track Level/No F-Track Level,334.31/308.45,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"SJ.TO, Long, 2025-11-09 (Price: 83.75)",No Exit Yet,"1.34%, 4 days","93.94%, Past 10 years, 33","Weekly, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-14 (Price: 84.87), 1.34% above",4 days,"6, 2024-06-23 (Price: 85.96)",2025-11-09 (Price: 83.75),2025-11-09 (Price: 83.75),4/4/4 days,1.34% above/1.34% above/1.34% above,2024-06-23 (Price: 99.5)/2025-11-09 (Price: 77.9),23.9%/1.55%/9.36%,"6.63%, 46.57%",259 days/24 days/49 days,2026-11-19/2025-12-13/2026-01-18,20.93%,17.49%,3.44%,1.4,0.68,88.8671/91.589/85.08/84.3925/95.0177/123.2166,76.55/38.015/66.807/60.0601/No F-Track Level/No F-Track Level,79.48/74.69,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"XLE, Long, 2025-11-07 (Price: 89.54)",2025-11-14 (Price: 92.02) (Today),"2.77%, 5 days","93.75%, Past 4 years, 32","Daily, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-14 (Price: 92.02), 2.77% above",5 days,"2, 2025-09-18 (Price: 89.71)",2025-11-06 (Price: 88.27),2025-11-07 (Price: 89.54),6/5/5 days,4.25% above/2.77% above/2.77% above,2025-09-18 (Price: 93.9679)/2025-11-07 (Price: 87.6205),7.08%/0.4%/4.15%,"17.64%, 40.87%",85 days/4 days/18 days,2026-03-10/2025-11-12/2025-12-03,35.75%,6.1%,29.65%,0.6,0.24,92.2889/93.2559/89.64/98.445/108.2743/117.7423,87.19/45.695/89.0231/74.9996/No F-Track Level/No F-Track Level,88.4/86.85,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"LYFT, Long, 2025-11-06 (Price: 21.25)",2025-11-13 (Price: 23.8),"12.0%, 5 days","91.43%, Past 4 years, 35","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2025-11-14 (Price: 23.14), 8.89% above",6 days,"2, 2025-09-17 (Price: 22.84)",2025-11-05 (Price: 20.08),2025-11-06 (Price: 21.25),7/6/6 days,15.24% above/8.89% above/8.89% above,2025-09-17 (Price: 23.7839)/2025-11-06 (Price: 19.8392),46.32%/1.28%/12.74%,"52.91%, 72.52%",77 days/4 days/24 days,2026-02-25/2025-11-11/2025-12-10,43.3%,-10.85%,54.15%,0.48,0.14,22.4145/23.9572/22.2/57.19/81.0416/101.3843,19.42/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,20.17/15.49,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
