Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-12-04 (Price: 38.2)",No Exit Yet,"-0.37%, 3 days (business days)","95.45%, Past 5 years, 22","Daily, was CONFIRMED on 2025-12-04",Already confirmed,"2025-12-09 (Price: 38.06), 0.37% below",3 days (business days),No Information,No Information,No Information,"50% (Price: 37.605), 1.21% above, Upmove Bounce Back","2025-10-23 (Price: 34.75), 2025-11-26 (Price: 40.46)",No Information,42.57%/0.52%/10.24%,"1.6%, 46.76%",2.4 years (calendar days)/20 days (calendar days)/8.5 months (calendar days),2029-05-20/2026-01-01/2026-12-09,7.53%,0.59%,6.94%,0.41,0.02,38.7921/42.1117/41.63/39.1438/40.9296/48.5677/No EMA 200 Target,36.64/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.17,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
FRACTAL TRACK,"DOL.TO, Long, 2025-12-04 (Price: 200.08)",No Exit Yet,"-0.38%, 3 days (business days)","89.74%, Past 5 years, 39","Daily, was CONFIRMED on 2025-12-04",Already confirmed,"2025-12-09 (Price: 199.31), 0.38% below",3 days (business days),No Information,No Information,No Information,"23.66% (Price: 197.2307), 1.05% above, Upmove Bounce Back","2025-10-14 (Price: 174.26), 2025-11-26 (Price: 204.35)",No Information,96.3%/1.29%/25.2%,"4.51%, 13.11%",1.4 year (calendar days)/24 days (calendar days)/5.6 months (calendar days),2027-11-28/2026-01-07/2026-08-04,14.53%,30.26%,-15.73%,0.54,1.4,205.6822/250.5002/218.13/No Horizontal Resistance/194.1559/294.0831/No EMA 200 Target,196.89/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/179.38,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-12-04 (Price: 85.5)",No Exit Yet,"-1.93%, 3 days (business days)","95.56%, Past 5 years, 45","Daily, was CONFIRMED on 2025-12-04",Already confirmed,"2025-12-09 (Price: 83.85), 1.93% below",3 days (business days),No Information,No Information,No Information,"23.66% (Price: 84.5882), 0.87% below, Upmove Bounce Back","2025-08-07 (Price: 73.58), 2025-11-20 (Price: 88.0)",No Information,55.14%/0.68%/19.67%,"0.73%, 39.08%",1.3 year (calendar days)/12 days (calendar days)/5.4 months (calendar days),2027-11-02/2025-12-21/2026-07-26,16.13%,12.13%,4.0%,0.44,0.46,88.1248/102.3179/94.15/No Horizontal Resistance/95.0177/123.2166/No EMA 200 Target,83.49/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/76.27,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
SIGMASHELL,"NVO, Long, 2025-12-04 (Price: 47.99)",No Exit Yet,"-3.4%, 3 days (business days)","80.0%, Past 5 years, 10","Daily, was CONFIRMED on 2025-12-04",Already confirmed,"2025-12-09 (Price: 46.36), 3.4% below",3 days (business days),"-3.57, 70.37",No Information,No Information,No Information,No Information,No Information,24.95%/14.95%/20.78%,"28.06%, 44.04%",4.6 months (calendar days)/1.7 month (calendar days)/2.9 months (calendar days),2026-06-20/2026-02-15/2026-04-10,5.37%,13.17%,-7.8%,0.12,0.48,49.3241/57.9623/157.4212/139.01/157.4212/201.8641/62.5,44.97/45.4025/45.3824/37.3162/No F-Track Level/No F-Track Level/No EMA 200 Support,91.43%/70/4 days (business days) (Across ALL Assets),75.11%/237/3 days (business days) (Across ALL Assets)
OSCILLATOR DELTA,"MCY.NZ, Long, 2025-12-03 (Price: 6.37)",No Exit Yet,"-0.63%, 4 days (business days)","83.33%, Past 6 years, 36","Daily, is Confirmed on 2025-12-03",No Cancellation Possible,"2025-12-09 (Price: 6.33), 0.63% below",4 days (business days),No Information,No Information,No Information,No Information,No Information,No Information,13.28%/5.12%/7.39%,"14.5%, 17.58%",2.6 months (calendar days)/2 days (business days)/26 days (calendar days),2026-03-27/2025-12-05/2026-01-09,14.99%,4.77%,10.22%,0.22,0.17,6.6369/6.8407/7.13/7.085/7.8394/8.9737/No EMA 200 Target,No Recent Minima/5.13/5.8309/4.54/No F-Track Level/No F-Track Level/6.21,81.76%/159/2 days (business days) (Across ALL Assets),67.13%/362/2 days (business days) (Across ALL Assets)
FRACTAL TRACK,"ETH-USD, Long, 2025-12-03 (Price: 3191.5718)",No Exit Yet,"4.29%, 4 days (business days)","96.08%, Past 5 years, 51","Daily, was CONFIRMED on 2025-12-03",Already confirmed,"2025-12-09 (Price: 3328.3315), 4.29% above",4 days (business days),No Information,No Information,No Information,"61.8% (Price: 2744.2547), 21.28% above, Upmove Bounce Back","2023-03-10 (Price: 1378.5254), 2025-08-24 (Price: 4953.7329)",No Information,141.85%/0.46%/47.9%,"5.15%, 75.81%",2.7 years (calendar days)/2 days (business days)/11.4 months (calendar days),2029-09-20/2025-12-05/2027-04-10,11.91%,55.75%,-43.84%,0.38,0.99,3215.8277/4720.3347/5336.7/4922.7188/4887.278/5298.9816/3547.06,2800.19/1370.4997/2637.9184/2491.3487/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
FRACTAL TRACK,"JPY=X, Long, 2025-12-03 (Price: 155.807)",No Exit Yet,"0.67%, 4 days (business days)","100.0%, Past 5 years, 28","Daily, was CONFIRMED on 2025-12-03",Already confirmed,"2025-12-09 (Price: 156.852), 0.67% above",4 days (business days),No Information,No Information,No Information,"23.66% (Price: 155.1259), 1.11% above, Upmove Bounce Back","2025-09-17 (Price: 146.217), 2025-11-20 (Price: 157.887)",No Information,7.63%/0.83%/2.99%,"-0.0%, 5.8%",5.4 months (calendar days)/15 days (calendar days)/1.8 month (calendar days),2026-07-27/2025-12-24/2026-02-20,12.99%,7.87%,5.12%,0.49,0.4,156.103/160.4656/162.81/160.2533/175.8568/187.2285/No EMA 200 Target,155.56/109.702/138.2059/No support/No F-Track Level/No F-Track Level/148.22,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
SIGMASHELL,"CVS, Long, 2025-12-03 (Price: 75.0)",No Exit Yet,"4.32%, 4 days (business days)","100.0%, Past 5 years, 9","Daily, was CONFIRMED on 2025-12-03",Already confirmed,"2025-12-09 (Price: 78.24), 4.32% above",4 days (business days),"-3.45, 75.0",No Information,No Information,No Information,No Information,No Information,21.64%/3.88%/11.16%,"0%, 35.1%",7.8 months (calendar days)/1.6 month (calendar days)/2.6 months (calendar days),2026-11-06/2026-02-09/2026-03-25,25.69%,7.17%,18.52%,1.78,0.26,78.915/83.37/116.3721/106.045/116.3721/144.3517/No EMA 200 Target,70.26/58.425/70.3769/60.5139/No F-Track Level/No F-Track Level/69.82,91.43%/70/4 days (business days) (Across ALL Assets),75.11%/237/3 days (business days) (Across ALL Assets)
OSCILLATOR DELTA,"NVDA, Long, 2025-12-02 (Price: 181.46)",No Exit Yet,"1.93%, 5 days (business days)","86.84%, Past 6 years, 38","Daily, is Confirmed on 2025-12-02",No Cancellation Possible,"2025-12-09 (Price: 184.97), 1.93% above",5 days (business days),No Information,No Information,No Information,No Information,No Information,No Information,21.7%/5.08%/10.25%,"14.32%, 16.64%",1.8 month (calendar days)/2 days (business days)/9 days (calendar days),2026-02-19/2025-12-04/2025-12-15,166.42%,81.52%,84.9%,0.34,2.03,194.7247/200.0597/190.53/No Horizontal Resistance/239.8943/283.6698/No EMA 200 Target,No Recent Minima/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/155.27,81.76%/159/2 days (business days) (Across ALL Assets),67.13%/362/2 days (business days) (Across ALL Assets)
FRACTAL TRACK,"SUM.NZ, Long, 2025-12-02 (Price: 12.48)",No Exit Yet,"-4.33%, 5 days (business days)","96.55%, Past 5 years, 29","Daily, was CONFIRMED on 2025-12-02",Already confirmed,"2025-12-09 (Price: 11.94), 4.33% below",5 days (business days),No Information,No Information,No Information,"23.66% (Price: 12.2582), 2.6% below, Upmove Bounce Back","2025-08-27 (Price: 10.51), 2025-11-18 (Price: 12.8)",No Information,7.52%/0.86%/3.34%,"1.14%, 17.77%",3.1 months (calendar days)/12 days (calendar days)/1.4 month (calendar days),2026-04-14/2025-12-19/2026-02-02,16.56%,2.28%,14.28%,0.28,0.03,12.4925/12.8968/13.85/13.345/19.8479/26.5969/No EMA 200 Target,12.29/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.41,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
SIGMASHELL,"IFT.NZ, Long, 2025-12-02 (Price: 11.75)",No Exit Yet,"-0.43%, 5 days (business days)","100.0%, Past 5 years, 9","Daily, was CONFIRMED on 2025-12-02",Already confirmed,"2025-12-09 (Price: 11.7), 0.43% below",5 days (business days),"-3.31, 89.28",No Information,No Information,No Information,No Information,No Information,20.56%/4.86%/12.2%,"0%, 16.37%",3.0 months (calendar days)/1.3 month (calendar days)/1.8 month (calendar days),2026-04-09/2026-01-27/2026-02-18,30.94%,11.76%,19.18%,2.07,0.47,12.1965/13.1835/18.927/11.925/18.927/29.733/No EMA 200 Target,11.39/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/11.35,91.43%/70/4 days (business days) (Across ALL Assets),75.11%/237/3 days (business days) (Across ALL Assets)
SIGMASHELL,"MCY.NZ, Long, 2025-12-02 (Price: 6.3)",No Exit Yet,"0.48%, 5 days (business days)","75.0%, Past 5 years, 16","Daily, was CONFIRMED on 2025-12-02",Already confirmed,"2025-12-09 (Price: 6.33), 0.48% above",5 days (business days),"-3.38, 76.56",No Information,No Information,No Information,No Information,No Information,22.29%/3.65%/11.33%,"5.11%, 24.61%",1.0 year (calendar days)/28 days (calendar days)/3.2 months (calendar days),2027-06-01/2026-01-11/2026-04-20,22.84%,8.05%,14.79%,1.03,0.29,6.5501/7.0138/7.8394/7.085/7.8394/8.9737/No EMA 200 Target,6.07/5.13/5.8309/4.54/No F-Track Level/No F-Track Level/6.21,91.43%/70/4 days (business days) (Across ALL Assets),75.11%/237/3 days (business days) (Across ALL Assets)
FRACTAL TRACK,"WIPRO.NS, Long, 2025-11-30 (Price: 249.53)",No Exit Yet,"3.16%, 9 days (calendar days)","88.0%, Past 80 years, 25","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-09 (Price: 257.41), 3.16% above",9 days (calendar days),No Information,No Information,No Information,"61.8% (Price: 232.7652), 10.59% above, Upmove Bounce Back","2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",No Information,196.24%/14.77%/97.8%,"25.41%, 71.77%",3.8 years (calendar days)/8 months (calendar days)/1.8 year (calendar days),2031-05-04/2026-11-12/2028-07-15,9.34%,22.33%,-12.98%,0.43,0.63,243.4664/493.5703/338.69/366.6625/412.2037/473.5829/254.07,239.37/187.6062/216.7036/198.5041/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/1 day (business days) (Across ALL Assets),68.29%/82/9 days (calendar days) (Across ALL Assets)
FRACTAL TRACK,"RELIANCE.NS, Long, 2025-11-30 (Price: 1567.5)",No Exit Yet,"-2.43%, 9 days (calendar days)","88.46%, Past 48 years, 26","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-09 (Price: 1529.4), 2.43% below",9 days (calendar days),No Information,No Information,No Information,"23.66% (Price: 1322.8731), 15.61% above, Upmove Bounce Back","2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",No Information,415.66%/5.67%/156.39%,"26.03%, 38.57%",6.2 years (calendar days)/6.5 months (calendar days)/2.3 years (calendar days),2034-09-16/2026-09-08/2029-03-20,8.96%,19.65%,-10.68%,0.38,0.63,1774.5667/4018.9132/2292.59/No Horizontal Resistance/2250.6285/2387.5727/No EMA 200 Target,1200.1/855.3207/1503.6962/1393.886/No F-Track Level/No F-Track Level/1397.39,84.62%/39/1 day (business days) (Across ALL Assets),68.29%/82/9 days (calendar days) (Across ALL Assets)
FRACTAL TRACK,"SFTBY, Long, 2025-11-28 (Price: 53.81)",2025-12-05 (Price: 62.12),"15.44%, 5 days (business days)","96.55%, Past 5 years, 29","Daily, was CONFIRMED on 2025-11-28",Already confirmed,"2025-12-09 (Price: 60.45), 12.34% above",11 days (calendar days),No Information,No Information,No Information,"61.8% (Price: 46.6535), 29.57% above, Upmove Bounce Back","2025-04-07 (Price: 19.86), 2025-10-29 (Price: 90.0)",No Information,163.68%/8.12%/48.76%,"1.65%, 38.56%",11.3 months (calendar days)/13 days (calendar days)/5.4 months (calendar days),2027-04-04/2025-12-16/2026-07-19,29.01%,21.88%,7.12%,0.45,0.69,55.5319/80.0478/95.89/No Horizontal Resistance/95.4524/115.3755/No EMA 200 Target,50.04/16.82/48.3837/40.3224/No F-Track Level/No F-Track Level/44.02,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
FRACTAL TRACK,"CNR.TO, Long, 2025-11-26 (Price: 132.03)",2025-12-09 (Price: 135.38) (Today),"2.54%, 13 days (calendar days)","95.65%, Past 5 years, 23","Daily, was CONFIRMED on 2025-11-26",Already confirmed,"2025-12-09 (Price: 135.38), 2.54% above",13 days (calendar days),No Information,No Information,No Information,"61.8% (Price: 131.225), 3.17% above, Upmove Bounce Back","2025-09-11 (Price: 126.11), 2025-10-31 (Price: 139.5)",No Information,13.38%/0.33%/9.22%,"1.37%, 16.7%",1.4 year (calendar days)/14 days (calendar days)/7.2 months (calendar days),2027-11-08/2025-12-16/2026-10-03,8.8%,0.05%,8.74%,0.53,-0.12,131.832/144.2032/140.06/167.5729/218.156/349.4971/136.66,128.08/127.762/86.815/55.8095/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
FRACTAL TRACK,"UBER, Long, 2025-11-25 (Price: 83.69)",2025-12-08 (Price: 92.57),"10.61%, 13 days (calendar days)","100.0%, Past 5 years, 47","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-09 (Price: 89.07), 6.43% above",14 days (calendar days),No Information,No Information,No Information,"23.66% (Price: 81.5091), 9.28% above, Upmove Bounce Back","2023-04-27 (Price: 29.22), 2025-07-09 (Price: 97.715)",No Information,103.69%/0.66%/22.72%,"-0.0%, 56.64%",2.7 years (calendar days)/21 days (calendar days)/5.3 months (calendar days),2029-09-19/2025-12-25/2026-07-11,16.11%,18.26%,-2.15%,0.44,0.6,84.1754/102.7044/124.79/No Horizontal Resistance/99.1711/103.8185/87.38,83.36/34.6025/75.9736/63.3753/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
DELTADRIFT,"IBKR, Long, 2025-11-24 (Price: 62.43)",2025-12-04 (Price: 65.95),"5.64%, 10 days (calendar days)","100.0%, Past 4 years, 7","Daily, was CONFIRMED on 2025-11-24",Already confirmed,"2025-12-09 (Price: 65.56), 5.01% above",15 days (calendar days),No Information,No Information,No Information,No Information,No Information,No Information,7.8%/2.46%/4.71%,"0%, 19.81%",1.4 month (calendar days)/2 days (business days)/11 days (calendar days),2026-01-22/2025-11-26/2025-12-09,15.06%,38.45%,-23.39%,2.14,1.27,66.3943/65.3705/65.88/No Horizontal Resistance/102.297/159.1852/No EMA 200 Target,61.05/13.0762/45.4088/31.9794/No F-Track Level/No F-Track Level/57.08,88.12%/101/12 days (calendar days) (Across ALL Assets),77.89%/484/15 days (calendar days) (Across ALL Assets)
