"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"TCS.NS, Long, 2025-12-12 (Price: 3220.5)",No Exit Yet,"0.0%, 0 days","87.5%, Past 21 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 2866.6001 prior to 2025-12-31,"2025-12-12 (Price: 3220.5), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 2809.1),14.65% above,"2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",26.36%/7.31%/19.71%,"10.18%, 12.85%",1 day/3 days/8 days,2027-10-20/2026-04-21/2026-12-07,7.28%,13.73%,-6.45%,0.82,0.62,3352.5405/3855.2605/5360.28/4543.575/No Next Fib Ext/No Next Fib Ext/3263.81,2888.4/2923.4601/No F-Stack Support/No F-Stack Support/No support/3116.0412/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"FPH.NZ, Long, 2025-12-12 (Price: 37.44)",No Exit Yet,"0.0%, 0 days","85.71%, Past 24 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 34.75 prior to 2025-12-31,"2025-12-12 (Price: 37.44), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 34.9549),7.11% above,"2023-10-31 (Price: 20.29), 2025-01-31 (Price: 39.5)",22.73%/20.64%/21.31%,"10.15%, 45.89%",6 days/4 days/3 days,2035-01-31/2026-06-03/2030-08-28,4.68%,9.29%,-4.61%,0.75,0.49,46.6652/45.4185/48.97/39.1438/40.9296/48.5677/No EMA 200 Target,33.54/22.5167/30.9793/26.1935/35.1507/31.8879/36.21,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"SUM.NZ, Long, 2025-12-12 (Price: 12.25)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-12-12 (Price: 12.25), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 10.74),14.06% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",48.88%/41.01%/44.94%,"-0.0%, 38.76%",1 day/1 day/1 day,2027-10-20/2027-05-17/2027-07-08,11.55%,11.73%,-0.18%,0.86,0.59,12.5758/17.7552/15.49/13.345/16.7981/18.5763/No EMA 200 Target,8.8/9.1367/11.1928/8.9354/12.1624/11.3772/11.42,93.33%/15/0 days (Across ALL Assets),77.78%/9/0 days (Across ALL Assets)
"AMZN, Long, 2025-12-11 (Price: 230.28)",No Exit Yet,"-1.78%, 1 day","100.0%, Past 5 years, 16","Daily, was CONFIRMED on 2025-12-11",Already confirmed,"2025-12-12 (Price: 226.19), 1.78% below",1 day,Upmove Bounce Back,23.66% (Price: 225.4168),0.34% above,"2023-10-26 (Price: 118.35), 2025-11-03 (Price: 258.6)",14.33%/10.15%/11.4%,"-0.0%, 55.73%",2 days/23 days/8 days,2029-10-18/2026-01-13/2026-12-11,24.8%,5.4%,19.4%,2.24,0.29,235.231/256.5319/314.43/239.3/317.6152/339.3352/No EMA 200 Target,226.89/86.995/213.1321/193.0625/No F-Track Level/No F-Track Level/215.19,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"XLV, Long, 2025-12-11 (Price: 153.58)",No Exit Yet,"0.31%, 1 day","100.0%, Past 5 years, 14","Daily, was CONFIRMED on 2025-12-11",Already confirmed,"2025-12-12 (Price: 154.06), 0.31% above",1 day,Upmove Bounce Back,23.66% (Price: 151.6178),1.61% above,"2025-08-07 (Price: 127.96), 2025-11-26 (Price: 158.95)",11.13%/3.8%/9.53%,"-0.0%, 16.06%",2 days/2 days/1 day,2029-07-06/2026-04-02/2027-08-28,12.63%,5.05%,7.58%,1.59,0.27,155.8837/168.2162/172.17/No Horizontal Resistance/174.1807/202.706/No EMA 200 Target,149.96/121.1/153.114/117.2225/No F-Track Level/No F-Track Level/139.93,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"PPH, Long, 2025-12-11 (Price: 100.16)",No Exit Yet,"0.63%, 1 day","86.67%, Past 5 years, 15","Daily, was CONFIRMED on 2025-12-11",Already confirmed,"2025-12-12 (Price: 100.79), 0.63% above",1 day,Upmove Bounce Back,23.66% (Price: 98.3974),2.43% above,"2025-08-07 (Price: 81.74), 2025-11-26 (Price: 103.56)",12.45%/0.93%/9.41%,"2.45%, 16.76%",1 day/11 days/7 days,2028-07-06/2025-12-26/2026-10-11,19.65%,6.44%,13.21%,1.72,0.41,103.3251/109.5851/113.25/No Horizontal Resistance/110.0139/120.2747/No EMA 200 Target,97.57/65.915/100.0174/96.0365/No F-Track Level/No F-Track Level/90.05,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"CEN.NZ, Long, 2025-12-11 (Price: 9.36)",No Exit Yet,"-0.21%, 1 day","90.91%, Past 5 years, 11","Daily, was CONFIRMED on 2025-12-11",Already confirmed,"2025-12-12 (Price: 9.34), 0.21% below",1 day,Upmove Bounce Back,50% (Price: 9.305),0.38% above,"2025-08-27 (Price: 8.71), 2025-11-26 (Price: 9.9)",12.03%/1.09%/6.9%,"3.1%, 17.16%",2 days/1 day/11 days,2030-01-31/2026-02-05/2027-04-02,8.13%,2.77%,5.36%,0.86,0.1,9.4302/10.0058/10.07/9.4367/11.2606/15.4512/No EMA 200 Target,9.28/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.15,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"CAD=X, Long, 2025-12-10 (Price: 1.3845)",No Exit Yet,"-0.55%, 2 days","90.91%, Past 5 years, 11","Daily, was CONFIRMED on 2025-12-10",Already confirmed,"2025-12-12 (Price: 1.3769), 0.55% below",2 days,Upmove Bounce Back,23.66% (Price: 1.3998),1.64% below,"2025-06-16 (Price: 1.3541), 2025-11-05 (Price: 1.4139)",8.38%/0.2%/2.57%,"0.16%, 5.36%",2 days/1 day/11 days,2029-03-21/2026-02-17/2027-04-28,-1.66%,1.38%,-3.04%,0.86,-0.36,1.4097/1.4201/1.42/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/1.39,1.38/1.2339/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"UBER, Long, 2025-12-07 (Price: 91.32)",No Exit Yet,"-6.8%, 5 days","100.0%, Past 6 years, 4","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-12 (Price: 85.11), 6.8% below",5 days,Upmove Bounce Back,23.66% (Price: 82.5663),3.08% above,"2022-07-03 (Price: 19.895), 2025-09-28 (Price: 101.99)",18.06%/15.5%/16.66%,"0%, 6.35%",1 day/14 days/29 days,2026-02-14/2025-12-27/2026-01-18,23.54%,8.01%,15.53%,14.78,0.43,82.3706/106.5339/140.58/No Horizontal Resistance/99.1711/103.8185/No EMA 200 Target,83.87/34.6025/88.7885/84.8096/No F-Track Level/No F-Track Level/87.52,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"XLY, Long, 2025-12-07 (Price: 119.73)",No Exit Yet,"0.81%, 5 days","92.86%, Past 20 years, 14","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-12 (Price: 120.7), 0.81% above",5 days,Upmove Bounce Back,38.2% (Price: 108.2727),11.48% above,"2025-04-13 (Price: 86.55), 2025-09-21 (Price: 121.7)",19.19%/0.05%/14.75%,"14.45%, 57.22%",4 days/7 days/1 day,2032-05-10/2025-12-17/2027-07-03,8.81%,7.06%,1.75%,1.55,0.38,130.0028/137.3902/140.82/120.92/125.4815/133.9156/No EMA 200 Target,112.75/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/110.05,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"MA, Long, 2025-12-07 (Price: 545.52)",No Exit Yet,"4.84%, 5 days","88.89%, Past 19 years, 18","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-12 (Price: 571.93), 4.84% above",5 days,Upmove Bounce Back,38.2% (Price: 535.7184),6.76% above,"2024-07-28 (Price: 428.86), 2025-08-24 (Price: 601.77)",20.8%/7.86%/16.28%,"10.74%, 25.66%",1 day/1 day/6 days,2028-03-20/2026-02-05/2026-09-11,14.25%,18.73%,-4.48%,1.65,0.96,592.3256/634.3307/649.27/592.9033/716.5814/751.3605/559.47,540.4/306.91/515.4888/442.8637/No F-Track Level/No F-Track Level/No EMA 200 Support,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"BN.TO, Long, 2025-12-07 (Price: 64.54)",No Exit Yet,"-2.59%, 5 days","92.31%, Past 2 years, 13","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-12 (Price: 62.87), 2.59% below",5 days,Upmove Bounce Back,38.2% (Price: 58.0258),8.35% above,"2025-04-13 (Price: 41.2533), 2025-09-28 (Price: 68.3933)",18.15%/4.17%/14.91%,"0.94%, 29.1%",2 days/1 day/10 days,2028-10-14/2026-01-28/2027-02-23,10.18%,8.84%,1.34%,2.08,0.46,74.4017/74.1629/80.82/No Horizontal Resistance/69.5978/79.2394/No EMA 200 Target,43.89/27.0034/63.3841/59.2857/No F-Track Level/No F-Track Level/57.56,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"IBKR, Long, 2025-12-07 (Price: 64.5)",No Exit Yet,"-0.54%, 5 days","100.0%, Past 18 years, 14","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-12 (Price: 64.15), 0.54% below",5 days,Upmove Bounce Back,38.2% (Price: 57.8675),10.86% above,"2025-04-13 (Price: 32.82), 2025-10-12 (Price: 73.35)",29.17%/15.14%/18.21%,"0%, 40.57%",2 days/1 day/9 days,2029-08-23/2026-02-14/2027-01-23,15.51%,8.23%,7.28%,4.51,0.42,71.5047/76.2454/88.82/No Horizontal Resistance/81.4292/98.2092/No EMA 200 Target,61.05/13.0762/62.0029/55.579/No F-Track Level/No F-Track Level/57.3,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"TSLA, Long, 2025-11-30 (Price: 430.17)",No Exit Yet,"6.69%, 12 days","73.33%, Past 15 years, 15","Weekly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-12 (Price: 458.96), 6.69% above",12 days,Upmove Bounce Back,23.66% (Price: 375.7432),22.15% above,"2019-06-09 (Price: 11.7993), 2024-12-22 (Price: 488.54)",32.79%/4.5%/18.29%,"19.51%, 42.05%",1 day/1 day/4 days,2028-01-21/2026-01-21/2026-06-22,12.11%,30.11%,-18.0%,0.69,1.16,622.2409/508.8481/716.21/No Horizontal Resistance/490.132/554.3681/No EMA 200 Target,391.09/181.0784/413.6779/330.0827/No F-Track Level/No F-Track Level/346.08,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-30 (Price: 249.53)",No Exit Yet,"4.44%, 12 days","77.78%, Past 80 years, 9","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-12 (Price: 260.6), 4.44% above",12 days,Upmove Bounce Back,61.8% (Price: 232.7652),11.96% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",30.71%/20.0%/24.36%,"25.41%, 60.52%",1 day/5 days/11 days,2028-08-16/2026-07-09/2027-04-18,6.46%,15.61%,-9.15%,0.44,0.63,293.597/310.3155/338.69/366.6625/412.2037/473.5829/253.26,239.37/187.6062/216.7036/198.5041/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-30 (Price: 1567.5)",No Exit Yet,"-0.7%, 12 days","90.0%, Past 48 years, 10","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-12 (Price: 1556.5), 0.7% below",12 days,Upmove Bounce Back,23.66% (Price: 1322.8731),17.66% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",42.5%/21.29%/26.97%,"6.47%, 28.2%",1 day/2 days/7 days,2028-03-13/2026-02-24/2026-10-08,11.26%,13.7%,-2.44%,1.21,0.63,2292.7823/1990.2548/2292.59/No Horizontal Resistance/2250.6285/2387.5727/No EMA 200 Target,1200.1/855.3207/1503.6962/1393.886/No F-Track Level/No F-Track Level/1402.15,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"PG, Long, 2025-11-30 (Price: 148.16)",No Exit Yet,"-3.59%, 12 days","100.0%, Past 20 years, 25","Weekly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-12 (Price: 142.84), 3.59% below",12 days,Upmove Bounce Back,23.66% (Price: 142.4353),0.28% above,"1996-04-14 (Price: 19.8438), 2024-12-01 (Price: 180.43)",17.41%/1.34%/12.82%,"-0.0%, 37.68%",5 days/2 days/1 day,2033-03-10/2026-03-09/2027-11-28,8.85%,3.33%,5.52%,1.64,0.11,156.1458/167.1541/244.51/179.4533/186.6499/209.3631/157.81,146.98/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"CNR.TO, Long, 2025-11-26 (Price: 132.03)",2025-12-09 (Price: 135.38),"2.54%, 13 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2025-11-26",Already confirmed,"2025-12-12 (Price: 134.71), 2.03% above",16 days,Upmove Bounce Back,61.8% (Price: 131.225),2.66% above,"2025-09-11 (Price: 126.11), 2025-10-31 (Price: 139.5)",11.26%/0.33%/9.09%,"-0.0%, 14.35%",1 day/18 days/7 days,2027-10-04/2025-12-22/2026-09-30,16.8%,-0.9%,17.7%,0.98,-0.19,131.9772/144.0315/140.06/167.5729/218.156/349.4971/136.53,128.08/127.762/86.815/55.8095/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"UBER, Long, 2025-11-25 (Price: 83.69)",2025-12-08 (Price: 92.57),"10.61%, 13 days","100.0%, Past 5 years, 23","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-12 (Price: 85.11), 1.7% above",17 days,Upmove Bounce Back,23.66% (Price: 81.5091),4.42% above,"2023-04-27 (Price: 29.22), 2025-07-09 (Price: 97.715)",15.06%/0.66%/9.9%,"-0.0%, 57.74%",2 days/4 days/4 days,2029-04-29/2025-11-30/2026-06-17,33.14%,7.1%,26.04%,1.78,0.39,86.117/91.9753/124.79/No Horizontal Resistance/99.1711/103.8185/87.52,83.36/34.6025/75.9736/63.3753/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"WPM.TO, Long, 2025-11-25 (Price: 144.58)",2025-12-11 (Price: 161.5),"11.7%, 16 days","95.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-12 (Price: 161.74), 11.87% above",17 days,Upmove Bounce Back,23.66% (Price: 139.3211),16.09% above,"2024-06-28 (Price: 71.18), 2025-10-16 (Price: 160.44)",14.62%/2.13%/10.44%,"0.62%, 39.55%",1 day/13 days/4 days,2027-06-21/2025-12-13/2026-06-04,33.25%,15.97%,17.28%,1.94,0.81,153.2693/159.6742/198.14/No Horizontal Resistance/180.0371/199.4231/No EMA 200 Target,139.91/52.782/133.3839/125.3844/No F-Track Level/No F-Track Level/128.73,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"GDX, Long, 2025-11-25 (Price: 77.8)",2025-12-11 (Price: 86.26),"10.87%, 16 days","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-12 (Price: 85.66), 10.1% above",17 days,Upmove Bounce Back,23.66% (Price: 72.8649),17.56% above,"2024-12-30 (Price: 33.42), 2025-10-16 (Price: 85.09)",16.06%/1.26%/10.28%,"3.89%, 38.9%",2 days/14 days/4 days,2029-03-06/2025-12-15/2026-06-21,25.44%,12.61%,12.83%,1.62,0.62,84.7242/85.7978/108.8/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,72.97/25.645/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/59.44,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"TSM, Long, 2025-11-20 (Price: 277.5)",2025-12-10 (Price: 310.14),"11.76%, 20 days","95.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-11-20",Already confirmed,"2025-12-12 (Price: 292.04), 5.24% above",22 days,Upmove Bounce Back,23.66% (Price: 269.4634),8.38% above,"2025-04-07 (Price: 134.25), 2025-10-16 (Price: 311.37)",13.85%/10.09%/11.5%,"1.02%, 51.98%",2 days/16 days/3 days,2028-11-19/2025-12-13/2026-05-04,37.14%,15.53%,21.61%,2.66,0.73,302.7802/309.4125/383.77/No Horizontal Resistance/334.306/349.9895/No EMA 200 Target,227.33/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/231.2,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
