Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Market Cap (USD)
DELTADRIFT,"TCS.NS, Long, 2025-10-12 (Price: 3028.3)",Weekly,2025-12-07 (Price: 3238.2),No Price Target,No Date Target,2.4%/2.52%,"5.31%, 2 days","2025-12-10 (Price: 3189.2), 5.31% above",3265.7187 (Historic Rise or Fall to Pivot)/3277.2263 (Avg % Gain of Historic Winning trades)/3271.47 (Exit Rule)/4543.575 (Horizontal)/5637.7577 (F-Stack 1)/6110.9256 (F-Stack 2)/3269.56 (EMA 200)/3454.079 (Backtested Max),2026-01-02 (Max),2899.1/2937.675/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,"75.0%, Past 15 years, 4",No Information,No Information,No Information,No Information,No Information,No Information,14.06%/3.68%/8.22%,"14.47%, 16.73%",1 day/21 days/1 day,5.93%,8.39%,-2.46%,0.21,0.46,96.88%/32/0 days (Across ALL Assets),88.57%/105/0 days (Across ALL Assets),11538.80B
TRENDPULSE,"GOOG, Long, 2025-10-31 (Price: 281.82)",Monthly,No Exit Yet,322.8294 (F-Stack 2)/317.3575 (Backtested Min),No Date Target,7.09%/25.32%,"13.9%, 1 day","2025-12-10 (Price: 321.0), 13.9% above",343.764 (Historic Rise or Fall to Pivot)/412.669 (Avg % Gain of Historic Winning trades)/402.28 (Exit Rule)/459.4793 (Backtested Max),2027-01-17 (Max)/2026-06-09 (Min)/2026-07-27 (Avg),156.23/84.6567/240.3589/219.0619/No F-Track Level/No F-Track Level/194.01,"100.0%, Past 20 years, 11",No Information,No Information,No Information,No Information,No Information,31.8% above/27.53% above/13.9% above,63.04%/12.61%/46.43%,"-0.0%, 18.92%",10 days/5 days/6 days,13.15%,17.12%,-3.97%,1.16,0.87,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),3875.06B
OSCILLATOR DELTA,"NFLX, Long, 2025-10-31 (Price: 111.886)",Daily,2025-12-05 (Price: 100.24),No Price Target,2025-12-12 (Avg),26.72%/26.98%,"-17.14%, 1 day","2025-12-10 (Price: 92.71), 17.14% below",118.7446 (Historic Rise or Fall to Pivot)/123.511 (Avg % Gain of Historic Winning trades)/117.48 (Exit Rule)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/144.7245 (Backtested Max)/117.7264 (Backtested Min),2026-06-13 (Max)/2025-12-12 (Avg),No Recent Minima/34.8663/100.8852/86.4764/No F-Track Level/No F-Track Level/No EMA 200 Support,"72.73%, Past 6 years, 22",No Information,No Information,No Information,No Information,No Information,No Information,29.35%/5.22%/10.39%,"35.12%, 35.12%",5 days/2 days/29 days,11.89%,16.03%,-4.14%,0.22,0.73,81.76%/159/0 days (Across ALL Assets),67.13%/362/0 days (Across ALL Assets),392.84B
TRENDPULSE,"TD.TO, Long, 2025-12-05 (Price: 122.2)",Daily,No Exit Yet,No Price Target,2025-12-10 (Min),1.24%/1.38%,"3.01%, 5 days","2025-12-10 (Price: 125.88), 3.01% above",127.4424 (Historic Rise or Fall to Pivot)/134.15 (Exit Rule)/128.6672 (F-Stack 1)/152.0396 (F-Stack 2)/127.6135 (Backtested Max),2026-02-03 (Max)/2025-12-22 (Avg),113.54/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/99.51,"95.45%, Past 4 years, 22",No Information,No Information,No Information,No Information,No Information,4.82% above/3.01% above/3.01% above,4.43%/0.31%/2.53%,"4.88%, 19.34%",1 day/4 days/12 days,5.23%,5.65%,-0.42%,1.2,0.29,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),214.90B
TRENDPULSE,"HDB, Long, 2025-04-30 (Price: 36.345)",Monthly,No Exit Yet,No Price Target,2025-12-07 (Min),9.9%/10.38%,"-2.55%, 7 days","2025-12-10 (Price: 35.42), 2.55% below",39.0963 (Historic Rise or Fall to Pivot)/41.6368 (Avg % Gain of Historic Winning trades)/45.15 (Exit Rule)/39.24 (Horizontal)/40.717 (F-Stack 1)/47.4928 (F-Stack 2)/43.4214 (Backtested Max)/38.9255 (Backtested Min),2027-11-24 (Max)/2027-03-08 (Avg),26.75/25.82/32.7076/21.1884/No F-Track Level/No F-Track Level/31.43,"100.0%, Past 20 years, 12",No Information,No Information,No Information,No Information,No Information,2.55% below/7.89% above/2.55% below,19.47%/7.1%/14.56%,"-0.0%, 63.31%",1 day/5 days/1 day,10.0%,11.88%,-1.88%,1.34,0.59,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),181.62B
TRENDPULSE,"SONY, Long, 2025-03-31 (Price: 25.39)",Monthly,2025-12-10 (Price: 27.08) (Today),No Price Target,No Date Target,7.62%/8.49%,"6.66%, 8 days","2025-12-10 (Price: 27.08), 6.66% above",29.1426 (Historic Rise or Fall to Pivot)/32.8343 (Avg % Gain of Historic Winning trades)/29.38 (Exit Rule)/33.2191 (F-Stack 1)/35.3948 (F-Stack 2)/37.6204 (Backtested Max),2027-02-06 (Max)/2026-05-22 (Avg),16.47/14.992/24.8529/22.354/No F-Track Level/No F-Track Level/19.99,"87.5%, Past 20 years, 16",No Information,No Information,No Information,No Information,No Information,23.03% above/8.45% above/6.66% above,48.17%/7.34%/29.32%,"31.07%, 31.13%",1 day/5 days/9 days,7.48%,2.09%,5.39%,0.95,0.13,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),161.49B
SIGMASHELL,"DOL.TO, Long, 2025-10-01 (Price: 181.79)",Daily,No Exit Yet,202.2414 (Avg % Gain of Historic Winning trades),No Date Target,5.63%/46.7%,"10.27%, 2 days","2025-12-10 (Price: 200.46), 10.27% above",294.0831 (F-Stack 2)/211.749 (Backtested Max),2026-02-17 (Max)/2025-12-22 (Min)/2026-01-08 (Avg),175.34/53.835/132.3972/94.2286/No F-Track Level/No F-Track Level/179.64,"100.0%, Past 5 years, 5","-4.42, 93.33",No Information,No Information,No Information,No Information,No Information,16.48%/8.78%/11.25%,"-0.0%, 7.51%",3 days/1 day/2 days,14.73%,19.58%,-4.85%,1.4,1.24,91.43%/70/0 days (Across ALL Assets),75.11%/237/0 days (Across ALL Assets),55.37B
TRENDPULSE,"TFII.TO, Long, 2025-10-17 (Price: 132.51)",Daily,2025-12-10 (Price: 139.46) (Today),139.6655 (Historic Rise or Fall to Pivot)/139.4403 (Avg % Gain of Historic Winning trades),No Date Target,3.64%/57.75%,"5.24%, 1 day","2025-12-10 (Price: 139.46), 5.24% above",219.9933 (Horizontal)/223.9051 (F-Stack 1)/280.6304 (F-Stack 2)/144.5419 (Backtested Max),2026-02-24 (Max)/2025-12-16 (Avg),121.18/102.925/113.6809/104.714/No F-Track Level/No F-Track Level/No EMA 200 Support,"84.21%, Past 4 years, 19",No Information,No Information,No Information,No Information,No Information,4.11% above/5.24% above/5.24% above,9.08%/2.14%/5.23%,"5.39%, 18.82%",3 days/8 days/1 day,14.66%,12.79%,1.87%,1.0,0.61,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),11.58B
TRENDPULSE,"BYD.TO, Long, 2025-02-02 (Price: 238.35)",Weekly,No Exit Yet,No Price Target,2025-12-11 (Max),8.92%/13.61%,"-5.61%, 10 days","2025-12-10 (Price: 224.97), 5.61% below",257.2035 (Historic Rise or Fall to Pivot)/255.5827 (Avg % Gain of Historic Winning trades)/255.83 (Horizontal)/367.2583 (F-Stack 1)/388.6839 (F-Stack 2)/271.4091 (Backtested Max)/245.0476 (Backtested Min),2025-12-11 (Max),208.54/187.425/229.0045/147.1212/No F-Track Level/No F-Track Level/230.01,"100.0%, Past 10 years, 31",No Information,No Information,No Information,No Information,No Information,1.55% above/5.61% below/5.61% below,13.87%/2.81%/7.23%,"-0.0%, 50.63%",7 days/28 days/4 days,12.02%,17.33%,-5.31%,1.5,0.91,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),6.26B
TRENDPULSE,"CNU.NZ, Long, 2024-09-30 (Price: 8.72)",Monthly,2025-12-10 (Price: 9.18) (Today),No Price Target,No Date Target,12.73%/20.1%,"5.28%, 1 day","2025-12-10 (Price: 9.18), 5.28% above",10.3489 (Avg % Gain of Historic Winning trades)/11.0256 (Backtested Max),2026-01-25 (Max),7.18/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/7.84,"100.0%, Past 20 years, 6",No Information,No Information,No Information,No Information,No Information,7.49% above/5.28% above/5.28% above,26.44%/7.23%/18.68%,"-0.0%, 15.86%",11 days/5 days/8 days,14.78%,5.28%,9.5%,1.0,0.27,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),4.01B
TRENDPULSE,"FBU.NZ, Long, 2025-09-07 (Price: 3.22)",Weekly,2025-12-07 (Price: 3.64),No Price Target,No Date Target,58.94%/123.04%,"11.18%, 3 days","2025-12-10 (Price: 3.58), 11.18% above",5.69 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2),2027-04-03 (Max)/2026-02-06 (Min)/2026-11-15 (Avg),2.94/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.09,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,11.18% above/11.18% above/11.18% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1 day/3 days/10 days,-4.06%,-3.73%,-0.33%,-0.25,-0.19,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),3.97B
FRACTAL TRACK,"FRW.NZ, Long, 2025-11-20 (Price: 13.84)",Daily,No Exit Yet,14.1998 (Historic Rise or Fall to Pivot),No Date Target,7.6%/10.65%,"2.6%, 20 days","2025-12-10 (Price: 14.2), 2.6% above",15.2794 (Avg % Gain of Historic Winning trades)/16.93 (Exit Rule)/16.2179 (F-Stack 1)/21.849 (F-Stack 2)/15.7126 (Backtested Max),2031-03-03 (Max)/2026-04-25 (Min)/2027-08-07 (Avg),13.67/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/11.86,"88.89%, Past 5 years, 9",No Information,No Information,No Information,"23.66% (Price: 13.6615), 3.94% above, Upmove Bounce Back","2025-04-07 (Price: 9.73), 2025-10-31 (Price: 14.88)",No Information,13.53%/1.54%/10.4%,"4.41%, 40.87%",3 days/3 days/1 day,11.59%,4.86%,6.73%,1.04,0.24,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),2.53B
FRACTAL TRACK,"ASHR, Long, 2025-11-25 (Price: 32.25)",Daily,No Exit Yet,33.1304 (Backtested Min),No Date Target,7.72%/14.6%,"2.91%, 15 days","2025-12-10 (Price: 33.19), 2.91% above",35.7523 (Avg % Gain of Historic Winning trades)/38.68 (Exit Rule)/39.9467 (Horizontal)/60.2967 (F-Stack 1)/80.3432 (F-Stack 2)/38.0356 (Backtested Max),2029-03-06 (Max)/2026-02-06 (Min)/2027-02-15 (Avg),31.79/23.68/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/29.24,"100.0%, Past 5 years, 12",No Information,No Information,No Information,"23.66% (Price: 31.4536), 5.52% above, Upmove Bounce Back","2025-04-07 (Price: 23.27), 2025-10-29 (Price: 33.99)",No Information,17.94%/2.73%/10.86%,"-0.0%, 32.83%",2 days/1 day/10 days,18.64%,-2.16%,20.8%,1.79,-0.19,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),N/A
OSCILLATOR DELTA,"IBIT, Long, 2025-11-24 (Price: 50.57)",Daily,No Exit Yet,52.6687 (Historic Rise or Fall to Pivot),No Date Target,1.16%/3.74%,"3.8%, 16 days","2025-12-10 (Price: 52.49), 3.8% above",54.5853 (Avg % Gain of Historic Winning trades)/53.1 (Exit Rule)/70.855 (Horizontal)/74.3812 (F-Stack 1)/88.2877 (F-Stack 2)/58.68 (EMA 200)/54.7066 (Backtested Max)/54.4538 (Backtested Min),2026-01-19 (Max)/2025-12-15 (Min)/2026-01-05 (Avg),No Recent Minima/41.99/45.1961/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"83.33%, Past 1 years, 6",No Information,No Information,No Information,No Information,No Information,No Information,8.18%/7.68%/7.94%,"13.32%, 14.42%",1 day/15 days/29 days,22.32%,27.39%,-5.07%,0.36,1.11,81.76%/159/0 days (Across ALL Assets),67.13%/362/0 days (Across ALL Assets),N/A
TRENDPULSE,"INDA, Long, 2025-11-11 (Price: 54.74)",Daily,No Exit Yet,No Price Target,2025-12-09 (Avg),3.56%/3.75%,"-2.52%, 29 days","2025-12-10 (Price: 53.36), 2.52% below",55.7198 (Historic Rise or Fall to Pivot)/55.7144 (Avg % Gain of Historic Winning trades)/58.07 (Exit Rule)/55.3633 (Horizontal)/66.8401 (F-Stack 1)/79.771 (F-Stack 2)/56.4424 (Backtested Max)/55.26 (Backtested Min),2026-01-02 (Max),53.62/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level/52.74,"83.33%, Past 4 years, 12",No Information,No Information,No Information,No Information,No Information,0.73% below/2.52% below/2.52% below,3.11%/0.95%/1.78%,"6.22%, 16.49%",1 day/7 days/20 days,3.84%,5.36%,-1.52%,0.02,0.27,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),N/A
TRENDPULSE,"TRI.TO, Short, 2025-12-07 (Price: 184.66)",Weekly,No Exit Yet,179.1941 (Historic Rise or Fall to Pivot),No Date Target,-48.13%/-34.81%,"2.89%, 3 days","2025-12-10 (Price: 179.32), 2.89% below",175.6486 (Avg % Gain of Historic Winning trades)/135.75 (Exit Rule)/116.89 (Horizontal)/131.2534 (F-Stack 1)/93.0152 (F-Stack 2),2026-08-16 (Max)/2026-02-14 (Min)/2026-04-03 (Avg),No support/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No support,"88.24%, Past 10 years, 17",No Information,No Information,No Information,No Information,No Information,2.89% below/3.92% below/2.89% below,16.0%/1.62%/4.88%,"15.2%, 17.31%",5 days/1 day/2 days,0.57%,5.4%,-4.83%,0.32,0.43,No Data (Across ALL Assets),25.0%/8/0 days (Across ALL Assets),80.82B
TRENDPULSE,"TRI.TO, Short, 2025-09-28 (Price: 218.79)",Weekly,2025-12-07 (Price: 184.66),No Price Target,No Date Target,-34.81%/-26.8%,"18.04%, 2 days","2025-12-10 (Price: 179.32), 18.04% below",161.63 (Exit Rule)/116.89 (Horizontal)/131.2534 (F-Stack 2),2026-06-07 (Max)/2026-01-23 (Avg),No support/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No support,"88.24%, Past 10 years, 17",No Information,No Information,No Information,No Information,No Information,25.13% below/19.41% below/18.04% below,16.0%/1.62%/4.88%,"15.2%, 17.31%",5 days/1 day/2 days,0.57%,5.4%,-4.83%,0.32,0.43,No Data (Across ALL Assets),25.0%/8/0 days (Across ALL Assets),80.82B
