"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"CSCO, Long, 2025-10-31 (Price: 73.11)",No Exit Yet,"0.0%, 0 days","88.89%, Past 4 years, 9","Daily, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 73.11), 0.0% below",0 days,"2, 2025-09-11 (Price: 67.69)",2025-10-30 (Price: 72.91),2025-10-31 (Price: 73.11),1/0/0 days,0.27% above/0.0% below/0.0% below,2025-09-11 (Price: 68.1337)/2025-10-31 (Price: 72.2095),5.08%/1.06%/2.82%,"17.72%, 27.08%",26 days/4 days/10 days,2025-12-07/2025-11-05/2025-11-14,4.43%,5.43%,-1.0%,0.07,0.19,74.426/75.1717/76.36/No Horizontal Resistance/81.4336/89.7071,67.46/40.92/64.9561/46.1144/66.6233/62.4096,68.79/64.73,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
"JPM, Long, 2025-10-31 (Price: 311.12)",No Exit Yet,"0.0%, 0 days","93.75%, Past 4 years, 16","Daily, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 311.12), 0.0% below",0 days,"2, 2025-09-11 (Price: 305.56)",2025-10-30 (Price: 309.44),2025-10-31 (Price: 311.12),1/0/0 days,0.54% above/0.0% below/0.0% below,2025-09-11 (Price: 323.9)/2025-10-31 (Price: 306.23),10.64%/1.29%/4.2%,"2.79%, 13.14%",51 days/4 days/15 days,2026-01-12/2025-11-05/2025-11-21,16.4%,16.49%,-0.09%,1.21,0.58,320.6092/324.187/314.46/No Horizontal Resistance/357.3035/404.0796,294.11/125.7575/297.9709/271.3591/266.7317/235.2191,304.83/274.75,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
"PPH, Long, 2025-10-31 (Price: 92.54)",No Exit Yet,"0.0%, 0 days","72.73%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 92.54), 0.0% below",0 days,"2, 2024-08-31 (Price: 99.43)",2025-09-30 (Price: 90.36),2025-10-31 (Price: 92.54),23/0/0 days,2.41% above/0.0% below/0.0% below,2024-08-31 (Price: 100.5162)/2025-10-31 (Price: 88.7495),16.81%/1.91%/6.7%,"3.25%, 19.02%",1129 days/129 days/341 days,2030-04-23/2026-05-05/2027-03-08,3.96%,2.28%,1.68%,0.66,-0.08,101.868/98.7402/96.67/No Horizontal Resistance/102.4808/126.5323,82.93/65.915/84.9957/395.7871/104.6773/107.8529,90.45/88.68,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
"VGT, Long, 2025-10-31 (Price: 793.21)",No Exit Yet,"0.0%, 0 days","88.89%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 793.21), 0.0% below",0 days,"0, 2020-10-31 (Price: 297.99)",2025-09-30 (Price: 746.63),2025-10-31 (Price: 793.21),23/0/0 days,6.24% above/0.0% below/0.0% below,2020-10-31 (Price: 398.3086)/2025-10-31 (Price: 692.9573),22.53%/3.21%/12.24%,"23.72%, 51.21%",434 days/11 days/193 days,2027-07-21/2025-11-15/2026-08-06,5.93%,12.9%,-6.97%,0.56,0.56,907.115/890.2989/1090.34/No Horizontal Resistance/884.0923/1003.1001,542.38/311.83/671.1312/639.8848/685.0535/610.1187,739.53/644.77,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
"BDGI.TO, Long, 2025-10-31 (Price: 73.59)",No Exit Yet,"0.0%, 0 days","92.86%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 73.59), 0.0% below",0 days,"10, 2019-12-31 (Price: 35.14)",2025-08-31 (Price: 57.63),2025-10-31 (Price: 73.59),44/0/0 days,27.69% above/0.0% below/0.0% below,2019-12-31 (Price: 41.6895)/2025-10-31 (Price: 55.5322),159.21%/3.87%/39.19%,"37.81%, 37.81%",413 days/33 days/163 days,2027-06-21/2025-12-17/2026-06-24,15.59%,16.43%,-0.84%,0.71,0.55,158.086/102.4299/96.66/No Horizontal Resistance/63.4408/66.9303,35.88/24.32/55.1508/48.4155/64.3621/58.5069,62.34/48.39,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
"RY.TO, Long, 2025-10-31 (Price: 205.47)",No Exit Yet,"0.0%, 0 days","87.5%, Past 20 years, 8","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 205.47), 0.0% below",0 days,"0, 2020-10-31 (Price: 93.16)",2025-08-31 (Price: 199.58),2025-10-31 (Price: 205.47),44/0/0 days,2.95% above/0.0% below/0.0% below,2020-10-31 (Price: 122.675)/2025-10-31 (Price: 192.005),16.93%/7.34%/11.34%,"14.35%, 21.22%",632 days/87 days/216 days,2028-05-03/2026-03-06/2026-09-08,6.54%,8.98%,-2.44%,0.79,0.37,240.3588/228.7703/272.86/No Horizontal Resistance/225.3281/240.0573,162.1/118.8425/200.2171/172.0705/176.082/156.2581,202.23/179.57,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
"EFA, Long, 2025-10-31 (Price: 94.49)",No Exit Yet,"0.0%, 0 days","83.33%, Past 20 years, 6","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 94.49), 0.0% below",0 days,"2, 2023-06-30 (Price: 72.5)",2025-10-31 (Price: 94.49),2025-10-31 (Price: 94.49),0/0/0 days,0.0% below/0.0% below/0.0% below,2023-06-30 (Price: 74.0386)/2025-10-31 (Price: 93.6786),15.26%/4.43%/9.83%,"14.7%, 17.42%",217 days/84 days/125 days,2026-09-10/2026-03-01/2026-04-30,5.57%,3.33%,2.24%,0.52,0.02,113.6715/103.7784/107.68/No Horizontal Resistance/98.2071/106.1972,75.61/66.265/86.3568/75.1989/84.0679/76.766,93.4/87.2,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
"SOXX, Long, 2025-10-31 (Price: 306.55)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 269.38 prior to 2025-12-31,"2025-10-31 (Price: 306.55), 0.0% below",0 days,"6, 2015-06-30 (Price: 30.6967)",2025-09-30 (Price: 271.12),2025-10-31 (Price: 306.55),23/0/0 days,13.07% above/0.0% below/0.0% below,2015-06-30 (Price: 22.1158)/2025-10-31 (Price: 264.9375),74.51%/31.99%/47.49%,"0%, 41.23%",847 days/324 days/455 days,2029-03-10/2027-02-12/2027-08-21,15.58%,11.98%,3.6%,2.69,0.43,472.6388/452.1306/472.06/No Horizontal Resistance/320.8469/358.5021,106.24/110.475/267.2317/244.4067/273.874/249.9586,272.11/229.39,83.33%/6/698 days (Across ALL Assets),100.0%/1/154 days (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-10-29 (Price: 1007.85)",No Exit Yet,"-2.04%, 2 days","100.0%, Past 4 years, 12","Daily, is CONFIRMED on 2025-10-29",Already confirmed,"2025-10-31 (Price: 987.3), 2.04% below",2 days,"2, 2025-09-05 (Price: 963.4)",2025-10-29 (Price: 1007.85),2025-10-29 (Price: 1007.85),2/2/2 days,2.04% below/2.04% below/2.04% below,2025-09-05 (Price: 972.5838)/2025-10-29 (Price: 1002.0011),7.91%/1.92%/3.49%,"0%, 9.14%",67 days/4 days/27 days,2026-02-03/2025-11-03/2025-12-07,12.92%,9.77%,3.15%,1.61,0.36,1026.7976/1043.024/1034.52/No Horizontal Resistance/1098.0619/1305.7899,945.05/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level,974.69/939.21,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
"BDGI.TO, Long, 2025-10-29 (Price: 72.71)",No Exit Yet,"1.21%, 2 days","82.35%, Past 4 years, 17","Daily, is CONFIRMED on 2025-10-29",Already confirmed,"2025-10-31 (Price: 73.59), 1.21% above",2 days,"2, 2025-08-12 (Price: 55.11)",2025-10-27 (Price: 70.74),2025-10-29 (Price: 72.71),4/2/2 days,4.03% above/1.21% above/1.21% above,2025-08-12 (Price: 55.1606)/2025-10-29 (Price: 70.6373),9.61%/1.3%/4.53%,"16.01%, 27.74%",69 days/4 days/15 days,2026-02-05/2025-11-03/2025-11-19,11.34%,5.2%,6.14%,0.47,0.22,74.8986/76.0038/83.27/No Horizontal Resistance/63.2847/69.0016,56.14/24.32/58.5532/53.241/No F-Track Level/No F-Track Level,61.58/48.02,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
"QQQ, Long, 2025-10-28 (Price: 632.92)",No Exit Yet,"-0.61%, 3 days","100.0%, Past 4 years, 9","Daily, is CONFIRMED on 2025-10-28",Already confirmed,"2025-10-31 (Price: 629.07), 0.61% below",3 days,"6, 2025-05-23 (Price: 509.24)",2025-10-27 (Price: 628.09),2025-10-28 (Price: 632.92),4/3/3 days,0.16% above/0.61% below/0.61% below,2025-05-23 (Price: 536.4097)/2025-10-28 (Price: 624.98),6.55%/1.22%/3.65%,"0%, 4.95%",19 days/4 days/11 days,2025-11-24/2025-11-02/2025-11-12,11.37%,19.89%,-8.52%,2.19,0.79,683.1106/656.0216/707.13/No Horizontal Resistance/610.7303/836.2536,589.5/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level,592.88/535.18,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
"^NDX, Long, 2025-10-28 (Price: 26012.1504)",No Exit Yet,"-0.59%, 3 days","100.0%, Past 4 years, 17","Daily, is CONFIRMED on 2025-10-28",Already confirmed,"2025-10-31 (Price: 25858.127), 0.59% below",3 days,"6, 2025-05-23 (Price: 20915.6602)",2025-10-27 (Price: 25821.5508),2025-10-28 (Price: 26012.1504),4/3/3 days,0.14% above/0.59% below/0.59% below,2025-05-23 (Price: 22020.2904)/2025-10-28 (Price: 25697.0143),6.54%/1.15%/3.27%,"0%, 28.03%",81 days/4 days/20 days,2026-02-22/2025-11-02/2025-11-25,13.9%,19.94%,-6.04%,1.96,0.78,27081.2498/26862.7477/29070.04/No Horizontal Resistance/25025.4383/33965.62,24221.74/10555.915/22796.2371/21108.1646/No F-Track Level/No F-Track Level,24360.59/21992.33,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
"NZDCAD=X, Long, 2025-10-28 (Price: 0.8079)",No Exit Yet,"-0.77%, 3 days","100.0%, Past 4 years, 6","Daily, is CONFIRMED on 2025-10-28",Already confirmed,"2025-10-31 (Price: 0.8017), 0.77% below",3 days,"2, 2025-09-08 (Price: 0.8145)",2025-10-27 (Price: 0.8059),2025-10-28 (Price: 0.8079),4/3/3 days,0.52% below/0.77% below/0.77% below,2025-09-08 (Price: 0.8299)/2025-10-28 (Price: 0.8036),2.27%/1.12%/1.36%,"0%, 1.49%",23 days/4 days/8 days,2025-11-30/2025-11-02/2025-11-08,6.68%,-0.32%,7.0%,2.96,-0.57,0.8354/0.8189/0.81/0.9093/1.0924/1.3117,0.8/0.7625/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,0.81/0.82,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
"HOOD, Long, 2025-10-27 (Price: 145.86)",No Exit Yet,"0.63%, 4 days","100.0%, Past 4 years, 14","Daily, is CONFIRMED on 2025-10-27",Already confirmed,"2025-10-31 (Price: 146.78), 0.63% above",4 days,"0, 2024-01-10 (Price: 12.14)",2025-10-23 (Price: 134.33),2025-10-27 (Price: 145.86),6/4/4 days,9.27% above/0.63% above/0.63% above,2024-01-10 (Price: 10.726)/2025-10-27 (Price: 132.3598),22.83%/6.1%/13.94%,"0%, 18.75%",36 days/4 days/11 days,2025-12-18/2025-11-01/2025-11-11,70.94%,34.23%,36.71%,2.12,0.97,178.6347/166.1929/226.09/No Horizontal Resistance/164.8517/245.4076,127.22/8.2917/115.0659/84.2959/No F-Track Level/No F-Track Level,124.25/79.74,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
"QQQ, Long, 2025-10-26 (Price: 617.1)",No Exit Yet,"1.94%, 4 days","100.0%, Past 10 years, 9","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-31 (Price: 629.07), 1.94% above",4 days,"2, 2024-12-22 (Price: 518.66)",2025-10-19 (Price: 603.93),2025-10-26 (Price: 617.1),9/4/4 days,4.16% above/1.94% above/1.94% above,2024-12-22 (Price: 531.7111)/2025-10-26 (Price: 596.1121),11.33%/1.74%/5.16%,"0%, 9.57%",89 days/24 days/45 days,2026-03-03/2025-11-29/2025-12-30,9.75%,17.47%,-7.72%,1.93,0.81,710.4055/648.9424/676.16/No Horizontal Resistance/610.7303/836.2536,422.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level,590.75/533.99,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"^NDX, Long, 2025-10-26 (Price: 25358.1602)",No Exit Yet,"1.97%, 4 days","100.0%, Past 10 years, 12","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-31 (Price: 25858.127), 1.97% above",4 days,"2, 2024-12-22 (Price: 21289.1504)",2025-10-19 (Price: 24817.9492),2025-10-26 (Price: 25358.1602),9/4/4 days,4.19% above/1.97% above/1.97% above,2024-12-22 (Price: 21842.7617)/2025-10-26 (Price: 24500.6763),7.38%/1.69%/4.61%,"0%, 9.66%",104 days/24 days/57 days,2026-03-25/2025-11-29/2026-01-16,8.45%,17.53%,-9.08%,2.36,0.82,28104.4489/26527.1714/27799.57/No Horizontal Resistance/25025.4383/33965.62,17397.7/10555.915/22796.2371/21108.1646/No F-Track Level/No F-Track Level,24272.43/21943.31,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"JNK, Long, 2025-10-26 (Price: 97.74)",No Exit Yet,"-0.36%, 4 days","85.71%, Past 10 years, 7","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-31 (Price: 97.39), 0.36% below",4 days,"6, 2024-06-09 (Price: 93.93)",2025-10-19 (Price: 97.24),2025-10-26 (Price: 97.74),9/4/4 days,0.15% above/0.36% below/0.36% below,2024-06-09 (Price: 98.1232)/2025-10-26 (Price: 97.052),3.5%/0.61%/2.02%,"1.13%, 7.91%",194 days/39 days/113 days,2026-08-02/2025-12-21/2026-04-07,4.45%,-1.28%,5.73%,0.86,-0.58,99.1572/99.7143/100.03/108.635/No Next Fib Ext/No Next Fib Ext,96.34/88.8814/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,97.45/96.22,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
