"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"IWM, Long, 2025-12-04 (Price: 251.82)",No Exit Yet,"0.0%, 0 days","97.56%, Past 20 years, 41","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 228.9 prior to 2025-12-05,"2025-12-04 (Price: 251.82), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 233.5959),7.8% above,"2025-04-13 (Price: 171.73), 2025-10-19 (Price: 252.77)",108.09%/0.02%/40.47%,"1.56%, 58.54%",5.2 years/1.8 month/2.2 years,2033-05-03/2026-02-20/2029-01-12,5.07%,6.62%,-1.55%,0.38,0.22,254.2627/353.7316/300.44/No Horizontal Resistance/270.9222/282.5179/No Moving Avg Target,235.6/162.3167/245.3626/196.8345/233.5959/221.8127/220.9,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"MA, Long, 2025-12-04 (Price: 542.31)",No Exit Yet,"0.0%, 0 days","93.33%, Past 19 years, 30","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 524.7 prior to 2025-12-05,"2025-12-04 (Price: 542.31), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 535.7184),1.23% above,"2024-07-28 (Price: 428.86), 2025-08-24 (Price: 601.77)",183.03%/7.86%/74.84%,"10.74%, 37.99%",3.8 years/1.6 month/1.7 year,2031-05-09/2026-02-12/2028-05-08,8.62%,27.38%,-18.77%,0.51,0.97,566.2259/948.1748/646.06/592.9033/716.5814/751.3605/559.83,540.4/306.91/515.4888/442.8637/524.8987/477.6582/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"FPH.NZ, Long, 2025-12-04 (Price: 38.2)",No Exit Yet,"0.0%, 0 days","92.86%, Past 24 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 34.75 prior to 2025-12-31,"2025-12-04 (Price: 38.2), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 34.9549),9.28% above,"2023-10-31 (Price: 20.29), 2025-01-31 (Price: 39.5)",338.94%/27.3%/113.16%,"1.22%, 45.89%",7.8 years/7.9 months/2.6 years,2037-02-17/2026-11-13/2029-08-17,11.44%,13.21%,-1.77%,0.39,0.49,39.0748/81.4271/49.73/39.1438/40.9296/48.5677/No Moving Avg Target,33.54/22.5167/30.9793/26.1935/35.1507/31.8879/36.12,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"IFT.NZ, Long, 2025-12-04 (Price: 11.65)",No Exit Yet,"0.0%, 0 days","100.0%, Past 31 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 9.13 prior to 2025-12-31,"2025-12-04 (Price: 11.65), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 9.2141),26.44% above,"2016-12-31 (Price: 2.5393), 2024-12-31 (Price: 13.34)",103.41%/23.86%/63.63%,"-0.0%, 22.42%",2.7 years/2.0 year/2.4 years,2029-10-20/2028-10-07/2029-04-13,13.15%,12.57%,0.58%,0.46,0.51,13.4057/19.0629/18.13/11.925/13.8771/15.9169/No Moving Avg Target,2.72/7.3167/11.3804/9.6206/14.3361/14.9482/11.34,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"SUM.NZ, Long, 2025-12-04 (Price: 12.25)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-12-04 (Price: 12.25), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 10.74),14.06% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",21.12%/21.12%/21.12%,"-0.0%, 38.76%",2.0 year/2.0 year/2.0 year,2028-10-08/2028-10-08/2028-10-08,7.04%,16.47%,-9.43%,0.34,0.57,12.0993/14.8372/15.49/13.345/16.7981/18.5763/No Moving Avg Target,8.8/9.1367/11.1928/8.9354/12.1624/11.3772/11.42,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"BDGI.TO, Long, 2025-12-04 (Price: 75.96)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.62 prior to 2025-12-31,"2025-12-04 (Price: 75.96), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 33.6027),126.05% above,"2022-03-31 (Price: 22.54), 2024-03-31 (Price: 51.5)",35.15%/35.15%/35.15%,"-0.0%, 52.34%",3.1 years/3.1 years/3.1 years,2030-04-26/2030-04-26/2030-04-26,7.18%,12.22%,-5.04%,0.42,0.42,79.6972/102.6599/93.34/No Horizontal Resistance/87.1484/97.3919/No Moving Avg Target,26.66/24.32/73.041/66.9303/66.2783/60.058/52.38,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"BN.TO, Long, 2025-12-04 (Price: 65.2)",No Exit Yet,"0.0%, 0 days","96.3%, Past 1 years, 27","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 58.75 prior to 2025-12-05,"2025-12-04 (Price: 65.2), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 58.0258),12.36% above,"2025-04-13 (Price: 41.2533), 2025-09-28 (Price: 68.3933)",150.14%/4.17%/65.27%,"0.94%, 36.57%",3.8 years/3.6 months/1.8 year,2031-04-25/2026-05-10/2028-07-01,6.26%,12.66%,-6.4%,0.77,0.46,66.6996/107.756/81.48/No Horizontal Resistance/69.5978/79.2394/No Moving Avg Target,43.89/27.0034/63.3841/59.2857/No F-Track Level/No F-Track Level/57.29,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"CNQ.TO, Long, 2025-12-04 (Price: 48.09)",No Exit Yet,"0.0%, 0 days","100.0%, Past 52 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 34.92 prior to 2025-12-31,"2025-12-04 (Price: 48.09), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 35.7534),34.5% above,"2001-12-31 (Price: 2.1976), 2024-06-30 (Price: 56.495)",880.76%/124.37%/387.49%,"-0.0%, 59.43%",5.8 years/4.5 years/5.3 years,2034-03-14/2032-05-23/2033-06-03,12.07%,13.02%,-0.95%,0.46,0.46,50.4897/234.4339/80.67/51.51/57.5622/59.9244/No Moving Avg Target,42.8/34.9317/44.0597/41.1349/61.5996/64.7366/43.13,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"MX.TO, Long, 2025-12-04 (Price: 52.18)",No Exit Yet,"0.0%, 0 days","85.71%, Past 33 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 36.1 prior to 2025-12-31,"2025-12-04 (Price: 52.18), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 36.7101),42.14% above,"2020-03-31 (Price: 13.24), 2023-03-31 (Price: 74.68)",68.59%/44.74%/56.66%,"40.03%, 69.12%",5.4 years/2.0 year/3.7 years,2033-09-04/2028-10-07/2031-03-23,4.14%,4.51%,-0.37%,0.3,0.25,54.1628/81.7452/89.04/73.435/118.0011/153.5474/No Moving Avg Target,45.09/38.425/47.9234/44.2912/88.1361/94.2546/49.18,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"IBKR, Long, 2025-12-04 (Price: 65.95)",No Exit Yet,"0.0%, 0 days","100.0%, Past 18 years, 31","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 58.95 prior to 2025-12-05,"2025-12-04 (Price: 65.95), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 57.8675),13.97% above,"2025-04-13 (Price: 32.82), 2025-10-12 (Price: 73.35)",264.61%/8.43%/69.0%,"-0.0%, 53.27%",5.1 years/2.0 month/2.0 years,2033-04-04/2026-02-27/2028-11-04,6.02%,12.31%,-6.29%,0.53,0.43,70.0917/111.4555/90.27/No Horizontal Resistance/77.1458/95.5947/No Moving Avg Target,61.05/13.0762/64.9573/52.397/59.0818/50.3135/56.92,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"COIN, Long, 2025-12-04 (Price: 274.05)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 4","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 231.17 prior to 2025-12-05,"2025-12-04 (Price: 274.05), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 228.1976),20.09% above,"2023-01-08 (Price: 31.55), 2024-12-08 (Price: 349.75)",22.41%/22.41%/22.41%,"-0.0%, 30.3%",3.3 months/3.3 months/3.3 months,2026-04-26/2026-04-26/2026-04-26,68.35%,0.11%,68.24%,0.51,0.47,266.4314/335.4646/464.97/289.6467/484.6953/510.6138/281.92,240.41/86.505/No F-Stack Support/No F-Stack Support/238.1/189.3542/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"JPY=X, Long, 2025-12-03 (Price: 155.807)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 28","Daily, is CONFIRMED on 2025-12-03",Already confirmed,"2025-12-03 (Price: 155.807), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 155.1259),0.44% above,"2025-09-17 (Price: 146.217), 2025-11-20 (Price: 157.887)",7.63%/0.83%/2.99%,"-0.0%, 5.8%",5.4 months/15 days/1.8 month,2026-07-27/2025-12-24/2026-02-20,12.99%,7.87%,5.12%,0.49,0.4,156.103/160.4656/162.81/160.2533/175.8568/187.2285/No Moving Avg Target,155.56/109.702/138.2059/765.2646/No F-Track Level/No F-Track Level/148.1,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"ETH-USD, Long, 2025-12-03 (Price: 3191.5718)",No Exit Yet,"-2.15%, 1 day","96.08%, Past 5 years, 51","Daily, was CONFIRMED on 2025-12-03",Already confirmed,"2025-12-04 (Price: 3122.9568), 2.15% below",1 day,Upmove Bounce Back,61.8% (Price: 2744.2547),13.8% above,"2023-03-10 (Price: 1378.5254), 2025-08-24 (Price: 4953.7329)",141.85%/0.46%/47.9%,"5.15%, 75.81%",2.7 years/2 days/11.4 months,2029-09-20/2025-12-05/2027-04-10,11.91%,55.75%,-43.84%,0.38,0.99,3215.8277/4720.3347/5336.7/4922.7188/4887.278/5298.9816/3533.08,2800.19/1370.4997/2637.9184/2491.3487/No F-Track Level/No F-Track Level/No Moving Avg Support,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"SUM.NZ, Long, 2025-12-02 (Price: 12.48)",No Exit Yet,"-1.84%, 2 days","96.55%, Past 5 years, 29","Daily, was CONFIRMED on 2025-12-02",Already confirmed,"2025-12-04 (Price: 12.25), 1.84% below",2 days,Upmove Bounce Back,23.66% (Price: 12.2582),0.07% below,"2025-08-27 (Price: 10.51), 2025-11-18 (Price: 12.8)",7.52%/0.86%/3.34%,"1.14%, 17.77%",3.1 months/12 days/1.4 month,2026-04-14/2025-12-19/2026-02-02,16.56%,2.28%,14.28%,0.28,0.03,12.4925/12.8968/13.85/13.345/19.8479/26.5969/No Moving Avg Target,12.29/9.1367/11.0645/56.4607/No F-Track Level/No F-Track Level/11.42,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"TSLA, Long, 2025-11-30 (Price: 430.17)",No Exit Yet,"5.66%, 3 days","80.65%, Past 15 years, 31","Weekly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-04 (Price: 454.53), 5.66% above",3 days,Upmove Bounce Back,23.66% (Price: 375.7432),20.97% above,"2019-06-09 (Price: 11.7993), 2024-12-22 (Price: 488.54)",6815.74%/3.62%/968.91%,"19.51%, 72.25%",6.4 years/3.1 months/2.1 years,2035-02-02/2026-04-15/2028-12-03,14.07%,45.46%,-31.4%,0.27,1.18,475.682/4598.1301/716.21/No Horizontal Resistance/490.132/554.3681/No Moving Avg Target,391.09/181.0784/413.6779/330.0827/No F-Track Level/No F-Track Level/342.09,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-30 (Price: 249.53)",No Exit Yet,"2.97%, 3 days","88.0%, Past 80 years, 25","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-04 (Price: 256.93), 2.97% above",3 days,Upmove Bounce Back,61.8% (Price: 232.7652),10.38% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",196.24%/14.77%/97.8%,"25.41%, 71.77%",3.8 years/8 months/1.8 year,2031-05-04/2026-11-12/2028-07-15,9.34%,22.33%,-12.98%,0.43,0.63,243.4664/493.5703/338.69/366.6625/412.2037/473.5829/254.78,239.37/187.6062/216.7036/198.5041/No F-Track Level/No F-Track Level/No Moving Avg Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-30 (Price: 1567.5)",No Exit Yet,"-2.04%, 3 days","88.46%, Past 48 years, 26","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-04 (Price: 1535.6), 2.04% below",3 days,Upmove Bounce Back,23.66% (Price: 1322.8731),16.08% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",415.66%/5.67%/156.39%,"26.03%, 38.57%",6.2 years/6.5 months/2.3 years,2034-09-16/2026-09-08/2029-03-20,8.96%,19.65%,-10.68%,0.38,0.63,1774.5667/4018.9132/2292.59/No Horizontal Resistance/2250.6285/2387.5727/No Moving Avg Target,1200.1/855.3207/1503.6962/1393.886/No F-Track Level/No F-Track Level/1392.62,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"PG, Long, 2025-11-30 (Price: 148.16)",No Exit Yet,"-1.89%, 3 days","97.73%, Past 20 years, 44","Weekly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-04 (Price: 145.36), 1.89% below",3 days,Upmove Bounce Back,23.66% (Price: 142.4353),2.05% above,"1996-04-14 (Price: 19.8438), 2024-12-01 (Price: 180.43)",97.61%/1.34%/25.52%,"5.37%, 38.6%",8.5 years/1.8 month/2.2 years,2038-02-07/2026-02-16/2029-01-04,2.95%,4.92%,-1.97%,0.48,0.12,151.7158/185.9704/244.51/179.4533/186.6499/209.3631/158.7,146.98/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"NVDA, Long, 2025-11-28 (Price: 177.0)",No Exit Yet,"3.6%, 4 days","95.92%, Past 5 years, 49","Daily, was CONFIRMED on 2025-11-28",Already confirmed,"2025-12-04 (Price: 183.38), 3.6% above",4 days,Upmove Bounce Back,88.6% (Price: 169.5557),8.15% above,"2025-09-05 (Price: 164.07), 2025-10-29 (Price: 212.19)",252.44%/5.31%/85.14%,"4.7%, 66.36%",1.8 year/12 days/4.4 months,2028-06-27/2025-12-15/2026-06-07,36.06%,69.24%,-33.18%,0.44,1.76,182.7348/327.6978/205.87/No Horizontal Resistance/239.8943/283.6698/No Moving Avg Target,167.02/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/154.53,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"SFTBY, Long, 2025-11-28 (Price: 53.81)",No Exit Yet,"8.77%, 4 days","96.55%, Past 5 years, 29","Daily, was CONFIRMED on 2025-11-28",Already confirmed,"2025-12-04 (Price: 58.53), 8.77% above",4 days,Upmove Bounce Back,61.8% (Price: 46.6535),25.46% above,"2025-04-07 (Price: 19.86), 2025-10-29 (Price: 90.0)",163.68%/8.12%/48.76%,"1.65%, 38.56%",11.3 months/13 days/5.4 months,2027-04-04/2025-12-16/2026-07-19,29.01%,21.88%,7.12%,0.45,0.69,55.5319/80.0478/95.89/No Horizontal Resistance/95.4524/115.3755/No Moving Avg Target,50.04/16.82/48.3837/40.3224/No F-Track Level/No F-Track Level/43.57,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"MSFT, Long, 2025-11-28 (Price: 492.01)",No Exit Yet,"-2.27%, 4 days","100.0%, Past 5 years, 33","Daily, was CONFIRMED on 2025-11-28",Already confirmed,"2025-12-04 (Price: 480.84), 2.27% below",4 days,Upmove Bounce Back,23.66% (Price: 475.9287),1.03% above,"2023-01-06 (Price: 219.35), 2025-07-31 (Price: 555.45)",34.35%/1.23%/14.24%,"-0.0%, 37.56%",1.3 year/1.5 month/5.6 months,2027-10-19/2026-02-02/2026-07-30,14.25%,18.64%,-4.39%,0.5,0.73,498.7505/562.0722/693.67/No Horizontal Resistance/553.3726/615.9924/No Moving Avg Target,472.12/216.39/386.873/350.287/No F-Track Level/No F-Track Level/469.46,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
