"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"ATM.NZ, Long, 2025-12-30 (Price: 10.75)",No Exit Yet,"0.28%, 1 day","88.89%, Past 4 years, 36","Daily, is CONFIRMED on 2025-12-30",Already confirmed,"2025-12-31 (Price: 10.78), 0.28% above",1 day,"2, 2025-10-29 (Price: 10.7)",2025-12-29 (Price: 10.65),2025-12-30 (Price: 10.75),2/1/1 days,1.22% above/0.28% above/0.28% above,2025-10-29 (Price: 11.2162)/2025-12-30 (Price: 10.5267),26.28%/1.03%/6.36%,"44.18%, 64.86%",2 months/7 days/21 days,2026-03-26/2026-01-09/2026-01-29,7.95%,-3.89%,11.85%,0.35,-0.06,11.2047/11.4337/10.78/10.965/21.86/25.8879/No EMA 200 Target,10.1/5.2267/9.9254/9.2893/No F-Track Level/No F-Track Level/9.49,No Data (Across ALL Assets),No Data (Across ALL Assets)
"NFLX, Long, 2025-12-29 (Price: 94.15)",No Exit Yet,"-0.41%, 2 days","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2025-12-29",Already confirmed,"2025-12-31 (Price: 93.76), 0.41% below",2 days,"2, 2025-11-05 (Price: 109.846)",2025-12-26 (Price: 94.47),2025-12-29 (Price: 94.15),5/2/2 days,0.75% below/0.41% below/0.41% below,2025-11-05 (Price: 122.7653)/2025-12-29 (Price: 92.5369),7.15%/0.45%/3.32%,"0.57%, 20.2%",2.8 months/7 days/1.5 month,2026-04-29/2026-01-08/2026-03-04,16.89%,16.03%,0.86%,1.0,0.73,96.2684/97.2758/103.57/No Horizontal Resistance/139.352/152.4292/113.4,93.23/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets)
"SBUX, Long, 2025-12-29 (Price: 85.57)",No Exit Yet,"-1.59%, 2 days","91.67%, Past 4 years, 12","Daily, is CONFIRMED on 2025-12-29",Already confirmed,"2025-12-31 (Price: 84.21), 1.59% below",2 days,"8, 2025-06-03 (Price: 86.6)",2025-12-24 (Price: 84.57),2025-12-29 (Price: 85.57),7/2/2 days,0.43% below/1.59% below/1.59% below,2025-06-03 (Price: 103.5058)/2025-12-29 (Price: 83.3292),8.06%/2.15%/4.6%,"1.89%, 25.49%",3.2 months/6 days/1.2 month,2026-05-17/2026-01-06/2026-02-19,10.39%,-0.2%,10.59%,0.88,0.03,88.1457/89.5062/86.19/117.438/142.4098/150.3462/87.53,83.86/71.675/76.529/65.8616/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets)
"GLD, Long, 2025-12-28 (Price: 416.74)",No Exit Yet,"-4.9%, 3 days","85.19%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-31 (Price: 396.31), 4.9% below",3 days,"6, 2024-08-11 (Price: 224.56)",2025-12-21 (Price: 399.02),2025-12-28 (Price: 416.74),10/3/3 days,0.68% below/4.9% below/4.9% below,2024-08-11 (Price: 229.74)/2025-12-28 (Price: 400.7524),8.71%/1.73%/6.03%,"3.13%, 23.93%",10.5 months/28 days/3.3 months,2027-03-29/2026-02-06/2026-05-20,4.9%,5.02%,-0.12%,1.33,0.26,443.9948/441.8694/532.05/No Horizontal Resistance/424.4974/624.146/No EMA 200 Target,236.59/150.8/301.1087/224.8487/No F-Track Level/No F-Track Level/330.26,No Data (Across ALL Assets),No Data (Across ALL Assets)
"GS, Long, 2025-12-28 (Price: 907.04)",No Exit Yet,"-3.09%, 3 days","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-31 (Price: 879.0), 3.09% below",3 days,"6, 2024-08-11 (Price: 490.26)",2025-12-14 (Price: 887.96),2025-12-28 (Price: 907.04),17/3/3 days,1.01% below/3.09% below/3.09% below,2024-08-11 (Price: 536.6316)/2025-12-28 (Price: 867.6605),16.64%/3.18%/8.74%,"0%, 44.52%",1.5 year/1.4 month/6.1 months,2028-02-18/2026-02-26/2026-09-19,9.45%,7.78%,1.67%,2.03,0.4,929.9881/986.3153/1157.11/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,470.81/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/700.8,No Data (Across ALL Assets),No Data (Across ALL Assets)
"MAR, Long, 2025-12-28 (Price: 315.58)",No Exit Yet,"-1.69%, 3 days","81.48%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-31 (Price: 310.24), 1.69% below",3 days,"2, 2025-05-18 (Price: 273.23)",2025-12-21 (Price: 310.16),2025-12-28 (Price: 315.58),10/3/3 days,0.03% above/1.69% below/1.69% below,2025-05-18 (Price: 276.02)/2025-12-28 (Price: 306.94),16.53%/2.51%/7.6%,"12.52%, 61.32%",10.7 months/28 days/2.5 months,2027-04-06/2026-02-06/2026-04-15,11.8%,10.04%,1.76%,0.46,0.51,362.2858/339.5641/340.99/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/266.17,No Data (Across ALL Assets),No Data (Across ALL Assets)
"WPM, Long, 2025-12-28 (Price: 124.22)",No Exit Yet,"-5.39%, 3 days","84.62%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-31 (Price: 117.52), 5.39% below",3 days,"6, 2024-08-11 (Price: 55.81)",2025-12-21 (Price: 119.7),2025-12-26 (Price: 124.22),10/5/3 days,1.82% below/5.39% below/5.39% below,2024-08-11 (Price: 58.517)/2025-12-28 (Price: 119.4562),30.46%/2.87%/10.34%,"13.4%, 61.17%",2.8 months/28 days/1.6 month,2026-04-28/2026-02-06/2026-03-07,5.32%,5.11%,0.21%,0.63,0.29,134.2694/137.0643/165.27/No Horizontal Resistance/131.4439/145.6176/No EMA 200 Target,96.52/38.3375/98.515/93.6878/No F-Track Level/No F-Track Level/94.77,No Data (Across ALL Assets),No Data (Across ALL Assets)
"MFT.NZ, Long, 2025-12-28 (Price: 69.01)",No Exit Yet,"-0.57%, 3 days","90.91%, Past 10 years, 22","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-31 (Price: 68.62), 0.57% below",3 days,"4, 2024-06-16 (Price: 69.0)",2025-12-21 (Price: 68.26),2025-12-24 (Price: 69.01),10/7/3 days,0.53% above/0.57% below/0.57% below,2024-06-16 (Price: 78.9982)/2025-12-28 (Price: 66.4602),13.53%/1.78%/5.86%,"5.83%, 27.74%",1.2 year/28 days/4.4 months,2027-09-14/2026-02-06/2026-07-07,9.15%,10.41%,-1.26%,1.17,0.61,74.3169/73.054/69.02/85.45/105.252/119.9356/No EMA 200 Target,58.66/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/63.83,No Data (Across ALL Assets),No Data (Across ALL Assets)
"DOL.TO, Long, 2025-12-28 (Price: 205.3)",No Exit Yet,"-0.08%, 3 days","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-31 (Price: 205.14), 0.08% below",3 days,"2, 2025-06-15 (Price: 193.74)",2025-12-28 (Price: 205.3),2025-12-28 (Price: 205.3),3/3/3 days,0.08% below/0.08% below/0.08% below,2025-06-15 (Price: 196.46)/2025-12-28 (Price: 202.62),14.72%/3.73%/8.72%,"0%, 10.74%",4.4 months/1.2 month/1.7 month,2026-07-07/2026-02-18/2026-03-11,11.66%,19.11%,-7.45%,2.37,1.22,244.7587/223.2022/212.24/No Horizontal Resistance/294.0831/455.769/No EMA 200 Target,174.88/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/182.17,No Data (Across ALL Assets),No Data (Across ALL Assets)
"TD.TO, Long, 2025-12-28 (Price: 129.16)",No Exit Yet,"0.15%, 3 days","90.0%, Past 10 years, 30","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-31 (Price: 129.36), 0.15% above",3 days,"2, 2025-07-13 (Price: 100.69)",2025-12-14 (Price: 125.8),2025-12-23 (Price: 128.92),17/8/3 days,2.83% above/0.34% above/0.15% above,2025-07-13 (Price: 101.7338)/2025-12-28 (Price: 124.0442),12.32%/1.31%/6.58%,"9.57%, 31.6%",1.8 year/28 days/4.7 months,2028-07-23/2026-02-06/2026-07-20,7.49%,5.65%,1.84%,1.01,0.31,138.5241/137.6587/146.24/No Horizontal Resistance/128.6672/152.0396/No EMA 200 Target,81.05/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/102.19,No Data (Across ALL Assets),No Data (Across ALL Assets)
"ETH-USD, Long, 2025-12-27 (Price: 2947.9983)",No Exit Yet,"0.97%, 4 days","92.86%, Past 4 years, 42","Daily, is CONFIRMED on 2025-12-27",Already confirmed,"2025-12-31 (Price: 2976.7212), 0.97% above",4 days,"4, 2025-10-04 (Price: 4489.1973)",2025-12-26 (Price: 2925.7456),2025-12-27 (Price: 2947.9983),5/4/4 days,1.74% above/0.97% above/0.97% above,2025-10-04 (Price: 4791.3655)/2025-12-27 (Price: 2896.2417),39.76%/1.01%/13.37%,"17.31%, 42.86%",3 months/5 days/23 days,2026-05-06/2026-01-03/2026-01-29,60.18%,45.2%,14.98%,0.97,1.15,3593.3151/3342.1457/3872.72/4922.7188/4887.278/5344.0381/3585.05,2827.07/1370.4997/2637.9184/2491.3487/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets)
"C6L.SI, Long, 2025-12-26 (Price: 6.41)",No Exit Yet,"-0.16%, 5 days","87.5%, Past 4 years, 16","Daily, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-31 (Price: 6.4), 0.16% below",5 days,"0, 2024-03-13 (Price: 6.39)",2025-12-24 (Price: 6.4),2025-12-26 (Price: 6.41),7/5/5 days,0.0% below/0.16% below/0.16% below,2024-03-13 (Price: 10.7924)/2025-12-26 (Price: 6.3558),8.19%/1.1%/3.7%,"5.37%, 17.3%",3.8 months/6 days/1.5 month,2026-06-09/2026-01-03/2026-03-01,9.44%,0.14%,9.3%,0.66,-0.05,6.5568/6.6472/6.42/7.0067/15.377/16.6022/6.71,6.26/4.7975/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets)
"ABNB, Long, 2025-12-21 (Price: 135.28)",No Exit Yet,"0.33%, 10 days","80.0%, Past 10 years, 5","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-31 (Price: 135.72), 0.33% above",10 days,"2, 2025-06-08 (Price: 140.64)",2025-12-14 (Price: 128.39),2025-12-19 (Price: 135.28),17/12/10 days,5.71% above/0.33% above/0.33% above,2025-06-08 (Price: 145.7791)/2025-12-21 (Price: 126.3652),21.23%/8.06%/17.07%,"25.5%, 58.72%",8.9 months/1.2 month/5 months,2027-01-11/2026-02-11/2026-07-26,-12.18%,-2.45%,-9.73%,0.4,0.05,135.1718/158.3723/138.5/178.025/223.5359/232.9937/No EMA 200 Target,114.26/99.795/124.5998/No support/No F-Track Level/No F-Track Level/126.47,No Data (Across ALL Assets),No Data (Across ALL Assets)
"WPM.TO, Long, 2025-12-21 (Price: 164.88)",No Exit Yet,"-2.13%, 10 days","86.67%, Past 10 years, 30","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-31 (Price: 161.36), 2.13% below",10 days,"6, 2024-08-04 (Price: 79.97)",2025-12-21 (Price: 164.88),2025-12-19 (Price: 164.88),10/12/10 days,2.13% below/2.13% below/2.13% below,2024-08-04 (Price: 79.878)/2025-12-21 (Price: 162.5546),27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,2026-06-30/2026-02-11/2026-04-12,3.49%,6.66%,-3.17%,0.68,0.35,175.3993/183.3301/215.83/No Horizontal Resistance/178.0989/194.7923/No EMA 200 Target,135.45/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/130.22,No Data (Across ALL Assets),No Data (Across ALL Assets)
"RHHBY, Long, 2025-12-21 (Price: 51.2)",No Exit Yet,"0.76%, 10 days","87.5%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-31 (Price: 51.59), 0.76% above",10 days,"2, 2025-07-06 (Price: 40.44)",2025-12-14 (Price: 50.04),2025-12-18 (Price: 50.27),17/13/10 days,3.1% above/2.63% above/0.76% above,2025-07-06 (Price: 40.6429)/2025-12-21 (Price: 49.0534),18.53%/3.11%/9.28%,"21.59%, 44.18%",1.2 year/1.2 month/4.5 months,2027-09-07/2026-02-11/2026-07-04,3.03%,4.77%,-1.74%,0.42,0.23,53.1507/55.9514/57.66/52.46/58.6089/65.2057/No EMA 200 Target,38.23/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/41.95,No Data (Across ALL Assets),No Data (Across ALL Assets)
"UPS, Long, 2025-12-21 (Price: 101.92)",No Exit Yet,"-2.68%, 10 days","84.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-31 (Price: 99.19), 2.68% below",10 days,"2, 2025-07-06 (Price: 104.13)",2025-12-14 (Price: 100.92),2025-12-19 (Price: 101.92),17/12/10 days,1.71% below/2.68% below/2.68% below,2025-07-06 (Price: 106.46)/2025-12-21 (Price: 98.1447),11.34%/2.91%/7.7%,"13.76%, 27.26%",9.8 months/28 days/4.1 months,2027-02-19/2026-01-30/2026-06-15,6.24%,1.27%,4.97%,0.28,0.02,98.9439/109.7678/103.25/221.2667/228.7501/295.6013/No EMA 200 Target,82.87/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/95.71,No Data (Across ALL Assets),No Data (Across ALL Assets)
"WPM, Long, 2025-12-19 (Price: 119.7)",2025-12-26 (Price: 124.22),"3.78%, 7 days","96.3%, Past 4 years, 27","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-31 (Price: 117.52), 1.82% below",12 days,"2, 2025-10-29 (Price: 95.18)",2025-12-18 (Price: 115.45),2025-12-19 (Price: 119.7),13/12/12 days,1.79% above/1.82% below/1.82% below,2025-10-29 (Price: 105.76)/2025-12-19 (Price: 115.3164),15.63%/1.33%/6.3%,"14.18%, 36.59%",3.8 months/4 days/1.3 month,2026-06-02/2025-12-24/2026-02-13,22.59%,17.13%,5.46%,1.09,0.81,128.9887/127.2411/134.41/No Horizontal Resistance/131.4439/145.6176/No EMA 200 Target,104.96/38.3375/98.515/93.6878/No F-Track Level/No F-Track Level/93.73,No Data (Across ALL Assets),No Data (Across ALL Assets)
"NIFTY_MIDCAP_100.NS, Long, 2025-12-15 (Price: 60212.8008)",2025-12-26 (Price: 60314.4492),"0.17%, 11 days","84.21%, Past 4 years, 38","Daily, is CONFIRMED on 2025-12-15",Already confirmed,"2025-12-31 (Price: 60484.5), 0.45% above",16 days,"0, 2024-02-14 (Price: 48331.8984)",2025-12-12 (Price: 60283.3008),2025-12-15 (Price: 60212.8008),19/16/16 days,0.33% above/0.45% above/0.45% above,2024-02-14 (Price: 60487.8784)/2025-12-15 (Price: 59758.9345),4.39%/0.64%/2.34%,"10.85%, 21.42%",3.3 months/6 days/22 days,2026-05-07/2025-12-23/2026-01-15,11.07%,16.35%,-5.28%,0.22,1.13,63470.3133/61621.7803/67341.34/No Horizontal Resistance/69983.5191/76335.2565/No EMA 200 Target,59007.75/24894.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level/56770.22,No Data (Across ALL Assets),No Data (Across ALL Assets)
"MA, Long, 2025-12-12 (Price: 571.93)",2025-12-29 (Price: 577.9),"1.04%, 17 days","96.15%, Past 4 years, 26","Daily, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-31 (Price: 570.88), 0.18% below",19 days,"2, 2025-09-18 (Price: 586.05)",2025-12-11 (Price: 563.37),2025-12-12 (Price: 571.93),20/19/19 days,1.33% above/0.18% below/0.18% below,2025-09-18 (Price: 600.466)/2025-12-12 (Price: 548.5937),7.81%/1.11%/2.94%,"5.85%, 28.57%",3.5 months/4 days/1.3 month,2026-05-13/2025-12-17/2026-02-06,5.71%,7.58%,-1.87%,0.98,0.39,578.3928/588.7447/580.4/592.9033/716.5814/751.3605/No EMA 200 Target,537.55/306.91/554.0572/515.4888/No F-Track Level/No F-Track Level/559.47,No Data (Across ALL Assets),No Data (Across ALL Assets)
