"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"ASML, Long, 2025-11-03 (Price: 1066.8199)",No Exit Yet,"0.0%, 0 days","90.91%, Past 30 years, 11","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 578.51 prior to 2025-12-31,"2025-11-03 (Price: 1066.8199), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 583.1637),82.94% above,"2016-03-31 (Price: 77.17), 2021-09-30 (Price: 895.93)",3807.85%/71.67%/1322.31%,"6.66%, 52.63%",5089 days/1370 days/2869 days,2046-01-07/2031-04-10/2037-03-20,8.55%,20.11%,-11.56%,0.43,0.61,1353.9011/15173.4861/1558.08/No Horizontal Resistance/1081.4334/1218.8523,415.35/561.385/998.2461/956.961/1235.8618/1313.1536,931.15/778.32,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"BAC, Long, 2025-11-03 (Price: 53.56)",No Exit Yet,"0.0%, 0 days","100.0%, Past 39 years, 22","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.07 prior to 2025-12-31,"2025-11-03 (Price: 53.56), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 32.8474),63.06% above,"2011-12-31 (Price: 4.92), 2022-03-31 (Price: 50.11)",361.65%/15.25%/133.27%,"-0.0%, 59.29%",4305 days/587 days/1663 days,2042-11-29/2028-03-02/2032-06-07,5.77%,4.61%,1.16%,0.41,0.21,55.8899/124.9394/80.67/No Horizontal Resistance/60.5768/64.246,27.38/29.49/50.5717/44.5293/53.8138/55.585,51.1/45.9,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"INFY, Long, 2025-11-03 (Price: 16.41)",No Exit Yet,"0.0%, 0 days","100.0%, Past 26 years, 11","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 15.82 prior to 2025-12-31,"2025-11-03 (Price: 16.41), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 15.5656),5.42% above,"2012-09-30 (Price: 4.7413), 2022-03-31 (Price: 26.39)",146.88%/22.51%/84.7%,"-0.0%, 40.77%",1369 days/783 days/1076 days,2031-04-08/2028-12-11/2030-02-08,12.46%,12.49%,-0.03%,0.37,0.38,16.6562/30.3093/29.4/23.796/25.6134/28.2828,16.27/16.074/15.2985/14.1529/16.6189/15.7269,16.83/18.15,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"IWM, Long, 2025-11-03 (Price: 245.44)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 171.73 prior to 2025-12-31,"2025-11-03 (Price: 245.44), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 170.075),44.31% above,"2020-03-31 (Price: 95.69), 2021-12-31 (Price: 244.46)",56.32%/25.19%/40.76%,"-0.0%, 20.56%",716 days/715 days/715 days,2028-09-05/2028-09-03/2028-09-03,11.21%,6.21%,5.0%,0.5,0.2,237.095/345.4813/334.7/No Horizontal Resistance/245.3626/270.9222,164.92/162.3167/196.8345/160.6663/233.5959/221.8127,242.12/219.3,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"IFT.NZ, Long, 2025-11-03 (Price: 12.32)",No Exit Yet,"0.0%, 0 days","100.0%, Past 31 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 9.13 prior to 2025-12-31,"2025-11-03 (Price: 12.32), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 9.2141),33.71% above,"2016-12-31 (Price: 2.5393), 2024-12-31 (Price: 13.34)",103.41%/23.86%/63.63%,"-0.0%, 22.42%",978 days/717 days/847 days,2029-09-19/2028-09-06/2029-03-13,13.15%,12.57%,0.58%,0.46,0.51,14.1766/20.1592/18.8/No Horizontal Resistance/18.927/29.733,2.72/7.3167/12.2485/8.121/14.3361/14.9482,12.24/11.27,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"SUM.NZ, Long, 2025-11-03 (Price: 11.85)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-11-03 (Price: 11.85), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 10.74),10.34% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",21.12%/21.12%/21.12%,"-0.0%, 38.76%",718 days/718 days/718 days,2028-09-07/2028-09-07/2028-09-07,7.04%,16.47%,-9.43%,0.34,0.57,11.7042/14.3527/15.09/13.345/16.7981/18.5763,8.8/9.1367/11.1928/8.9354/11.3772/10.74,11.14/11.5,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"BDGI.TO, Long, 2025-11-03 (Price: 73.49)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.62 prior to 2025-12-31,"2025-11-03 (Price: 73.49), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 33.6027),118.7% above,"2022-03-31 (Price: 22.54), 2024-03-31 (Price: 51.5)",35.15%/35.15%/35.15%,"-0.0%, 52.34%",1108 days/1108 days/1108 days,2030-03-26/2030-03-26/2030-03-26,7.18%,12.22%,-5.04%,0.42,0.42,77.1057/99.3217/90.87/No Horizontal Resistance/63.4408/66.9303,26.66/24.32/55.1508/48.4155/64.3621/58.5069,62.71/48.57,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"CNQ.TO, Long, 2025-11-03 (Price: 44.9)",No Exit Yet,"0.0%, 0 days","100.0%, Past 52 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 34.92 prior to 2025-12-31,"2025-11-03 (Price: 44.9), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 34.1015),31.67% above,"2020-03-31 (Price: 4.7992), 2022-06-30 (Price: 43.1832)",880.76%/124.37%/387.49%,"-0.0%, 59.43%",2087 days/1631 days/1891 days,2034-02-11/2032-04-22/2033-05-03,12.07%,13.02%,-0.95%,0.46,0.46,47.1405/218.883/67.93/51.51/57.5622/59.9244,42.8/34.9317/44.0597/41.1349/61.5996/64.7366,43.89/42.88,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"MX.TO, Long, 2025-11-03 (Price: 52.3)",No Exit Yet,"0.0%, 0 days","85.71%, Past 33 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 36.1 prior to 2025-12-31,"2025-11-03 (Price: 52.3), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 36.7101),42.47% above,"2020-03-31 (Price: 13.24), 2023-03-31 (Price: 74.68)",68.59%/44.74%/56.66%,"40.03%, 69.12%",1955 days/717 days/1336 days,2033-08-04/2028-09-06/2031-02-20,4.14%,4.51%,-0.37%,0.3,0.25,54.2874/81.9332/89.16/73.435/118.0011/153.5474,45.09/38.425/47.9234/44.2912/88.1361/94.2546,51.89/51.55,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"TFII.TO, Long, 2025-11-03 (Price: 125.55)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 102.57 prior to 2025-12-31,"2025-11-03 (Price: 125.55), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 100.7196),24.65% above,"2020-03-31 (Price: 23.21), 2021-12-31 (Price: 148.63)",171.07%/171.07%/171.07%,"-0.0%, 27.17%",717 days/717 days/717 days,2028-09-06/2028-09-06/2028-09-06,42.57%,12.24%,30.33%,0.5,0.41,134.5645/340.3284/200.8/219.9933/218.6478/242.6984,111.42/102.925/108.3725/94.3258/248.934/266.1435,128.37/130.21,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"DIS, Long, 2025-11-02 (Price: 112.62)",No Exit Yet,"-0.44%, 0 days","92.86%, Past 20 years, 42","Weekly, was CONFIRMED on 2025-11-02",Already confirmed,"2025-11-03 (Price: 112.12), 0.44% below",0 days,Upmove Bounce Back,38.2% (Price: 107.6566),4.15% above,"2025-04-13 (Price: 80.1), 2025-07-06 (Price: 124.69)",338.75%/2.06%/55.12%,"7.93%, 55.37%",2544 days/29 days/449 days,2035-12-04/2025-12-14/2027-08-14,8.38%,7.54%,0.84%,0.32,0.27,115.4693/174.6961/139.37/168.455/207.5364/245.6322,109.19/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level,114.0/110.09,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
"BTC-USD, Long, 2025-11-01 (Price: 110064.0156)",No Exit Yet,"0.52%, 0 days","93.75%, Past 5 years, 64","Daily, was CONFIRMED on 2025-11-01",Already confirmed,"2025-11-02 (Price: 110639.625), 0.52% above",0 days,Upmove Bounce Back,23.66% (Price: 107961.6918),2.48% above,"2024-08-05 (Price: 49121.2383), 2025-10-06 (Price: 126198.0703)",133.41%/2.6%/33.78%,"10.03%, 72.69%",600 days/5 days/148 days,2028-03-19/2025-11-08/2026-06-03,16.74%,49.32%,-32.58%,0.38,0.92,114070.3458/147243.6401/156310.11/124582.2656/122105.3521/133759.1807,108305.55/18304.4229/88987.7198/76786.0499/No F-Track Level/No F-Track Level,113849.7/109756.03,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"BRK-B, Long, 2025-10-31 (Price: 477.54)",No Exit Yet,"-0.39%, 1 days","92.31%, Past 29 years, 26","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-11-03 (Price: 475.68), 0.39% below",1 days,Upmove Bounce Back,23.66% (Price: 451.5539),5.34% above,"2020-03-31 (Price: 159.5), 2025-05-31 (Price: 542.07)",204.24%/9.94%/55.24%,"11.32%, 45.86%",3131 days/238 days/873 days,2038-03-31/2026-10-10/2029-04-17,5.06%,11.04%,-5.98%,0.48,0.46,510.2992/741.3331/707.08/488.245/630.85/709.9376,267.02/268.082/449.7662/405.99/No F-Track Level/No F-Track Level,493.53/494.6,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
"ASML, Long, 2025-10-31 (Price: 1059.23)",No Exit Yet,"0.72%, 1 days","90.0%, Past 30 years, 30","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-11-03 (Price: 1066.8199), 0.72% above",1 days,Upmove Bounce Back,38.2% (Price: 692.3064),54.1% above,"2008-11-30 (Price: 16.4156), 2024-07-31 (Price: 1110.09)",569.94%/9.57%/122.25%,"6.56%, 50.14%",2240 days/173 days/587 days,2034-09-18/2026-07-08/2028-02-28,10.68%,20.11%,-9.43%,0.34,0.62,1116.6403/2354.1387/1715.43/No Horizontal Resistance/1091.1724/1155.2236,662.63/561.385/1034.6774/832.8601/No F-Track Level/No F-Track Level,931.15/778.32,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
"SJ.TO, Long, 2025-10-31 (Price: 79.61)",No Exit Yet,"-1.19%, 1 days","100.0%, Past 31 years, 16","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-11-03 (Price: 78.66), 1.19% below",1 days,Upmove Bounce Back,23.66% (Price: 74.8871),5.04% above,"1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",7355.0%/9.52%/1157.17%,"-0.0%, 70.23%",3717 days/153 days/1242 days,2040-07-27/2026-06-09/2030-10-03,13.79%,17.66%,-3.88%,0.26,0.62,88.7492/1000.833/138.22/84.3925/95.0177/123.2166,67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level,79.1/74.49,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
"GLD, Long, 2025-10-30 (Price: 370.13)",No Exit Yet,"-0.36%, 2 days","100.0%, Past 5 years, 33","Daily, was CONFIRMED on 2025-10-30",Already confirmed,"2025-11-03 (Price: 368.78), 0.36% below",2 days,Upmove Bounce Back,23.66% (Price: 363.7476),1.38% above,"2024-11-14 (Price: 236.13), 2025-10-20 (Price: 403.3)",68.69%/1.34%/18.74%,"-0.0%, 21.03%",873 days/34 days/258 days,2029-04-16/2025-12-18/2026-11-07,10.57%,15.19%,-4.62%,0.41,0.8,374.2384/439.4924/470.43/No Horizontal Resistance/424.4974/624.146,363.0/150.8/301.1087/224.8487/No F-Track Level/No F-Track Level,352.62/307.63,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"WPM.TO, Long, 2025-10-30 (Price: 137.22)",No Exit Yet,"-0.45%, 2 days","97.3%, Past 5 years, 37","Daily, was CONFIRMED on 2025-10-30",Already confirmed,"2025-11-03 (Price: 136.6), 0.45% below",2 days,Upmove Bounce Back,38.2% (Price: 129.6661),5.35% above,"2024-12-30 (Price: 79.88), 2025-10-16 (Price: 160.44)",69.2%/2.13%/25.88%,"0.62%, 39.55%",788 days/15 days/182 days,2028-12-14/2025-11-20/2026-07-20,14.82%,17.12%,-2.29%,0.59,0.6,140.8152/172.7325/185.56/No Horizontal Resistance/178.0989/194.7923,132.14/52.782/125.9496/92.3678/No F-Track Level/No F-Track Level,144.25/120.85,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"SLV, Long, 2025-10-29 (Price: 43.23)",No Exit Yet,"1.23%, 3 days","96.15%, Past 5 years, 26","Daily, was CONFIRMED on 2025-10-29",Already confirmed,"2025-11-03 (Price: 43.76), 1.23% above",3 days,Upmove Bounce Back,23.66% (Price: 41.9462),4.32% above,"2023-03-09 (Price: 18.38), 2025-10-16 (Price: 49.25)",53.49%/6.61%/24.46%,"7.24%, 37.46%",1125 days/18 days/381 days,2030-04-15/2025-11-24/2027-05-03,7.81%,14.3%,-6.49%,0.64,0.53,44.3064/53.8041/61.75/No Horizontal Resistance/48.7992/54.635,42.4/18.99/41.7135/37.8198/No F-Track Level/No F-Track Level,41.34/33.69,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"NFLX, Long, 2025-10-29 (Price: 1100.41)",No Exit Yet,"-0.03%, 3 days","96.77%, Past 5 years, 31","Daily, was CONFIRMED on 2025-10-29",Already confirmed,"2025-11-03 (Price: 1100.09), 0.03% below",3 days,Upmove Bounce Back,23.66% (Price: 1105.397),0.48% below,"2023-10-18 (Price: 344.73), 2025-06-30 (Price: 1341.15)",93.74%/6.98%/45.49%,"0.67%, 75.95%",941 days/46 days/265 days,2029-07-22/2026-01-03/2026-11-16,16.51%,17.23%,-0.72%,0.61,0.58,1117.4664/1600.9865/1698.26/No Horizontal Resistance/1393.524/1524.2919,1094.56/348.6633/1008.8519/864.7664/No F-Track Level/No F-Track Level,1193.47/1123.07,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"ETH-USD, Long, 2025-10-26 (Price: 4157.9893)",No Exit Yet,"-5.94%, 4 days","100.0%, Past 10 years, 11","Weekly, was CONFIRMED on 2025-10-26",Already confirmed,"2025-11-02 (Price: 3911.0632), 5.94% below",4 days,Upmove Bounce Back,38.2% (Price: 3403.7206),14.91% above,"2022-06-19 (Price: 896.109), 2025-08-24 (Price: 4953.7329)",99.35%/4.78%/38.47%,"-0.0%, 60.64%",609 days/24 days/224 days,2028-03-26/2025-11-29/2026-09-15,33.8%,36.37%,-2.57%,0.32,1.1,4007.4701/5757.5678/6592.56/4922.7188/4887.278/5344.0381,3984.65/1370.4997/3929.1537/3454.2267/No F-Track Level/No F-Track Level,4165.99/3352.41,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
"TRI.TO, Long, 2025-10-26 (Price: 227.55)",No Exit Yet,"-3.79%, 5 days","95.0%, Past 20 years, 20","Weekly, was CONFIRMED on 2025-10-26",Already confirmed,"2025-11-03 (Price: 218.92), 3.79% below",5 days,Upmove Bounce Back,38.2% (Price: 205.33),6.62% above,"2018-05-13 (Price: 53.4023), 2025-07-20 (Price: 299.24)",87.63%/1.4%/28.01%,"1.51%, 22.04%",739 days/34 days/285 days,2028-09-30/2025-12-14/2026-12-12,11.76%,9.69%,2.07%,0.46,0.37,243.2965/291.2868/375.05/240.8933/293.2329/316.3836,212.03/116.89/193.124/131.2534/No F-Track Level/No F-Track Level,227.19/249.31,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
"IBKR, Long, 2025-10-21 (Price: 66.27)",2025-11-03 (Price: 73.08) (Today),"10.28%, 9 days","100.0%, Past 5 years, 32","Daily, was CONFIRMED on 2025-10-21",Already confirmed,"2025-11-03 (Price: 73.08), 10.28% above",9 days,Upmove Bounce Back,23.66% (Price: 63.7606),14.62% above,"2025-04-07 (Price: 32.82), 2025-10-10 (Price: 73.35)",177.45%/8.73%/59.16%,"-0.0%, 38.74%",813 days/26 days/206 days,2029-01-10/2025-11-27/2026-08-15,20.73%,41.24%,-20.51%,0.6,1.38,66.9592/105.4753/90.59/No Horizontal Resistance/81.4292/98.2092,66.23/13.0762/62.0029/55.579/No F-Track Level/No F-Track Level,66.36/55.68,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
