"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"BPCL.NS, Long, 2025-11-16 (Price: 371.15)",No Exit Yet,"-1.64%, 3 days","81.25%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-20 (Price: 365.05), 1.64% below",3 days,"0, 2021-07-25 (Price: 230.675)",2025-11-02 (Price: 356.8),2025-11-14 (Price: 371.15),13/4/3 days,2.31% above/1.64% below/1.64% below,2021-07-25 (Price: 448.4362)/2025-11-16 (Price: 350.8425),29.59%/1.78%/11.46%,"32.02%, 47.09%",174 days/19 days/61 days,2026-07-26/2025-12-13/2026-02-12,12.02%,12.45%,-0.44%,0.38,0.44,389.5219/413.6838/455.43/No Horizontal Resistance/372.4081/393.108/No Moving Avg Target,308.2/145.35/353.1485/295.7614/No F-Track Level/No F-Track Level/310.9,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"SJ.TO, Long, 2025-11-13 (Price: 85.97)",No Exit Yet,"-4.73%, 5 days","80.56%, Past 4 years, 36","Daily, is CONFIRMED on 2025-11-13",Already confirmed,"2025-11-20 (Price: 81.9), 4.73% below",5 days,"4, 2025-07-31 (Price: 78.99)",2025-11-12 (Price: 85.27),2025-11-13 (Price: 85.97),6/5/5 days,3.95% below/4.73% below/4.73% below,2025-07-31 (Price: 78.5029)/2025-11-13 (Price: 84.8279),12.01%/1.22%/4.01%,"21.83%, 34.43%",119 days/4 days/21 days,2026-05-04/2025-11-18/2025-12-13,8.72%,13.33%,-4.61%,0.22,0.49,87.7238/89.4174/90.16/No Horizontal Resistance/95.0177/123.2166/No Moving Avg Target,78.12/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/74.93,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"TCS.NS, Long, 2025-11-11 (Price: 3047.0)",2025-11-17 (Price: 3102.2),"1.81%, 4 days","96.97%, Past 4 years, 33","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-20 (Price: 3144.8), 3.21% above",7 days,"0, 2024-01-15 (Price: 3903.8)",2025-11-07 (Price: 2991.8),2025-11-11 (Price: 3047.0),9/7/7 days,5.11% above/3.21% above/3.21% above,2024-01-15 (Price: 5919.3469)/2025-11-11 (Price: 2966.7959),13.38%/0.84%/4.51%,"12.98%, 25.8%",93 days/5 days/15 days,2026-03-25/2025-11-18/2025-12-02,36.95%,5.27%,31.68%,0.86,0.17,3133.8395/3184.4197/3561.08/4543.575/5637.7577/6711.0756/3362.93,2990.2/2923.4601/2637.2425/2299.5932/No F-Track Level/No F-Track Level/No Moving Avg Support,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"NIFTY_MIDCAP_100.NS, Long, 2025-11-11 (Price: 60427.0)",2025-11-17 (Price: 61180.5),"1.25%, 4 days","91.67%, Past 4 years, 48","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-20 (Price: 60963.5508), 0.89% above",7 days,"6, 2025-06-05 (Price: 58303.0)",2025-11-07 (Price: 59843.1484),2025-11-11 (Price: 60427.0),9/7/7 days,1.87% above/0.89% above/0.89% above,2025-06-05 (Price: 59998.3505)/2025-11-11 (Price: 58902.0756),4.39%/0.64%/2.63%,"10.85%, 21.42%",71 days/4 days/16 days,2026-02-21/2025-11-16/2025-12-04,15.67%,23.17%,-7.5%,0.55,1.11,62590.2866/62016.2301/61701.4/No Horizontal Resistance/69983.5191/76335.2565/No Moving Avg Target,59468.6/24894.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level/55792.17,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"BPCL.NS, Long, 2025-11-09 (Price: 367.15)",No Exit Yet,"-0.57%, 8 days","81.25%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-20 (Price: 365.05), 0.57% below",8 days,"0, 2021-07-18 (Price: 224.0)",2025-11-02 (Price: 356.8),2025-11-07 (Price: 367.15),13/9/8 days,2.31% above/0.57% below/0.57% below,2021-07-18 (Price: 448.87)/2025-11-09 (Price: 351.2762),29.59%/1.78%/11.46%,"32.02%, 47.09%",174 days/19 days/61 days,2026-07-19/2025-12-06/2026-02-05,12.02%,12.45%,-0.44%,0.38,0.44,385.3239/409.2254/453.04/No Horizontal Resistance/372.4081/393.108/No Moving Avg Target,308.2/145.35/353.1485/295.7614/No F-Track Level/No F-Track Level/308.45,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"SJ.TO, Long, 2025-11-09 (Price: 83.75)",No Exit Yet,"-2.21%, 8 days","93.94%, Past 10 years, 33","Weekly, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-20 (Price: 81.9), 2.21% below",8 days,"6, 2024-06-23 (Price: 85.96)",2025-11-09 (Price: 83.75),2025-11-09 (Price: 83.75),8/8/8 days,2.21% below/2.21% below/2.21% below,2024-06-23 (Price: 99.5)/2025-11-09 (Price: 77.9),23.9%/1.55%/9.36%,"6.63%, 46.57%",259 days/24 days/49 days,2026-11-19/2025-12-13/2026-01-18,20.93%,17.49%,3.44%,1.4,0.68,88.8671/91.589/85.08/84.3925/95.0177/123.2166/No Moving Avg Target,76.55/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/74.69,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"XLE, Long, 2025-11-07 (Price: 89.54)",2025-11-14 (Price: 92.02),"2.77%, 5 days","93.75%, Past 4 years, 32","Daily, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-20 (Price: 88.86), 0.76% below",9 days,"2, 2025-09-18 (Price: 89.71)",2025-11-06 (Price: 88.27),2025-11-07 (Price: 89.54),10/9/9 days,0.67% above/0.76% below/0.76% below,2025-09-18 (Price: 93.9679)/2025-11-07 (Price: 87.6205),7.08%/0.4%/4.15%,"17.64%, 40.87%",85 days/4 days/18 days,2026-03-10/2025-11-12/2025-12-03,35.75%,6.1%,29.65%,0.6,0.24,92.2889/93.2559/89.64/98.445/108.2743/117.7423/No Moving Avg Target,87.19/45.695/89.0231/74.9996/No F-Track Level/No F-Track Level/86.85,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"LYFT, Long, 2025-11-06 (Price: 21.25)",2025-11-13 (Price: 23.8),"12.0%, 5 days","91.43%, Past 4 years, 35","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2025-11-20 (Price: 19.76), 7.01% below",10 days,"2, 2025-09-17 (Price: 22.84)",2025-11-05 (Price: 20.08),2025-11-06 (Price: 21.25),11/10/10 days,1.59% below/7.01% below/7.01% below,2025-09-17 (Price: 23.7839)/2025-11-06 (Price: 19.8392),46.32%/1.28%/12.74%,"52.91%, 72.52%",77 days/4 days/24 days,2026-02-25/2025-11-11/2025-12-10,43.3%,-10.85%,54.15%,0.48,0.14,22.4145/23.9572/22.2/57.19/81.0416/101.3843/No Moving Avg Target,19.42/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/15.49,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"PPH, Long, 2025-11-06 (Price: 94.3)",2025-11-14 (Price: 98.86),"4.84%, 6 days","96.0%, Past 4 years, 25","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2025-11-20 (Price: 98.28), 4.22% above",10 days,"2, 2025-09-17 (Price: 88.58)",2025-11-04 (Price: 92.75),2025-11-06 (Price: 94.3),12/10/10 days,5.96% above/4.22% above/4.22% above,2025-09-17 (Price: 96.444)/2025-11-06 (Price: 91.692),5.58%/0.68%/1.93%,"8.41%, 20.52%",87 days/4 days/29 days,2026-03-12/2025-11-11/2025-12-18,12.0%,7.54%,4.46%,0.55,0.28,95.3656/96.12/97.73/No Horizontal Resistance/100.0174/110.0139/No Moving Avg Target,90.97/65.915/87.7591/70.617/No F-Track Level/No F-Track Level/88.83,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"MAR, Long, 2025-11-05 (Price: 283.07)",2025-11-13 (Price: 287.43),"1.54%, 6 days","100.0%, Past 4 years, 24","Daily, is CONFIRMED on 2025-11-05",Already confirmed,"2025-11-20 (Price: 282.38), 0.24% below",11 days,"6, 2025-06-03 (Price: 264.4)",2025-11-04 (Price: 272.24),2025-11-05 (Price: 283.07),12/11/11 days,3.72% above/0.24% below/0.24% below,2025-06-03 (Price: 288.1148)/2025-11-05 (Price: 269.259),20.78%/1.46%/5.76%,"-0.0%, 12.09%",62 days/4 days/17 days,2026-02-02/2025-11-10/2025-11-29,113.25%,11.5%,101.74%,0.99,0.41,295.7232/299.3748/294.27/No Horizontal Resistance/372.972/399.3723/No Moving Avg Target,260.58/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/263.4,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"SUM.NZ, Long, 2025-11-04 (Price: 11.85)",2025-11-17 (Price: 12.65),"6.75%, 9 days","90.0%, Past 4 years, 20","Daily, is CONFIRMED on 2025-11-04",Already confirmed,"2025-11-20 (Price: 12.67), 6.92% above",12 days,"0, 2024-01-18 (Price: 10.61)",2025-11-03 (Price: 11.85),2025-11-04 (Price: 11.85),13/12/12 days,6.92% above/6.92% above/6.92% above,2024-01-18 (Price: 14.7018)/2025-11-04 (Price: 11.6135),8.54%/1.38%/4.55%,"6.4%, 20.48%",133 days/4 days/16 days,2026-05-15/2025-11-09/2025-11-27,46.12%,9.64%,36.48%,0.79,0.35,12.2434/12.3892/12.59/13.345/19.8479/26.5969/No Moving Avg Target,11.6/9.1367/11.0645/56.4607/No F-Track Level/No F-Track Level/11.49,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"LYFT, Long, 2025-11-03 (Price: 20.95)",2025-11-13 (Price: 23.8),"13.6%, 8 days","91.43%, Past 4 years, 35","Daily, is CONFIRMED on 2025-11-03",Already confirmed,"2025-11-20 (Price: 19.76), 5.68% below",13 days,"2, 2025-09-12 (Price: 18.62)",2025-10-31 (Price: 20.46),2025-11-03 (Price: 20.95),14/13/13 days,3.42% below/5.68% below/5.68% below,2025-09-12 (Price: 24.1729)/2025-11-03 (Price: 19.9527),46.32%/1.28%/12.74%,"52.91%, 72.52%",77 days/4 days/24 days,2026-02-22/2025-11-08/2025-12-07,43.3%,-10.85%,54.15%,0.48,0.14,22.0981/23.619/22.35/57.19/81.0416/101.3843/No Moving Avg Target,19.75/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/15.39,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"DOL.TO, Long, 2025-11-03 (Price: 182.6)",2025-11-13 (Price: 194.07),"6.28%, 8 days","100.0%, Past 4 years, 44","Daily, is CONFIRMED on 2025-11-03",Already confirmed,"2025-11-20 (Price: 198.34), 8.62% above",13 days,"2, 2025-08-15 (Price: 192.31)",2025-11-03 (Price: 182.6),2025-11-03 (Price: 182.6),13/13/13 days,8.62% above/8.62% above/8.62% above,2025-08-15 (Price: 199.549)/2025-11-03 (Price: 181.5204),10.12%/0.29%/3.51%,"-0.0%, 13.61%",101 days/4 days/29 days,2026-03-29/2025-11-08/2025-12-15,31.05%,25.35%,5.71%,1.47,1.07,186.1242/189.0093/188.43/197.56/194.1559/294.0831/No Moving Avg Target,180.3/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/172.2,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"GOOG, Long, 2025-10-31 (Price: 281.82)",No Exit Yet,"2.9%, 14 days","94.12%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-20 (Price: 289.98), 2.9% above",14 days,"0, 2020-10-31 (Price: 81.0505)",2025-09-30 (Price: 243.55),2025-10-31 (Price: 281.82),37/14/14 days,19.06% above/2.9% above/2.9% above,2020-10-31 (Price: 126.9444)/2025-10-31 (Price: 221.2778),63.04%/1.54%/29.75%,"3.21%, 18.92%",412 days/86 days/199 days,2027-06-19/2026-03-04/2026-08-15,22.75%,24.26%,-1.52%,1.49,0.85,307.7193/365.6614/402.28/No Horizontal Resistance/285.4807/322.8294/No Moving Avg Target,156.23/84.6567/240.3589/219.0619/No F-Track Level/No F-Track Level/194.01,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"XIU.TO, Long, 2025-10-31 (Price: 45.14)",No Exit Yet,"-1.4%, 14 days","87.5%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-20 (Price: 44.51), 1.4% below",14 days,"0, 2020-10-31 (Price: 23.53)",2025-08-31 (Price: 42.76),2025-10-31 (Price: 45.14),58/14/14 days,4.09% above/1.4% below/1.4% below,2020-10-31 (Price: 31.0813)/2025-10-31 (Price: 41.0445),13.41%/2.94%/9.31%,"6.95%, 19.49%",304 days/84 days/144 days,2027-01-14/2026-03-01/2026-05-27,8.8%,4.94%,3.87%,0.91,0.11,47.9703/49.3425/58.11/No Horizontal Resistance/53.8646/79.5406/No Moving Avg Target,28.76/28.5233/37.996/28.1885/No F-Track Level/No F-Track Level/40.37,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"QQQ, Long, 2025-10-31 (Price: 629.07)",No Exit Yet,"-6.9%, 14 days","100.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-20 (Price: 585.67), 6.9% below",14 days,"0, 2020-10-31 (Price: 269.38)",2025-09-30 (Price: 600.37),2025-10-31 (Price: 629.07),37/14/14 days,2.45% below/6.9% below/6.9% below,2020-10-31 (Price: 364.6767)/2025-10-31 (Price: 567.9074),26.83%/5.89%/12.63%,"-0.0%, 33.07%",673 days/107 days/230 days,2028-07-01/2026-04-03/2026-09-29,11.42%,9.45%,1.97%,2.06,0.36,677.0051/708.5215/844.88/No Horizontal Resistance/610.7303/836.2536/No Moving Avg Target,468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/537.0,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"^GSPC, Long, 2025-10-31 (Price: 6840.2002)",No Exit Yet,"-4.41%, 14 days","95.45%, Past 20 years, 22","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-20 (Price: 6538.7598), 4.41% below",14 days,"0, 2020-10-31 (Price: 3269.96)",2025-09-30 (Price: 6688.46),2025-10-31 (Price: 6840.2002),37/14/14 days,2.24% below/4.41% below/4.41% below,2020-10-31 (Price: 4279.9133)/2025-10-31 (Price: 6434.7405),17.02%/3.9%/10.39%,"7.48%, 24.77%",631 days/87 days/193 days,2028-05-01/2026-03-06/2026-08-06,9.69%,6.68%,3.01%,1.42,0.24,7449.662/7550.897/8982.34/No Horizontal Resistance/6767.7249/9765.5661/No Moving Avg Target,5569.06/4128.7074/6316.2337/5433.2046/No F-Track Level/No F-Track Level/6111.52,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
