Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"MSFT, Long, 2026-01-20 (Price: 454.52)",Daily,2026-01-23 (Price: 465.95),478.2914 (Backtested Max),No Date Target,0.92%/15.15%,"5.73%, 7 days","2026-01-27 (Price: 480.58), 5.73% above",554.585 (Horizontal)/553.3726 (F-Stack 1)/615.9924 (F-Stack 2)/485.0 (EMA 200),2026-05-04 (Max)/2026-02-07 (Avg),450.18/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Support,"75.0%, Past 4 years, 12",451.22,No Information,No Information,No Information,No Information,No Information,No Information,5.23%/2.02%/3.62%,"8.2%, 14.53%",2.4 months/1 day/13 days,4.97%,9.3%,-4.33%,0.11,0.5,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets)
FRACTAL TRACK,"ORCL, Long, 2026-01-23 (Price: 177.16)",Daily,No Exit Yet,No Price Target,2026-01-27 (Min),6.59%/11.46%,"-1.28%, 4 days","2026-01-27 (Price: 174.9), 1.28% below",186.4255 (Historic Rise or Fall to Pivot)/205.169 (Avg % Gain of Historic Winning trades)/313.28 (Function Specific Target)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/219.07 (EMA 200)/260.8327 (Backtested Max)/194.9469 (Backtested Min),2028-05-06 (Max)/2026-08-02 (Avg),173.88/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 23",172.62,No Information,No Information,No Information,"78.6% (Price: 167.408), 4.48% above, Upmove Bounce Back","2025-04-07 (Price: 118.86), 2025-09-10 (Price: 345.72)",No Information,47.23%/10.04%/15.81%,"-0.0%, 41.08%",1.6 year/3 days/4.4 months,57.24%,18.71%,38.53%,1.43,0.86,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
TRENDPULSE,"ORCL, Long, 2025-09-10 (Price: 328.33)",Daily,No Exit Yet,No Price Target,2026-01-27 (Max),89.09%/98.5%,"-46.73%, 4.6 months","2026-01-27 (Price: 174.9), 46.73% below",363.5926 (Historic Rise or Fall to Pivot)/347.1761 (Avg % Gain of Historic Winning trades)/379.2 (Function Specific Target)/376.1425 (F-Stack 2)/373.0485 (Backtested Max)/330.7268 (Backtested Min),No Next Date Target,223.0/82.7925/233.7381/167.1709/No F-Track Level/No F-Track Level/184.4,"100.0%, Past 4 years, 17",319.19,No Information,No Information,No Information,No Information,No Information,27.58% below/46.73% below/46.73% below,13.62%/0.73%/5.74%,"-0.0%, 11.99%",3.2 months/6 days/1.2 month,20.9%,16.31%,4.59%,1.07,0.75,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
DELTADRIFT,"PG, Long, 2025-12-21 (Price: 144.46)",Weekly,2026-01-25 (Price: 150.15),No Price Target,No Date Target,2.43%/2.64%,"2.69%, 1.2 month","2026-01-27 (Price: 148.34), 2.69% above",152.5642 (Historic Rise or Fall to Pivot)/151.943 (Avg % Gain of Historic Winning trades)/152.25 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/154.26 (EMA 200)/158.3859 (Backtested Max),2026-10-12 (Max)/2026-03-13 (Avg),142.84/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 6",143.27,No Information,No Information,No Information,No Information,No Information,No Information,9.64%/3.16%/5.18%,"0%, 10.64%",6.8 months/7 days/1.9 month,6.41%,4.09%,2.32%,2.17,0.17,94.87%/39/0 days (Across ALL Assets),87.5%/112/0 days (Across ALL Assets)
TRENDPULSE,"PG, Long, 2026-01-20 (Price: 147.0)",Daily,2026-01-27 (Price: 148.34) (Today),No Price Target,2026-01-28 (Min),1.08%/2.19%,"0.91%, 7 days","2026-01-27 (Price: 148.34), 0.91% above",149.94 (Avg % Gain of Historic Winning trades)/153.59 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/154.63 (EMA 200)/151.5864 (Backtested Max),2026-06-12 (Max)/2026-01-28 (Min)/2026-03-13 (Avg),138.04/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"86.96%, Past 4 years, 23",144.46,No Information,No Information,No Information,No Information,No Information,2.64% above/0.91% above/0.91% above,3.12%/1.29%/2.0%,"6.35%, 12.85%",3.3 months/6 days/1.2 month,9.71%,2.06%,7.65%,0.36,0.03,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
FRACTAL TRACK,"MCD, Long, 2026-01-08 (Price: 308.88)",Daily,No Exit Yet,313.9147 (Backtested Min),No Date Target,0.39%/2.3%,"1.7%, 19 days","2026-01-27 (Price: 314.13), 1.7% above",315.3665 (Historic Rise or Fall to Pivot)/329.9147 (Avg % Gain of Historic Winning trades)/326.73 (Function Specific Target)/321.3575 (Horizontal)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/343.907 (Backtested Max),2028-08-03 (Max)/2026-07-03 (Min)/2027-03-18 (Avg),299.86/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.33,"93.75%, Past 5 years, 16",303.44,No Information,No Information,No Information,"61.8% (Price: 303.4045), 3.54% above, Upmove Bounce Back","2025-10-09 (Price: 292.04), 2025-12-18 (Price: 321.79)",No Information,11.34%/1.63%/6.81%,"2.66%, 18.2%",1.8 year/4.1 months/10 months,9.72%,5.91%,3.81%,0.88,0.33,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
TRENDPULSE,"MCD, Long, 2025-12-07 (Price: 311.23)",Weekly,No Exit Yet,No Price Target,2026-01-28 (Min),2.3%/3.62%,"0.93%, 1.7 month","2026-01-27 (Price: 314.13), 0.93% above",333.7008 (Historic Rise or Fall to Pivot)/325.7333 (Avg % Gain of Historic Winning trades)/325.49 (Function Specific Target)/321.3575 (Horizontal)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/344.9985 (Backtested Max),2027-02-27 (Max)/2026-01-28 (Min)/2026-06-24 (Avg),297.01/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/305.89,"100.0%, Past 10 years, 17",309.48,No Information,No Information,No Information,No Information,No Information,0.93% above/0.93% above/0.93% above,10.85%/0.38%/4.66%,"0%, 16.82%",10.3 months/1.2 month/4.6 months,9.08%,6.77%,2.31%,1.49,0.4,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets)
DELTADRIFT,"NA.TO, Long, 2026-01-22 (Price: 165.94)",Daily,No Exit Yet,No Price Target,2026-01-27 (Min),4.49%/5.1%,"-2.4%, 5 days","2026-01-27 (Price: 161.96), 2.4% below",172.1793 (Historic Rise or Fall to Pivot)/170.2213 (Avg % Gain of Historic Winning trades)/171.2 (Function Specific Target)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/172.1462 (Backtested Max)/169.2256 (Backtested Min),2026-04-23 (Max)/2026-02-19 (Avg),147.83/82.9367/148.3746/134.0186/No F-Track Level/No F-Track Level/148.26,"91.67%, Past 4 years, 12",167.19,No Information,No Information,No Information,No Information,No Information,No Information,3.74%/1.98%/2.58%,"5.06%, 6.5%",2.1 months/4 days/20 days,8.27%,12.05%,-3.78%,0.79,0.88,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets)
BAND MATRIX,"NA.TO, Long, 2025-02-23 (Price: 124.43)",Weekly,2026-01-27 (Price: 161.96) (Today),No Price Target,No Date Target,16.49%/24.18%,"30.16%, 11.3 months","2026-01-27 (Price: 161.96), 30.16% above",188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/201.1287 (Backtested Max),2030-06-06 (Max)/2026-04-03 (Min)/2028-01-01 (Avg),106.39/73.9933/119.9028/88.8057/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 6",125.91,No Information,No Information,No Information,No Information,No Information,No Information,61.64%/4.69%/32.82%,"-0.0%, 42.56%",3.7 years/9.3 months/2 years,11.98%,7.53%,4.45%,1.22,0.44,100.0%/5/0 days (Across ALL Assets),80.68%/88/0 days (Across ALL Assets)
FRACTAL TRACK,"DOL.TO, Long, 2026-01-12 (Price: 202.08)",Daily,2026-01-27 (Price: 186.36) (Today),No Price Target,No Date Target,9.83%/13.09%,"-7.78%, 15 days","2026-01-27 (Price: 186.36), 7.78% below",210.7492 (Historic Rise or Fall to Pivot)/220.3278 (Avg % Gain of Historic Winning trades)/223.5 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/225.8042 (Backtested Max)/204.6868 (Backtested Min),2027-01-07 (Max)/2026-02-09 (Min)/2026-05-22 (Avg),198.0/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/187.09,"85.19%, Past 5 years, 27",199.44,No Information,No Information,No Information,"23.66% (Price: 201.5134), 7.52% below, Upmove Bounce Back","2025-10-14 (Price: 174.26), 2025-12-11 (Price: 209.96)",No Information,11.74%/1.29%/9.03%,"4.51%, 11.58%",8.3 months/20 days/3 months,30.23%,20.61%,9.62%,1.18,1.4,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
DELTADRIFT,"DOL.TO, Long, 2026-01-23 (Price: 192.22)",Daily,No Exit Yet,No Price Target,2026-01-27 (Min),5.66%/6.01%,"-3.05%, 4 days","2026-01-27 (Price: 186.36), 3.05% below",212.0955 (Historic Rise or Fall to Pivot)/198.2557 (Avg % Gain of Historic Winning trades)/205.18 (Function Specific Target)/197.56 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/198.8708 (Backtested Max)/196.9102 (Backtested Min),2026-02-23 (Max)/2026-02-03 (Avg),180.3/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/187.09,"80.0%, Past 4 years, 5",193.26,No Information,No Information,No Information,No Information,No Information,No Information,3.46%/2.44%/3.14%,"4.54%, 4.54%",22 days/3 days/8 days,6.16%,20.38%,-14.22%,0.47,1.39,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-03-31 (Price: 39.425)",Monthly,2026-01-27 (Price: 43.43) (Today),No Price Target,No Date Target,3.97%/10.18%,"10.16%, 10.1 months","2026-01-27 (Price: 43.43), 10.16% above",45.1535 (Avg % Gain of Historic Winning trades)/51.42 (Function Specific Target)/49.4858 (F-Stack 1)/72.2363 (F-Stack 2)/47.8501 (Backtested Max),2033-09-01 (Max)/2026-07-26 (Min)/2027-09-03 (Avg),29.46/29.76/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 27 years, 13",39.57,No Information,No Information,No Information,"23.66% (Price: 36.9765), 17.45% above, Upmove Bounce Back","2020-03-31 (Price: 21.72), 2024-11-30 (Price: 41.705)",No Information,21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,5.35%,2.87%,2.48%,1.11,0.06,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets)
TRENDPULSE,"XLU, Long, 2022-03-31 (Price: 37.23)",Quarterly,No Exit Yet,43.1607 (Avg % Gain of Historic Winning trades)/43.7042 (F-Stack 2)/43.1607 (Backtested Max)/43.1607 (Backtested Min),No Date Target,8.08%,"16.65%, 3.9 years","2026-01-27 (Price: 43.43), 16.65% above",46.94 (Function Specific Target),No Next Date Target,12.78/23.93/35.4254/30.3912/No F-Track Level/No F-Track Level/33.84,"75.0%, Past 27 years, 4",35.775,No Information,No Information,No Information,No Information,No Information,16.65% above/16.65% above/16.65% above,15.93%/15.93%/15.93%,"8.81%, 39.64%",2.8 years/2.8 years/2.8 years,1.15%,2.87%,-1.72%,0.42,0.05,86.67%/15/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2025-12-04 (Price: 9.5)",Daily,No Exit Yet,No Price Target,2026-01-29 (Min),2.59%/2.93%,"-1.79%, 1.8 month","2026-01-27 (Price: 9.33), 1.79% below",9.5713 (Historic Rise or Fall to Pivot)/10.1555 (Avg % Gain of Historic Winning trades)/10.21 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.6429 (Backtested Max)/9.6035 (Backtested Min),2030-01-24 (Max)/2026-01-29 (Min)/2027-03-26 (Avg),9.35/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.2,"90.91%, Past 5 years, 11",9.45,No Information,No Information,No Information,"38.2% (Price: 9.4454), 1.22% below, Upmove Bounce Back","2025-08-27 (Price: 8.71), 2025-11-26 (Price: 9.9)",No Information,12.03%/1.09%/6.9%,"3.1%, 17.16%",2.9 years/1.3 month/11 months,8.13%,2.77%,5.36%,0.86,0.1,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
TRENDPULSE,"CEN.NZ, Long, 2026-01-19 (Price: 9.36)",Daily,No Exit Yet,No Price Target,2026-01-29 (Min),1.84%/2.01%,"-0.32%, 8 days","2026-01-27 (Price: 9.33), 0.32% below",9.5172 (Historic Rise or Fall to Pivot)/9.6595 (Avg % Gain of Historic Winning trades)/9.58 (Function Specific Target)/9.85 (Horizontal)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.0676 (Backtested Max)/9.5013 (Backtested Min),2026-06-28 (Max)/2026-01-29 (Min)/2026-03-12 (Avg),9.18/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.19,"88.89%, Past 4 years, 27",9.34,No Information,No Information,No Information,No Information,No Information,0.32% below/0.32% below/0.32% below,7.56%/1.51%/3.2%,"7.04%, 16.17%",3.7 months/7 days/1.2 month,-0.65%,3.46%,-4.11%,0.55,0.15,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
DELTADRIFT,"KXS.TO, Long, 2026-01-23 (Price: 149.09)",Daily,No Exit Yet,No Price Target,2026-01-25 (Min),4.25%/6.31%,"-2.03%, 4 days","2026-01-27 (Price: 146.06), 2.03% below",158.751 (Historic Rise or Fall to Pivot)/155.2772 (Avg % Gain of Historic Winning trades)/157.01 (Function Specific Target)/209.885 (Horizontal)/222.5978 (F-Stack 1)/243.8843 (F-Stack 2)/185.15 (EMA 200)/159.6158 (Backtested Max)/152.2656 (Backtested Min),2026-04-11 (Max)/2026-02-09 (Avg),148.69/127.09/123.9058/118.5983/No F-Track Level/No F-Track Level/No EMA 200 Support,"71.43%, Past 4 years, 14",148.62,No Information,No Information,No Information,No Information,No Information,No Information,7.06%/2.13%/4.15%,"15.86%, 17.85%",1.8 month/2 days/12 days,3.12%,-2.75%,5.87%,0.03,-0.07,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets)
