"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-20 (Price: 1549.1)",No Exit Yet,"0.0%, 0 days","100.0%, Past 48 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 1114.85 prior to 2025-12-31,"2025-11-20 (Price: 1549.1), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1100.9625),40.7% above,"2020-03-31 (Price: 400.3177), 2022-06-30 (Price: 1318.1128)",651.15%/27.98%/339.57%,"-0.0%, 57.24%",1501 days/455 days/978 days,2031-11-03/2027-09-10/2029-10-06,30.69%,19.15%,11.54%,0.39,0.64,1578.0682/6809.3789/2099.78/No Horizontal Resistance/1879.7264/2250.6285/No Moving Avg Target,158.4/855.3207/1503.6962/1375.0525/1725.6686/1797.4889/1378.03,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"ASML, Long, 2025-11-20 (Price: 981.04)",No Exit Yet,"0.0%, 0 days","90.91%, Past 30 years, 11","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 578.51 prior to 2025-12-31,"2025-11-20 (Price: 981.04), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 583.1637),68.23% above,"2016-03-31 (Price: 77.17), 2021-09-30 (Price: 895.93)",3807.85%/71.67%/1322.31%,"6.66%, 52.63%",5089 days/1370 days/2869 days,2046-01-24/2031-04-27/2037-04-06,8.55%,20.11%,-11.56%,0.43,0.61,1245.0379/13953.43/1472.3/No Horizontal Resistance/1081.4334/1218.8523/No Moving Avg Target,415.35/567.0933/956.961/895.9662/1235.8618/1313.1536/797.1,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"BAC, Long, 2025-11-20 (Price: 51.0)",No Exit Yet,"0.0%, 0 days","100.0%, Past 39 years, 22","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.07 prior to 2025-12-31,"2025-11-20 (Price: 51.0), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 32.8474),55.26% above,"2011-12-31 (Price: 4.92), 2022-03-31 (Price: 50.11)",361.65%/15.25%/133.27%,"-0.0%, 59.29%",4305 days/587 days/1663 days,2042-12-16/2028-03-19/2032-06-24,5.77%,4.61%,1.16%,0.41,0.21,53.2185/118.9677/78.11/No Horizontal Resistance/60.5768/64.246/No Moving Avg Target,27.38/29.49/50.5717/44.5293/51.6314/53.8138/46.29,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"INFY, Long, 2025-11-20 (Price: 17.13)",No Exit Yet,"0.0%, 0 days","100.0%, Past 26 years, 11","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 15.82 prior to 2025-12-31,"2025-11-20 (Price: 17.13), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 15.5656),10.05% above,"2012-09-30 (Price: 4.7413), 2022-03-31 (Price: 26.39)",146.88%/22.51%/84.7%,"-0.0%, 40.77%",1369 days/783 days/1076 days,2031-04-25/2028-12-28/2030-02-25,12.46%,12.49%,-0.03%,0.37,0.38,17.3869/31.6391/30.12/23.796/25.6134/28.2828/17.83,16.27/16.0317/16.4829/15.2985/16.6189/15.7269/No Moving Avg Support,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"IWM, Long, 2025-11-20 (Price: 229.11)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 171.73 prior to 2025-12-31,"2025-11-20 (Price: 229.11), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 170.075),34.71% above,"2020-03-31 (Price: 95.69), 2021-12-31 (Price: 244.46)",56.32%/25.19%/40.76%,"-0.0%, 20.56%",716 days/715 days/715 days,2028-09-22/2028-09-20/2028-09-20,11.21%,6.21%,5.0%,0.5,0.2,221.3203/322.4952/318.37/244.72/270.9222/282.5179/No Moving Avg Target,164.92/162.3167/196.8345/160.6663/233.5959/221.8127/220.04,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"IFT.NZ, Long, 2025-11-20 (Price: 11.95)",No Exit Yet,"0.0%, 0 days","100.0%, Past 31 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 9.13 prior to 2025-12-31,"2025-11-20 (Price: 11.95), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 9.2141),29.69% above,"2016-12-31 (Price: 2.5393), 2024-12-31 (Price: 13.34)",103.41%/23.86%/63.63%,"-0.0%, 22.42%",978 days/717 days/847 days,2029-10-06/2028-09-23/2029-03-30,13.15%,12.57%,0.58%,0.46,0.51,13.7509/19.5538/18.43/No Horizontal Resistance/18.927/29.733/No Moving Avg Target,2.72/7.3167/8.121/5.57/14.3361/14.9482/11.31,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"SUM.NZ, Long, 2025-11-20 (Price: 12.67)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-11-20 (Price: 12.67), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 10.74),17.97% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",21.12%/21.12%/21.12%,"-0.0%, 38.76%",718 days/718 days/718 days,2028-09-24/2028-09-24/2028-09-24,7.04%,16.47%,-9.43%,0.34,0.57,12.5142/15.3459/15.91/13.345/16.7981/18.5763/No Moving Avg Target,8.8/9.1367/11.1928/8.9354/12.1624/11.3772/11.44,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"BDGI.TO, Long, 2025-11-20 (Price: 71.44)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.62 prior to 2025-12-31,"2025-11-20 (Price: 71.44), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 33.6027),112.6% above,"2022-03-31 (Price: 22.54), 2024-03-31 (Price: 51.5)",35.15%/35.15%/35.15%,"-0.0%, 52.34%",1108 days/1108 days/1108 days,2030-04-12/2030-04-12/2030-04-12,7.18%,12.22%,-5.04%,0.42,0.42,74.9548/96.5512/88.82/No Horizontal Resistance/87.1484/97.3919/No Moving Avg Target,26.66/24.32/66.9303/63.4408/66.2172/60.0086/50.75,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"CNQ.TO, Long, 2025-11-20 (Price: 47.9)",No Exit Yet,"0.0%, 0 days","100.0%, Past 52 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 34.92 prior to 2025-12-31,"2025-11-20 (Price: 47.9), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 34.1015),40.46% above,"2020-03-31 (Price: 4.7992), 2022-06-30 (Price: 43.1832)",880.76%/124.37%/387.49%,"-0.0%, 59.43%",2087 days/1631 days/1891 days,2034-02-28/2032-05-09/2033-05-20,12.07%,13.02%,-0.95%,0.46,0.46,50.2902/233.5077/70.93/51.51/57.5622/59.9244/No Moving Avg Target,42.8/34.9317/44.0597/41.1349/61.5996/64.7366/42.95,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"KXS.TO, Long, 2025-11-20 (Price: 171.71)",No Exit Yet,"0.0%, 0 days","82.35%, Past 11 years, 17","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 167.06 prior to 2025-11-21,"2025-11-20 (Price: 171.71), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 165.965),3.46% above,"2022-06-19 (Price: 119.48), 2025-08-03 (Price: 212.45)",156.2%/6.23%/51.99%,"14.59%, 37.82%",374 days/89 days/295 days,2027-05-15/2026-03-28/2027-01-21,15.07%,24.7%,-9.62%,0.27,0.8,175.522/260.982/227.49/209.885/228.5478/258.7048/182.8,169.84/125.3967/144.1059/117.053/205.7286/214.2883/No Moving Avg Support,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
"MX.TO, Long, 2025-11-20 (Price: 48.06)",No Exit Yet,"0.0%, 0 days","85.71%, Past 33 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 36.1 prior to 2025-12-31,"2025-11-20 (Price: 48.06), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 36.7101),30.92% above,"2020-03-31 (Price: 13.24), 2023-03-31 (Price: 74.68)",68.59%/44.74%/56.66%,"40.03%, 69.12%",1955 days/717 days/1336 days,2033-08-21/2028-09-23/2031-03-09,4.14%,4.51%,-0.37%,0.3,0.25,49.8863/75.2908/84.92/73.435/118.0011/153.5474/50.12,45.09/38.425/47.9234/44.2912/88.1361/94.2546/No Moving Avg Support,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"TFII.TO, Long, 2025-11-20 (Price: 113.84)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 102.57 prior to 2025-12-31,"2025-11-20 (Price: 113.84), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 100.7196),13.03% above,"2020-03-31 (Price: 23.21), 2021-12-31 (Price: 148.63)",171.07%/171.07%/171.07%,"-0.0%, 27.17%",717 days/717 days/717 days,2028-09-23/2028-09-23/2028-09-23,42.57%,12.24%,30.33%,0.5,0.41,122.0137/308.5861/189.09/219.9933/223.9051/280.6304/125.38,111.42/102.925/113.6809/104.714/248.934/266.1435/No Moving Avg Support,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"ATM.NZ, Long, 2025-11-19 (Price: 10.75)",No Exit Yet,"-0.47%, 1 days","95.83%, Past 5 years, 24","Daily, was CONFIRMED on 2025-11-19",Already confirmed,"2025-11-20 (Price: 10.7), 0.47% below",1 days,Upmove Bounce Back,23.66% (Price: 10.304),3.84% above,"2025-07-10 (Price: 7.8), 2025-11-05 (Price: 11.08)",56.05%/17.49%/32.17%,"1.65%, 47.74%",874 days/79 days/287 days,2029-05-07/2026-03-13/2027-01-08,16.39%,-5.22%,21.61%,0.49,-0.04,10.8027/14.2083/12.72/No Horizontal Resistance/21.86/25.8879/No Moving Avg Target,10.67/5.185/9.9254/9.2893/No F-Track Level/No F-Track Level/9.16,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"TSLA, Long, 2025-11-18 (Price: 401.25)",No Exit Yet,"-1.5%, 2 days","100.0%, Past 5 years, 34","Daily, was CONFIRMED on 2025-11-18",Already confirmed,"2025-11-20 (Price: 395.23), 1.5% below",2 days,Upmove Bounce Back,38.2% (Price: 374.8188),5.45% above,"2025-04-07 (Price: 214.25), 2025-11-03 (Price: 474.07)",69.86%/7.58%/26.58%,"-0.0%, 65.02%",570 days/25 days/199 days,2028-02-21/2025-12-24/2026-09-02,21.17%,25.99%,-4.83%,0.4,0.79,411.6424/507.9023/557.14/408.5817/490.132/554.3681/No Moving Avg Target,320.11/181.0784/330.0827/262.8246/No F-Track Level/No F-Track Level/338.75,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"BABA, Long, 2025-11-18 (Price: 159.72)",No Exit Yet,"-4.03%, 2 days","100.0%, Past 5 years, 17","Daily, was CONFIRMED on 2025-11-18",Already confirmed,"2025-11-20 (Price: 153.28), 4.03% below",2 days,Upmove Bounce Back,38.2% (Price: 155.6389),1.52% below,"2025-04-09 (Price: 95.73), 2025-10-02 (Price: 192.67)",74.52%/8.42%/42.02%,"-0.0%, 62.51%",1022 days/45 days/383 days,2029-12-07/2026-01-22/2027-05-26,14.96%,-10.23%,25.19%,0.53,-0.05,157.2284/226.8343/217.88/No Horizontal Resistance/395.5515/453.696/No Moving Avg Target,153.8/67.495/138.4263/108.0763/No F-Track Level/No F-Track Level/134.29,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"EFN.TO, Long, 2025-11-18 (Price: 35.05)",No Exit Yet,"3.42%, 2 days","90.38%, Past 5 years, 52","Daily, was CONFIRMED on 2025-11-18",Already confirmed,"2025-11-20 (Price: 36.25), 3.42% above",2 days,Upmove Bounce Back,23.66% (Price: 35.0387),3.46% above,"2025-02-03 (Price: 25.0), 2025-09-19 (Price: 38.15)",43.0%/0.86%/18.32%,"6.13%, 26.27%",387 days/26 days/117 days,2027-06-01/2025-12-25/2026-05-06,16.07%,24.1%,-8.03%,0.65,1.02,35.765/41.4712/42.94/No Horizontal Resistance/45.1741/70.5281/No Moving Avg Target,34.92/11.7733/29.5041/111.5522/No F-Track Level/No F-Track Level/33.38,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"ORCL, Long, 2025-11-18 (Price: 220.49)",No Exit Yet,"-4.44%, 2 days","100.0%, Past 5 years, 42","Daily, was CONFIRMED on 2025-11-18",Already confirmed,"2025-11-20 (Price: 210.69), 4.44% below",2 days,Upmove Bounce Back,50% (Price: 213.88),1.49% below,"2023-03-13 (Price: 82.04), 2025-09-10 (Price: 345.72)",248.14%/1.62%/42.03%,"-0.0%, 41.08%",670 days/10 days/173 days,2028-07-15/2025-12-02/2026-07-26,19.17%,35.11%,-15.94%,0.45,1.1,222.0775/313.1619/378.7/No Horizontal Resistance/300.069/376.1425/No Moving Avg Target,217.57/82.7925/208.7793/167.1709/No F-Track Level/No F-Track Level/210.45,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"BYD.TO, Long, 2025-11-16 (Price: 217.11)",No Exit Yet,"-0.74%, 3 days","97.06%, Past 20 years, 34","Weekly, was CONFIRMED on 2025-11-16",Already confirmed,"2025-11-20 (Price: 215.5), 0.74% below",3 days,Upmove Bounce Back,88.6% (Price: 205.401),4.92% above,"2024-10-06 (Price: 198.61), 2025-03-02 (Price: 258.18)",1975.56%/0.56%/388.21%,"1.41%, 39.64%",1859 days/109 days/652 days,2033-03-31/2026-04-22/2028-06-17,16.37%,23.47%,-7.1%,0.29,0.79,223.9055/1059.9527/252.85/256.6133/367.2583/388.6839/No Moving Avg Target,209.51/188.685/147.1212/139.9966/No F-Track Level/No F-Track Level/216.45,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
"GNE.NZ, Long, 2025-11-05 (Price: 2.53)",2025-11-20 (Price: 2.47) (Today),"-2.37%, 11 days","84.62%, Past 5 years, 13","Daily, was CONFIRMED on 2025-11-05",Already confirmed,"2025-11-20 (Price: 2.47), 2.37% below",11 days,Upmove Bounce Back,23.66% (Price: 2.4547),0.62% above,"2025-04-07 (Price: 2.115), 2025-10-15 (Price: 2.56)",6.64%/0.44%/3.91%,"7.43%, 9.96%",145 days/36 days/77 days,2026-06-03/2025-12-27/2026-02-24,1.92%,-3.81%,5.72%,0.03,-0.29,2.548/2.6289/2.8/3.575/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,2.33/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/2.33,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"EFN.TO, Long, 2025-11-05 (Price: 37.65)",2025-11-18 (Price: 35.05),"-6.91%, 9 days","90.38%, Past 5 years, 52","Daily, was CONFIRMED on 2025-11-05",Already confirmed,"2025-11-20 (Price: 36.25), 3.72% below",11 days,Upmove Bounce Back,38.2% (Price: 37.1637),2.46% below,"2025-09-30 (Price: 35.39), 2025-10-28 (Price: 38.26)",43.0%/0.86%/18.32%,"6.13%, 26.27%",387 days/26 days/117 days,2027-05-19/2025-12-12/2026-04-23,16.07%,24.1%,-8.03%,0.65,1.02,38.4181/44.5475/39.37/No Horizontal Resistance/45.1741/70.5281/No Moving Avg Target,37.08/11.7733/29.5041/177.9303/No F-Track Level/No F-Track Level/33.38,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"BRK-B, Long, 2025-10-31 (Price: 477.54)",No Exit Yet,"4.94%, 14 days","92.31%, Past 29 years, 26","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-11-20 (Price: 501.12), 4.94% above",14 days,Upmove Bounce Back,23.66% (Price: 451.5539),10.98% above,"2020-03-31 (Price: 159.5), 2025-05-31 (Price: 542.07)",204.24%/9.94%/55.24%,"11.32%, 45.86%",3131 days/238 days/873 days,2038-03-31/2026-10-10/2029-04-17,5.06%,11.04%,-5.98%,0.48,0.46,510.2992/741.3331/707.08/488.245/630.85/709.9376/496.68,267.02/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No Moving Avg Support,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
