"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"BDGI.TO, Long, 2025-12-03 (Price: 72.84)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 61.31 prior to 2025-12-31,"2025-12-03 (Price: 72.84), 0.0% below",0 days,"0, 2018-06-30 (Price: 31.67)",2025-09-30 (Price: 61.38),2025-12-03 (Price: 72.84),64/0/0 days,18.67% above/0.0% below/0.0% below,2018-06-30 (Price: 49.0339)/2025-12-03 (Price: 52.2506),227.42%/21.67%/123.16%,"-0.0%, 36.34%",1.3 year/10.8 months/1.1 year,2027-09-25/2027-03-18/2027-07-24,41.42%,12.22%,29.2%,1.0,0.42,119.2828/162.5497/97.54/No Horizontal Resistance/87.1484/97.3919/No Moving Avg Target,26.66/24.32/66.9303/63.4408/66.2172/60.0086/52.2,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
"BYD.TO, Long, 2025-12-03 (Price: 236.72)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 21","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 231.89 prior to 2025-12-31,"2025-12-03 (Price: 236.72), 0.0% below",0 days,"2, 2024-02-29 (Price: 318.51)",2025-11-30 (Price: 234.19),2025-11-26 (Price: 235.85),2/5/0 days,1.08% above/0.37% above/0.0% below,2024-02-29 (Price: 321.382)/2025-12-03 (Price: 222.2712),53.08%/5.8%/25.16%,"-0.0%, 33.29%",1.0 year/3.6 months/7.4 months,2027-05-24/2026-05-09/2026-10-21,17.04%,20.45%,-3.41%,1.55,0.45,306.3157/296.2788/285.79/256.6133/325.4281/346.2134/No Moving Avg Target,192.05/188.685/232.1757/215.4728/357.5546/377.7143/216.16,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"AAPL, Long, 2025-12-02 (Price: 286.19)",No Exit Yet,"-0.71%, 1 day","81.25%, Past 4 years, 32","Daily, is CONFIRMED on 2025-12-02",Already confirmed,"2025-12-03 (Price: 284.15), 0.71% below",1 day,"8, 2025-05-07 (Price: 196.25)",2025-12-01 (Price: 283.1),2025-12-02 (Price: 286.19),2/1/1 days,0.37% above/0.71% below/0.71% below,2025-05-07 (Price: 217.2102)/2025-12-02 (Price: 276.9927),7.36%/0.78%/3.4%,"13.77%, 30.22%",2.6 months/4 days/23 days,2026-03-24/2025-12-07/2026-01-04,8.33%,26.41%,-18.08%,0.18,0.92,289.3667/295.9205/340.15/No Horizontal Resistance/294.7231/309.0801/No Moving Avg Target,266.25/136.57/189.8723/119.0319/No F-Track Level/No F-Track Level/227.61,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"SLV, Long, 2025-12-01 (Price: 52.52)",No Exit Yet,"1.05%, 2 days","100.0%, Past 4 years, 13","Daily, is CONFIRMED on 2025-12-01",Already confirmed,"2025-12-03 (Price: 53.07), 1.05% above",2 days,"2, 2025-10-09 (Price: 44.71)",2025-11-26 (Price: 48.4),2025-12-01 (Price: 52.52),5/2/2 days,9.65% above/1.05% above/1.05% above,2025-10-09 (Price: 49.3947)/2025-12-01 (Price: 48.3526),9.5%/2.69%/5.62%,"-0.0%, 15.17%",2.2 months/4 days/15 days,2026-03-05/2025-12-06/2025-12-22,113.36%,17.43%,95.93%,1.35,0.62,54.9727/55.4716/57.21/No Horizontal Resistance/48.7992/52.3128/No Moving Avg Target,45.3/18.99/45.3667/37.8142/No F-Track Level/No F-Track Level/35.39,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"CNR.TO, Long, 2025-12-01 (Price: 133.81)",No Exit Yet,"2.9%, 2 days","86.11%, Past 4 years, 36","Daily, is CONFIRMED on 2025-12-01",Already confirmed,"2025-12-03 (Price: 137.69), 2.9% above",2 days,"0, 2024-02-15 (Price: 174.92)",2025-11-27 (Price: 131.82),2025-12-01 (Price: 133.81),4/2/2 days,4.45% above/2.9% above/2.9% above,2024-02-15 (Price: 198.739)/2025-12-01 (Price: 132.1121),11.3%/0.17%/2.84%,"18.84%, 26.48%",2.0 month/4 days/10 days,2026-02-24/2025-12-06/2025-12-15,10.09%,1.42%,8.67%,0.18,-0.02,136.4059/137.6102/158.48/173.435/218.156/349.4971/136.95,128.08/127.762/86.815/55.8095/No F-Track Level/No F-Track Level/No Moving Avg Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"GOOG, Long, 2025-11-30 (Price: 320.12)",No Exit Yet,"0.16%, 2 days","100.0%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-03 (Price: 320.62), 0.16% above",2 days,"2, 2025-05-18 (Price: 167.43)",2025-11-23 (Price: 299.65),2025-11-30 (Price: 320.12),10/2/2 days,7.0% above/0.16% above/0.16% above,2025-05-18 (Price: 168.6944)/2025-11-30 (Price: 304.0583),19.02%/3.15%/8.18%,"-0.0%, 15.08%",4.3 months/24 days/1.6 month,2026-06-04/2026-01-03/2026-02-06,35.83%,21.1%,14.73%,1.74,0.79,353.2204/346.3058/411.73/No Horizontal Resistance/285.4807/322.8294/No Moving Avg Target,147.74/84.51/240.3589/219.0619/No F-Track Level/No F-Track Level/203.2,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-11-30 (Price: 1007.6)",No Exit Yet,"-0.7%, 2 days","90.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-03 (Price: 1000.5), 0.7% below",2 days,"0, 2020-11-30 (Price: 720.425)",2025-11-30 (Price: 1007.6),2025-11-28 (Price: 1007.6),2/3/2 days,0.7% below/0.7% below/0.7% below,2020-11-30 (Price: 763.4559)/2025-11-30 (Price: 979.6324),54.15%/5.97%/24.32%,"11.13%, 17.76%",9.4 months/3.6 months/6.6 months,2027-01-12/2026-05-03/2026-09-14,15.97%,19.29%,-3.32%,0.9,0.75,1134.6584/1252.6483/1179.9/1009.6/1098.0619/1305.7899/No Moving Avg Target,701.7/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/956.63,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"XIU.TO, Long, 2025-11-30 (Price: 46.43)",No Exit Yet,"-0.56%, 2 days","87.5%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-03 (Price: 46.17), 0.56% below",2 days,"2, 2023-05-31 (Price: 29.68)",2025-09-30 (Price: 44.77),2025-11-24 (Price: 45.37),64/9/2 days,3.13% above/1.76% above/0.56% below,2023-05-31 (Price: 31.8)/2025-11-30 (Price: 43.425),13.41%/2.94%/9.31%,"6.95%, 19.49%",10.1 months/2.8 months/4.8 months,2027-02-13/2026-03-31/2026-06-26,8.8%,4.94%,3.87%,0.91,0.11,49.3412/50.7526/56.48/No Horizontal Resistance/53.8646/79.5406/No Moving Avg Target,28.76/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/41.03,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"IEI, Long, 2025-11-30 (Price: 120.26)",No Exit Yet,"-0.38%, 2 days","91.67%, Past 20 years, 12","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-03 (Price: 119.8), 0.38% below",2 days,"2, 2024-09-30 (Price: 119.61)",2025-11-30 (Price: 120.26),2025-11-21 (Price: 120.08),2/12/2 days,0.38% below/0.23% below/0.38% below,2024-09-30 (Price: 120.33)/2025-11-30 (Price: 119.47),2.72%/1.13%/1.87%,"15.13%, 15.6%",1.1 year/3.6 months/7.6 months,2027-06-19/2026-05-06/2026-10-26,0.4%,0.95%,-0.55%,0.05,-0.88,121.9797/122.5089/120.65/129.9625/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,112.29/113.0583/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/118.54,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"XLV, Long, 2025-11-30 (Price: 157.65)",No Exit Yet,"-1.63%, 2 days","86.21%, Past 20 years, 29","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-03 (Price: 155.08), 1.63% below",2 days,"2, 2024-09-30 (Price: 154.02)",2025-09-30 (Price: 139.17),2025-11-25 (Price: 158.77),64/8/2 days,11.43% above/2.32% below/1.63% below,2024-09-30 (Price: 159.64)/2025-11-30 (Price: 137.8933),17.42%/2.58%/8.85%,"20.84%, 36.99%",1.9 year/2.9 months/7.8 months,2028-09-01/2026-04-03/2026-11-02,5.12%,6.82%,-1.7%,0.64,0.25,165.501/171.602/159.83/No Horizontal Resistance/174.1807/202.706/No Moving Avg Target,130.43/120.178/153.114/117.2225/No F-Track Level/No F-Track Level/139.6,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"CSCO, Long, 2025-11-30 (Price: 76.94)",No Exit Yet,"1.05%, 2 days","81.82%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-03 (Price: 77.75), 1.05% above",2 days,"0, 2020-11-30 (Price: 43.02)",2025-10-31 (Price: 73.11),2025-11-13 (Price: 77.38),33/20/2 days,6.35% above/0.48% above/1.05% above,2020-11-30 (Price: 63.5339)/2025-11-30 (Price: 67.0234),25.25%/6.97%/16.78%,"26.7%, 42.44%",11.6 months/3.6 months/6.6 months,2027-04-16/2026-05-03/2026-09-11,6.7%,1.67%,5.03%,0.55,0.08,83.7877/89.8505/97.29/No Horizontal Resistance/78.7458/109.6316/No Moving Avg Target,46.5/40.92/75.1101/68.2017/No F-Track Level/No F-Track Level/66.03,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"ATZ.TO, Long, 2025-11-30 (Price: 110.5)",No Exit Yet,"0.0%, 2 days","100.0%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-03 (Price: 110.5), 0.0% below",2 days,"2, 2025-05-18 (Price: 66.25)",2025-11-23 (Price: 105.95),2025-11-30 (Price: 110.5),10/2/2 days,4.29% above/0.0% below/0.0% below,2025-05-18 (Price: 68.8719)/2025-11-30 (Price: 102.2504),31.79%/5.83%/20.18%,"0%, 57.81%",9.5 months/24 days/4.5 months,2027-01-15/2026-01-03/2026-06-14,25.42%,20.42%,5.0%,2.19,0.65,113.7708/132.7989/137.05/No Horizontal Resistance/99.4929/119.4832/No Moving Avg Target,41.91/32.3325/82.0832/66.1919/No F-Track Level/No F-Track Level/72.64,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"EFN.TO, Long, 2025-11-30 (Price: 37.23)",No Exit Yet,"-2.28%, 2 days","88.89%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-03 (Price: 36.38), 2.28% below",2 days,"0, 2021-08-08 (Price: 14.15)",2025-11-23 (Price: 36.72),2025-11-28 (Price: 37.23),10/3/2 days,0.93% below/2.28% below/2.28% below,2021-08-08 (Price: 13.1784)/2025-11-30 (Price: 35.8961),26.0%/1.9%/9.06%,"53.48%, 76.43%",4.3 months/24 days/1.8 month,2026-06-04/2026-01-03/2026-02-17,4.38%,15.83%,-11.45%,0.07,0.55,39.3074/40.603/51.08/No Horizontal Resistance/45.1741/70.5281/No Moving Avg Target,34.92/11.7733/29.5041/177.9303/No F-Track Level/No F-Track Level/33.64,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"NA.TO, Long, 2025-11-30 (Price: 168.95)",No Exit Yet,"-0.33%, 2 days","93.33%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-03 (Price: 168.4), 0.33% below",2 days,"0, 2020-11-30 (Price: 71.94)",2025-10-31 (Price: 156.7),2025-11-28 (Price: 168.95),33/3/2 days,7.47% above/0.33% below/0.33% below,2020-11-30 (Price: 94.7324)/2025-11-30 (Price: 151.5703),28.7%/1.41%/17.14%,"5.23%, 30.62%",1.9 year/3.6 months/7.4 months,2028-08-31/2026-05-05/2026-10-18,11.63%,10.7%,0.94%,1.75,0.45,179.2222/197.908/227.16/No Horizontal Resistance/188.6608/207.1743/No Moving Avg Target,118.77/82.9367/134.0186/119.9028/No F-Track Level/No F-Track Level/138.03,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"SJ.TO, Long, 2025-11-30 (Price: 87.09)",No Exit Yet,"-1.96%, 2 days","80.95%, Past 20 years, 21","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-03 (Price: 85.38), 1.96% below",2 days,"2, 2024-07-31 (Price: 92.89)",2025-11-30 (Price: 87.09),2025-11-26 (Price: 86.92),2/5/2 days,1.96% below/1.77% below/1.96% below,2024-07-31 (Price: 98.2608)/2025-11-30 (Price: 77.629),52.17%/3.61%/37.17%,"45.19%, 70.23%",1.7 year/2.9 months/6.3 months,2028-04-30/2026-04-05/2026-08-29,11.4%,21.44%,-10.04%,0.91,0.78,123.032/119.4614/90.57/No Horizontal Resistance/95.0177/123.2166/No Moving Avg Target,67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/75.72,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-11-28 (Price: 1007.6)",No Exit Yet,"-0.7%, 3 days","100.0%, Past 4 years, 29","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-03 (Price: 1000.5), 0.7% below",3 days,"2, 2025-10-08 (Price: 978.7)",2025-11-26 (Price: 1003.9),2025-11-28 (Price: 1007.6),5/3/3 days,0.34% below/0.7% below/0.7% below,2025-10-08 (Price: 1035.8571)/2025-11-28 (Price: 980.5714),9.65%/0.92%/4.39%,"-0.0%, 11.99%",2.2 months/4 days/28 days,2026-03-05/2025-12-03/2026-01-07,48.18%,7.98%,40.2%,1.18,0.29,1018.6836/1051.8336/1024.94/1009.6/1098.0619/1305.7899/No Moving Avg Target,982.3/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/956.63,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"WPM.TO, Long, 2025-11-28 (Price: 153.47)",No Exit Yet,"-1.8%, 3 days","93.33%, Past 4 years, 30","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-03 (Price: 150.7), 1.8% below",3 days,"2, 2025-10-08 (Price: 149.62)",2025-11-27 (Price: 149.43),2025-11-28 (Price: 153.47),4/3/3 days,0.85% above/1.8% below/1.8% below,2025-10-08 (Price: 162.3768)/2025-11-28 (Price: 148.4316),16.03%/1.23%/5.13%,"19.7%, 28.41%",3.1 months/4 days/17 days,2026-04-13/2025-12-03/2025-12-22,31.81%,24.47%,7.34%,0.41,0.82,159.2251/161.343/155.78/No Horizontal Resistance/180.0371/199.4231/No Moving Avg Target,139.91/52.782/146.152/133.3839/No F-Track Level/No F-Track Level/125.98,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
