Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
TRENDPULSE,"CSCO, Long, 2025-12-19 (Price: 78.42)",No Exit Yet,"0.0%, 0 days","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 78.42), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,3.18% above/0.0% below/0.0% below,5.83%/1.03%/2.65%,"17.72%, 27.08%",1.1 month/6 days/12 days,2026-02-04/2025-12-27/2026-01-05,6.96%,6.16%,0.8%,0.14,0.32,81.0235/80.4981/95.97/No Horizontal Resistance/81.4336/89.7071/No EMA 200 Target,76.0/40.92/73.1467/64.9561/72.2267/66.9458/67.08,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"INFY, Long, 2025-12-19 (Price: 20.22)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 12","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 20.22), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,6.66%/1.9%/4.18%,"-0.0%, 10.02%",3.3 months/7 days/1 month,2026-05-11/2025-12-29/2026-01-31,13.05%,6.68%,6.37%,1.41,0.34,21.1259/21.0652/22.22/23.796/27.741/33.0029/No EMA 200 Target,16.18/16.0317/20.1823/18.5577/18.38/15.6377/17.52,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"RHHBY, Long, 2025-12-19 (Price: 51.2)",No Exit Yet,"0.0%, 0 days","87.5%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 51.2), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,2.32% above/1.85% above/0.0% below,18.53%/3.11%/9.28%,"21.59%, 44.18%",1.2 year/1.2 month/4.5 months,2027-09-05/2026-02-09/2026-07-02,3.03%,4.77%,-1.74%,0.42,0.23,53.1507/55.9514/57.66/52.46/52.5578/54.7393/No EMA 200 Target,38.23/34.5167/44.2574/33.9225/46.2162/42.9752/41.95,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),
TRENDPULSE,"WPM, Long, 2025-12-19 (Price: 119.7)",No Exit Yet,"0.0%, 0 days","96.3%, Past 4 years, 27","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 119.7), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,3.68% above/0.0% below/0.0% below,15.63%/1.33%/6.3%,"14.18%, 36.59%",3.8 months/4 days/1.3 month,2026-06-02/2025-12-24/2026-02-13,22.59%,17.13%,5.46%,1.09,0.81,128.9887/127.2411/134.41/No Horizontal Resistance/119.4321/129.2378/No EMA 200 Target,104.96/38.3375/102.4252/95.3086/101.1062/89.1572/93.73,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
OSCILLATOR DELTA,"CEN.NZ, Long, 2025-12-18 (Price: 9.27)",No Exit Yet,"1.94%, 1 day","81.82%, Past 6 years, 22","Daily, is Confirmed on 2025-12-18",No Cancellation Possible,"2025-12-19 (Price: 9.45), 1.94% above",1 day,No Information,No Information,No Information,No Information,No Information,No Information,11.22%/5.1%/7.56%,"14.26%, 14.97%",8.2 months/6 days/3.1 months,2026-12-07/2025-12-26/2026-05-01,11.41%,3.46%,7.95%,0.46,0.15,9.6371/9.9708/9.73/9.4367/11.2606/15.4512/No EMA 200 Target,No Recent Minima/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.15,81.76%/159/0 days (Across ALL Assets),67.13%/362/0 days (Across ALL Assets),
TRENDPULSE,"WPM.TO, Long, 2025-12-18 (Price: 159.04)",No Exit Yet,"3.67%, 1 day","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 164.88), 3.67% above",1 day,No Information,No Information,No Information,No Information,No Information,3.67% above/3.67% above/3.67% above,9.09%/1.23%/5.04%,"19.7%, 28.41%",4.4 months/6 days/1 month,2026-06-27/2025-12-26/2026-01-30,12.04%,18.03%,-5.99%,0.06,0.87,171.2066/167.0556/174.81/No Horizontal Resistance/178.0989/194.7923/No EMA 200 Target,145.49/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/129.9,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"MCD, Long, 2025-12-18 (Price: 319.65)",No Exit Yet,"-1.19%, 1 day","83.33%, Past 4 years, 18","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 315.84), 1.19% below",1 day,No Information,No Information,No Information,No Information,No Information,0.89% below/1.19% below/1.19% below,4.95%/0.71%/2.55%,"0.45%, 11.38%",3.9 months/7 days/1.3 month,2026-06-05/2025-12-28/2026-02-12,12.38%,5.6%,6.78%,1.08,0.28,330.2624/327.8011/327.6/321.3575/370.0426/590.3302/No EMA 200 Target,300.72/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.22,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
FRACTAL TRACK,"FXI, Long, 2025-12-18 (Price: 38.21)",No Exit Yet,"1.02%, 1 day","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 38.6), 1.02% above",1 day,No Information,No Information,No Information,"23.66% (Price: 36.9983), 4.33% above, Upmove Bounce Back","2024-01-22 (Price: 20.86), 2025-10-02 (Price: 42.0)",No Information,14.16%/6.87%/10.84%,"-0.0%, 45.3%",3.7 years/13 days/1.2 year,2031-03-31/2026-01-05/2027-09-04,13.13%,-2.21%,15.34%,1.46,-0.08,38.8214/42.352/50.89/42.665/90.5742/95.3274/No EMA 200 Target,37.85/20.865/38.0047/No support/No F-Track Level/No F-Track Level/37.71,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),
FRACTAL TRACK,"PFE, Long, 2025-12-18 (Price: 25.04)",No Exit Yet,"0.6%, 1 day","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 25.19), 0.6% above",1 day,No Information,No Information,No Information,"61.8% (Price: 25.15), 0.16% above, Upmove Bounce Back","2025-09-25 (Price: 23.58), 2025-10-03 (Price: 27.69)",No Information,15.29%/2.93%/10.03%,"3.6%, 19.77%",2.8 months/12 days/1.5 month,2026-04-18/2026-01-04/2026-02-21,10.93%,-6.4%,17.33%,0.41,-0.42,25.343/27.5515/27.51/55.39/66.4672/73.1352/No EMA 200 Target,24.4/23.345/21.508/20.5265/No F-Track Level/No F-Track Level/24.52,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),
FRACTAL TRACK,"XLE, Long, 2025-12-18 (Price: 44.13)",No Exit Yet,"0.0%, 1 day","90.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 44.13), 0.0% below",1 day,No Information,No Information,No Information,"50% (Price: 44.505), 0.84% below, Upmove Bounce Back","2025-10-16 (Price: 42.35), 2025-12-05 (Price: 46.66)",No Information,11.51%/2.08%/9.2%,"3.48%, 17.74%",1.4 year/21 days/5.7 months,2027-12-16/2026-01-17/2026-08-22,21.1%,11.53%,9.57%,0.91,0.63,45.8599/48.19/46.72/49.2225/54.1372/58.8712/No EMA 200 Target,43.81/22.8475/37.4998/27.2174/No F-Track Level/No F-Track Level/43.48,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),
FRACTAL TRACK,"FRW.NZ, Long, 2025-12-18 (Price: 14.2)",No Exit Yet,"-1.41%, 1 day","88.89%, Past 5 years, 9","Daily, was CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 14.0), 1.41% below",1 day,No Information,No Information,No Information,"23.66% (Price: 13.0889), 6.96% above, Upmove Bounce Back","2023-10-30 (Price: 7.31), 2025-10-31 (Price: 14.88)",No Information,13.53%/1.54%/10.4%,"4.41%, 40.87%",3.7 years/3.6 months/1.2 year,2031-03-31/2026-05-23/2027-09-04,11.59%,4.86%,6.73%,1.04,0.24,14.5692/15.6768/18.74/No Horizontal Resistance/16.2179/21.849/No EMA 200 Target,13.75/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/11.96,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),
FRACTAL TRACK,"CNQ.TO, Long, 2025-12-18 (Price: 43.41)",No Exit Yet,"1.34%, 1 day","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 43.99), 1.34% above",1 day,No Information,No Information,No Information,"78.6% (Price: 43.2814), 1.64% above, Upmove Bounce Back","2025-10-21 (Price: 41.67), 2025-11-20 (Price: 49.2)",No Information,10.83%/7.23%/9.92%,"-0.0%, 17.04%",9.4 months/1.1 month/4.2 months,2027-01-30/2026-02-03/2026-06-18,20.54%,16.68%,3.86%,1.1,0.86,43.9396/47.7163/47.93/51.51/65.8353/68.6522/No EMA 200 Target,43.0/34.9317/41.121/33.7618/No F-Track Level/No F-Track Level/43.38,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),
FRACTAL TRACK,"LYFT, Long, 2025-12-17 (Price: 19.18)",No Exit Yet,"1.25%, 2 days","92.31%, Past 5 years, 13","Daily, was CONFIRMED on 2025-12-17",Already confirmed,"2025-12-19 (Price: 19.42), 1.25% above",2 days,No Information,No Information,No Information,"38.2% (Price: 18.2131), 6.63% above, Upmove Bounce Back","2025-04-07 (Price: 9.66), 2025-09-17 (Price: 23.5)",No Information,29.57%/0.97%/14.95%,"5.88%, 53.48%",1.5 year/6 days/5.5 months,2028-02-07/2025-12-25/2026-08-12,28.24%,-11.2%,39.44%,1.13,0.03,20.4152/22.0474/27.48/57.19/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,19.12/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/16.67,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),
TRENDPULSE,"XLY, Long, 2025-12-16 (Price: 121.93)",No Exit Yet,"-0.07%, 3 days","94.12%, Past 4 years, 17","Daily, is CONFIRMED on 2025-12-16",Already confirmed,"2025-12-19 (Price: 121.85), 0.07% below",3 days,No Information,No Information,No Information,No Information,No Information,0.95% above/0.07% below/0.07% below,7.63%/0.64%/2.98%,"3.09%, 13.62%",2.8 months/6 days/13 days,2026-04-16/2025-12-24/2026-01-03,17.38%,7.88%,9.5%,1.07,0.42,126.8804/125.5635/123.79/No Horizontal Resistance/125.4815/133.9156/No EMA 200 Target,117.98/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/110.2,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
FRACTAL TRACK,"META, Long, 2025-12-16 (Price: 657.15)",No Exit Yet,"0.25%, 3 days","80.0%, Past 5 years, 10","Daily, was CONFIRMED on 2025-12-16",Already confirmed,"2025-12-19 (Price: 658.77), 0.25% above",3 days,No Information,No Information,No Information,"23.66% (Price: 634.9196), 3.76% above, Upmove Bounce Back","2022-12-22 (Price: 114.38), 2025-08-15 (Price: 796.25)",No Information,11.18%/3.89%/9.7%,"3.02%, 27.47%",4 months/11 days/2.4 months,2026-06-07/2025-12-31/2026-03-30,26.51%,13.27%,13.24%,0.96,0.62,694.0161/720.8936/1066.27/No Horizontal Resistance/842.484/1305.5879/671.26,589.15/276.89/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),
FRACTAL TRACK,"NVDA, Long, 2025-12-16 (Price: 177.72)",No Exit Yet,"1.84%, 3 days","95.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-12-16",Already confirmed,"2025-12-19 (Price: 180.99), 1.84% above",3 days,No Information,No Information,No Information,"78.6% (Price: 174.3677), 3.8% above, Upmove Bounce Back","2025-09-05 (Price: 164.07), 2025-10-29 (Price: 212.19)",No Information,16.19%/10.04%/11.72%,"6.56%, 60.82%",1.4 year/5 days/2.5 months,2027-12-14/2025-12-23/2026-04-03,41.13%,44.79%,-3.66%,2.14,1.73,221.0304/198.5488/206.59/No Horizontal Resistance/239.8943/283.6698/No EMA 200 Target,175.02/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/157.56,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),
DELTADRIFT,"CAD=X, Long, 2025-12-16 (Price: 1.3769)",No Exit Yet,"0.11%, 2 days","81.82%, Past 4 years, 11","Daily, was CONFIRMED on 2025-12-16",Already confirmed,"2025-12-18 (Price: 1.3784), 0.11% above",2 days,No Information,No Information,No Information,No Information,No Information,No Information,1.24%/0.49%/0.73%,"1.99%, 2.15%",26 days/2 days/10 days,2026-01-22/2025-12-18/2025-12-30,5.03%,1.76%,3.27%,0.25,-0.29,1.3973/1.387/1.39/1.3921/No Next Fib Ext/No Next Fib Ext/1.39,No support/1.2339/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets),
TRENDPULSE,"^TNX, Long, 2025-12-15 (Price: 4.182)",No Exit Yet,"-0.74%, 4 days","90.62%, Past 4 years, 32","Daily, is CONFIRMED on 2025-12-15",Already confirmed,"2025-12-19 (Price: 4.151), 0.74% below",4 days,No Information,No Information,No Information,No Information,No Information,0.24% above/0.74% below/0.74% below,14.35%/1.59%/5.42%,"7.92%, 30.24%",2.1 months/6 days/19 days,2026-03-16/2025-12-23/2026-01-11,26.36%,9.62%,16.74%,0.75,0.51,4.7052/4.4087/4.23/4.6918/17.4008/18.8284/4.24,4.0/1.6875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
FRACTAL TRACK,"IFT.NZ, Long, 2025-12-15 (Price: 11.3)",No Exit Yet,"-2.83%, 4 days","84.21%, Past 5 years, 19","Daily, was CONFIRMED on 2025-12-15",Already confirmed,"2025-12-19 (Price: 10.98), 2.83% below",4 days,No Information,No Information,No Information,"50% (Price: 11.435), 3.98% below, Upmove Bounce Back","2025-06-11 (Price: 10.02), 2025-11-13 (Price: 12.85)",No Information,14.62%/1.62%/8.47%,"0.96%, 12.64%",8.6 months/20 days/3.2 months,2026-12-23/2026-01-12/2026-05-03,20.51%,6.63%,13.88%,1.02,0.36,11.6254/12.2571/13.0/11.925/18.927/29.733/11.38,10.25/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),
FRACTAL TRACK,"BYD.TO, Long, 2025-12-15 (Price: 222.94)",No Exit Yet,"-0.62%, 4 days","85.71%, Past 5 years, 14","Daily, was CONFIRMED on 2025-12-15",Already confirmed,"2025-12-19 (Price: 221.56), 0.62% below",4 days,No Information,No Information,No Information,"50% (Price: 223.09), 0.69% below, Upmove Bounce Back","2025-10-30 (Price: 204.5), 2025-12-02 (Price: 241.68)",No Information,12.1%/10.05%/11.03%,"1.1%, 48.71%",2.1 years/26 days/4.6 months,2028-12-14/2026-01-21/2026-07-02,27.71%,0.9%,26.81%,1.63,0.03,238.256/247.5303/245.25/256.6133/367.2583/388.6839/No EMA 200 Target,221.25/190.7867/147.1212/139.9966/No F-Track Level/No F-Track Level/215.32,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),
FRACTAL TRACK,"MSE.PA, Long, 2025-12-15 (Price: 64.11)",No Exit Yet,"0.17%, 4 days","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2025-12-15",Already confirmed,"2025-12-19 (Price: 64.22), 0.17% above",4 days,No Information,No Information,No Information,"23.66% (Price: 62.9255), 2.06% above, Upmove Bounce Back","2025-08-01 (Price: 57.2), 2025-11-13 (Price: 64.7)",No Information,10.86%/2.75%/8.53%,"0%, 23.33%",1.6 year/1.3 month/5.5 months,2028-03-28/2026-02-09/2026-08-10,22.9%,9.15%,13.75%,2.88,0.6,66.1679/69.5786/68.61/No Horizontal Resistance/81.1364/117.7989/No EMA 200 Target,61.34/33.6667/58.4776/44.4738/No F-Track Level/No F-Track Level/59.91,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),
