"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-18 (Price: 1519.4)",No Exit Yet,"0.0%, 0 days","88.46%, Past 48 years, 26","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1340.6 prior to 2025-11-28,"2025-11-18 (Price: 1519.4), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1322.8731),14.86% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",415.66%/5.67%/156.39%,"26.03%, 38.57%",2218 days/195 days/833 days,2034-09-04/2026-08-27/2029-03-08,8.96%,19.65%,-10.68%,0.38,0.63,1720.1127/3895.5897/2244.49/1531.725/1617.1679/1804.6011,1200.1/855.3207/1324.16/1138.1652/1725.6686/1797.4889,1428.18/1375.13,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-18 (Price: 1519.4)",No Exit Yet,"0.0%, 0 days","100.0%, Past 48 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 1114.85 prior to 2025-12-31,"2025-11-18 (Price: 1519.4), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1100.9625),38.01% above,"2020-03-31 (Price: 400.3177), 2022-06-30 (Price: 1318.1128)",651.15%/27.98%/339.57%,"-0.0%, 57.24%",1501 days/455 days/978 days,2031-11-01/2027-09-08/2029-10-04,30.69%,19.15%,11.54%,0.39,0.64,1547.8128/6678.8266/2070.08/1531.725/1617.1679/1804.6011,158.4/855.3207/1324.16/1138.1652/1725.6686/1797.4889,1428.18/1375.13,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"ASML, Long, 2025-11-18 (Price: 997.92)",No Exit Yet,"0.0%, 0 days","90.91%, Past 30 years, 11","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 578.51 prior to 2025-12-31,"2025-11-18 (Price: 997.92), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 583.1637),71.12% above,"2016-03-31 (Price: 77.17), 2021-09-30 (Price: 895.93)",3807.85%/71.67%/1322.31%,"6.66%, 52.63%",5089 days/1370 days/2869 days,2046-01-22/2031-04-25/2037-04-04,8.55%,20.11%,-11.56%,0.43,0.61,1266.4603/14193.516/1489.18/No Horizontal Resistance/1081.4334/1218.8523,415.35/567.0933/956.961/895.9662/1235.8618/1313.1536,988.56/794.34,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"BAC, Long, 2025-11-18 (Price: 51.415)",No Exit Yet,"0.0%, 0 days","100.0%, Past 39 years, 22","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.07 prior to 2025-12-31,"2025-11-18 (Price: 51.415), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 32.8474),56.53% above,"2011-12-31 (Price: 4.92), 2022-03-31 (Price: 50.11)",361.65%/15.25%/133.27%,"-0.0%, 59.29%",4305 days/587 days/1663 days,2042-12-14/2028-03-17/2032-06-22,5.77%,4.61%,1.16%,0.41,0.21,53.6516/119.9358/78.53/No Horizontal Resistance/60.5768/64.246,27.38/29.49/50.5717/44.5293/51.6314/53.8138,51.7/46.25,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"INFY, Long, 2025-11-18 (Price: 16.65)",No Exit Yet,"0.0%, 0 days","100.0%, Past 26 years, 11","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 15.82 prior to 2025-12-31,"2025-11-18 (Price: 16.65), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 15.5656),6.97% above,"2012-09-30 (Price: 4.7413), 2022-03-31 (Price: 26.39)",146.88%/22.51%/84.7%,"-0.0%, 40.77%",1369 days/783 days/1076 days,2031-04-23/2028-12-26/2030-02-23,12.46%,12.49%,-0.03%,0.37,0.38,16.8997/30.7525/29.64/23.796/25.6134/28.2828,16.27/16.074/16.4829/15.2985/16.6189/15.7269,16.77/17.88,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"IWM, Long, 2025-11-18 (Price: 231.45)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 171.73 prior to 2025-12-31,"2025-11-18 (Price: 231.45), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 170.075),36.09% above,"2020-03-31 (Price: 95.69), 2021-12-31 (Price: 244.46)",56.32%/25.19%/40.76%,"-0.0%, 20.56%",716 days/715 days/715 days,2028-09-20/2028-09-18/2028-09-18,11.21%,6.21%,5.0%,0.5,0.2,223.5807/325.789/320.71/244.72/270.9222/282.5179,164.92/162.3167/196.8345/160.6663/233.5959/221.8127,243.06/220.0,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"IFT.NZ, Long, 2025-11-18 (Price: 11.6)",No Exit Yet,"0.0%, 0 days","100.0%, Past 31 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 9.13 prior to 2025-12-31,"2025-11-18 (Price: 11.6), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 9.2141),25.89% above,"2016-12-31 (Price: 2.5393), 2024-12-31 (Price: 13.34)",103.41%/23.86%/63.63%,"-0.0%, 22.42%",978 days/717 days/847 days,2029-10-04/2028-09-21/2029-03-28,13.15%,12.57%,0.58%,0.46,0.51,13.3481/18.9811/18.08/11.925/13.8771/15.9169,2.72/7.3167/11.3804/9.6206/14.3361/14.9482,12.32/11.3,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"SUM.NZ, Long, 2025-11-18 (Price: 12.6)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-11-18 (Price: 12.6), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 10.74),17.32% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",21.12%/21.12%/21.12%,"-0.0%, 38.76%",718 days/718 days/718 days,2028-09-22/2028-09-22/2028-09-22,7.04%,16.47%,-9.43%,0.34,0.57,12.445/15.2611/15.84/13.345/16.7981/18.5763,8.8/9.1367/11.1928/8.9354/12.1624/11.3772,11.41/11.45,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"BDGI.TO, Long, 2025-11-18 (Price: 70.37)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.62 prior to 2025-12-31,"2025-11-18 (Price: 70.37), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 33.6027),109.42% above,"2022-03-31 (Price: 22.54), 2024-03-31 (Price: 51.5)",35.15%/35.15%/35.15%,"-0.0%, 52.34%",1108 days/1108 days/1108 days,2030-04-10/2030-04-10/2030-04-10,7.18%,12.22%,-5.04%,0.42,0.42,73.8322/95.1051/87.75/No Horizontal Resistance/87.1484/97.3919,26.66/24.32/66.9303/63.4408/66.2172/60.0086,66.11/50.42,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"CNQ.TO, Long, 2025-11-18 (Price: 46.69)",No Exit Yet,"0.0%, 0 days","100.0%, Past 52 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 34.92 prior to 2025-12-31,"2025-11-18 (Price: 46.69), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 34.1015),36.91% above,"2020-03-31 (Price: 4.7992), 2022-06-30 (Price: 43.1832)",880.76%/124.37%/387.49%,"-0.0%, 59.43%",2087 days/1631 days/1891 days,2034-02-26/2032-05-07/2033-05-18,12.07%,13.02%,-0.95%,0.46,0.46,49.0198/227.6091/69.72/51.51/57.5622/59.9244,42.8/34.9317/44.0597/41.1349/61.5996/64.7366,44.44/42.91,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"KXS.TO, Long, 2025-11-18 (Price: 170.13)",No Exit Yet,"0.0%, 0 days","82.35%, Past 11 years, 17","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 167.06 prior to 2025-11-21,"2025-11-18 (Price: 170.13), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 165.965),2.51% above,"2022-06-19 (Price: 119.48), 2025-08-03 (Price: 212.45)",156.2%/6.23%/51.99%,"14.59%, 37.82%",374 days/89 days/295 days,2027-05-13/2026-03-26/2027-01-19,15.07%,24.7%,-9.62%,0.27,0.8,173.9069/258.5806/225.91/209.885/228.5478/258.7048,169.84/126.33/144.1059/117.053/205.7286/214.2883,179.19/182.8,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
"MX.TO, Long, 2025-11-18 (Price: 49.45)",No Exit Yet,"0.0%, 0 days","85.71%, Past 33 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 36.1 prior to 2025-12-31,"2025-11-18 (Price: 49.45), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 36.7101),34.7% above,"2020-03-31 (Price: 13.24), 2023-03-31 (Price: 74.68)",68.59%/44.74%/56.66%,"40.03%, 69.12%",1955 days/717 days/1336 days,2033-08-19/2028-09-21/2031-03-07,4.14%,4.51%,-0.37%,0.3,0.25,51.3291/77.4684/86.31/73.435/118.0011/153.5474,45.09/38.425/47.9234/44.2912/88.1361/94.2546,52.23/50.39,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"TFII.TO, Long, 2025-11-18 (Price: 118.12)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 102.57 prior to 2025-12-31,"2025-11-18 (Price: 118.12), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 100.7196),17.28% above,"2020-03-31 (Price: 23.21), 2021-12-31 (Price: 148.63)",171.07%/171.07%/171.07%,"-0.0%, 27.17%",717 days/717 days/717 days,2028-09-21/2028-09-21/2028-09-21,42.57%,12.24%,30.33%,0.5,0.41,126.601/320.1879/193.37/219.9933/218.6478/242.6984,111.42/102.925/108.3725/94.3258/248.934/266.1435,126.14/126.1,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"BYD.TO, Long, 2025-11-16 (Price: 217.11)",No Exit Yet,"-1.24%, 1 days","97.06%, Past 20 years, 34","Weekly, was CONFIRMED on 2025-11-16",Already confirmed,"2025-11-18 (Price: 214.41), 1.24% below",1 days,Upmove Bounce Back,88.6% (Price: 205.401),4.39% above,"2024-10-06 (Price: 198.61), 2025-03-02 (Price: 258.18)",1975.56%/0.56%/388.21%,"1.41%, 39.64%",1859 days/109 days/652 days,2033-03-31/2026-04-22/2028-06-17,16.37%,23.47%,-7.1%,0.29,0.79,223.9055/1059.9527/252.85/256.6133/367.2583/388.6839,209.51/188.685/147.1212/139.9966/No F-Track Level/No F-Track Level,223.94/216.71,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
"BIPC.TO, Long, 2025-11-13 (Price: 64.33)",No Exit Yet,"-2.11%, 3 days","95.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-11-13",Already confirmed,"2025-11-18 (Price: 62.97), 2.11% below",3 days,Upmove Bounce Back,23.66% (Price: 63.5948),0.98% below,"2025-08-01 (Price: 52.64), 2025-10-16 (Price: 66.99)",18.49%/5.22%/10.88%,"2.3%, 12.67%",110 days/13 days/51 days,2026-04-21/2025-12-01/2026-01-25,47.75%,4.17%,43.58%,0.53,0.14,64.5037/71.3291/72.94/65.875/No Next Fib Ext/No Next Fib Ext,60.76/44.9667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,60.77/56.2,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"CVS, Long, 2025-11-12 (Price: 80.26)",No Exit Yet,"-2.45%, 4 days","100.0%, Past 5 years, 33","Daily, was CONFIRMED on 2025-11-12",Already confirmed,"2025-11-18 (Price: 78.29), 2.45% below",4 days,Upmove Bounce Back,38.2% (Price: 74.9697),4.43% above,"2025-07-24 (Price: 58.5), 2025-10-29 (Price: 85.15)",30.4%/5.7%/13.11%,"-0.0%, 27.13%",225 days/22 days/81 days,2026-10-03/2025-12-13/2026-03-09,30.08%,5.19%,24.9%,0.54,0.19,80.6693/90.7821/96.25/106.045/116.3721/144.3517,76.69/58.425/76.2419/70.3769/No F-Track Level/No F-Track Level,77.96/68.64,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"META, Long, 2025-11-11 (Price: 627.08)",No Exit Yet,"-6.35%, 5 days","92.0%, Past 5 years, 25","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-18 (Price: 587.23), 6.35% below",5 days,Upmove Bounce Back,38.2% (Price: 596.8957),1.62% below,"2023-08-18 (Price: 274.38), 2025-08-15 (Price: 796.25)",96.84%/3.89%/38.77%,"3.02%, 74.42%",610 days/56 days/248 days,2028-04-12/2026-01-31/2026-11-05,26.17%,17.27%,8.9%,0.3,0.58,633.2254/870.1989/940.2/No Horizontal Resistance/842.484/1305.5879,618.94/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level,707.15/676.47,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"ARM, Long, 2025-11-11 (Price: 149.74)",No Exit Yet,"-9.56%, 5 days","91.67%, Past 2 years, 12","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-18 (Price: 135.43), 9.56% below",5 days,Upmove Bounce Back,61.8% (Price: 148.4717),8.78% below,"2025-08-20 (Price: 127.03), 2025-10-27 (Price: 183.16)",24.77%/17.41%/21.09%,"2.71%, 36.96%",91 days/49 days/70 days,2026-03-22/2026-01-20/2026-02-20,51.27%,56.91%,-5.64%,0.35,1.37,145.8767/181.3202/183.42/165.49/218.0854/235.5107,139.62/No Horizontal Support/148.9705/138.4687/No F-Track Level/No F-Track Level,156.45/139.31,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"AMD, Long, 2025-11-11 (Price: 237.52)",No Exit Yet,"-4.66%, 5 days","100.0%, Past 5 years, 30","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-18 (Price: 226.455), 4.66% below",5 days,Upmove Bounce Back,38.2% (Price: 222.0575),1.98% above,"2025-09-08 (Price: 149.22), 2025-10-29 (Price: 267.08)",113.63%/2.78%/34.16%,"-0.0%, 52.96%",403 days/7 days/119 days,2027-06-17/2025-11-21/2026-05-02,45.33%,25.18%,20.14%,0.38,0.76,241.4866/318.6568/308.24/No Horizontal Resistance/273.8526/307.9609,233.54/72.6533/219.0648/187.3421/No F-Track Level/No F-Track Level,211.24/146.97,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"TCS.NS, Long, 2025-11-11 (Price: 3047.0)",No Exit Yet,"1.32%, 5 days","100.0%, Past 5 years, 33","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-18 (Price: 3087.1001), 1.32% above",5 days,Upmove Bounce Back,88.6% (Price: 3015.6997),2.37% above,"2025-08-04 (Price: 2991.6001), 2025-09-18 (Price: 3203.0)",28.47%/5.12%/16.33%,"-0.0%, 25.8%",751 days/83 days/271 days,2028-11-02/2026-03-11/2026-12-08,8.59%,2.55%,6.05%,0.66,0.02,3080.8217/3544.5751/3173.84/4543.575/5637.7577/6711.0756,2990.2/2923.4601/2637.2425/2299.5932/No F-Track Level/No F-Track Level,3036.95/3337.8,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"JD, Long, 2025-11-11 (Price: 31.61)",No Exit Yet,"-7.43%, 5 days","95.24%, Past 5 years, 21","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-18 (Price: 29.26), 7.43% below",5 days,Upmove Bounce Back,78.6% (Price: 31.3894),6.78% below,"2025-08-28 (Price: 29.9), 2025-10-02 (Price: 36.86)",29.87%/8.44%/18.43%,"5.3%, 37.86%",297 days/26 days/118 days,2027-01-15/2025-12-18/2026-04-30,33.16%,-17.7%,50.86%,0.32,-0.17,31.6005/37.4357/35.79/80.755/97.2627/102.2552,31.41/24.07/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,33.4/34.87,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"IWM, Long, 2025-11-11 (Price: 244.24)",No Exit Yet,"-5.24%, 5 days","100.0%, Past 5 years, 25","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-18 (Price: 231.45), 5.24% below",5 days,Upmove Bounce Back,23.66% (Price: 233.5959),0.92% below,"2025-04-07 (Price: 171.73), 2025-10-15 (Price: 252.77)",13.05%/0.65%/8.32%,"-0.0%, 33.13%",1174 days/40 days/291 days,2030-07-08/2026-01-07/2027-01-06,5.91%,8.75%,-2.85%,0.5,0.32,243.434/264.5608/292.86/244.72/267.7701/348.4025,240.35/162.3167/230.2783/209.2101/No F-Track Level/No F-Track Level,243.06/220.0,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
