Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"WMT, Long, 2026-01-29 (Price: 117.41)",No Exit Yet,"1.47%, 1 day","83.33%, Past 5 years, 18","Daily, was CONFIRMED on 2026-01-29",Already confirmed,"2026-01-30 (Price: 119.14), 1.47% above",1 day,116.6,No Information,No Information,No Information,"23.66% (Price: 116.2397), 2.5% above, Upmove Bounce Back","2025-11-14 (Price: 98.88), 2026-01-20 (Price: 121.62)",No Information,12.93%/0.49%/9.21%,"1.46%, 23.5%",1.4 year/23 days/3.8 months,2028-01-27/2026-03-03/2026-07-13,27.4%,11.93%,15.47%,1.3,0.75,120.7797/128.2235/131.05/No Horizontal Resistance/137.8139/No Next Fib Ext/No EMA 200 Target,116.57/43.3466/85.5556/53.2582/No F-Track Level/No F-Track Level/103.03,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
DELTADRIFT,"LYFT, Long, 2026-01-29 (Price: 17.75)",No Exit Yet,"-4.96%, 1 day","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-29",Already confirmed,"2026-01-30 (Price: 16.87), 4.96% below",1 day,17.19,No Information,No Information,No Information,No Information,No Information,No Information,8.38%/5.33%/6.9%,"26.16%, 31.32%",1.8 month/1 day/15 days,2026-04-17/2026-01-30/2026-02-19,-3.92%,-12.3%,8.38%,-0.15,-0.0,17.569/18.9748/18.27/57.19/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,17.2/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/17.65,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"RY.TO, Long, 2026-01-29 (Price: 227.52)",No Exit Yet,"-0.35%, 1 day","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-29",Already confirmed,"2026-01-30 (Price: 226.72), 0.35% below",1 day,226.03,No Information,No Information,No Information,No Information,No Information,No Information,3.75%/1.31%/1.82%,"7.86%, 8.45%",29 days/1 day/12 days,2026-03-12/2026-01-30/2026-02-15,1.66%,11.78%,-10.12%,-0.11,0.96,238.35/231.6609/235.01/No Horizontal Resistance/234.9744/339.4883/No EMA 200 Target,225.93/118.8425/221.431/150.7521/No F-Track Level/No F-Track Level/197.12,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
TRENDPULSE,"USO, Long, 2026-01-28 (Price: 76.62)",No Exit Yet,"3.78%, 2 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-28",Already confirmed,"2026-01-30 (Price: 79.52), 3.78% above",2 days,76.26,No Information,No Information,No Information,No Information,No Information,5.1% above/3.78% above/3.78% above,7.26%/0.81%/3.43%,"8.68%, 22.5%",5.2 months/6 days/2 months,2026-09-10/2026-02-05/2026-04-24,13.27%,-3.97%,17.24%,0.8,-0.03,76.7809/79.2481/79.58/83.49/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,67.79/58.7667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/71.92,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
OSCILLATOR DELTA,"XLU, Long, 2026-01-28 (Price: 43.33)",No Exit Yet,"-0.18%, 2 days","80.0%, Past 6 years, 15","Daily, is Confirmed on 2026-01-28",No Cancellation Possible,"2026-01-30 (Price: 43.25), 0.18% below",2 days,43.5,No Information,No Information,No Information,No Information,No Information,No Information,27.15%/5.01%/9.1%,"11.19%, 14.07%",7.7 months/10 days/2.6 months,2026-12-28/2026-02-11/2026-05-20,16.95%,4.08%,12.87%,0.47,0.18,46.0251/47.273/49.4/No Horizontal Resistance/49.4858/65.2454/No EMA 200 Target,No Recent Minima/29.8725/35.4254/30.3912/No F-Track Level/No F-Track Level/42.44,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
BAND MATRIX,"DOL.TO, Long, 2026-01-28 (Price: 186.3)",No Exit Yet,"-1.5%, 2 days","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2026-01-28",No Cancellation Possible,"2026-01-30 (Price: 183.5), 1.5% below",2 days,186.34,No Information,No Information,No Information,No Information,No Information,No Information,39.41%/3.85%/15.01%,"-0.0%, 11.58%",10.7 months/29 days/3.8 months,2027-05-07/2026-03-11/2026-07-12,37.24%,20.61%,16.63%,1.17,1.4,208.0785/214.2636/211.17/197.56/294.0831/455.769/187.44,180.3/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
BAND MATRIX,"USDCHF=X, Long, 2026-01-28 (Price: 0.7632)",No Exit Yet,"0.85%, 2 days","71.43%, Past 5 years, 7","Daily, was CONFIRMED on 2026-01-28",No Cancellation Possible,"2026-01-30 (Price: 0.7697), 0.85% above",2 days,0.7629,No Information,No Information,No Information,No Information,No Information,No Information,3.33%/2.11%/2.55%,"10.2%, 13.75%",7.8 months/1.3 month/3.7 months,2027-01-01/2026-03-25/2026-07-07,-1.75%,-1.33%,-0.42%,-0.3,-0.75,0.7672/0.7827/0.77/1.0105/No Next Fib Ext/No Next Fib Ext/0.8,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
TRENDPULSE,"CSCO, Long, 2026-01-27 (Price: 78.68)",No Exit Yet,"-0.46%, 3 days","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-30 (Price: 78.32), 0.46% below",3 days,77.19,No Information,No Information,No Information,No Information,No Information,5.0% above/0.46% below/0.46% below,5.83%/1.03%/2.65%,"17.72%, 27.08%",1.1 month/6 days/12 days,2026-03-15/2026-02-04/2026-02-13,6.96%,6.16%,0.8%,0.14,0.32,81.2922/80.765/79.24/No Horizontal Resistance/78.7458/109.6316/No EMA 200 Target,73.35/40.92/75.1101/68.2017/No F-Track Level/No F-Track Level/68.98,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"EEM, Long, 2026-01-27 (Price: 60.34)",No Exit Yet,"-2.06%, 3 days","90.91%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-30 (Price: 59.1), 2.06% below",3 days,59.97,No Information,No Information,No Information,No Information,No Information,0.12% below/2.06% below/2.06% below,4.72%/1.07%/2.64%,"25.37%, 34.75%",3.1 months/6 days/21 days,2026-06-10/2026-02-04/2026-02-26,2.19%,2.36%,-0.17%,0.01,0.07,63.0674/61.933/63.94/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,52.6/37.485/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/50.88,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"MCD, Long, 2026-01-27 (Price: 314.13)",No Exit Yet,"0.28%, 3 days","83.33%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-30 (Price: 315.0), 0.28% above",3 days,312.32,No Information,No Information,No Information,No Information,No Information,0.66% above/0.28% above/0.28% above,4.95%/0.71%/2.55%,"0.45%, 11.38%",3.9 months/7 days/1.3 month,2026-07-15/2026-02-06/2026-03-24,12.38%,5.6%,6.78%,1.08,0.28,324.5591/322.1403/341.41/321.444/370.0426/590.3302/No EMA 200 Target,302.84/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.33,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"RHHBY, Long, 2026-01-27 (Price: 56.69)",No Exit Yet,"0.04%, 3 days","80.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-30 (Price: 56.71), 0.04% above",3 days,56.53,No Information,No Information,No Information,No Information,No Information,2.68% above/0.04% above/0.04% above,10.73%/0.36%/5.34%,"8.73%, 19.35%",1.1 month/6 days/15 days,2026-03-15/2026-02-04/2026-02-17,11.77%,2.75%,9.02%,0.55,0.11,58.9916/59.7172/63.54/No Horizontal Resistance/58.6089/65.2057/No EMA 200 Target,51.37/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/43.35,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"VGT, Long, 2026-01-27 (Price: 769.9)",No Exit Yet,"-2.85%, 3 days","100.0%, Past 4 years, 26","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-30 (Price: 747.92), 2.85% below",3 days,766.41,No Information,No Information,No Information,No Information,No Information,1.65% below/2.85% below/2.85% below,6.35%/1.16%/3.51%,"0%, 20.19%",3.5 months/7 days/23 days,2026-06-28/2026-02-06/2026-03-01,15.33%,14.37%,0.96%,2.27,0.77,807.0092/796.9235/788.87/No Horizontal Resistance/946.1588/993.4664/No EMA 200 Target,738.69/311.83/702.1644/626.0547/No F-Track Level/No F-Track Level/693.85,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
