Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
TRENDPULSE,"ABNB, Long, 2025-12-11 (Price: 128.0)",2025-12-17 (Price: 133.78),"4.52%, 6 days","88.89%, Past 4 years, 18","Daily, is CONFIRMED on 2025-12-11",Already confirmed,"2025-12-19 (Price: 135.28), 5.69% above",8 days,No Information,No Information,No Information,No Information,No Information,6.04% above/5.69% above/5.69% above,13.07%/1.63%/7.15%,"39.55%, 57.01%",3.2 months/6 days/26 days,2026-04-29/2025-12-19/2026-01-17,10.28%,-2.98%,13.26%,0.22,0.05,127.3216/137.152/142.44/178.025/223.5359/256.334/No EMA 200 Target,111.54/99.795/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/126.69,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"ABNB, Long, 2025-12-10 (Price: 127.57)",2025-12-17 (Price: 133.78),"4.87%, 7 days","88.89%, Past 4 years, 18","Daily, is CONFIRMED on 2025-12-10",Already confirmed,"2025-12-19 (Price: 135.28), 6.04% above",9 days,No Information,No Information,No Information,No Information,No Information,7.89% above/6.04% above/6.04% above,13.07%/1.63%/7.15%,"39.55%, 57.01%",3.2 months/6 days/26 days,2026-04-28/2025-12-18/2026-01-16,10.28%,-2.98%,13.26%,0.22,0.05,126.8939/136.6913/140.59/178.025/223.5359/256.334/No EMA 200 Target,111.54/99.795/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/126.77,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
DELTADRIFT,"MEL.NZ, Long, 2025-12-15 (Price: 5.46)",2025-12-16 (Price: 5.6),"2.56%, 1 day","83.33%, Past 4 years, 6","Daily, was CONFIRMED on 2025-12-15",Already confirmed,"2025-12-19 (Price: 5.53), 1.28% above",4 days,No Information,No Information,No Information,No Information,No Information,No Information,4.7%/2.65%/3.63%,"5.86%, 6.64%",23 days/6 days/13 days,2026-01-17/2025-12-23/2026-01-02,8.78%,3.44%,5.34%,0.55,0.16,5.8586/5.6582/5.76/6.825/7.4565/8.4213/5.72,5.44/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level/No EMA 200 Support,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets),
TRENDPULSE,"GDX, Long, 2025-11-26 (Price: 81.55)",2025-12-16 (Price: 84.83),"4.02%, 20 days","95.0%, Past 4 years, 20","Daily, is CONFIRMED on 2025-11-26",Already confirmed,"2025-12-19 (Price: 87.79), 7.65% above",23 days,No Information,No Information,No Information,No Information,No Information,12.84% above/7.65% above/7.65% above,10.29%/0.8%/7.01%,"16.5%, 30.61%",3.7 months/4 days/26 days,2026-05-05/2025-12-01/2026-01-02,15.68%,13.51%,2.17%,0.9,0.64,87.0546/87.2667/84.3/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,72.97/25.645/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/57.17,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
SIGMASHELL,"NZDUSD=X, Long, 2025-08-01 (Price: 0.5889)",2025-12-16 (Price: 0.5786),"-1.75%, 4.6 months","84.21%, Past 5 years, 19","Daily, was CONFIRMED on 2025-08-01",Already confirmed,"2025-12-18 (Price: 0.5773), 1.97% below",4.6 months,"-3.98, 88.46",No Information,No Information,No Information,No Information,No Information,13.24%/0.27%/4.06%,"4.2%, 15.06%",9.6 months/1.9 month/3.9 months,2026-09-22/2025-10-22/2026-01-17,7.12%,-0.45%,7.57%,0.64,-0.35,0.5977/0.6128/No Target/0.7332/No Next Fib Ext/No Next Fib Ext/0.59,No support/0.5509/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,91.43%/70/0 days (Across ALL Assets),75.11%/237/0 days (Across ALL Assets),
SIGMASHELL,"NZDUSD=X, Long, 2025-10-01 (Price: 0.5796)",2025-12-16 (Price: 0.5786),"-0.17%, 2.5 months","84.21%, Past 5 years, 19","Daily, was CONFIRMED on 2025-10-01",Already confirmed,"2025-12-18 (Price: 0.5773), 0.4% below",2.6 months,"-3.71, 82.29",No Information,No Information,No Information,No Information,No Information,13.24%/0.27%/4.06%,"4.2%, 15.06%",9.6 months/1.9 month/3.9 months,2026-11-22/2025-12-22/2026-03-19,7.12%,-0.45%,7.57%,0.64,-0.35,0.5882/0.6031/No Target/0.7479/No Next Fib Ext/No Next Fib Ext/0.59,No support/0.5509/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,91.43%/70/0 days (Across ALL Assets),75.11%/237/0 days (Across ALL Assets),
TRENDPULSE,"WPM, Long, 2025-11-28 (Price: 110.05)",2025-12-16 (Price: 114.44),"3.99%, 18 days","96.3%, Past 4 years, 27","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-19 (Price: 119.7), 8.77% above",21 days,No Information,No Information,No Information,No Information,No Information,12.12% above/8.77% above/8.77% above,15.63%/1.33%/6.3%,"14.18%, 36.59%",3.8 months/4 days/1.3 month,2026-05-12/2025-12-03/2026-01-23,22.59%,17.13%,5.46%,1.09,0.81,118.5899/116.9831/111.75/No Horizontal Resistance/132.4733/148.0295/No EMA 200 Target,99.27/38.3375/99.8674/92.8869/No F-Track Level/No F-Track Level/90.49,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"WPM.TO, Long, 2025-11-28 (Price: 153.47)",2025-12-16 (Price: 157.61),"2.7%, 18 days","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-19 (Price: 164.88), 7.43% above",21 days,No Information,No Information,No Information,No Information,No Information,10.34% above/7.43% above/7.43% above,9.09%/1.23%/5.04%,"19.7%, 28.41%",4.4 months/6 days/1 month,2026-06-07/2025-12-06/2026-01-10,12.04%,18.03%,-5.99%,0.06,0.87,165.2105/161.2049/155.78/No Horizontal Resistance/180.0371/199.4231/No EMA 200 Target,139.91/52.782/146.152/133.3839/No F-Track Level/No F-Track Level/125.98,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"XLF, Long, 2025-11-12 (Price: 53.67)",2025-12-16 (Price: 54.64),"1.81%, 1.1 month","96.88%, Past 4 years, 32","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-12-19 (Price: 54.84), 2.18% above",1.2 month,No Information,No Information,No Information,No Information,No Information,3.06% above/2.18% above/2.18% above,4.58%/1.0%/2.45%,"10.45%, 16.27%",3.9 months/4 days/1 month,2026-04-30/2025-11-17/2025-12-25,10.61%,6.55%,4.06%,0.71,0.34,55.3284/54.9849/53.68/No Horizontal Resistance/70.6138/110.4396/No EMA 200 Target,52.09/30.1167/45.9996/No support/No F-Track Level/No F-Track Level/51.34,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
SIGMASHELL,"^TNX, Long, 2025-04-01 (Price: 4.156)",2025-12-15 (Price: 4.182),"0.63%, 8.6 months","76.47%, Past 5 years, 17","Daily, was CONFIRMED on 2025-04-01",Already confirmed,"2025-12-19 (Price: 4.151), 0.12% below",8.7 months,"-6.75, 79.46",No Information,No Information,No Information,No Information,No Information,62.85%/1.56%/15.36%,"5.86%, 20.68%",7.4 months/2.1 months/3.2 months,2026-02-16/2025-07-01/2025-08-18,32.07%,0.03%,32.04%,0.54,-0.04,4.2134/4.7944/17.4008/4.773/17.4008/18.8284/4.24,4.15/1.6875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,91.43%/70/0 days (Across ALL Assets),75.11%/237/0 days (Across ALL Assets),
TRENDPULSE,"BNS.TO, Long, 2025-12-08 (Price: 99.39)",2025-12-15 (Price: 100.55),"1.17%, 7 days","93.1%, Past 4 years, 29","Daily, is CONFIRMED on 2025-12-08",Already confirmed,"2025-12-19 (Price: 100.12), 0.73% above",11 days,No Information,No Information,No Information,No Information,No Information,0.73% above/0.73% above/0.73% above,4.49%/0.55%/2.32%,"5.65%, 21.81%",3.3 months/6 days/22 days,2026-04-30/2025-12-16/2026-01-08,6.73%,3.09%,3.64%,0.73,0.12,106.2976/101.6958/105.97/No Horizontal Resistance/113.9126/137.6923/No EMA 200 Target,88.42/62.2517/92.969/69.3218/No F-Track Level/No F-Track Level/79.2,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"TD.TO, Long, 2025-12-05 (Price: 122.2)",2025-12-15 (Price: 126.75),"3.72%, 10 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-19 (Price: 127.99), 4.74% above",14 days,No Information,No Information,No Information,No Information,No Information,6.58% above/4.74% above/4.74% above,4.43%/0.31%/2.53%,"4.88%, 19.34%",1.4 month/4 days/12 days,2026-02-03/2025-12-10/2025-12-22,5.23%,5.65%,-0.42%,1.2,0.29,127.4424/125.2917/134.15/No Horizontal Resistance/128.6672/152.0396/No EMA 200 Target,113.54/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/99.51,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
FRACTAL TRACK,"RY.TO, Long, 2025-06-30 (Price: 179.47)",2025-11-30 (Price: 216.14),"20.43%, 5.1 months","94.44%, Past 48 years, 18","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-19 (Price: 232.71), 29.67% above",5.7 months,No Information,No Information,No Information,"38.2% (Price: 152.7435), 52.35% above, Upmove Bounce Back","2023-10-31 (Price: 107.92), 2024-12-31 (Price: 180.45)",No Information,25.48%/3.95%/19.36%,"8.99%, 47.82%",3.6 years/6 months/1.7 year,2030-08-20/2026-03-17/2027-12-03,8.56%,8.11%,0.45%,1.79,0.51,201.132/214.2154/222.99/No Horizontal Resistance/221.431/339.4883/187.38,162.1/108.18/148.4673/103.3737/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),
FRACTAL TRACK,"RHHBY, Long, 2023-05-31 (Price: 39.59)",2025-11-30 (Price: 47.83),"20.81%, 2.5 years","85.71%, Past 24 years, 7","Monthly, was CONFIRMED on 2023-05-31",Already confirmed,"2025-12-19 (Price: 51.2), 29.33% above",2.6 years,No Information,No Information,No Information,"50% (Price: 34.8525), 46.9% above, Upmove Bounce Back","2010-07-31 (Price: 15.845), 2022-04-30 (Price: 53.86)",No Information,29.63%/5.85%/20.48%,"5.23%, 30.29%",6 years/1 year/3.2 years,2031-12-23/2024-11-02/2027-12-24,5.03%,5.2%,-0.17%,0.93,0.26,43.6836/47.698/62.4/52.46/58.6089/61.4729/41.95,35.86/29.095/31.0544/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),
FRACTAL TRACK,"NA.TO, Long, 2025-06-30 (Price: 140.52)",2025-11-30 (Price: 168.95),"20.23%, 5.1 months","92.86%, Past 42 years, 14","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-19 (Price: 176.03), 25.27% above",5.7 months,No Information,No Information,No Information,"23.66% (Price: 108.7595), 61.85% above, Upmove Bounce Back","1995-01-31 (Price: 4.25), 2024-12-31 (Price: 141.15)",No Information,29.1%/8.19%/21.58%,"3.99%, 52.46%",4.6 years/4 months/1.5 year,2032-01-22/2025-12-20/2027-08-21,8.81%,8.57%,0.24%,1.75,0.52,154.9795/170.8442/222.66/No Horizontal Resistance/188.6608/207.1743/141.79,118.77/73.9933/134.0186/119.9028/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),
TRENDPULSE,"GDX, Long, 2025-05-31 (Price: 50.65)",2025-11-30 (Price: 83.23),"64.32%, 6.1 months","100.0%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2025-12-19 (Price: 87.79), 73.33% above",6.7 months,No Information,No Information,No Information,No Information,No Information,73.33% above/79.86% above/73.33% above,61.01%/20.13%/41.48%,"-0.0%, 37.94%",1.5 year/6.1 months/10.4 months,2027-07-22/2026-02-20/2026-08-25,8.32%,2.69%,5.63%,2.1,0.18,59.8227/71.6596/62.0/No Horizontal Resistance/72.73/88.5521/No EMA 200 Target,33.91/25.645/50.0225/36.1563/No F-Track Level/No F-Track Level/41.14,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"FSF.NZ, Long, 2025-06-30 (Price: 6.58)",2025-11-30 (Price: 7.75),"17.78%, 5.1 months","100.0%, Past 20 years, 7","Monthly, is CONFIRMED on 2025-06-30",Already confirmed,"2025-12-19 (Price: 8.32), 26.44% above",5.7 months,No Information,No Information,No Information,No Information,No Information,35.28% above/30.0% above/26.44% above,44.06%/28.75%/36.57%,"-0.0%, 15.01%",1.4 year/6.1 months/9.1 months,2027-06-28/2026-03-22/2026-07-30,14.41%,0.49%,13.92%,1.44,-0.1,7.9671/8.9863/8.67/No Horizontal Resistance/8.5311/12.0421/No EMA 200 Target,3.0/2.942/6.3611/No support/No F-Track Level/No F-Track Level/5.37,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"SLV, Long, 2025-07-31 (Price: 33.32)",2025-11-30 (Price: 51.21),"53.69%, 4.1 months","92.86%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-12-19 (Price: 60.93), 82.86% above",4.7 months,No Information,No Information,No Information,No Information,No Information,85.71% above/83.3% above/82.86% above,45.26%/2.87%/19.7%,"54.87%, 60.6%",2 years/4.1 months/11.1 months,2028-06-07/2026-01-23/2026-11-25,3.08%,4.57%,-1.49%,0.61,0.23,37.9382/39.884/37.48/No Horizontal Resistance/47.5817/54.635/No EMA 200 Target,26.33/18.99/31.6598/28.4154/No F-Track Level/No F-Track Level/29.96,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
FRACTAL TRACK,"^BVSP, Long, 2025-03-31 (Price: 130260.0)",2025-11-30 (Price: 159072.0),"22.12%, 8.1 months","81.82%, Past 58 years, 11","Monthly, was CONFIRMED on 2025-03-31",Already confirmed,"2025-12-19 (Price: 158473.0156), 21.66% above",8.8 months,No Information,No Information,No Information,"50% (Price: 116368.0), 36.18% above, Upmove Bounce Back","2022-07-31 (Price: 95267.0), 2024-08-31 (Price: 137469.0)",No Information,27.02%/4.94%/21.13%,"17.81%, 34.07%",4.8 years/4 months/1.9 year,2032-02-05/2025-09-20/2027-12-16,5.99%,20.73%,-14.74%,0.68,0.88,155608.596/157783.938/155581.2/134350.3333/173653.968/192289.6/140702.27,120283.0/95217.0/121313.6/110617.73/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),
TRENDPULSE,"TCEHY, Long, 2025-03-31 (Price: 63.84)",2025-11-30 (Price: 79.04),"23.81%, 8.1 months","100.0%, Past 20 years, 10","Monthly, is CONFIRMED on 2025-03-31",Already confirmed,"2025-12-19 (Price: 79.06), 23.84% above",8.8 months,No Information,No Information,No Information,No Information,No Information,28.32% above/23.84% above/23.84% above,46.34%/14.29%/33.96%,"0%, 28.74%",1.4 year/4.1 months/8.1 months,2027-03-29/2025-09-23/2026-03-17,24.32%,14.37%,9.95%,3.32,0.71,89.4909/85.5201/72.69/73.09/91.9947/116.3817/No EMA 200 Target,34.84/36.36/58.3318/52.1422/No F-Track Level/No F-Track Level/53.18,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
FRACTAL TRACK,"UBER, Short, 2025-11-23 (Price: 83.87)",2025-12-19 (Price: 79.31) (Today),"5.44%, 26 days","90.0%, Past 6 years, 10","Weekly, was CONFIRMED on 2025-11-23",Already confirmed,"2025-12-19 (Price: 79.31), 5.44% below",26 days,No Information,No Information,No Information,"38.2% (Price: 83.9787), 5.56% below, Upmove Break Below","2024-08-11 (Price: 54.84), 2025-09-28 (Price: 101.99)",No Information,11.18%/4.08%/7.12%,"16.62%, 11.18%",21 days/7 days/11 days,2025-12-23/2025-12-03/2025-12-08,12.48%,5.2%,7.28%,0.51,0.43,83.501/77.8985/55.58/34.6025/75.9736/63.3753/No EMA 200 Target,No support/34.6025/75.9736/63.3753/No F-Track Level/No F-Track Level/No support,100.0%/1/0 days (Across ALL Assets),43.75%/16/0 days (Across ALL Assets),
TRENDPULSE,"PFE, Short, 2024-03-31 (Price: 27.75)",2025-12-19 (Price: 25.19) (Today),"9.23%, 1.7 year","100.0%, Past 48 years, 5","Quarterly, is CONFIRMED on 2024-03-31",Already confirmed,"2025-12-19 (Price: 25.19), 9.23% below",1.7 year,No Information,No Information,No Information,No Information,No Information,12.5% below/11.3% below/9.23% below,28.35%/7.35%/17.85%,"0.0%, 34.93%",1.7 year/1.3 year/1.5 year,2026-09-03/2026-02-06/2026-05-22,5.58%,5.5%,0.08%,0.53,0.21,25.863/22.7966/18.85/26.1058/21.508/20.5265/No EMA 200 Target,No support/26.1058/21.508/20.5265/No F-Track Level/No F-Track Level/No support,100.0%/1/0 days (Across ALL Assets),No Data (Across ALL Assets),
FRACTAL TRACK,"AMD, Short, 2025-12-02 (Price: 215.24)",2025-12-15 (Price: 207.58),"3.56%, 13 days","85.0%, Past 5 years, 40","Daily, was CONFIRMED on 2025-12-02",Already confirmed,"2025-12-19 (Price: 213.43), 0.84% below",17 days,No Information,No Information,No Information,"38.2% (Price: 222.0575), 3.89% below, Upmove Break Below","2025-09-08 (Price: 149.22), 2025-10-29 (Price: 267.08)",No Information,8.59%/0.06%/4.31%,"24.21%, 11.06%",1.8 month/1 day/8 days,2026-02-18/2025-12-03/2025-12-13,20.24%,5.1%,15.14%,0.39,0.6,214.379/205.9632/144.52/72.6533/187.3421/170.075/158.6,No support/72.6533/187.3421/170.075/No F-Track Level/No F-Track Level/No EMA 200 Support,66.67%/9/0 days (Across ALL Assets),43.52%/108/0 days (Across ALL Assets),
FRACTAL TRACK,"ETH-USD, Short, 2025-10-31 (Price: 3847.0803)",2025-11-30 (Price: 2992.1125),"22.22%, 1 month","100.0%, Past 10 years, 4","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-12-19 (Price: 2979.1304), 22.56% below",1.6 month,No Information,No Information,No Information,"23.66% (Price: 3801.2773), 21.63% below, Upmove Break Below","2018-12-31 (Price: 82.8299), 2025-08-31 (Price: 4953.7329)",No Information,32.85%/5.87%/17.04%,"0%, 32.85%",2 months/1 month/1.2 month,2026-01-25/2025-12-13/2025-12-22,59.0%,5.2%,53.8%,1.33,1.37,3791.6823/3191.5378/924.54/1370.4997/3454.2267/2637.9184/3569.83,No support/1370.4997/3454.2267/2637.9184/No F-Track Level/No F-Track Level/No EMA 200 Support,85.71%/7/0 days (Across ALL Assets),36.84%/19/0 days (Across ALL Assets),
TRENDPULSE,"NVO, Short, 2025-04-30 (Price: 66.45)",2025-11-30 (Price: 49.35),"25.73%, 7.1 months","100.0%, Past 20 years, 6","Monthly, is CONFIRMED on 2025-04-30",Already confirmed,"2025-12-19 (Price: 48.09), 27.63% below",7.8 months,No Information,No Information,No Information,No Information,No Information,30.75% below/23.2% below/27.63% below,15.1%/15.1%/15.1%,"0.0%, 34.17%",5 months/5 months/5 months,2025-12-03/2025-12-03/2025-12-03,3.32%,5.5%,-2.18%,0.43,0.53,65.4599/56.416/46.39/31.6225/51.1046/45.3824/No EMA 200 Target,No support/31.6225/51.1046/45.3824/No F-Track Level/No F-Track Level/No support,100.0%/1/0 days (Across ALL Assets),0.0%/7/0 days (Across ALL Assets),
