"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"IWM, Long, 2026-01-09 (Price: 260.23)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 247.63 prior to 2026-03-31,"2026-01-09 (Price: 260.23), 0.0% below",0 days,"2, 2021-09-30 (Price: 218.75)",2025-12-31 (Price: 246.16),2026-01-02 (Price: 248.78),9/7/0 days,5.72% above/4.6% above/0.0% below,2021-09-30 (Price: 244.4167)/2026-01-09 (Price: 245.1967),22.48%/22.48%/22.48%,"-0.0%, 49.28%",1 year/1 year/1 year,2027-06-14/2027-06-14/2027-06-14,3.33%,4.39%,-1.06%,0.87,0.2,239.5417/318.7297/285.12/No Horizontal Resistance/270.9222/282.5179/No EMA 200 Target,164.92/162.3167/245.3626/196.8345/240.3062/227.2449/226.19,100.0%/9/2.2 years (Across ALL Assets),75.0%/4/6.2 months (Across ALL Assets)
"PPH, Long, 2026-01-09 (Price: 105.23)",No Exit Yet,"0.0%, 0 days","85.0%, Past 20 years, 20","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 103.4 prior to 2026-01-30,"2026-01-09 (Price: 105.23), 0.0% below",0 days,"0, 2021-01-31 (Price: 68.14)",2025-12-31 (Price: 103.17),2026-01-09 (Price: 105.23),9/0/0 days,2.0% above/0.0% below/0.0% below,2021-01-31 (Price: 78.5883)/2026-01-09 (Price: 98.4383),15.31%/2.34%/9.66%,"3.25%, 39.01%",4.4 years/5 months/1.3 year,2032-04-21/2026-08-14/2027-11-17,1.56%,1.67%,-0.11%,1.06,-0.07,116.9631/115.3952/127.48/No Horizontal Resistance/126.5323/135.6093/No EMA 200 Target,82.93/65.915/102.4808/84.9957/100.2743/95.969/90.99,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
"NA.TO, Long, 2026-01-09 (Price: 173.89)",No Exit Yet,"0.0%, 0 days","83.33%, Past 20 years, 12","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 172.8 prior to 2026-01-30,"2026-01-09 (Price: 173.89), 0.0% below",0 days,"2, 2023-07-31 (Price: 103.28)",2026-01-09 (Price: 173.89),2026-01-09 (Price: 173.89),0/0/0 days,0.0% below/0.0% below/0.0% below,2023-07-31 (Price: 101.3062)/2026-01-09 (Price: 171.6188),28.7%/8.86%/18.76%,"5.23%, 30.62%",1.5 year/5.1 months/9.5 months,2028-03-01/2026-08-18/2027-02-25,8.11%,7.36%,0.75%,1.24,0.44,190.6356/206.5118/216.26/No Horizontal Resistance/185.717/204.2705/No EMA 200 Target,118.77/82.9367/162.0277/152.3147/160.7722/150.4677/145.2,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
"NA.TO, Long, 2026-01-09 (Price: 173.89)",No Exit Yet,"0.0%, 0 days","100.0%, Past 43 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 172.8 prior to 2026-03-31,"2026-01-09 (Price: 173.89), 0.0% below",0 days,"0, 2018-09-30 (Price: 64.51)",2025-12-31 (Price: 172.61),2026-01-09 (Price: 173.89),9/0/0 days,0.74% above/0.0% below/0.0% below,2018-09-30 (Price: 65.95)/2026-01-09 (Price: 156.19),41.25%/20.33%/29.84%,"0%, 21.01%",3.6 years/1.8 year/2.5 years,2031-03-01/2028-08-04/2029-08-04,7.75%,8.35%,-0.6%,3.36,0.49,220.0752/225.7788/239.52/No Horizontal Resistance/185.717/204.2705/No EMA 200 Target,54.39/82.9367/162.0277/152.3147/160.7722/150.4677/145.2,100.0%/9/2.2 years (Across ALL Assets),75.0%/4/6.2 months (Across ALL Assets)
"ATD.TO, Long, 2026-01-08 (Price: 75.49)",No Exit Yet,"-0.91%, 1 day","100.0%, Past 4 years, 21","Daily, is CONFIRMED on 2026-01-08",Already confirmed,"2026-01-09 (Price: 74.8), 0.91% below",1 day,"2, 2025-11-14 (Price: 70.3)",2026-01-07 (Price: 74.21),2026-01-08 (Price: 75.49),2/1/1 days,0.8% above/0.91% below/0.91% below,2025-11-14 (Price: 77.93)/2026-01-08 (Price: 73.826),4.54%/1.18%/3.66%,"-0.0%, 15.84%",4.4 months/7 days/2.5 months,2026-07-18/2026-01-18/2026-04-26,12.4%,6.76%,5.64%,3.05,0.35,76.4336/78.2529/78.6/85.51/85.3936/96.14/No EMA 200 Target,73.81/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/71.81,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"AMZN, Long, 2026-01-07 (Price: 241.56)",No Exit Yet,"2.41%, 2 days","100.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-01-07",Already confirmed,"2026-01-09 (Price: 247.38), 2.41% above",2 days,"2, 2025-10-28 (Price: 229.25)",2026-01-05 (Price: 233.06),2026-01-07 (Price: 241.56),4/2/2 days,6.14% above/2.41% above/2.41% above,2025-10-28 (Price: 259.6337)/2026-01-07 (Price: 226.0051),6.5%/1.02%/4.3%,"0%, 19.49%",4.6 months/9 days/1.1 month,2026-07-25/2026-01-20/2026-02-23,22.5%,11.67%,10.83%,2.54,0.57,256.4401/251.9471/248.95/No Horizontal Resistance/317.6152/339.3352/No EMA 200 Target,226.5/86.995/231.81/213.1321/No F-Track Level/No F-Track Level/217.67,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"MA, Long, 2026-01-07 (Price: 579.92)",No Exit Yet,"-0.76%, 2 days","96.15%, Past 4 years, 26","Daily, is CONFIRMED on 2026-01-07",Already confirmed,"2026-01-09 (Price: 575.54), 0.76% below",2 days,"4, 2025-08-20 (Price: 592.68)",2026-01-05 (Price: 568.57),2026-01-07 (Price: 579.92),4/2/2 days,1.23% above/0.76% below/0.76% below,2025-08-20 (Price: 606.2351)/2026-01-07 (Price: 557.7767),7.81%/1.11%/2.94%,"5.85%, 28.57%",3.5 months/4 days/1.3 month,2026-06-08/2026-01-12/2026-03-04,5.71%,7.58%,-1.87%,0.98,0.39,586.4731/596.9696/587.58/592.9033/716.5814/751.3605/No EMA 200 Target,563.13/305.0867/554.0572/515.4888/No F-Track Level/No F-Track Level/561.98,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"MTY.TO, Long, 2026-01-07 (Price: 40.04)",No Exit Yet,"0.37%, 2 days","96.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-01-07",Already confirmed,"2026-01-09 (Price: 40.19), 0.37% above",2 days,"0, 2024-03-21 (Price: 53.02)",2026-01-06 (Price: 40.03),2026-01-07 (Price: 40.04),3/2/2 days,0.4% above/0.37% above/0.37% above,2024-03-21 (Price: 66.6843)/2026-01-07 (Price: 38.5086),7.25%/0.53%/3.58%,"0.46%, 22.19%",2.6 months/7 days/21 days,2026-04-29/2026-01-17/2026-02-06,16.78%,-4.47%,21.25%,1.28,-0.0,41.8178/41.4734/47.83/72.5033/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,37.0/37.115/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/39.27,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"ETH-USD, Long, 2026-01-06 (Price: 3295.9468)",No Exit Yet,"-6.49%, 3 days","92.86%, Past 4 years, 42","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-09 (Price: 3082.0361), 6.49% below",3 days,"6, 2025-08-15 (Price: 4439.9888)",2026-01-05 (Price: 3226.1304),2026-01-06 (Price: 3295.9468),4/3/3 days,4.47% below/6.49% below/6.49% below,2025-08-15 (Price: 5218.1762)/2026-01-06 (Price: 3173.2602),39.76%/1.01%/13.37%,"17.31%, 42.86%",3 months/5 days/23 days,2026-05-16/2026-01-13/2026-02-08,60.18%,45.2%,14.98%,0.97,1.15,4017.4296/3736.6149/3982.37/4922.7188/4887.278/5306.7298/3610.77,2827.07/1370.4997/2637.9184/2471.5754/No F-Track Level/No F-Track Level/No EMA 200 Support,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"ABNB, Long, 2026-01-06 (Price: 138.02)",No Exit Yet,"0.91%, 3 days","88.89%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-09 (Price: 139.27), 0.91% above",3 days,"4, 2025-09-05 (Price: 123.81)",2026-01-05 (Price: 135.87),2026-01-06 (Price: 138.02),4/3/3 days,2.5% above/0.91% above/0.91% above,2025-09-05 (Price: 127.0392)/2026-01-06 (Price: 133.7192),13.07%/1.63%/7.15%,"39.55%, 57.01%",3.2 months/6 days/26 days,2026-05-25/2026-01-14/2026-02-12,10.28%,-2.98%,13.26%,0.22,0.05,137.2885/147.8884/146.55/178.025/226.4968/256.334/No EMA 200 Target,133.01/99.795/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/126.96,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"XIU.TO, Long, 2026-01-06 (Price: 47.91)",No Exit Yet,"0.65%, 3 days","100.0%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-09 (Price: 48.22), 0.65% above",3 days,"2, 2025-11-12 (Price: 45.99)",2026-01-02 (Price: 47.25),2026-01-06 (Price: 47.91),7/3/3 days,2.05% above/0.65% above/0.65% above,2025-11-12 (Price: 46.0266)/2026-01-06 (Price: 47.4553),2.7%/0.5%/1.73%,"0%, 8.66%",2.2 months/6 days/26 days,2026-04-11/2026-01-14/2026-02-12,10.25%,7.22%,3.03%,2.78,0.44,49.1413/48.7388/49.06/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,44.51/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/42.09,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"SBUX, Long, 2026-01-06 (Price: 89.46)",No Exit Yet,"-0.65%, 3 days","91.67%, Past 4 years, 12","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-09 (Price: 88.88), 0.65% below",3 days,"0, 2024-03-20 (Price: 92.6)",2026-01-05 (Price: 86.56),2026-01-06 (Price: 89.46),4/3/3 days,2.68% above/0.65% below/0.65% below,2024-03-20 (Price: 136.8534)/2026-01-06 (Price: 84.9041),8.06%/2.15%/4.6%,"1.89%, 25.49%",3.2 months/6 days/1.2 month,2026-05-25/2026-01-14/2026-02-27,10.39%,-0.2%,10.59%,0.88,0.03,92.1527/93.5752/91.34/117.438/142.4098/150.3462/No EMA 200 Target,83.86/71.675/89.1063/76.529/No F-Track Level/No F-Track Level/87.21,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"XLY, Long, 2026-01-06 (Price: 121.07)",No Exit Yet,"2.76%, 3 days","94.12%, Past 4 years, 17","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-09 (Price: 124.41), 2.76% above",3 days,"4, 2025-09-23 (Price: 118.96)",2026-01-05 (Price: 120.3),2026-01-06 (Price: 121.07),4/3/3 days,3.42% above/2.76% above/2.76% above,2025-09-23 (Price: 122.9273)/2026-01-06 (Price: 119.0272),7.63%/0.64%/2.98%,"3.09%, 13.62%",2.8 months/6 days/13 days,2026-05-07/2026-01-14/2026-01-24,17.38%,7.88%,9.5%,1.07,0.42,125.9854/124.6779/122.34/121.1117/125.4815/133.9156/No EMA 200 Target,118.35/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/111.58,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"ASML, Long, 2026-01-06 (Price: 1242.1899)",No Exit Yet,"2.55%, 3 days","85.71%, Past 4 years, 14","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-09 (Price: 1273.88), 2.55% above",3 days,"4, 2025-09-23 (Price: 963.51)",2026-01-02 (Price: 1163.78),2026-01-06 (Price: 1242.1899),7/3/3 days,9.46% above/2.55% above/2.55% above,2025-09-23 (Price: 1003.3978)/2026-01-06 (Price: 1213.3019),21.88%/0.41%/10.18%,"34.28%, 51.77%",3.8 months/7 days/1.3 month,2026-06-20/2026-01-16/2026-03-03,11.06%,16.29%,-5.23%,0.48,0.74,1277.0954/1368.6448/1409.4/No Horizontal Resistance/1091.1724/1155.2236/No EMA 200 Target,1015.43/576.784/1034.6774/832.8601/No F-Track Level/No F-Track Level/850.52,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"IFT.NZ, Long, 2026-01-06 (Price: 11.73)",No Exit Yet,"-4.01%, 3 days","96.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-09 (Price: 11.26), 4.01% below",3 days,"2, 2025-11-11 (Price: 12.6)",2025-12-31 (Price: 11.08),2026-01-06 (Price: 11.73),9/3/3 days,1.62% above/4.01% below/4.01% below,2025-11-11 (Price: 12.95)/2026-01-06 (Price: 11.15),9.48%/0.89%/3.63%,"10.91%, 28.9%",3.2 months/6 days/25 days,2026-05-25/2026-01-14/2026-02-11,16.02%,10.32%,5.7%,0.78,0.55,12.3177/12.1558/12.25/12.825/18.927/29.733/No EMA 200 Target,10.7/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/11.42,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"SUM.NZ, Long, 2026-01-06 (Price: 12.41)",No Exit Yet,"0.32%, 3 days","94.44%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-09 (Price: 12.45), 0.32% above",3 days,"2, 2025-11-11 (Price: 11.94)",2026-01-06 (Price: 12.41),2026-01-06 (Price: 12.41),3/3/3 days,0.32% above/0.32% above/0.32% above,2025-11-11 (Price: 12.8764)/2026-01-06 (Price: 12.3236),8.54%/1.38%/4.98%,"6.4%, 20.48%",6.2 months/4 days/22 days,2026-10-02/2026-01-11/2026-02-06,16.06%,5.58%,10.48%,1.15,0.29,13.0044/13.028/12.69/13.345/19.8479/26.5969/No EMA 200 Target,11.82/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.43,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"BAC, Long, 2026-01-05 (Price: 56.89)",No Exit Yet,"-1.83%, 4 days","92.86%, Past 4 years, 28","Daily, is CONFIRMED on 2026-01-05",Already confirmed,"2026-01-09 (Price: 55.85), 1.83% below",4 days,"6, 2025-07-31 (Price: 47.27)",2026-01-02 (Price: 55.95),2026-01-05 (Price: 56.89),7/4/4 days,0.18% below/1.83% below/1.83% below,2025-07-31 (Price: 51.4662)/2026-01-05 (Price: 55.7436),7.68%/1.08%/3.17%,"13.24%, 27.96%",5.8 months/6 days/26 days,2026-09-14/2026-01-13/2026-02-11,8.97%,5.09%,3.88%,0.53,0.27,57.6523/58.6934/62.66/No Horizontal Resistance/72.41/85.2389/No EMA 200 Target,55.0/29.49/54.1889/No support/No F-Track Level/No F-Track Level/47.83,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
