"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"TRI.TO, Long, 2025-12-24 (Price: 181.76)",No Exit Yet,"0.0%, 0 days","91.67%, Past 20 years, 12","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 177.0 prior to 2025-12-26,"2025-12-24 (Price: 181.76), 0.0% below",0 days,Upmove Bounce Back,88.6% (Price: 178.5402),1.8% above,"2023-10-29 (Price: 163.01), 2025-07-20 (Price: 299.24)",17.45%/1.4%/11.27%,"1.51%, 22.04%",1.5 year/1.6 month/5.6 months,2028-02-14/2026-03-03/2026-08-24,9.55%,6.23%,3.32%,1.2,0.33,215.6764/202.2444/263.5/240.8933/308.8111/326.8654/238.36,179.89/116.89/175.5204/No support/161.3528/143.8099/No EMA 200 Support,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"UBER, Long, 2025-12-23 (Price: 80.97)",No Exit Yet,"0.22%, 1 day","100.0%, Past 5 years, 23","Daily, was CONFIRMED on 2025-12-23",Already confirmed,"2025-12-24 (Price: 81.15), 0.22% above",1 day,Upmove Bounce Back,38.2% (Price: 78.3442),3.58% above,"2023-10-26 (Price: 40.09), 2025-09-22 (Price: 101.99)",15.06%/0.66%/9.9%,"-0.0%, 57.74%",2.4 years/4 days/4.7 months,2029-05-27/2025-12-28/2026-07-15,33.14%,7.1%,26.04%,1.78,0.39,83.3181/88.986/118.11/82.12/99.1711/103.8185/87.76,79.14/34.6025/75.9736/63.3753/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"CVS, Long, 2025-12-21 (Price: 77.72)",No Exit Yet,"1.8%, 3 days","90.91%, Past 20 years, 11","Weekly, was CONFIRMED on 2025-12-21",Already confirmed,"2025-12-24 (Price: 79.12), 1.8% above",3 days,Upmove Bounce Back,23.66% (Price: 75.3098),5.06% above,"2024-12-29 (Price: 43.56), 2025-11-02 (Price: 85.15)",19.47%/0.13%/12.94%,"6.64%, 50.05%",6.2 years/2.1 months/2.3 years,2034-10-27/2026-03-22/2029-04-01,4.71%,3.7%,1.01%,0.98,0.17,78.6837/87.777/102.67/106.045/116.3721/144.3517/No EMA 200 Target,75.63/58.425/76.2419/70.3769/No F-Track Level/No F-Track Level/70.58,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"TSM, Long, 2025-12-19 (Price: 288.95)",No Exit Yet,"3.41%, 5 days","95.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-12-19",Already confirmed,"2025-12-24 (Price: 298.8), 3.41% above",5 days,Upmove Bounce Back,23.66% (Price: 271.4559),10.07% above,"2025-04-07 (Price: 134.25), 2025-12-10 (Price: 313.98)",13.85%/10.09%/11.5%,"1.02%, 51.98%",2.1 years/16 days/3.8 months,2028-12-18/2026-01-11/2026-06-02,37.14%,15.53%,21.61%,2.66,0.73,315.2733/322.1792/396.79/No Horizontal Resistance/334.306/349.9895/No EMA 200 Target,276.96/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/235.71,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"ASML, Long, 2025-12-19 (Price: 1056.02)",No Exit Yet,"0.9%, 5 days","100.0%, Past 5 years, 16","Daily, was CONFIRMED on 2025-12-19",Already confirmed,"2025-12-24 (Price: 1065.52), 0.9% above",5 days,Upmove Bounce Back,23.66% (Price: 1033.3004),3.12% above,"2025-08-01 (Price: 683.48), 2025-12-03 (Price: 1141.72)",15.95%/4.96%/10.87%,"-0.0%, 53.28%",2.2 years/13 days/6.5 months,2029-02-08/2026-01-06/2026-09-27,24.72%,12.44%,12.28%,3.0,0.59,1150.0058/1170.8094/1330.96/No Horizontal Resistance/1091.1724/1155.2236/No EMA 200 Target,1015.43/561.385/1034.6774/832.8601/No F-Track Level/No F-Track Level/836.15,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"PLTR, Long, 2025-12-19 (Price: 193.38)",No Exit Yet,"0.41%, 5 days","100.0%, Past 5 years, 18","Daily, was CONFIRMED on 2025-12-19",Already confirmed,"2025-12-24 (Price: 194.17), 0.41% above",5 days,Upmove Bounce Back,23.66% (Price: 174.0648),11.55% above,"2025-04-07 (Price: 66.12), 2025-11-03 (Price: 207.52)",33.44%/10.15%/15.79%,"0%, 74.37%",2.3 years/10 days/3.4 months,2029-03-30/2026-01-02/2026-05-15,47.99%,28.98%,19.01%,2.63,1.12,211.4224/223.9147/278.22/No Horizontal Resistance/232.7649/248.6965/No EMA 200 Target,177.29/7.205/191.5407/156.1054/No F-Track Level/No F-Track Level/148.65,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"VGT, Long, 2025-12-19 (Price: 755.54)",No Exit Yet,"1.43%, 5 days","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2025-12-19",Already confirmed,"2025-12-24 (Price: 766.32), 1.43% above",5 days,Upmove Bounce Back,23.66% (Price: 722.7628),6.03% above,"2025-04-07 (Price: 451.0), 2025-10-29 (Price: 806.99)",11.81%/4.8%/9.66%,"0%, 32.02%",2 years/1 month/4.4 months,2028-10-26/2026-01-31/2026-06-28,27.73%,11.82%,15.91%,4.51,0.66,812.6588/828.5252/969.13/No Horizontal Resistance/946.1588/993.4664/No EMA 200 Target,730.42/311.83/702.1644/626.0547/No F-Track Level/No F-Track Level/671.23,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"BIPC.TO, Long, 2025-12-19 (Price: 63.51)",No Exit Yet,"-0.09%, 5 days","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2025-12-19",Already confirmed,"2025-12-24 (Price: 63.45), 0.09% below",5 days,Upmove Bounce Back,38.2% (Price: 61.5083),3.16% above,"2025-08-01 (Price: 52.64), 2025-10-16 (Price: 66.99)",12.52%/2.79%/9.56%,"2.3%, 18.18%",8.4 months/14 days/2.7 months,2026-12-19/2026-01-08/2026-04-15,22.95%,1.41%,21.54%,1.2,0.05,64.5833/69.5816/72.12/67.0517/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,61.68/44.9667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/56.93,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"IBKR, Long, 2025-12-19 (Price: 64.26)",No Exit Yet,"2.68%, 5 days","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2025-12-19",Already confirmed,"2025-12-24 (Price: 65.98), 2.68% above",5 days,Upmove Bounce Back,23.66% (Price: 62.1287),6.2% above,"2024-08-05 (Price: 25.9225), 2025-10-10 (Price: 73.35)",16.34%/10.24%/12.37%,"7.97%, 31.97%",1.1 year/28 days/3 months,2027-07-15/2026-01-28/2026-04-28,35.27%,24.2%,11.07%,1.68,1.19,69.4458/72.209/92.72/No Horizontal Resistance/81.4292/98.2092/No EMA 200 Target,62.45/13.0762/62.0029/55.579/No F-Track Level/No F-Track Level/57.97,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"NU, Long, 2025-12-19 (Price: 16.34)",No Exit Yet,"2.45%, 5 days","100.0%, Past 4 years, 12","Daily, was CONFIRMED on 2025-12-19",Already confirmed,"2025-12-24 (Price: 16.74), 2.45% above",5 days,Upmove Bounce Back,38.2% (Price: 15.5671),7.53% above,"2025-08-14 (Price: 11.89), 2025-12-02 (Price: 17.84)",14.19%/10.08%/11.27%,"0%, 32.54%",9.7 months/3 days/2 months,2027-02-13/2025-12-23/2026-03-15,42.11%,9.45%,32.66%,9.27,0.53,17.742/18.1815/19.91/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,15.86/5.54/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/13.77,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"MSFT, Long, 2025-12-14 (Price: 478.53)",No Exit Yet,"1.98%, 10 days","100.0%, Past 20 years, 16","Weekly, was CONFIRMED on 2025-12-14",Already confirmed,"2025-12-24 (Price: 488.02), 1.98% above",10 days,Upmove Bounce Back,38.2% (Price: 474.9779),2.75% above,"2025-04-13 (Price: 344.79), 2025-08-03 (Price: 555.45)",25.02%/6.95%/15.92%,"0%, 45.68%",3.7 years/1.4 month/11.4 months,2031-03-27/2026-02-12/2027-04-23,11.58%,10.65%,0.93%,3.32,0.59,511.6443/554.712/604.93/554.585/553.3726/615.9924/No EMA 200 Target,472.12/216.39/386.873/350.287/No F-Track Level/No F-Track Level/475.55,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"SBUX, Long, 2025-12-12 (Price: 85.35)",2025-12-23 (Price: 83.86),"-1.75%, 11 days","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2025-12-12",Already confirmed,"2025-12-24 (Price: 84.57), 0.91% below",12 days,Upmove Bounce Back,50% (Price: 83.525),1.25% above,"2025-11-04 (Price: 77.99), 2025-11-12 (Price: 89.06)",18.2%/1.81%/10.68%,"-0.0%, 32.38%",1.8 year/1.1 month/9.9 months,2028-07-07/2026-01-28/2027-02-15,17.25%,-2.4%,19.65%,1.15,-0.1,85.0001/94.4654/91.99/117.438/142.4098/150.3462/87.65,82.28/71.675/76.529/65.8616/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-30 (Price: 249.53)",No Exit Yet,"7.43%, 24 days","77.78%, Past 80 years, 9","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-24 (Price: 268.06), 7.43% above",24 days,Upmove Bounce Back,61.8% (Price: 232.7652),15.16% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",30.71%/20.0%/24.36%,"25.41%, 60.52%",1.9 year/5.1 months/11.6 months,2028-08-16/2026-07-09/2027-04-18,6.46%,15.61%,-9.15%,0.44,0.63,293.597/310.3155/338.69/366.6625/412.2037/473.5829/252.3,239.37/187.6062/216.7036/198.5041/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-30 (Price: 1567.5)",No Exit Yet,"-0.59%, 24 days","90.0%, Past 48 years, 10","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-24 (Price: 1558.2), 0.59% below",24 days,Upmove Bounce Back,23.66% (Price: 1322.8731),17.79% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",42.5%/21.29%/26.97%,"6.47%, 28.2%",1.6 year/2 months/7.2 months,2028-03-13/2026-02-24/2026-10-08,11.26%,13.7%,-2.44%,1.21,0.63,2292.7823/1990.2548/2292.59/No Horizontal Resistance/2250.6285/2387.5727/No EMA 200 Target,1200.1/855.3207/1503.6962/1393.886/No F-Track Level/No F-Track Level/1416.62,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"GLD, Long, 2025-10-30 (Price: 370.13)",2025-12-22 (Price: 408.23),"10.29%, 1.8 month","100.0%, Past 5 years, 18","Daily, was CONFIRMED on 2025-10-30",Already confirmed,"2025-12-24 (Price: 411.93), 11.29% above",1.8 month,Upmove Bounce Back,23.66% (Price: 363.7476),13.25% above,"2024-11-14 (Price: 236.13), 2025-10-20 (Price: 403.3)",11.32%/1.34%/8.92%,"-0.0%, 18.1%",2 years/1.4 month/5.2 months,2028-09-06/2025-12-29/2026-06-12,26.16%,11.89%,14.27%,2.41,0.93,398.4449/403.1456/470.43/No Horizontal Resistance/424.4974/624.146/No EMA 200 Target,363.0/150.8/301.1087/224.8487/No F-Track Level/No F-Track Level/329.53,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"HYG, Long, 2025-06-30 (Price: 80.65)",2025-12-24 (Price: 80.64) (Today),"-0.01%, 5.9 months","80.0%, Past 18 years, 5","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-24 (Price: 80.64), 0.01% below",5.9 months,Upmove Bounce Back,38.2% (Price: 76.5615),5.33% above,"2022-10-31 (Price: 70.4), 2024-09-30 (Price: 80.37)",2.15%/2.15%/2.15%,"3.95%, 5.88%",1.7 year/1.7 year/1.7 year,2027-12-03/2027-12-03/2027-12-03,3.9%,-0.99%,4.89%,-0.17,-0.53,79.4967/82.384/86.63/86.99/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,78.6/72.2733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/79.92,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"NA.TO, Long, 2025-06-30 (Price: 140.52)",2025-11-30 (Price: 168.95),"20.23%, 5.1 months","92.86%, Past 43 years, 14","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-24 (Price: 176.1), 25.32% above",5.9 months,Upmove Bounce Back,23.66% (Price: 108.7595),61.92% above,"1995-01-31 (Price: 4.25), 2024-12-31 (Price: 141.15)",29.1%/8.19%/21.58%,"3.99%, 52.46%",4.6 years/4 months/1.5 year,2032-01-22/2025-12-20/2027-08-21,8.81%,8.57%,0.24%,1.75,0.52,154.9795/170.8442/222.66/No Horizontal Resistance/188.6608/207.1743/142.67,118.77/73.9933/134.0186/119.9028/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"RY.TO, Long, 2025-06-30 (Price: 179.47)",2025-11-30 (Price: 216.14),"20.43%, 5.1 months","94.44%, Past 49 years, 18","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-24 (Price: 233.85), 30.3% above",5.9 months,Upmove Bounce Back,38.2% (Price: 152.7435),53.1% above,"2023-10-31 (Price: 107.92), 2024-12-31 (Price: 180.45)",25.48%/3.95%/19.36%,"8.99%, 47.82%",3.6 years/6 months/1.7 year,2030-08-20/2026-03-17/2027-12-03,8.56%,8.11%,0.45%,1.79,0.51,201.132/214.2154/222.99/No Horizontal Resistance/221.431/339.4883/188.45,162.1/108.18/148.4673/103.3737/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"^BVSP, Long, 2025-03-31 (Price: 130260.0)",2025-11-30 (Price: 159072.0),"22.12%, 8.1 months","81.82%, Past 58 years, 11","Monthly, was CONFIRMED on 2025-03-31",Already confirmed,"2025-12-24 (Price: 160456.0), 23.18% above",8.9 months,Upmove Bounce Back,50% (Price: 116368.0),37.89% above,"2022-07-31 (Price: 95267.0), 2024-08-31 (Price: 137469.0)",27.02%/4.94%/21.13%,"17.81%, 34.07%",4.8 years/4 months/1.9 year,2032-02-05/2025-09-20/2027-12-16,5.99%,20.73%,-14.74%,0.68,0.88,155608.596/157783.938/155581.2/134350.3333/173653.968/192289.6/141055.12,120283.0/95217.0/121313.6/110617.73/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"RHHBY, Long, 2025-02-28 (Price: 41.74)",2025-12-24 (Price: 52.43) (Today),"25.61%, 10 months","85.71%, Past 24 years, 7","Monthly, was CONFIRMED on 2025-02-28",Already confirmed,"2025-12-24 (Price: 52.43), 25.61% above",10 months,Upmove Bounce Back,61.8% (Price: 34.2539),53.06% above,"2024-05-31 (Price: 29.2), 2024-08-31 (Price: 42.43)",29.63%/5.85%/20.48%,"5.23%, 30.29%",6 years/1 year/3.2 years,2033-09-22/2026-08-03/2029-09-23,5.03%,5.2%,-0.17%,0.93,0.26,46.0559/50.2884/49.68/52.46/58.6089/65.2057/42.09,29.82/34.4/41.5794/31.0544/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"RHHBY, Long, 2023-05-31 (Price: 39.59)",2025-11-30 (Price: 47.83),"20.81%, 2.5 years","85.71%, Past 24 years, 7","Monthly, was CONFIRMED on 2023-05-31",Already confirmed,"2025-12-24 (Price: 52.43), 32.43% above",2.6 years,Upmove Bounce Back,50% (Price: 34.8525),50.43% above,"2010-07-31 (Price: 15.845), 2022-04-30 (Price: 53.86)",29.63%/5.85%/20.48%,"5.23%, 30.29%",6 years/1 year/3.2 years,2031-12-23/2024-11-02/2027-12-24,5.03%,5.2%,-0.17%,0.93,0.26,43.6836/47.698/62.4/52.46/58.6089/61.4729/42.09,35.86/29.095/31.0544/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
