"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"INFY, Long, 2025-11-10 (Price: 16.76)",No Exit Yet,"0.0%, 0 days","100.0%, Past 26 years, 11","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 15.82 prior to 2025-12-31,"2025-11-10 (Price: 16.76), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 15.5656),7.67% above,"2012-09-30 (Price: 4.7413), 2022-03-31 (Price: 26.39)",146.88%/22.51%/84.7%,"-0.0%, 40.77%",1369 days/783 days/1076 days,2031-04-15/2028-12-18/2030-02-15,12.46%,12.49%,-0.03%,0.37,0.38,17.0114/30.9557/29.75/23.796/26.4453/28.1304,16.27/16.074/15.9368/14.9059/16.6189/15.7269,16.76/18.03,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"IWM, Long, 2025-11-10 (Price: 244.03)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 171.73 prior to 2025-12-31,"2025-11-10 (Price: 244.03), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 170.075),43.48% above,"2020-03-31 (Price: 95.69), 2021-12-31 (Price: 244.46)",56.32%/25.19%/40.76%,"-0.0%, 20.56%",716 days/715 days/715 days,2028-09-12/2028-09-10/2028-09-10,11.21%,6.21%,5.0%,0.5,0.2,235.733/343.4966/333.29/244.72/270.9222/282.5179,164.92/162.3167/196.8345/160.6663/233.5959/221.8127,242.88/219.66,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"IFT.NZ, Long, 2025-11-10 (Price: 12.43)",No Exit Yet,"0.0%, 0 days","100.0%, Past 31 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 9.13 prior to 2025-12-31,"2025-11-10 (Price: 12.43), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 9.2141),34.9% above,"2016-12-31 (Price: 2.5393), 2024-12-31 (Price: 13.34)",103.41%/23.86%/63.63%,"-0.0%, 22.42%",978 days/717 days/847 days,2029-09-26/2028-09-13/2029-03-20,13.15%,12.57%,0.58%,0.46,0.51,14.3032/20.3392/18.91/No Horizontal Resistance/13.8771/15.9169,2.72/7.3167/12.3404/11.3804/14.3361/14.9482,12.3/11.28,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"SUM.NZ, Long, 2025-11-10 (Price: 11.95)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-11-10 (Price: 11.95), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 10.74),11.27% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",21.12%/21.12%/21.12%,"-0.0%, 38.76%",718 days/718 days/718 days,2028-09-14/2028-09-14/2028-09-14,7.04%,16.47%,-9.43%,0.34,0.57,11.803/14.4738/15.19/13.345/16.7981/18.5763,8.8/9.1367/11.1928/8.9354/12.1624/11.3772,11.25/11.47,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"BDGI.TO, Long, 2025-11-10 (Price: 74.18)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.62 prior to 2025-12-31,"2025-11-10 (Price: 74.18), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 33.6027),120.76% above,"2022-03-31 (Price: 22.54), 2024-03-31 (Price: 51.5)",35.15%/35.15%/35.15%,"-0.0%, 52.34%",1108 days/1108 days/1108 days,2030-04-02/2030-04-02/2030-04-02,7.18%,12.22%,-5.04%,0.42,0.42,77.8297/100.2543/91.56/No Horizontal Resistance/87.1484/97.3919,26.66/24.32/73.041/66.9303/65.7668/59.644,64.22/49.44,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"BYD.TO, Long, 2025-11-10 (Price: 211.54)",No Exit Yet,"0.0%, 0 days","97.06%, Past 20 years, 34","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 204.5 prior to 2025-11-14,"2025-11-10 (Price: 211.54), 0.0% below",0 days,Upmove Bounce Back,88.6% (Price: 205.401),2.99% above,"2024-10-06 (Price: 198.61), 2025-03-02 (Price: 258.18)",1975.56%/0.56%/388.21%,"1.41%, 39.64%",1859 days/109 days/652 days,2033-03-25/2026-04-16/2028-06-11,16.37%,23.47%,-7.1%,0.29,0.79,218.1612/1032.7594/247.28/256.6133/325.4281/346.2134,209.51/190.7867/147.1212/134.6706/357.5546/377.7143,225.25/217.3,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
"CNQ.TO, Long, 2025-11-10 (Price: 44.82)",No Exit Yet,"0.0%, 0 days","100.0%, Past 52 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 34.92 prior to 2025-12-31,"2025-11-10 (Price: 44.82), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 34.1015),31.43% above,"2020-03-31 (Price: 4.7992), 2022-06-30 (Price: 43.1832)",880.76%/124.37%/387.49%,"-0.0%, 59.43%",2087 days/1631 days/1891 days,2034-02-18/2032-04-29/2033-05-10,12.07%,13.02%,-0.95%,0.46,0.46,47.0565/218.493/67.85/51.51/57.5622/59.9244,42.8/34.9317/44.0597/41.1349/61.5996/64.7366,44.05/42.85,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"MX.TO, Long, 2025-11-10 (Price: 52.01)",No Exit Yet,"0.0%, 0 days","85.71%, Past 33 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 36.1 prior to 2025-12-31,"2025-11-10 (Price: 52.01), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 36.7101),41.68% above,"2020-03-31 (Price: 13.24), 2023-03-31 (Price: 74.68)",68.59%/44.74%/56.66%,"40.03%, 69.12%",1955 days/717 days/1336 days,2033-08-11/2028-09-13/2031-02-27,4.14%,4.51%,-0.37%,0.3,0.25,53.9864/81.4789/88.87/73.435/118.0011/153.5474,45.09/38.425/47.9234/44.2912/88.1361/94.2546,52.11/51.03,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"TFII.TO, Long, 2025-11-10 (Price: 119.29)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 102.57 prior to 2025-12-31,"2025-11-10 (Price: 119.29), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 100.7196),18.44% above,"2020-03-31 (Price: 23.21), 2021-12-31 (Price: 148.63)",171.07%/171.07%/171.07%,"-0.0%, 27.17%",717 days/717 days/717 days,2028-09-13/2028-09-13/2028-09-13,42.57%,12.24%,30.33%,0.5,0.41,127.855/323.3594/194.54/219.9933/218.6478/242.6984,111.42/102.925/108.3725/94.3258/248.934/266.1435,127.56/128.42,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"IEI, Long, 2025-11-07 (Price: 119.6)",No Exit Yet,"-0.13%, 1 days","92.31%, Past 5 years, 13","Daily, was CONFIRMED on 2025-11-07",Already confirmed,"2025-11-10 (Price: 119.45), 0.13% below",1 days,Upmove Bounce Back,23.66% (Price: 119.0217),0.36% above,"2025-01-13 (Price: 114.51), 2025-10-21 (Price: 120.42)",2.05%/1.95%/2.0%,"0.03%, 4.21%",139 days/125 days/132 days,2026-05-27/2026-05-07/2026-05-17,1.93%,-2.06%,3.99%,0.33,-1.37,119.7196/121.992/123.15/129.9625/No Next Fib Ext/No Next Fib Ext,119.13/113.0583/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,119.73/118.28,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"TLT, Long, 2025-11-07 (Price: 89.57)",No Exit Yet,"-0.02%, 1 days","94.12%, Past 5 years, 17","Daily, was CONFIRMED on 2025-11-07",Already confirmed,"2025-11-10 (Price: 89.55), 0.02% below",1 days,Upmove Bounce Back,23.66% (Price: 90.0866),0.6% below,"2025-05-22 (Price: 83.3), 2025-10-21 (Price: 92.19)",2.82%/2.82%/2.82%,"0.03%, 10.65%",182 days/182 days/182 days,2026-07-28/2026-07-28/2026-07-28,2.67%,-10.72%,13.39%,0.18,-0.89,89.1311/92.0959/94.9/153.2067/188.2386/214.0466,88.96/83.3033/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,89.82/88.33,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"BTC-USD, Long, 2025-11-06 (Price: 101301.2891)",No Exit Yet,"4.18%, 2 days","93.75%, Past 5 years, 64","Daily, was CONFIRMED on 2025-11-06",Already confirmed,"2025-11-10 (Price: 105536.8906), 4.18% above",2 days,Upmove Bounce Back,88.6% (Price: 101468.156),4.01% above,"2025-06-22 (Price: 98286.2031), 2025-10-06 (Price: 126198.0703)",133.41%/2.6%/33.78%,"10.03%, 72.69%",600 days/5 days/148 days,2028-03-24/2025-11-13/2026-06-08,16.74%,49.32%,-32.58%,0.38,0.92,104988.656/135520.8646/118048.41/124582.2656/122105.3521/133759.1807,100987.14/18304.4229/88987.7198/76786.0499/No F-Track Level/No F-Track Level,111874.18/110361.3,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"FXI, Long, 2025-11-06 (Price: 40.14)",No Exit Yet,"1.54%, 2 days","100.0%, Past 5 years, 22","Daily, was CONFIRMED on 2025-11-06",Already confirmed,"2025-11-10 (Price: 40.76), 1.54% above",2 days,Upmove Bounce Back,23.66% (Price: 38.9739),4.58% above,"2025-04-08 (Price: 29.21), 2025-10-02 (Price: 42.0)",20.99%/3.97%/12.16%,"-0.0%, 45.3%",953 days/27 days/401 days,2029-08-17/2025-12-15/2027-06-09,5.97%,-3.23%,9.2%,0.55,-0.09,39.9313/45.021/47.81/44.87/83.3684/90.0109,39.37/20.865/34.3506/28.5649/No F-Track Level/No F-Track Level,40.3/36.98,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"XLE, Long, 2025-11-06 (Price: 88.27)",No Exit Yet,"2.36%, 2 days","95.0%, Past 5 years, 40","Daily, was CONFIRMED on 2025-11-06",Already confirmed,"2025-11-10 (Price: 90.35), 2.36% above",2 days,Upmove Bounce Back,23.66% (Price: 88.5518),2.03% above,"2025-04-09 (Price: 74.49), 2025-09-26 (Price: 92.91)",45.63%/1.16%/20.67%,"3.48%, 17.74%",365 days/50 days/159 days,2027-04-18/2026-01-17/2026-06-24,20.35%,23.85%,-3.5%,0.35,0.89,89.8942/106.5154/99.32/98.445/108.2743/117.7423,87.19/45.695/74.9996/54.4348/No F-Track Level/No F-Track Level,88.39/86.84,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"BABA, Long, 2025-11-06 (Price: 167.61)",No Exit Yet,"-1.03%, 2 days","100.0%, Past 5 years, 17","Daily, was CONFIRMED on 2025-11-06",Already confirmed,"2025-11-10 (Price: 165.89), 1.03% below",2 days,Upmove Bounce Back,23.66% (Price: 166.0265),0.08% below,"2025-01-13 (Price: 80.06), 2025-10-02 (Price: 192.67)",74.52%/8.42%/42.02%,"-0.0%, 62.51%",1022 days/45 days/383 days,2029-11-25/2026-01-10/2027-05-14,14.96%,-10.23%,25.19%,0.53,-0.05,164.9953/238.0397/235.18/No Horizontal Resistance/395.5515/453.696,164.3/67.495/138.4263/108.0763/No F-Track Level/No F-Track Level,166.11/131.9,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"MSE.PA, Long, 2025-11-06 (Price: 62.41)",No Exit Yet,"0.98%, 2 days","97.5%, Past 5 years, 40","Daily, was CONFIRMED on 2025-11-06",Already confirmed,"2025-11-10 (Price: 63.02), 0.98% above",2 days,Upmove Bounce Back,23.66% (Price: 62.1697),1.37% above,"2025-08-01 (Price: 57.2), 2025-10-29 (Price: 63.71)",38.06%/0.05%/12.98%,"1.51%, 23.33%",814 days/28 days/228 days,2029-01-28/2025-12-16/2026-10-02,7.89%,15.04%,-7.15%,0.53,0.72,63.3961/70.5108/66.32/No Horizontal Resistance/68.3539/81.1364,61.38/33.6667/58.4776/52.627/No F-Track Level/No F-Track Level,61.56/59.28,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"XLU, Long, 2025-11-05 (Price: 88.85)",No Exit Yet,"0.91%, 3 days","96.43%, Past 5 years, 28","Daily, was CONFIRMED on 2025-11-05",Already confirmed,"2025-11-10 (Price: 89.66), 0.91% above",3 days,Upmove Bounce Back,23.66% (Price: 88.3874),1.44% above,"2025-04-09 (Price: 71.02), 2025-10-16 (Price: 93.77)",29.85%/2.59%/12.82%,"0.48%, 28.07%",922 days/31 days/344 days,2029-07-02/2025-12-19/2027-03-18,5.61%,6.79%,-1.18%,0.72,0.24,91.3023/100.2406/102.5/No Horizontal Resistance/98.9717/130.4908,88.83/59.2533/87.4085/70.8508/No F-Track Level/No F-Track Level,87.96/82.5,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"RHHBY, Long, 2025-11-05 (Price: 40.7)",No Exit Yet,"7.74%, 3 days","100.0%, Past 5 years, 25","Daily, was CONFIRMED on 2025-11-05",Already confirmed,"2025-11-10 (Price: 43.85), 7.74% above",3 days,Upmove Bounce Back,61.8% (Price: 40.7303),7.66% above,"2025-08-11 (Price: 37.51), 2025-10-08 (Price: 45.94)",26.41%/3.63%/11.02%,"-0.0%, 32.35%",683 days/26 days/308 days,2028-07-21/2025-12-12/2027-01-25,7.53%,-1.74%,9.27%,0.34,-0.17,40.2523/45.1851/45.76/52.46/58.6089/65.2057,40.15/34.5167/31.0544/202.8856/No F-Track Level/No F-Track Level,42.56/40.87,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"GNE.NZ, Long, 2025-11-05 (Price: 2.53)",No Exit Yet,"-1.98%, 3 days","84.62%, Past 5 years, 13","Daily, was CONFIRMED on 2025-11-05",Already confirmed,"2025-11-10 (Price: 2.48), 1.98% below",3 days,Upmove Bounce Back,23.66% (Price: 2.4547),1.03% above,"2025-04-07 (Price: 2.115), 2025-10-15 (Price: 2.56)",6.64%/0.44%/3.91%,"7.43%, 9.96%",145 days/36 days/77 days,2026-06-03/2025-12-27/2026-02-24,1.92%,-3.81%,5.72%,0.03,-0.29,2.548/2.6289/2.8/3.575/No Next Fib Ext/No Next Fib Ext,2.33/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,2.43/2.32,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"EFN.TO, Long, 2025-11-05 (Price: 37.65)",No Exit Yet,"-1.83%, 3 days","90.38%, Past 5 years, 52","Daily, was CONFIRMED on 2025-11-05",Already confirmed,"2025-11-10 (Price: 36.96), 1.83% below",3 days,Upmove Bounce Back,38.2% (Price: 37.1637),0.55% below,"2025-09-30 (Price: 35.39), 2025-10-28 (Price: 38.26)",43.0%/0.86%/18.32%,"6.13%, 26.27%",387 days/26 days/117 days,2027-05-19/2025-12-12/2026-04-23,16.07%,24.1%,-8.03%,0.65,1.02,38.4181/44.5475/39.37/No Horizontal Resistance/45.1741/70.5281,37.08/11.7733/29.5041/177.9303/No F-Track Level/No F-Track Level,36.94/33.09,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-11-04 (Price: 985.25)",No Exit Yet,"-0.08%, 4 days","89.74%, Past 5 years, 39","Daily, was CONFIRMED on 2025-11-04",Already confirmed,"2025-11-10 (Price: 984.5), 0.08% below",4 days,Upmove Bounce Back,23.66% (Price: 971.2044),1.37% above,"2025-01-13 (Price: 812.15), 2025-10-23 (Price: 1020.5)",31.44%/0.59%/8.36%,"7.67%, 22.66%",472 days/11 days/137 days,2027-09-18/2025-11-19/2026-05-21,7.39%,9.35%,-1.96%,0.46,0.36,986.6294/1067.6169/1110.26/1004.15/1098.0619/1305.7899,945.05/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level,975.04/945.74,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"GILD, Long, 2025-11-04 (Price: 123.0)",No Exit Yet,"-3.94%, 4 days","100.0%, Past 5 years, 28","Daily, was CONFIRMED on 2025-11-04",Already confirmed,"2025-11-10 (Price: 118.15), 3.94% below",4 days,Upmove Bounce Back,50% (Price: 116.535),1.39% above,"2025-10-02 (Price: 108.46), 2025-10-21 (Price: 124.61)",29.99%/0.5%/11.55%,"-0.0%, 27.82%",471 days/7 days/193 days,2027-09-17/2025-11-14/2026-08-10,10.34%,14.55%,-4.21%,0.57,0.58,125.9397/137.2065/132.69/No Horizontal Resistance/121.083/140.4376,117.88/56.9733/104.5806/96.4152/No F-Track Level/No F-Track Level,116.59/110.68,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
