"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"GILD, Long, 2026-02-01 (Price: 141.95)",No Exit Yet,"3.02%, 3 days","96.43%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 146.23), 3.02% above",3 days,"2, 2025-05-25 (Price: 107.37)",2026-02-01 (Price: 141.95),2026-02-01 (Price: 141.95),3/3/3 days,3.02% above/3.02% above/3.02% above,2025-05-25 (Price: 112.6514)/2026-02-01 (Price: 134.3968),26.57%/2.74%/15.13%,"8.71%, 37.09%",1.2 year/1.2 month/4.5 months,2027-10-19/2026-03-25/2026-08-15,13.74%,9.41%,4.33%,1.53,0.5,155.1088/163.427/162.7/No Horizontal Resistance/146.167/154.7608/No EMA 200 Target,112.1/57.18/121.083/104.5806/No F-Track Level/No F-Track Level/115.72,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),135.88
"NZDCAD=X, Long, 2026-02-01 (Price: 0.8195)",No Exit Yet,"0.52%, 3 days","79.17%, Past 10 years, 24","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 0.8238), 0.52% above",3 days,"0, 2021-10-10 (Price: 0.8703)",2026-02-01 (Price: 0.8195),2026-01-30 (Price: 0.8195),3/5/3 days,0.52% above/0.52% above/0.52% above,2021-10-10 (Price: 0.9068)/2026-02-01 (Price: 0.8149),4.6%/1.11%/2.76%,"5.56%, 13.76%",9.8 months/28 days/5.1 months,2027-04-02/2026-03-13/2026-09-10,-3.01%,0.35%,-3.36%,0.17,-0.49,0.8256/0.8421/0.85/0.8902/1.0924/1.3117/No EMA 200 Target,0.79/0.7834/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/0.81,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),0.8165
"SJ.TO, Long, 2026-02-01 (Price: 91.3)",No Exit Yet,"8.72%, 3 days","83.33%, Past 10 years, 24","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 99.26), 8.72% above",3 days,"4, 2025-01-05 (Price: 73.5)",2026-02-01 (Price: 91.3),2026-02-01 (Price: 91.3),3/3/3 days,8.72% above/8.72% above/8.72% above,2025-01-05 (Price: 75.7076)/2026-02-01 (Price: 88.6888),23.9%/1.55%/7.87%,"6.63%, 46.57%",1 year/1.2 month/2.6 months,2027-07-07/2026-03-25/2026-05-24,13.27%,11.85%,1.42%,0.6,0.66,101.4343/98.4853/101.98/No Horizontal Resistance/95.0177/123.2166/No EMA 200 Target,76.55/38.015/87.8633/66.807/No F-Track Level/No F-Track Level/79.76,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),88.65
"^DJI, Long, 2026-01-31 (Price: 48892.4688)",No Exit Yet,"1.25%, 4 days","84.62%, Past 20 years, 13","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 49501.3008), 1.25% above",4 days,"0, 2021-01-31 (Price: 29982.6191)",2026-01-31 (Price: 48892.4688),2026-01-30 (Price: 48892.4688),4/5/4 days,1.25% above/1.25% above/1.25% above,2021-01-31 (Price: 34168.3122)/2026-01-31 (Price: 48089.9931),15.24%/4.84%/10.4%,"2.61%, 11.83%",1.2 year/5 months/9.6 months,2027-10-18/2026-09-05/2027-03-24,7.0%,4.25%,2.75%,1.41,0.19,56299.6778/53977.2856/60238.38/No Horizontal Resistance/54129.8938/83218.843/No EMA 200 Target,40669.36/32614.5825/36151.8794/25040.9446/No F-Track Level/No F-Track Level/45320.62,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),48105.9805
"BNS.TO, Long, 2026-01-31 (Price: 101.8)",No Exit Yet,"0.29%, 4 days","92.31%, Past 20 years, 13","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 102.1), 0.29% above",4 days,"2, 2024-03-31 (Price: 70.07)",2025-11-30 (Price: 96.94),2026-01-31 (Price: 101.8),66/4/4 days,5.32% above/0.29% above/0.29% above,2024-03-31 (Price: 70.4)/2026-01-31 (Price: 94.2089),24.83%/4.28%/13.54%,"30.99%, 38.87%",2.8 years/6 months/1.2 year,2030-01-28/2026-10-18/2027-10-18,1.95%,4.3%,-2.35%,0.65,0.19,107.1343/115.5837/120.84/No Horizontal Resistance/113.9126/137.6923/No EMA 200 Target,56.15/62.2517/92.969/69.3218/No F-Track Level/No F-Track Level/85.08,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),101.58
"ACWX, Long, 2026-01-31 (Price: 70.78)",No Exit Yet,"0.59%, 4 days","90.0%, Past 20 years, 10","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 71.2), 0.59% above",4 days,"2, 2023-07-31 (Price: 51.15)",2025-11-30 (Price: 66.49),2026-01-31 (Price: 70.78),66/4/4 days,7.08% above/0.59% above/0.59% above,2023-07-31 (Price: 51.3)/2026-01-31 (Price: 65.5714),15.1%/1.97%/6.76%,"10.07%, 26.55%",3.3 years/4.1 months/1.4 year,2030-10-17/2026-07-26/2028-01-29,1.22%,0.78%,0.44%,0.41,-0.09,75.7134/75.5647/82.56/No Horizontal Resistance/69.6679/76.9985/No EMA 200 Target,52.16/45.07/61.9685/No support/No F-Track Level/No F-Track Level/63.45,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),68.01
"TSM, Long, 2026-01-31 (Price: 330.56)",No Exit Yet,"-1.46%, 4 days","100.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 325.74), 1.46% below",4 days,"2, 2024-07-31 (Price: 165.8)",2025-12-31 (Price: 303.89),2026-01-31 (Price: 330.56),35/4/4 days,7.19% above/1.46% below/1.46% below,2024-07-31 (Price: 194.3583)/2026-01-31 (Price: 293.1483),62.44%/8.11%/32.4%,"-0.0%, 49.81%",1 year/5 months/8.7 months,2027-07-06/2026-09-05/2027-02-13,9.53%,10.44%,-0.91%,1.24,0.51,443.2479/437.6614/429.42/No Horizontal Resistance/334.306/349.9895/No EMA 200 Target,166.0/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/254.82,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),311.98
"^BVSP, Long, 2026-01-31 (Price: 181364.0)",No Exit Yet,"0.19%, 4 days","88.89%, Past 20 years, 9","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 181708.0), 0.19% above",4 days,"4, 2022-09-30 (Price: 110037.0)",2025-11-30 (Price: 159072.0),2026-01-31 (Price: 181364.0),66/4/4 days,14.23% above/0.19% above/0.19% above,2022-09-30 (Price: 118704.842)/2026-01-31 (Price: 152013.9293),14.35%/2.63%/9.45%,"18.7%, 34.07%",3.3 years/8.1 months/1.9 year,2030-10-17/2027-01-17/2028-10-17,6.15%,6.78%,-0.63%,0.48,0.36,200661.1296/198502.898/224160.2/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,120283.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/145727.06,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),161124.0
"GS, Long, 2026-01-31 (Price: 935.41)",No Exit Yet,"-2.36%, 4 days","100.0%, Past 20 years, 13","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 913.3), 2.36% below",4 days,"2, 2023-07-31 (Price: 355.87)",2025-12-31 (Price: 879.0),2026-01-31 (Price: 935.41),35/4/4 days,3.9% above/2.36% below/2.36% below,2023-07-31 (Price: 351.8948)/2026-01-31 (Price: 831.3002),53.25%/7.0%/28.8%,"-0.0%, 34.98%",2.5 years/4 months/1.1 year,2029-08-26/2026-07-23/2027-08-27,10.95%,5.86%,5.09%,1.01,0.3,1127.169/1204.8081/1283.13/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,303.61/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/746.9,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),884.0
"PPH, Long, 2026-01-31 (Price: 106.81)",No Exit Yet,"1.7%, 4 days","85.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 108.63), 1.7% above",4 days,"0, 2021-01-31 (Price: 68.14)",2025-12-31 (Price: 103.17),2026-01-30 (Price: 106.81),35/5/4 days,5.29% above/1.7% above/1.7% above,2021-01-31 (Price: 78.5883)/2026-01-31 (Price: 98.4383),15.31%/2.34%/9.66%,"3.25%, 39.01%",4.4 years/5 months/1.3 year,2032-05-13/2026-09-05/2027-12-09,1.56%,1.67%,-0.11%,1.06,-0.07,118.7193/117.1278/130.01/No Horizontal Resistance/110.0139/120.2747/No EMA 200 Target,82.93/71.642/100.0174/96.0365/No F-Track Level/No F-Track Level/92.38,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),103.4
"BTI, Long, 2026-01-30 (Price: 60.68)",No Exit Yet,"1.57%, 5 days","100.0%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 61.63), 1.57% above",5 days,"0, 2024-04-15 (Price: 28.51)",2026-01-30 (Price: 60.68),2026-01-30 (Price: 60.68),5/5/5 days,1.57% above/1.57% above/1.57% above,2024-04-15 (Price: 46.0067)/2026-01-30 (Price: 60.0067),9.02%/0.81%/3.05%,"0%, 8.72%",3.2 months/4 days/27 days,2026-06-18/2026-02-04/2026-03-10,13.01%,4.6%,8.41%,1.21,0.22,66.2929/62.5307/79.98/No Horizontal Resistance/82.226/92.0468/No EMA 200 Target,53.29/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/52.26,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),60.11
"PG, Long, 2026-01-30 (Price: 151.77)",No Exit Yet,"3.36%, 5 days","86.96%, Past 4 years, 23","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 156.87), 3.36% above",5 days,"0, 2024-04-15 (Price: 155.45)",2026-01-29 (Price: 149.9),2026-01-30 (Price: 151.77),6/5/5 days,4.65% above/3.36% above/3.36% above,2024-04-15 (Price: 209.76)/2026-01-30 (Price: 149.1424),3.12%/1.29%/2.0%,"6.35%, 12.85%",3.3 months/6 days/1.2 month,2026-06-22/2026-02-07/2026-03-23,9.71%,2.06%,7.65%,0.36,0.03,153.3939/154.8054/153.98/179.4533/186.6499/209.3631/154.01,138.04/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),150.43
